Species	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15	MD1	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	MD10	MD11	MD12	MD13	MD14	MD15
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Unassigned	0.0609177073441671	0.0397240980824094	0.112582528718086	0.0335095688435475	0.0389670197314818	0.0145761970701844	0.00527361260041837	0.00354126458558351	0.0093179276928811	0.0129220431596242	0.0330044469149528	0.0272808761058498	0.00719515046858417	0.0115185256287195	0.0165868042757095	0.245547232255654	0.0194020636740453	0.0238186848421554	0.00702728342790886	0.0167788362944872	0.379430853719421	0.0353388108490149	0.0503280309157904	0.0374465049928673	0.35729183669768	0.0398819494296881	0.130328909009843	0.0772894760492496	0.0640017554767216	0.0035421426420842
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella|Unassigned	0.096751652840736	0.142645624932288	0.265236804945999	0.0651574949735647	0.0478231605795459	0	0.0070314834672245	0.00885316146395878	0	0.00553801849698178	0	0	0	0	0	0.0266899165495276	0.00352764794073551	0.00183220652631965	0.00527046257093164	0.00186431514383191	0.00199700449326011	0	0.00359485935112789	0.00178316690442225	0.00362732829134701	0.00199409747148441	0	0.00359485935112789	0.00548586475514757	0.00885535660521049
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Adlercreutzia|Unassigned	0.0573343127945102	0.0613917879455419	0.0248063198870358	0.0465410678382605	0.0177122816961281	0.0218642956052766	0.0210944504016735	0.00885316146395878	0.0093179276928811	0.0461501541415148	0.00347415230683713	0.0077945360302428	0.00179878761714604	0.00383950854290651	0.00368595650571323	0.0284692443194961	0.0246935355851486	0.062295021894868	0.0614887299942025	0.0876228117600999	0.0239640539191213	0.0229702270518597	0.00179742967556394	0.00356633380884451	0.0253912980394291	0.0119645848289064	0.00514456219775697	0.00179742967556394	0.0237720806056395	0
Bacteria|Actinobacteria|Unassigned|Unassigned|Unassigned|Unassigned|Unassigned	0.00537509182448534	0.0126394857534939	0.124031599435179	0.00372328542706084	0.00708491267845124	0.00182202463377305	0	0.00177063229279176	0.00186358553857622	0.00923003082830297	0.00694830461367426	0.13835301453681	0.00359757523429209	0.0307160683432521	0.00737191301142646	0.0409245387092756	0.00352764794073551	0.00183220652631965	0	0.0242360968698149	0.131802296555167	0.144889124480961	0.0503280309157904	0.00356633380884451	0.0489689319331846	0.00398819494296881	0.00685941626367596	0.00359485935112789	0.00182862158504919	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Unassigned	1.27748015695268	2.81138275974143	0.839598519253521	1.49676074167846	2.20872152750717	1.37380657386488	0.615254803382144	0.472758822175399	0.935519940365263	1.44542282771224	1.24374652584769	5.67637086402432	0.545032647995251	2.88923017853715	0.73534832288979	0.713510435757371	1.23820442719817	1.27338353579215	0.871383145060698	1.53805999366133	5.28207688467299	4.69652796183408	1.22584703873461	0.75962910128388	2.32693109889911	4.15769322804499	2.40765510855026	42.1694976184057	0.961854953735874	36.7798381240813
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola|Unassigned	0.130793901062476	0.0343071756166263	0.118307064076632	0.0874972075359297	0.0673066704452868	0.160338167772028	0.0369152882029286	0.0442658073197939	0.0372717107715244	0.182754610400399	0.215397443023902	0.477415331852372	0.0233842390228986	0.211172969859858	0.0552893475856985	0.224195299016032	0.104065614251698	0.0732882610527859	0.0878410428488607	0.065251030034117	0.283574638042936	0.341019524692994	0.030556304484587	0.0356633380884451	0.0507825960788581	0.207386137034378	0.106320952086977	0.0269614451334592	0.0219434590205903	0.00885535660521049
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Unassigned|Unassigned	0	0.0018056408219277	0.00190817845284891	0.00558492814059126	0.00177122816961281	0.00182202463377305	0	0	0	0.00369201233132119	0.00173707615341857	0.0448185821738961	0	0	0.00368595650571323	0.00355865553993701	0.00176382397036776	0.00366441305263929	0.00175682085697721	0	0.0299550673989016	0	0.00359485935112789	0	0	0.0239291696578129	0.00171485406591899	0.663251550283095	0.00182862158504919	0.308166409861325
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Duncaniella|Unassigned	2.17870388619139	3.66906215015709	7.82162347822768	7.21945044307097	4.02777285769953	6.74513519422783	3.89544184084237	1.86093453972414	3.53708535221767	5.71892710121652	2.86964980544747	3.1236603141198	1.05588833126473	3.19063159915531	2.39955768521931	3.18143805270369	3.73577916923891	4.17010205390352	5.0807259183781	6.48595238539123	12.8587119321018	7.43705274317519	2.73389053653276	2.89407988587732	7.77880552079366	5.91648719789423	2.96841238810577	1.26898535094814	4.3941776688732	0.947523156757523
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculum|Unassigned	3.04051027538387	3.74670470549998	11.1304049154677	7.67555290788592	5.47132381593397	6.75242329276292	4.10287060312549	1.53867946243604	2.2493477450615	3.43541747429436	1.05614230127849	1.10292684827936	0.528843559440937	0.982914186984066	0.670844084039808	4.41629152506183	3.57527118793544	5.03307132780007	4.39029532158606	5.32821268107161	6.77383924113829	4.3873133669052	2.02210838500944	2.85128388017118	6.59629649781454	1.98013878918402	1.03577185581507	0.237260717174441	1.1191164100501	0.451623186865735
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Paramuribaculum|Unassigned	2.59437765395159	2.94138889892023	7.39609968324238	8.06835952044084	4.28282971412377	9.29596968151009	4.94664861919243	1.74938470527825	4.98322773015281	5.0359048199221	1.91425792106726	1.99734985774972	0.786070188692821	2.16548281819927	1.25875414670107	4.68852867386701	6.12752447305759	5.20896315432676	6.24725496741097	6.05156695687839	7.309036445332	6.90166975881262	1.85494742518199	2.95114122681883	8.69833324265013	6.75001994097472	2.09383681448709	0.503280309157904	2.70453132428775	0.589766749907019
