Family	NC1	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	NC10	NC11	NC12	NC13	NC14	NC15	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15
Bacteria|Acidobacteria|Acidobacteria_Gp15|Unassigned|Unassigned	0.0637337023818195	0.00346482338062817	0.0123324113387713	0.0751019850820148	0.00174052285306506	0.0306356905795251	0.0276582136251275	0.33296724369367	0.0480060918075121	0.039866447401206	0.0363545912021889	0.0219579139981702	0.029508765839264	0.0728931087976375	0.0495986185866231	0.00179169727482844	0	0.00190817845284891	0	0.00177122816961281	0	0	0	0	0	0	0	0	0	0.00184297825285662
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae	0.291354068031175	1.44656376141226	0.445728581244164	0.0682745318927407	1.01472482333693	0.0272317249595779	0.409687289322201	0.882101703188466	0.0546276217119966	0.0996661185030149	0.143504965271798	0.109789569990851	0.206561360874848	0.0149524325738744	0.159817771001341	0.0609177073441671	0.0397240980824094	0.112582528718086	0.0335095688435475	0.0389670197314818	0.0145761970701844	0.00527361260041837	0.00354126458558351	0.0093179276928811	0.0129220431596242	0.0330044469149528	0.0272808761058498	0.00719515046858417	0.0115185256287195	0.0165868042757095
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae	0.34962488163741	1.2178854182908	0.401684255034266	0.0477921723249185	0.835450969471229	0.21615181686665	0.252381199329288	1.08780921499922	0.160572100183747	0.255809704157738	0.0344411916652316	0.0969807868252516	0.112827634091304	0.0261667570042801	0.110219152414718	0.102126744665221	0.142645624932288	0.265236804945999	0.0651574949735647	0.0478231605795459	0.00728809853509219	0.0105472252008367	0.0106237937567505	0.00372717107715244	0.00923003082830297	0.00173707615341857	0	0.00359757523429209	0.00383950854290651	0
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae	0.398790880617671	1.03424977911751	0.209650992759113	0.390871695085941	1.11915619452083	0.374436218194196	0.179778388563329	0.549134459494796	0.180436689897201	0.112954934303417	0.0420947898130609	0.0365965233302836	0.0451310536365214	0.0242977029325458	0.0661314914488308	0.0824180746421085	0.0956989635621682	0.0591535320383162	0.0986670638171122	0.0425094760707074	0.0674149114496028	0.0351574173361225	0.00708252917116702	0.033544539694372	0.0516881726384966	0.0052112284602557	0.0155890720604856	0.00359757523429209	0.0211172969859858	0.0165868042757095
Bacteria|Actinobacteria|Unassigned|Unassigned|Unassigned	0.00728385170077937	0.0121268818321986	0.00880886524197953	0.0341372659463704	0.0104431371183904	0.0306356905795251	0.0155577451641342	0.0313791119711312	0.0480060918075121	0.0348831414760552	0.0631421847195913	0.0384263494967978	0.00520742926575247	0.0859764872997776	0.113893124161875	0.00537509182448534	0.0126394857534939	0.124031599435179	0.00372328542706084	0.00708491267845124	0.00182202463377305	0	0.00177063229279176	0.00186358553857622	0.00923003082830297	0.00694830461367426	0.13835301453681	0.00359757523429209	0.0307160683432521	0.00737191301142646
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae	0.568140432660791	0.415778805675381	0.505628864889625	0.426715824329629	0.471681693180631	0.403369925963748	0.371657245587651	0.299844847724143	0.332731877700343	0.499991694490125	1.03897594856782	0.80512351326624	0.387085575420934	0.377548922490328	0.907471021547844	1.30077222152545	2.7247120002889	0.854863946876312	1.53399359594907	2.19278047398066	1.49952627359522	0.638107124650623	0.495777041981692	0.948565039135296	1.59864133946207	1.38618677042802	5.33730854670876	0.550429010846689	2.94490305240929	0.72981938813122
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae	25.1875591812951	22.2251095750394	31.0688677084618	12.0231450663116	18.4425801510774	10.8484384307718	19.9173710867949	19.0924463504349	13.2827889883958	10.4167704855401	14.1151483841341	20.0530649588289	11.5518139211942	23.1893538680074	21.0151183937396	8.2955583824557	10.7778700660865	26.7793764072816	23.9072157271576	14.3894576499345	23.7774214707383	13.6129519925466	5.31543814296085	10.9802459932911	14.4653043141164	6.25521122846026	6.55325616742663	2.61543719533035	6.71530044154348	4.46369332841872
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae	0.901376647971447	0.658316442319353	1.3759447507972	0.527420758871422	0.609182998572771	0.828865628457153	0.681083510518764	1.18368983491101	0.64228840073499	0.302320559459145	0.53383847081109	0.570905763952425	0.689116472834577	0.429882436498888	1.08198467953781	0.206045186605271	0.666281463291322	0.169827882303553	0.720455730136272	0.32767721137837	1.3045696377815	0.754126601859827	0.416098588806063	1.56168468132687	2.50318436063576	1.47304057809894	3.16458162827858	0.607990214595363	3.12152044538299	1.28271286398821
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae	2.08864447519848	0.947629194601805	2.88049893412731	1.30745728574598	1.00080064051241	0.798229937877628	1.60417639025739	1.460871990656	2.11061265705441	0.378731250311457	6.10757132196774	6.0384263494968	3.48724179829891	2.36809150888735	5.04803718059408	0.283088169422894	0.543497887400238	2.49589741632637	1.54144016680319	0.356016862092175	5.40594708840464	0.497477455306133	0.184145758450343	0.262765560939247	0.68302228129442	0.83553362979433	3.26785923067929	0.298598744446243	1.75657515837973	0.589753040914117
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae	0.52625828538131	0.337820279611247	0.51619950318	0.650314916278355	0.492567967417412	1.1096927921028	0.563536102611973	1.13662116695431	1.11076164147726	0.6677629939702	1.99567571704648	2.33851784080512	2.40930394028814	2.30267461637665	4.36284144974925	0.157669360184903	0.386407135892528	0.686944243025608	1.0406582768635	0.154096850756314	1.02215581954668	0.457046425369592	0.343502664801601	0.475214312336936	1.63740746894095	1.99590050027793	2.82746794497058	0.478477506160848	1.79305048953734	0.908588278658312
