Class	NC1	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	NC10	NC11	NC12	NC13	NC14	NC15	MD1	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	MD10	MD11	MD12	MD13	MD14	MD15
Bacteria|Acidobacteria|Acidobacteria_Gp15	0.0637337023818195	0.00346482338062817	0.0123324113387713	0.0751019850820148	0.00174052285306506	0.0306356905795251	0.0276582136251275	0.33296724369367	0.0480060918075121	0.039866447401206	0.0363545912021889	0.0219579139981702	0.029508765839264	0.0728931087976375	0.0495986185866231	0	0	0	0	0.00186431514383191	0	0	0.00179742967556394	0.00178316690442225	0	0	0	0.00359485935112789	0.00182862158504919	0
Bacteria|Actinobacteria|Actinobacteria	0.291354068031175	1.44656376141226	0.445728581244164	0.0682745318927407	1.01472482333693	0.0272317249595779	0.409687289322201	0.882101703188466	0.0546276217119966	0.0996661185030149	0.143504965271798	0.109789569990851	0.206561360874848	0.0149524325738744	0.159817771001341	0.245547232255654	0.0194020636740453	0.0238186848421554	0.00702728342790886	0.0167788362944872	0.379430853719421	0.0353388108490149	0.0503280309157904	0.0374465049928673	0.35729183669768	0.0398819494296881	0.130328909009843	0.0772894760492496	0.0640017554767216	0.0035421426420842
Bacteria|Actinobacteria|Coriobacteriia	0.74841576225508	2.25213519740831	0.611335247793379	0.438663867410859	1.95460716399206	0.590588035060846	0.432159587892617	1.63694367449401	0.341008790080948	0.368764638461155	0.0765359814782925	0.133577310155535	0.157958687727825	0.050464459936826	0.176350643863549	0.101421682888205	0.0617338389628715	0.0531339892632698	0.121220639131428	0.0727082906094446	0.0439340988517224	0.0371057513914657	0.0179742967556394	0.00713266761768902	0.0471552677875111	0.0338996570152349	0.0257228109887849	0.0143794374045115	0.0402296748710822	0.0159396418893789
Bacteria|Actinobacteria|Unassigned	0.00728385170077937	0.0121268818321986	0.00880886524197953	0.0341372659463704	0.0104431371183904	0.0306356905795251	0.0155577451641342	0.0313791119711312	0.0480060918075121	0.0348831414760552	0.0631421847195913	0.0384263494967978	0.00520742926575247	0.0859764872997776	0.113893124161875	0.0409245387092756	0.00352764794073551	0.00183220652631965	0	0.0242360968698149	0.131802296555167	0.144889124480961	0.0503280309157904	0.00356633380884451	0.0489689319331846	0.00398819494296881	0.00685941626367596	0.00359485935112789	0.00182862158504919	0
Bacteria|Bacteroidetes|Bacteroidia	29.317503095637	24.6210349427438	36.3911840876658	14.9965009302405	21.0411807707035	14.0464641307123	23.1723971028021	23.2170562906403	17.5271896571703	12.3286988588229	23.9021870156707	29.8664226898445	18.5679569519181	28.7011943255518	32.4926061318588	18.5921958684009	16.5764176735162	18.5327690137232	20.433583387502	22.1667070601614	39.654518222666	31.4762788232176	9.09139929900243	10.6116262482168	30.0705515352667	26.3180984286512	10.7709983880372	53.2830053024175	11.9646710309768	52.03938862618
Bacteria|Candidatus_Saccharibacteria|Unassigned	0.340520067011436	0.472948391455746	0.327689787001638	0.175806919623807	0.819786263793643	0.158284401327547	0.210893878891597	0.101110471906978	0.114221390852356	0.174415707380276	0.133937967587012	0.129917657822507	0.223919458427356	0.0934527035867148	0.325146499623418	0.00355865553993701	0.185201516888615	0.0183220652631965	0.0421637005674531	0.0111858908629915	0	0.00353388108490149	0	0	0.0253912980394291	0	0.00171485406591899	0	0	0.00885535660521049
Bacteria|Deferribacteres|Deferribacteres	0.145677034015587	0.107409524799473	0.227268723243072	0.945602266714459	0.0591777770042121	0.0782912092587865	0.364742692181369	0.0174328399839618	0.225132016752471	0.194348931080879	0.0478349884239328	0.0274473924977127	0.0451310536365214	0.0542025680802946	0.0238808163565222	0.0943043718083308	0.065261486903607	0.126422250316056	0.110679713989564	0.177109938664032	0.0559161258112831	0.130753600141355	2.25217938348162	0.511768901569187	0.0761738941182872	0.0937225811597671	0.0788832870322735	0.030556304484587	0.0603445123066233	0.0017710713210421
Bacteria|Firmicutes|Bacilli	4.10445043338918	8.41952081492646	1.56093092087877	1.31599160223258	3.86396073380444	0.539528550761637	2.833238258224	8.33987064832732	1.16207849823702	0.882045148751682	1.86747794807034	1.0576395242452	2.14893247700052	0.469132572005308	1.05810386318129	0.507108414441024	0.0670253108739748	0.197878304842522	0.137032026844223	0.233039392978989	0.613080379430854	1.75103807756869	0.185135256583086	0.0374465049928673	0.268422293559679	4.76589295684773	1.44905168570155	2.16770018873012	4.38503456094796	0.628730318969945
Bacteria|Firmicutes|Clostridia	51.7299147789351	49.2004920049201	47.2842268458977	70.0684452182225	58.9201796219584	57.1815164666837	50.0354370862072	39.9595558112372	61.2160439669586	68.5187953688477	59.8492241164878	59.1491308325709	66.0788057628884	61.3759976076108	52.7545603174312	56.2783580363339	75.3082282388218	71.7290532988878	68.3561427241264	67.3707563526539	50.218671992012	58.8603233501193	81.6320661454121	80.9111982881598	59.8001342111468	61.505942410465	79.5400761395205	12.3842904646356	75.3977251947482	7.22597098985176
Bacteria|Firmicutes|Erysipelotrichia	0.673756282322092	1.49853611212168	0.801606737020137	0.663969822656903	1.64479409614648	0.563356310101268	0.803816833480268	1.66832278646514	0.607525368736447	0.727562665072009	0.145418364808756	0.12259835315645	0.135393160909564	0.104667028017121	0.119404081782611	2.31846408426896	0.892494929006085	2.02275600505689	3.63661917394283	2.42733831726915	2.53020469296056	2.02668080219101	0.810640783679339	0.987874465049929	3.80869470591436	0.213368429448831	0.125184346812086	0.240855576525568	0.221263211790952	0.208986415882968
