Class	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15	MD1	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	MD10	MD11	MD12	MD13	MD14	MD15
Bacteria|Actinobacteria|Actinobacteria	0.0609177073441671	0.0397240980824094	0.112582528718086	0.0335095688435475	0.0389670197314818	0.0145761970701844	0.00527361260041837	0.00354126458558351	0.0093179276928811	0.0129220431596242	0.0330044469149528	0.0272808761058498	0.00719515046858417	0.0115185256287195	0.0165868042757095	0.245547232255654	0.0194020636740453	0.0238186848421554	0.00702728342790886	0.0167788362944872	0.379430853719421	0.0353388108490149	0.0503280309157904	0.0374465049928673	0.35729183669768	0.0398819494296881	0.130328909009843	0.0772894760492496	0.0640017554767216	0.0035421426420842
Bacteria|Actinobacteria|Coriobacteriia	0.154085965635246	0.20403741287783	0.290043124833034	0.111698562811825	0.065535442275674	0.0218642956052766	0.028125933868898	0.0177063229279176	0.0093179276928811	0.0516881726384966	0.00347415230683713	0.0077945360302428	0.00179878761714604	0.00383950854290651	0.00368595650571323	0.0551591608690237	0.0282211835258841	0.0641272284211876	0.0667591925651341	0.0894871269039318	0.0259610584123814	0.0229702270518597	0.00539228902669183	0.00534950071326676	0.0290186263307761	0.0139586823003908	0.00514456219775697	0.00539228902669183	0.029257945360787	0.00885535660521049
Bacteria|Actinobacteria|Unassigned	0.00537509182448534	0.0126394857534939	0.124031599435179	0.00372328542706084	0.00708491267845124	0.00182202463377305	0	0.00177063229279176	0.00186358553857622	0.00923003082830297	0.00694830461367426	0.13835301453681	0.00359757523429209	0.0307160683432521	0.00737191301142646	0.0409245387092756	0.00352764794073551	0.00183220652631965	0	0.0242360968698149	0.131802296555167	0.144889124480961	0.0503280309157904	0.00356633380884451	0.0489689319331846	0.00398819494296881	0.00685941626367596	0.00359485935112789	0.00182862158504919	0
Bacteria|Bacteroidetes|Bacteroidia	10.2395499256446	15.0518218915893	30.9449299698508	28.8200908481644	17.3509511495271	33.0661030537133	15.9210364406631	6.82578748871222	14.291837495341	20.9743220542357	12.0396748193441	22.0663315016174	4.52035328188801	16.632751007871	8.08883155178769	18.4071457803242	16.4494223476497	18.3770314589861	20.3264173152264	21.639105874457	39.662506240639	31.4179697853167	9.01770468230431	10.5688302425107	29.8529118377859	26.3101220387653	10.7092636416641	53.4681405590006	11.9518706798815	52.2466039707419
Bacteria|Deferribacteres|Deferribacteres	20.647519395123	0.82517785562096	0.0896843872838988	0.169409486931268	8.42396117467852	1.81655855987173	1.02483871534797	0.683464065017618	3.85203130823705	0.286130955677392	0.229294052251251	0.830118087220858	2.84208443509075	1.89095795738146	1.80243273129377	0.0943043718083308	0.065261486903607	0.126422250316056	0.110679713989564	0.177109938664032	0.0559161258112831	0.130753600141355	2.25217938348162	0.511768901569187	0.0761738941182872	0.0937225811597671	0.0788832870322735	0.030556304484587	0.0603445123066233	0.0017710713210421
Bacteria|Firmicutes|Bacilli	0.560801247021303	0.303347658083854	0.129756134793726	0.4896120336585	0.193063870487796	0.522921069892865	0.776978923128307	0.0637427625405032	0.831159150204994	0.227058758376253	0.991870483602001	0.859347597334269	0.273415717806199	0.543290458821271	0.186140803538518	0.507108414441024	0.0687891348443425	0.203374924421481	0.137032026844223	0.268461380711795	0.615077383924114	1.83761816414878	0.248045295227824	0.0392296718972896	0.304695576473149	4.83169817340672	1.48163391295401	2.17488990743237	4.47280839703032	0.628730318969945
Bacteria|Firmicutes|Clostridia	55.2917779012058	69.4142501173666	40.6804564362859	58.2582470772209	58.4221899465089	54.4858246483492	74.213792254821	84.3777112806983	73.0711889675736	66.4285318712964	79.7178988326848	68.3580809852293	85.7068335941575	74.6918794394318	84.0047917434574	55.9207131545702	76.1442808007761	72.5993513988897	69.2538781820418	67.6746397210985	50.2466300549176	58.8479547663221	81.7686708007549	82.3430813124108	59.6659230643669	61.7831219590014	79.2502658023802	12.2063449267547	75.2459496031891	6.73361316260206
Bacteria|Firmicutes|Erysipelotrichia	4.6046619963091	5.31941786139901	9.32526809907263	3.1703775411423	4.62821920719827	5.3676845710954	2.64559565454322	1.23236007578306	1.1908311591502	6.11212641450222	0.604502501389661	0.691765072684049	0.15469573507456	0.479938567863314	0.394397346111316	2.31846408426896	0.892494929006085	2.02275600505689	3.63661917394283	2.42733831726915	2.53020469296056	2.02668080219101	0.810640783679339	0.987874465049929	3.80869470591436	0.213368429448831	0.125184346812086	0.240855576525568	0.221263211790952	0.208986415882968
Bacteria|Firmicutes|Negativicutes	0.250837618475982	0.420714311509155	0.200358737549136	0.0726040658276864	0.138155797229799	0.209532832883901	0.0808620598730817	0.154045009472883	0.0316809541557957	0.059072197301139	0.0295302946081156	0.0233836080907284	0.138506646520245	0.00767901708581302	0.023958717287136	0.323837654134268	0.135814445718317	0.115429011158138	0.108922893132587	0.0913514420477637	0.291562656015976	0.0282710486792119	0.00179742967556394	0.0124821683309558	0.0689192375355931	0.191433357262503	0.0154336865932709	0.00179742967556394	0.0219434590205903	0.0035421426420842
Bacteria|Proteobacteria|Betaproteobacteria	0.0358339454965689	0.0433353797262648	0.0515208182269206	0.0688807804006255	0.0318821070530306	0.0218642956052766	0.00527361260041837	0	0.0093179276928811	0.0166140554909453	0.00173707615341857	0.0175377060680463	0.00179878761714604	0.00575926281435976	0.00921489126428308	0.00711731107987402	0.0229297116147808	0.00183220652631965	0.0228386711407038	0.0335576725889744	0.0119820269595607	0.021203286509409	0	0.00178316690442225	0.0253912980394291	0.0139586823003908	0.260657818019687	0.711782151523322	0.0347438101159346	0.692488886527461
