Species	NC1	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	NC10	NC11	NC12	NC13	NC14	NC15	MD1	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	MD10	MD11	MD12	MD13	MD14	MD15
Bacteria|Acidobacteria|Acidobacteria_Gp15|Unassigned|Unassigned|Gp15|Unassigned	0.0637337023818195	0.00346482338062817	0.0123324113387713	0.0751019850820148	0.00174052285306506	0.0306356905795251	0.0276582136251275	0.33296724369367	0.0480060918075121	0.039866447401206	0.0363545912021889	0.0219579139981702	0.029508765839264	0.0728931087976375	0.0495986185866231	0	0	0	0	0.00186431514383191	0	0	0.00179742967556394	0.00178316690442225	0	0	0	0.00359485935112789	0.00182862158504919	0
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Unassigned	0.291354068031175	1.44656376141226	0.445728581244164	0.0682745318927407	1.01472482333693	0.0272317249595779	0.409687289322201	0.882101703188466	0.0546276217119966	0.0996661185030149	0.143504965271798	0.109789569990851	0.206561360874848	0.0149524325738744	0.159817771001341	0.245547232255654	0.0194020636740453	0.0238186848421554	0.00702728342790886	0.0167788362944872	0.379430853719421	0.0353388108490149	0.0503280309157904	0.0374465049928673	0.35729183669768	0.0398819494296881	0.130328909009843	0.0772894760492496	0.0640017554767216	0.0035421426420842
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella|Unassigned	0.34962488163741	1.2178854182908	0.401684255034266	0.0477921723249185	0.835450969471229	0.21615181686665	0.252381199329288	1.08780921499922	0.160572100183747	0.255809704157738	0.0344411916652316	0.0969807868252516	0.112827634091304	0.0261667570042801	0.110219152414718	0.0284692443194961	0.00352764794073551	0.00366441305263929	0.00527046257093164	0.00559294543149574	0.00998502246630055	0.00883470271225373	0.00898714837781972	0.00178316690442225	0.010881984874041	0.00398819494296881	0	0.00359485935112789	0.00548586475514757	0.00885535660521049
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Adlercreutzia|Unassigned	0.244009031976109	0.44522980441072	0.0704709219358362	0.134842200488163	0.466460124621436	0.302952940175304	0.0950751093363757	0.364346355664801	0.0943568011389031	0.0647829770269597	0.0133937967587012	0.0128087831655993	0.0104148585315049	0.0149524325738744	0.0275547881036795	0.0658351274888347	0.0352764794073551	0.0256508913684751	0.0825705802779291	0.0354219877328064	0.0159760359460809	0.0229702270518597	0.00718971870225577	0.00178316690442225	0.0308322904764496	0.0179468772433597	0.0102891243955139	0.00718971870225577	0.00731448634019676	0
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Enteroscipio|Unassigned	0.0837642945589628	0.294509987353395	0.0880886524197953	0.114359840920341	0.224527448045393	0.0578674155391031	0.0691455340628187	0.174328399839618	0.0695260639970865	0.0348831414760552	0.0248741939804451	0.0237877401646844	0.0329803853497657	0.00560716221520289	0.0330657457244154	0.00355865553993701	0.00529147191110327	0.00732882610527859	0.0140545668558177	0.0261004120136468	0	0.00176694054245075	0	0	0.0018136641456735	0.00398819494296881	0.0137188325273519	0.00179742967556394	0.00914310792524595	0.00708428528416839
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Unassigned|Unassigned	0.0710175540825989	0.294509987353395	0.0510914184034813	0.141669653677437	0.428168621854005	0.013615862479789	0.0155577451641342	0.0104597039903771	0.0165538247612111	0.013288815800402	0.00382679907391462	0	0.00173580975525082	0.00373810814346859	0.0055109576207359	0.00355865553993701	0.0176382397036776	0.0164898587368768	0.0193250294267494	0.00559294543149574	0.017973040439341	0.00353388108490149	0.00179742967556394	0.00356633380884451	0.00362732829134701	0.00797638988593762	0.00171485406591899	0.00179742967556394	0.0182862158504919	0
Bacteria|Actinobacteria|Unassigned|Unassigned|Unassigned|Unassigned|Unassigned	0.00728385170077937	0.0121268818321986	0.00880886524197953	0.0341372659463704	0.0104431371183904	0.0306356905795251	0.0155577451641342	0.0313791119711312	0.0480060918075121	0.0348831414760552	0.0631421847195913	0.0384263494967978	0.00520742926575247	0.0859764872997776	0.113893124161875	0.0409245387092756	0.00352764794073551	0.00183220652631965	0	0.0242360968698149	0.131802296555167	0.144889124480961	0.0503280309157904	0.00356633380884451	0.0489689319331846	0.00398819494296881	0.00685941626367596	0.00359485935112789	0.00182862158504919	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Unassigned	0.58270813606235	0.424440864126951	0.521484822325188	0.469387406762592	0.480384307445957	0.440813547783167	0.385486352400214	0.331223959695274	0.35921799731828	0.539858141891331	1.09255113560263	0.806953339432754	0.394028814441937	0.383156084705531	0.883590205191322	0.72596573014715	1.24702354705	1.29170560105535	0.878410428488607	1.54738156938049	5.31203195207189	4.71596430780104	1.24022647613912	0.763195435092725	2.35594972522988	4.19558108000319	2.43509277360497	41.9322369012312	0.985627034341513	36.4291660025149
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola|Unassigned	0.0127467404763639	0.0121268818321986	0.0105706382903754	0.0136549063785481	0.00522156855919518	0.00340396561994724	0.00691455340628187	0.00697313599358471	0.0115876773328478	0.00996661185030149	0.00191339953695731	0.0219579139981702	0.00347161951050165	0.0130833785021401	0.0404136892187299	0.224195299016032	0.104065614251698	0.0732882610527859	0.0878410428488607	0.065251030034117	0.283574638042936	0.341019524692994	0.030556304484587	0.0356633380884451	0.0507825960788581	0.207386137034378	0.106320952086977	0.0269614451334592	0.0219434590205903	0.00885535660521049
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Unassigned|Unassigned	0	0	0	0	0	0	0	0	0	0.00166110197505025	0	0	0	0	0	0.00355865553993701	0.00176382397036776	0.00366441305263929	0.00175682085697721	0	0.0299550673989016	0	0.00359485935112789	0	0	0.0239291696578129	0.00171485406591899	0.663251550283095	0.00182862158504919	0.308166409861325
