OTUID	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
ASV_1355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	12	4	0	7	10	3	0	0	1	1	3	5	2
ASV_1115	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	2	0	5	1	2	1	1	1	1	0	5	2	2	5	1	1	3	2	4	3	1	2	0	0	1
ASV_1137	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	3	0	0	0	1	0	0	1	13	4	1	5	8
ASV_1247	2	0	1	3	1	0	0	2	0	0	0	3	0	0	0	2	0	0	1	3	1	5	1	3	0	2	2	1	0	2	0	1	0	0	0	1	0	3	2	3	1	0	0	0	4
ASV_1256	2	1	2	0	0	0	0	2	0	1	1	2	0	2	0	2	2	0	0	0	1	3	0	1	1	1	0	1	1	1	2	0	2	1	0	1	2	1	5	2	1	2	0	1	3
ASV_1262	1	1	0	1	0	1	0	0	1	2	1	2	3	0	1	0	2	0	0	1	0	1	0	1	2	1	0	0	1	0	6	0	3	3	3	0	2	1	1	0	3	3	1	0	1
ASV_1281	1	4	1	0	0	1	2	1	0	1	2	0	1	1	0	1	2	0	0	1	0	4	0	1	2	0	1	3	0	0	1	0	1	2	2	2	2	1	0	0	3	1	3	1	1
ASV_1304	1	1	2	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	3	1	3	0	2	0	0	2	0	2	0	1	2	2	1	1	3	0	3	2	4	2	2	3
ASV_1408	1	1	1	4	0	2	1	1	1	0	1	0	0	0	0	4	0	0	2	1	0	0	0	2	2	1	0	1	0	0	3	1	2	1	0	1	2	3	0	5	1	3	0	1	1
ASV_1639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	43	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ASV_1129	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	16	0	22	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0
ASV_1149	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	23	1	1	14
ASV_1172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	10	0	23	0	0	0	0	0	0	0	0
ASV_1183	0	0	0	0	0	0	0	4	2	5	1	0	0	1	2	1	2	1	0	1	0	1	2	1	3	0	1	2	1	1	2	1	0	0	10	1	0	0	1	0	0	0	1	0	1
ASV_1222	1	2	0	0	0	1	2	3	0	6	1	1	2	0	2	0	0	0	2	0	1	1	2	1	2	1	0	0	0	0	3	1	2	3	1	1	0	1	0	2	0	2	1	0	1
ASV_1156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	2	1	1	3	0	0	2	7	13	1	1	0	5
ASV_1237	0	2	1	0	0	0	1	1	0	0	0	5	2	1	0	1	0	0	0	0	0	1	1	0	0	2	0	0	0	0	1	1	2	2	0	1	3	0	1	3	5	3	3	3	2
ASV_1416	0	1	0	1	1	0	0	3	1	1	1	2	4	2	0	1	3	0	1	0	0	1	0	2	2	1	0	2	0	0	0	1	2	3	3	0	2	0	1	0	1	0	2	0	3
ASV_1218	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	8	2	2	0	1	1	0	2	2	0	3	11	4	1
ASV_1301	2	1	0	0	0	0	0	3	1	0	1	0	2	4	2	2	1	3	0	0	0	5	0	0	1	2	1	1	0	0	2	1	2	2	0	4	0	0	4	0	0	0	0	0	0
ASV_1037	1	1	1	0	0	1	1	0	5	2	1	1	0	0	0	5	3	2	1	0	1	1	0	2	0	1	5	5	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2
ASV_1162	1	1	0	0	0	1	1	0	1	2	4	1	2	0	1	1	0	0	1	0	2	2	2	1	0	3	1	2	0	0	0	1	0	0	2	2	1	0	0	0	2	1	3	3	1
ASV_1178	0	3	0	0	1	1	2	1	1	3	0	0	1	0	0	0	1	2	5	0	2	0	1	3	1	2	2	0	1	1	1	0	2	2	0	0	3	0	1	1	1	0	0	0	1
ASV_1285	0	0	3	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	8	3	8	0	0	0	0	0	0	0	0
ASV_1315	0	0	0	0	0	0	0	0	1	1	2	2	0	4	1	1	0	1	1	0	3	3	1	1	2	1	2	0	0	2	1	1	2	0	0	0	0	1	2	1	3	1	1	2	2
ASV_1375	2	0	0	2	0	1	0	1	1	2	0	1	0	1	2	3	1	1	0	3	2	2	2	1	0	1	0	1	0	0	1	0	2	1	1	1	2	0	0	2	1	0	1	1	3
ASV_1441	0	3	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	7	1	2	1	0	3	0	0	0	1	6	0	2	1	0	1	4	2	5	1	0	0	0	1	0
ASV_1608	1	2	4	2	0	0	0	1	0	0	1	0	0	0	0	1	0	2	0	0	1	2	1	0	1	0	0	0	1	1	0	2	1	0	0	0	2	1	3	0	10	1	3	2	0
ASV_1119	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	2	0	3	5	2	4	5	4	2	7	4
ASV_1122	2	1	2	2	0	1	4	3	1	0	4	1	1	1	0	2	0	1	0	0	0	0	0	2	2	3	1	1	3	2	0	0	0	0	1	1	0	0	0	0	2	0	1	0	0
ASV_1125	0	1	0	1	0	0	0	0	0	2	2	1	0	0	1	0	2	0	1	1	0	0	3	1	2	3	2	0	0	0	2	1	0	4	3	0	0	2	1	2	1	2	2	2	0
ASV_1157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	15	4	0	3	2	3	10	2
