OTUID	All	HMAT	LMAT	MD	NC
ASV_210	0.079784	0.19419533	0.06006218	0.03665564	0.02822148
ASV_211	0.077728	0.10094339	0.04091198	0.15884801	0.01020718
ASV_229	0.079126	0.12716291	0.11786226	0.05383094	0.01764705
ASV_204	0.07754	0.101872210	0.073205263	0.132144554	0.002938648
ASV_40	0.073781	0.012871954	0.048772552	0.225711766	0.007769192
ASV_250	0.076825	0.1954745318	0.1076137825	0.0037522821	0.0004595546
ASV_158	0.072738	0.099816490	0.131045941	0.052419244	0.007671166
ASV_215	0.080116	0.12339894	0.07510939	0.03392955	0.08802762
ASV_583	0.074527	0.10052998	0.06762054	0.10966366	0.02029201
ASV_163	0.069064	0.0008833298	0.0025059039	0.0024260037	0.2704408937
ASV_238	0.07471	0.08042122	0.14674805	0.06090881	0.01076322
ASV_274	0.07491	0.03835030	0.05507878	0.10150791	0.10470240
ASV_247	0.084134	0.0579729818	0.0767739003	0.0003860437	0.2014014525
ASV_251	0.076525	0.095335909	0.140617707	0.005692675	0.064452885
ASV_197	0.067906	0.082638221	0.015845946	0.171443523	0.001697523
ASV_290	0.075941	0.02805902	0.11904197	0.03518498	0.12147779
ASV_212	0.069951	0.101666445	0.022303528	0.147265691	0.008568316
ASV_1467	0.070632	0.06182378	0.03746657	0.15980963	0.02342975
ASV_357	0.082069	0.0009046065	0.0012457726	0.0024734581	0.3236513827
ASV_154	0.079573	0.002971932	0.003884010	0.004796220	0.306638900
ASV_263	0.069326	0.05874312	0.04324269	0.10480864	0.07050984
ASV_205	0.073055	0.0624441563	0.2094038109	0.0007791533	0.0195935056
ASV_233	0.06642	0.039790016	0.032187789	0.186101704	0.007600533
ASV_234	0.067656	0.08791926	0.11005865	0.06253778	0.01010946
ASV_293	0.074244	0.10428766	0.06267387	0.01378203	0.11623095
ASV_209	0.067016	0.03057623	0.05028129	0.10561204	0.08159536
ASV_198	0.068355	0.05326919	0.05937116	0.11486896	0.04591140
ASV_223	0.06727	0.10195444	0.05547767	0.10070587	0.01094211
ASV_276	0.068746	0.06731089	0.05242415	0.06019720	0.09505334
ASV_243	0.06578	0.10807579	0.07352206	0.06674520	0.01477779
ASV_317	0.066221	0.08174544	0.10007894	0.07221035	0.01084993
ASV_1356	0.064529	0.10879627	0.08836956	0.04585777	0.01509241
ASV_282	0.060496	0.0004224115	0.2366342351	0.0008072708	0.0041207102
ASV_979	0.063007	0.12041113	0.06305032	0.02898209	0.03958346
ASV_428	0.065956	0.0004153686	0.0004589725	0.0036362500	0.2593133489
ASV_239	0.066705	0.04835856	0.09916284	0.04128246	0.07801703
ASV_280	0.067606	0.01864556	0.21990596	0.02829457	0.00357831
ASV_260	0.063647	0.109387545	0.130579504	0.012465450	0.002153919
ASV_883	0.060963	0.01583601	0.08945676	0.11799576	0.02056330
ASV_199	0.061935	0.053860817	0.126717865	0.061872251	0.005289437
