OTUID	ANC	BMD	CLMAT	DHMAT
ASV_222	0.01484024	0.15550281	0.08169547	0.09223810
ASV_187	0.02595949	0.08651373	0.09210320	0.14226467
ASV_213	0.002178065	0.001802754	0.162592918	0.186915791
ASV_216	0.317706014	0.006827620	0.002294552	0.003094456
ASV_883	0.02728289	0.13875441	0.07414446	0.09266427
ASV_163	0.288964201	0.018211042	0.001785101	0.011131912
ASV_205	0.02023028	0.05261256	0.18017292	0.09884589
ASV_225	0.04281856	0.13756731	0.05854854	0.08579775
ASV_172	0.02643946	0.05552896	0.16953901	0.08412707
ASV_206	0.03032323	0.13852236	0.05756796	0.09668128
ASV_237	0.04405098	0.12028553	0.08227397	0.07624234
ASV_183	0.007495445	0.094738175	0.129279877	0.102456698
ASV_604	0.06083882	0.05146028	0.15504362	0.06679855
ASV_188	0.11638642	0.04752349	0.05697713	0.10292854
ASV_177	0.01950433	0.09547947	0.11617497	0.09597938
ASV_306	0.02426873	0.06854324	0.14067070	0.09202776
ASV_189	0.02613779	0.13677306	0.05052637	0.09387928
ASV_373	0.02195320	0.04718155	0.16796369	0.08730095
ASV_204	0.003177846	0.099160351	0.111333086	0.099251087
ASV_199	0.007101556	0.064065043	0.173021957	0.066593125
ASV_583	0.02177208	0.08369016	0.09542866	0.10636652
ASV_274	0.08563242	0.13221773	0.04167715	0.04492648
ASV_1309	0.03949524	0.18055513	0.02235430	0.05792117
ASV_1211	0.01913627	0.04929477	0.04042660	0.19108728
ASV_211	0.01246405	0.11703003	0.05481206	0.11550276
ASV_210	0.02662638	0.02572260	0.06547873	0.18607926
ASV_251	0.064841338	0.006336107	0.138199957	0.100918532
ASV_200	0.05955599	0.08538153	0.09111320	0.05894048
ASV_426	0.002440637	0.017526459	0.178664999	0.106324327
ASV_198	0.05506736	0.10671821	0.06661591	0.06687564
ASV_214	0.007405905	0.163863622	0.034184262	0.083098610
ASV_293	0.11757556	0.02312065	0.06275019	0.10018118
ASV_263	0.06151654	0.08343565	0.06548961	0.08121407
ASV_1356	0.01855280	0.04160728	0.12990561	0.10179302
ASV_262	0.255888744	0.010887611	0.010483737	0.008319424
ASV_238	0.01464537	0.08144311	0.11401049	0.07582170
ASV_244	0.05850979	0.05463430	0.11703330	0.05398971
ASV_215	0.08008457	0.05796719	0.05644975	0.09137088
ASV_217	0.001156512	0.002425877	0.136079529	0.143818316
ASV_297	0.005877646	0.064593486	0.042959028	0.155237833
ASV_234	0.01616684	0.07971054	0.10379046	0.07499043
ASV_236	0.03804702	0.08669672	0.10649304	0.03852476
ASV_256	0.14475903	0.03248302	0.04540768	0.04986544
ASV_247	0.187571828	0.009804407	0.059645536	0.029802721
ASV_223	0.01579555	0.07758105	0.06104623	0.11619198
ASV_230	0.01741667	0.08733867	0.07366371	0.09060496
ASV_229	0.02542752	0.03997699	0.12358397	0.08326238
ASV_240	0.164883335	0.004825631	0.086852423	0.008353740
ASV_212	0.01602270	0.09073486	0.03596364	0.10852101
ASV_227	0.218808058	0.010912659	0.005867463	0.001428785
ASV_291	0.01402995	0.06510161	0.09388386	0.08015784
ASV_428	0.2459071600	0.0022499935	0.0002503486	0.0006099208
ASV_226	0.02370348	0.08270668	0.05261969	0.08982202
ASV_255	0.002367185	0.049987232	0.116025967	0.086258967
ASV_328	0.008456539	0.107453636	0.060298027	0.072627700
ASV_273	0.003543225	0.134847236	0.005042371	0.103903128
ASV_276	0.06688864	0.05576173	0.04394254	0.07875315
ASV_207	0.002660132	0.030492915	0.202628811	0.024221857
ASV_309	0.16550197	0.02406172	0.01986872	0.01629575
ASV_1467	0.02393054	0.14093849	0.02519720	0.04605172
ASV_239	0.06879753	0.05571052	0.07709265	0.04380492
ASV_284	0.10727395	0.09147820	0.01562393	0.02045987
ASV_241	0.004855125	0.178303718	0.009304918	0.036703213
ASV_232	0.04616727	0.06280296	0.09179840	0.04390249
ASV_224	0.3002597991	0.0004027274	0.0002285124	0.0006988590
ASV_472	0.02074139	0.04813449	0.05214144	0.11996975
ASV_233	0.02123556	0.09850186	0.02407497	0.08275615
ASV_338	0.131597919	0.069028710	0.007541772	0.028050506
ASV_383	0.06440751	0.04680011	0.06901379	0.05605938
ASV_257	0.07619003	0.01318460	0.05981430	0.08442401
ASV_221	0.205303110	0.001379220	0.002034428	0.001704440
ASV_228	0.01141470	0.06676987	0.06397270	0.08706167
ASV_315	0.117064395	0.004312251	0.107806108	0.011537208
ASV_289	0.05016084	0.05226043	0.02285192	0.09479288
ASV_323	0.02683370	0.14022414	0.03369424	0.02144790
ASV_278	0.03582513	0.06535277	0.07635090	0.04913034
ASV_261	0.001234235	0.088453125	0.051881297	0.082177858
ASV_292	0.0008574326	0.0012294213	0.0039328826	0.2114516307
ASV_277	0.10859983	0.04860476	0.04673362	0.02331217
ASV_471	0.00157915	0.06733568	0.05657646	0.09493053
ASV_250	0.001210384	0.002476151	0.120803362	0.101787546
ASV_994	0.005398294	0.043645782	0.039895487	0.126729533
ASV_243	0.009404367	0.087179240	0.044668965	0.076488252
ASV_272	0.01175427	0.05541579	0.09730967	0.05562403
ASV_301	0.004342137	0.065078679	0.068525618	0.077714752
ASV_290	0.08754087	0.03254797	0.07991420	0.02444045
ASV_259	0.01350850	0.04255459	0.06387158	0.09055914
ASV_254	0.02056503	0.06968052	0.07363080	0.04472494
ASV_310	0.10265594	0.04067386	0.03044379	0.02940666
ASV_313	0.002459239	0.038472835	0.001372311	0.157532300
ASV_265	0.116856728	0.067969000	0.004929355	0.017129977
ASV_326	0.02193717	0.04517605	0.03015522	0.10515953
ASV_307	0.03464362	0.11555570	0.03156798	0.01803808
ASV_283	0.02650407	0.07131979	0.06206391	0.03907559
ASV_287	0.02652166	0.06170495	0.05936887	0.05470465
ASV_269	0.02737036	0.04969002	0.07313818	0.04868430
ASV_335	0.1844378207	0.0006125407	0.0009293167	0.0006005883
ASV_295	0.01534948	0.05811664	0.07754412	0.05156120
ASV_260	0.001910436	0.019045946	0.086463857	0.096592867
ASV_354	0.11932258	0.01698902	0.03433366	0.02050018
ASV_248	0.01068368	0.07179578	0.06509046	0.04807593
ASV_318	0.03577656	0.06798342	0.06175196	0.03237002
ASV_271	0.002434782	0.053521490	0.068470518	0.075680176
ASV_339	0.172775037	0.001199471	0.002652520	0.001062518
ASV_253	0.05986404	0.04506600	0.04424155	0.04704122
ASV_242	0.1817564191	0.0016632701	0.0004899993	0.0004087783
ASV_288	0.09508318	0.02457599	0.04167364	0.04133851
ASV_300	0.02593109	0.12091284	0.01781409	0.02017022
ASV_336	0.016106237	0.034393770	0.006964483	0.133257990
ASV_351	0.006623678	0.086675050	0.042111438	0.055735816
ASV_258	0.003659975	0.033136583	0.079949774	0.077299879
ASV_249	0.07438478	0.02584072	0.05105036	0.04279231
ASV_366	0.05664059	0.03751856	0.04897320	0.04717228
ASV_317	0.01503928	0.05284823	0.06417055	0.06159205
ASV_435	0.04615354	0.04536646	0.05006648	0.04936999
ASV_402	0.107609686	0.044649216	0.009064665	0.026061810
ASV_1454	0.003554737	0.025575974	0.129934644	0.032399822
ASV_302	0.06483706	0.04088897	0.06568128	0.01695313
ASV_305	0.01312728	0.03747152	0.05942105	0.07730909
ASV_270	0.005097179	0.046084526	0.031813471	0.099850960
ASV_314	0.08585479	0.04444569	0.01256247	0.03735427
ASV_341	0.13809739	0.01033870	0.01099896	0.02501127
ASV_1128	0.01360203	0.12380963	0.01964669	0.02122270
ASV_252	0.03270971	0.03913992	0.07149159	0.04505133
ASV_332	0.136167715	0.013895440	0.004682137	0.022861509
ASV_874	0.07297907	0.03762987	0.02552600	0.03749987
ASV_267	0.030364861	0.001414377	0.114530850	0.041015499
ASV_281	0.01095679	0.04347472	0.04072774	0.08242105
ASV_465	0.05611857	0.04110909	0.04007291	0.04071580
ASV_407	0.165761971	0.013007052	0.004472473	0.008437755
ASV_280	0.006301305	0.024697234	0.134404650	0.024002876
ASV_299	0.01627020	0.03606133	0.06859617	0.05100410
ASV_330	0.02413975	0.04053685	0.05387788	0.05109726
ASV_282	0.003033282	0.001432580	0.153174375	0.014887416
ASV_303	0.002612494	0.040217251	0.048523403	0.079793888
ASV_294	0.05665769	0.03161643	0.00588724	0.07281345
ASV_246	0.136750288	0.028911220	0.001331995	0.009319185
ASV_286	0.02399317	0.02315550	0.04462957	0.08166554
ASV_322	0.01052513	0.02219141	0.07243788	0.07185232
ASV_365	0.02230723	0.05613961	0.02348913	0.06169514
ASV_325	0.089311734	0.014996950	0.008044553	0.044611213
ASV_1400	0.01550344	0.05138321	0.03460435	0.06287418
ASV_396	0.06528608	0.01964282	0.00106734	0.07021658
ASV_337	0.1275027149	0.0484668852	0.0022468431	0.0006708089
ASV_316	0.016992456	0.099976109	0.009234977	0.029688963
ASV_378	0.069624561	0.008437724	0.031600101	0.045879105
ASV_331	0.006015019	0.061104596	0.026253581	0.060700640
ASV_296	0.04930773	0.00410995	0.07115163	0.04436411
ASV_350	0.1741836009	0.0022320118	0.0008814426	0.0006079597
ASV_387	0.003167499	0.075957380	0.007082009	0.063372727
ASV_312	0.006103872	0.036798992	0.050977544	0.057308318
ASV_380	0.135539386	0.002803639	0.003581519	0.002487948
ASV_420	0.03657210	0.03793745	0.03873432	0.03750943
ASV_311	0.020910589	0.001227842	0.100793096	0.030154412
ASV_327	0.008487446	0.065920843	0.044764839	0.034442852
ASV_308	0.137678145	0.003844910	0.002006439	0.002054266
ASV_544	0.05113526	0.02777077	0.03809105	0.03346584
ASV_1477	0.02269533	0.07109693	0.01953929	0.03107372
ASV_321	0.1503469324	0.0006069479	0.0002535889	0.0001882644
ASV_340	0.006246669	0.046860540	0.040002354	0.051101434
ASV_357	0.163512512	0.002049985	0.001325845	0.001675136
ASV_367	0.02809905	0.03651239	0.05296961	0.03071330
ASV_370	0.04245208	0.01373259	0.04959554	0.03618926
ASV_421	0.04596386	0.04921683	0.02562756	0.01947667
ASV_530	0.008398417	0.047238902	0.041021329	0.045527142
ASV_329	0.001591005	0.042807351	0.028893772	0.069562334
ASV_431	0.10729753	0.01125867	0.02933114	0.01423807
ASV_510	0.04109563	0.03386006	0.02989967	0.03770221
ASV_324	0.05247587	0.03071696	0.02753717	0.02920328
ASV_375	0.02013438	0.02425884	0.05699545	0.04202707
ASV_334	0.006193037	0.040600214	0.037287150	0.051683107
ASV_345	0.01359197	0.05674343	0.02460124	0.04162529
ASV_360	0.01027252	0.03704435	0.09234162	0.00354997
ASV_1399	0.0005791547	0.0339384928	0.0461799496	0.0613389243
ASV_319	0.05335841	0.02049733	0.03370510	0.03089598
ASV_363	0.05676775	0.02361961	0.04129677	0.01879291
ASV_333	0.003391222	0.026306341	0.038531124	0.068698164
ASV_359	0.1502912949	0.0008037122	0.0008940985	0.0008711933
ASV_410	0.01848801	0.01278812	0.09029870	0.01664525
ASV_348	0.002957644	0.022148363	0.003881208	0.100986292
ASV_347	0.007050258	0.052754638	0.033134971	0.037822190
ASV_352	0.003525724	0.066498224	0.022622325	0.040204388
ASV_404	0.01120770	0.05093876	0.03460790	0.03437568
ASV_1215	0.01335845	0.01748839	0.06927306	0.03408293
ASV_349	0.006089566	0.038993274	0.042739537	0.043892194
ASV_379	0.03078618	0.02627580	0.02964882	0.04769102
ASV_466	0.107640243	0.008677155	0.006465851	0.004788909
ASV_482	0.03566251	0.02510234	0.03684032	0.03369953
ASV_393	0.1274060608	0.0008106926	0.0020668828	0.0014541618
ASV_320	0.027779094	0.004504217	0.068105821	0.033880795
ASV_343	0.00983130	0.05577342	0.02237223	0.03982352
ASV_344	0.00703586	0.04096292	0.03499117	0.04374716
ASV_518	0.04543598	0.04334086	0.02174138	0.01558642
ASV_355	0.001212927	0.005502354	0.001849991	0.119028909
ASV_400	0.0009890087	0.0351304213	0.0868969373	0.0113043052
ASV_361	0.02480668	0.03387705	0.04578054	0.02468100
ASV_372	0.02498383	0.03026898	0.03193232	0.03807070
ASV_384	0.03790479	0.02848157	0.03088075	0.02804237
ASV_356	0.01508988	0.02370910	0.06378833	0.02466493
ASV_342	0.07364732	0.01214696	0.02179585	0.01516466
ASV_369	0.01651596	0.02570406	0.03991964	0.04084078
ASV_423	0.1299898466	0.0016395686	0.0009971771	0.0004063980
ASV_406	0.03452717	0.03000356	0.02852644	0.03174469
ASV_358	0.02048087	0.02952598	0.04874524	0.02842689
ASV_445	0.1103151841	0.0004000064	0.0004628226	0.0006252200
ASV_362	0.01145267	0.03855051	0.03104068	0.03913804
ASV_392	0.05888029	0.02069205	0.01390668	0.02424980
ASV_381	0.005923152	0.036717241	0.038142201	0.039486929
ASV_409	0.1343995277	0.0004171739	0.0006795123	0.0006405676
ASV_1254	0.01871315	0.03880285	0.02281095	0.03643776
ASV_390	0.002476874	0.100169415	0.003426954	0.013792524
ASV_405	0.03199323	0.02026906	0.02785957	0.04083893
ASV_432	0.04173814	0.02338378	0.02678490	0.03020060
ASV_371	0.0009578325	0.0411180754	0.0373657012	0.0411381405
ASV_412	0.075444057	0.018649854	0.016792668	0.006843454
ASV_429	0.005420338	0.063526406	0.022928812	0.023337571
ASV_346	0.01478708	0.04001381	0.02058936	0.04004716
ASV_507	0.04464113	0.01629653	0.03043436	0.02475066
ASV_561	0.03290528	0.02706944	0.02507401	0.03309560
ASV_1468	0.02012446	0.01622350	0.06413896	0.01568925
ASV_488	0.03851801	0.03113254	0.02104253	0.03046698
ASV_442	0.002454732	0.008563192	0.109212735	0.001026539
ASV_382	0.03126377	0.02845658	0.02897522	0.02561294
ASV_353	0.0021313658	0.0005877064	0.0983821506	0.0100624219
ASV_457	0.02718306	0.03740080	0.01989142	0.02470275
ASV_388	0.01000883	0.03128919	0.01961079	0.04807700
ASV_464	0.04535888	0.01546775	0.02600101	0.02671858
ASV_1280	0.036197474	0.002635417	0.011694835	0.055995238
ASV_437	0.03512408	0.02726486	0.01896615	0.03695479
ASV_376	0.01128821	0.03383271	0.02666767	0.03717884
ASV_389	0.001995980	0.062755937	0.035035270	0.007147936
ASV_425	0.005937039	0.033985508	0.033365831	0.036130330
ASV_468	0.008143349	0.053902787	0.018228815	0.026315638
ASV_403	0.092436323	0.003608100	0.003984969	0.004302796
ASV_401	0.075755883	0.009315834	0.007868831	0.009607822
ASV_385	0.006203986	0.041027311	0.017200868	0.040598011
ASV_391	0.006050354	0.020431222	0.027617557	0.051526898
ASV_477	0.02645956	0.03384022	0.01492026	0.02836286
ASV_415	0.1235662617	0.0000000000	0.0002238203	0.0000000000
ASV_399	0.03653731	0.03037636	0.02038042	0.01512284
ASV_424	0.1006794301	0.0020409073	0.0044929927	0.0008335165
ASV_742	0.0002297773	0.0004103931	0.0508281063	0.0544080811
ASV_395	0.0915886966	0.0169880350	0.0009135429	0.0008462038
ASV_612	0.02499161	0.03165242	0.02165095	0.02771551
ASV_419	0.0972119406	0.0008154643	0.0004215781	0.0002011182
ASV_416	0.0983260587	0.0006052968	0.0009133257	0.0002208325
ASV_513	0.003845734	0.034696770	0.016527046	0.045442744
ASV_411	0.03518470	0.02108393	0.01913016	0.02666532
ASV_467	0.02450341	0.02198705	0.03204558	0.02268815
ASV_418	0.02145515	0.02624882	0.01861327	0.03447530
