OTUID	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
ASV_1	 0.12510327	 5.20890806	24.46907191	 0.13554987	 0.16697819	 0.07949968	 0.10860384	 0.13272201	 0.64122060	 0.14041138	 0.73470119	11.99846376	 6.45594981	 0.43586408	 7.46150992	 0.46617316	17.45469170	 0.19805294	 0.15179626	 0.28364498	14.22422770	 0.26589852	 0.31422610	 8.93647185	10.03173280	11.89054481	27.20840377	39.18359884	 0.60480968	 0.16510602	 0.19406171	 0.14748906	 5.22836117	 0.17672751	10.32338308	18.52406516	19.51709786	 8.94562011	 2.38233104	 0.42121323	 0.08695652	 1.03632748	 7.90907612	 4.52402448	 0.35310273	 0.78380881	11.96180599
ASV_2	 2.30378850	 4.89542057	12.77644876	 1.50383632	14.55451713	 0.16959932	 4.66272475	 5.58638996	 0.24330900	 5.33316911	 3.96917839	 7.29034882	 8.17736068	 6.90764702	13.34631794	 5.04122939	 7.71183671	 2.62210940	 5.02132376	 0.28089114	18.25754946	 4.00817392	 4.14876642	11.90877759	 9.56384778	 6.72127912	 9.77300169	 3.64317875	 2.46483944	 5.03573366	 3.75024258	 0.50049566	 9.01530195	 6.87217552	 8.35406302	 0.20044697	 0.32634915	 0.17189714	 0.11856509	 0.13266558	 0.19175028	 0.88788057	 0.15452180	 0.04764771	 0.37053990	 0.50145694	 0.12465408
ASV_3	 0.56886581	12.60721272	 5.25557780	 0.20971867	 8.26417445	 2.54663981	 0.51164474	 2.71476834	 9.59803325	 2.83778790	 9.88860019	 4.92499548	 5.72573417	 3.95016088	 4.40549063	 6.46083208	 0.26393183	16.28497308	 2.76847457	 3.83333792	 2.45979405	 8.84851171	 6.38517246	 5.76617536	 2.15412411	 0.79451244	 2.48490703	 6.29442553	10.37536601	 0.96940821	 1.25169804	 1.07836263	 0.36677958	 2.78472064	 5.41303897	 0.07603161	 0.09695880	 0.61790053	 2.43472027	 0.09286591	 0.04236343	 0.48735400	 0.81733897	 0.04263216	 0.03923364	 0.04065867	 0.03241006
ASV_11	 3.165348755	 4.627075287	 0.104965093	 1.828644501	 0.059813084	 0.352448590	 3.357065283	 0.395752896	 4.290855637	 7.271831506	 2.592360302	 1.086661847	 0.123899404	 0.107254513	 0.041736227	 0.110101199	 0.070381821	 0.384947976	 0.192757150	 0.388290695	 0.004628023	 0.160031514	 0.778200565	 0.569528978	 5.572927524	 0.172720095	 0.429847863	 0.114277878	 0.218403494	 5.212632969	 2.464583738	 5.756909016	10.830510454	 3.648160772	15.295916252	 0.271870608	 0.212836400	 0.281075054	 0.096506466	 0.892176047	 0.742474916	 0.162451335	 0.077260898	 0.027585515	 0.366180606	 0.097129046	 0.186981127
ASV_8	0.01652307	0.01253950	0.06102622	0.05882353	0.01495327	1.57939368	0.11343067	3.51592664	0.06082725	0.01478015	0.11050384	0.07229351	0.04217852	0.08671641	0.10665925	0.07964768	0.10808637	0.62763257	7.47897742	1.84506926	0.06247831	4.34547111	1.73560820	0.04155362	0.02084636	0.01480458	0.05312726	0.07999451	1.23361974	0.22407246	0.08975354	0.06769990	0.06541292	0.07826504	0.11401327	5.71389074	5.28307241	5.73300193	5.74351339	2.07289974	4.39910814	0.84586729	3.76138582	6.86377771	0.50567798	8.38472138	6.46206776
ASV_10	4.54384516	0.11536339	0.07079041	3.17391304	0.07725857	3.73118508	2.14552914	1.07625483	3.55585969	0.04926715	0.43305558	0.04518344	0.06590394	0.08443440	0.08347245	2.67991004	0.07289546	4.11726966	1.55892345	1.55040894	0.04859424	0.91833469	0.83220817	2.99186038	0.12276191	0.80931702	2.40038638	2.34041094	3.29045265	8.31898483	9.71278867	9.76571000	2.42728653	3.94859754	0.19693201	0.21887888	0.20574185	0.21370996	0.05790388	0.10281583	0.06243032	0.04761505	0.10979180	0.04012439	0.02397611	0.07454090	0.06232704
ASV_1385	12.578779653	 7.345638762	 0.168432359	10.363171355	 0.099688474	 0.166949332	 0.091709907	 0.082046332	11.245437956	12.678901343	 0.164262462	 0.137809507	 0.094901671	 0.100408480	 0.083472454	 0.058564468	 0.135736370	 0.175737120	11.669035973	 4.901825792	 0.062478306	 3.801363961	 1.735608199	 0.009777322	 0.057906562	 0.056750888	 0.041052886	 0.077708957	 0.009600154	 0.018869260	 0.004851543	 0.000000000	 0.060740568	 0.078265041	 0.023320896	 0.071423634	 0.004729698	 0.006968803	 0.008271983	 0.003316640	 0.069119287	 0.064420357	 0.036597267	 0.032601063	 0.004359293	 0.009035260	 0.014958490
ASV_6	 0.000000000	 0.000000000	 0.002441049	 0.030690537	 0.039875389	 0.015899936	 0.028961023	 0.000000000	 0.002534469	 0.004926715	 0.002986590	 0.042924273	 0.050086993	 0.006846033	 0.041736227	 0.000000000	 0.005027273	 0.002789478	 0.004818929	 0.101891884	 0.053222261	 0.009848093	 0.044188045	 0.000000000	 0.000000000	 0.000000000	 0.004829751	 0.054853381	 0.038400614	 0.011793287	 0.109159713	 0.045939215	 0.065412919	 0.055542932	 0.093283582	18.113955257	20.564725914	 2.439081047	11.583533240	 0.397996750	 0.127090301	 0.081225667	 2.325959662	 2.708396028	 0.098084091	 1.827381356	 7.913041310
ASV_4	 0.351705417	 0.007523700	 1.010594151	 0.879795396	 0.029906542	 0.021199915	 0.229274768	 0.685328185	 0.045620438	 0.027096933	 1.317086283	 1.450388578	 2.520166605	 4.269642409	 6.137544055	11.712893553	10.318477742	 1.325002092	 1.638435776	 6.868063779	 1.145435613	 1.297486274	 9.220571990	 0.087995894	 0.122761911	 0.051816028	 0.123158657	 2.742669074	 0.057600922	 0.247659032	 0.584610906	 0.401363669	 0.506950123	 0.345880987	 0.536380597	 0.034559823	 0.021283640	 0.048781621	 0.041359914	 0.046432954	 0.026755853	 0.005601770	 0.028464541	 0.020062193	 0.006538939	 0.006776445	 0.044875471
ASV_7	4.41166057	0.62195917	0.08299565	7.85677749	0.04485981	2.00339199	1.72559430	1.72538610	0.73499594	2.68013302	0.35540423	2.41731430	0.28470501	0.04335821	0.41272491	6.06259370	0.04775909	0.89263299	1.48182059	1.86434610	0.02545412	1.26301795	1.40419786	2.07523649	0.04400899	0.04194631	1.10842792	0.57596051	0.30480488	3.00257094	5.04803027	1.98263981	1.39936923	2.67868414	0.05959784	0.54834919	0.12770184	0.11614672	0.28676207	0.08954927	0.36120401	0.39492480	0.08945999	0.68713010	0.55798949	0.51275101	0.51108175
