ID	group	Group
1	ASV_1357	HMATmodel_2	HMAT
2	ASV_20	HMATmodel_56	HMAT
3	ASV_28	HMATmodel_56	HMAT
4	ASV_218	HMATmodel_56	HMAT
5	ASV_570	HMATmodel_56	HMAT
6	ASV_1368	HMATmodel_1	HMAT
7	ASV_751	HMATmodel_1	HMAT
8	ASV_482	HMATmodel_51	HMAT
9	ASV_238	HMATmodel_2	HMAT
10	ASV_234	HMATmodel_2	HMAT
11	ASV_228	HMATmodel_59	HMAT
12	ASV_381	HMATmodel_59	HMAT
13	ASV_29	HMATmodel_56	HMAT
14	ASV_31	HMATmodel_1	HMAT
15	ASV_4	HMATmodel_51	HMAT
16	ASV_1277	HMATmodel_8	HMAT
17	ASV_1200	HMATmodel_8	HMAT
18	ASV_87	HMATmodel_5	HMAT
19	ASV_293	HMATmodel_1	HMAT
20	ASV_1454	HMATmodel_51	HMAT
21	ASV_569	HMATmodel_51	HMAT
22	ASV_295	HMATmodel_2	HMAT
23	ASV_251	HMATmodel_1	HMAT
24	ASV_348	HMATmodel_3	HMAT
25	ASV_340	HMATmodel_59	HMAT
26	ASV_7	HMATmodel_8	HMAT
27	ASV_111	HMATmodel_4	HMAT
28	ASV_210	HMATmodel_1	HMAT
29	ASV_223	HMATmodel_9	HMAT
30	ASV_230	HMATmodel_59	HMAT
31	ASV_965	HMATmodel_8	HMAT
32	ASV_22	HMATmodel_29	HMAT
33	ASV_69	HMATmodel_25	HMAT
34	ASV_55	HMATmodel_57	HMAT
35	ASV_64	HMATmodel_57	HMAT
36	ASV_8	HMATmodel_5	HMAT
37	ASV_49	HMATmodel_1	HMAT
38	ASV_453	HMATmodel_30	HMAT
39	ASV_85	HMATmodel_12	HMAT
40	ASV_617	HMATmodel_51	HMAT
41	ASV_457	HMATmodel_17	HMAT
42	ASV_145	HMATmodel_15	HMAT
43	ASV_301	HMATmodel_4	HMAT
44	ASV_265	HMATmodel_6	HMAT
45	ASV_109	HMATmodel_2	HMAT
46	ASV_639	HMATmodel_14	HMAT
47	ASV_217	HMATmodel_3	HMAT
48	ASV_273	HMATmodel_49	HMAT
49	ASV_514	HMATmodel_3	HMAT
50	ASV_994	HMATmodel_24	HMAT
51	ASV_226	HMATmodel_15	HMAT
52	ASV_742	HMATmodel_3	HMAT
53	ASV_244	HMATmodel_49	HMAT
54	ASV_252	HMATmodel_7	HMAT
55	ASV_1092	HMATmodel_3	HMAT
56	ASV_288	HMATmodel_11	HMAT
57	ASV_396	HMATmodel_59	HMAT
58	ASV_571	HMATmodel_7	HMAT
59	ASV_662	HMATmodel_23	HMAT
60	ASV_26	HMATmodel_57	HMAT
61	ASV_1214	HMATmodel_5	HMAT
62	ASV_80	HMATmodel_10	HMAT
63	ASV_181	HMATmodel_17	HMAT
64	ASV_43	HMATmodel_5	HMAT
65	ASV_98	HMATmodel_48	HMAT
66	ASV_108	HMATmodel_13	HMAT
67	ASV_73	HMATmodel_22	HMAT
68	ASV_1343	HMATmodel_6	HMAT
69	ASV_121	HMATmodel_35	HMAT
70	ASV_313	HMATmodel_3	HMAT
71	ASV_1309	HMATmodel_1	HMAT
72	ASV_239	HMATmodel_16	HMAT
73	ASV_57	HMATmodel_40	HMAT
74	ASV_17	HMATmodel_62	HMAT
75	ASV_132	HMATmodel_42	HMAT
76	ASV_804	HMATmodel_25	HMAT
77	ASV_1399	HMATmodel_18	HMAT
78	ASV_129	HMATmodel_46	HMAT
79	ASV_253	HMATmodel_34	HMAT
80	ASV_1467	HMATmodel_32	HMAT
81	ASV_79	HMATmodel_10	HMAT
82	ASV_1468	HMATmodel_10	HMAT
83	ASV_546	HMATmodel_31	HMAT
84	ASV_130	HMATmodel_55	HMAT
85	ASV_160	HMATmodel_17	HMAT
86	ASV_320	HMATmodel_39	HMAT
87	ASV_260	HMATmodel_5	HMAT
88	ASV_194	HMATmodel_48	HMAT
89	ASV_271	HMATmodel_48	HMAT
90	ASV_212	HMATmodel_4	HMAT
91	ASV_391	HMATmodel_4	HMAT
92	ASV_264	HMATmodel_61	HMAT
93	ASV_256	HMATmodel_13	HMAT
94	ASV_838	HMATmodel_13	HMAT
95	ASV_979	HMATmodel_22	HMAT
96	ASV_182	HMATmodel_22	HMAT
97	ASV_89	HMATmodel_6	HMAT
98	ASV_330	HMATmodel_58	HMAT
99	ASV_528	HMATmodel_60	HMAT
100	ASV_376	HMATmodel_30	HMAT
101	ASV_202	HMATmodel_35	HMAT
102	ASV_184	HMATmodel_35	HMAT
103	ASV_287	HMATmodel_47	HMAT
104	ASV_306	HMATmodel_45	HMAT
105	ASV_255	HMATmodel_24	HMAT
106	ASV_361	HMATmodel_50	HMAT
107	ASV_200	HMATmodel_9	HMAT
108	ASV_513	HMATmodel_9	HMAT
109	ASV_517	HMATmodel_9	HMAT
110	ASV_90	HMATmodel_8	HMAT
111	ASV_344	HMATmodel_54	HMAT
112	ASV_198	HMATmodel_1	HMAT
113	ASV_558	HMATmodel_41	HMAT
114	ASV_1254	HMATmodel_15	HMAT
115	ASV_229	HMATmodel_27	HMAT
116	ASV_199	HMATmodel_26	HMAT
117	ASV_392	HMATmodel_33	HMAT
118	ASV_385	HMATmodel_4	HMAT
119	ASV_272	HMATmodel_2	HMAT
120	ASV_1280	HMATmodel_2	HMAT
121	ASV_537	HMATmodel_36	HMAT
122	ASV_425	HMATmodel_53	HMAT
123	ASV_474	HMATmodel_2	HMAT
124	ASV_844	HMATmodel_1	HMAT
125	ASV_530	HMATmodel_21	HMAT
126	ASV_316	HMATmodel_16	HMAT
127	ASV_664	HMATmodel_16	HMAT
128	ASV_402	HMATmodel_20	HMAT
129	ASV_319	HMATmodel_19	HMAT
130	ASV_529	HMATmodel_28	HMAT
131	ASV_404	HMATmodel_44	HMAT
132	ASV_578	HMATmodel_38	HMAT
133	ASV_614	HMATmodel_43	HMAT
134	ASV_606	HMATmodel_12	HMAT
135	ASV_342	HMATmodel_37	HMAT
136	ASV_650	HMATmodel_17	HMAT
137	ASV_764	HMATmodel_52	HMAT
138	ASV_1385	HMATmodel_40	HMAT
139	ASV_11	HMATmodel_62	HMAT
140	ASV_10	HMATmodel_29	HMAT
141	ASV_19	HMATmodel_42	HMAT
142	ASV_13	HMATmodel_25	HMAT
143	ASV_27	HMATmodel_2	HMAT
144	ASV_38	HMATmodel_18	HMAT
145	ASV_24	HMATmodel_46	HMAT
146	ASV_42	HMATmodel_34	HMAT
147	ASV_119	HMATmodel_29	HMAT
148	ASV_112	HMATmodel_32	HMAT
149	ASV_44	HMATmodel_30	HMAT
150	ASV_59	HMATmodel_12	HMAT
151	ASV_68	HMATmodel_31	HMAT
152	ASV_51	HMATmodel_55	HMAT
153	ASV_133	HMATmodel_39	HMAT
154	ASV_135	HMATmodel_15	HMAT
155	ASV_71	HMATmodel_61	HMAT
156	ASV_137	HMATmodel_58	HMAT
157	ASV_1211	HMATmodel_60	HMAT
158	ASV_148	HMATmodel_14	HMAT
159	ASV_213	HMATmodel_3	HMAT
160	ASV_197	HMATmodel_49	HMAT
161	ASV_297	HMATmodel_24	HMAT
162	ASV_143	HMATmodel_47	HMAT
163	ASV_39	HMATmodel_49	HMAT
164	ASV_175	HMATmodel_45	HMAT
165	ASV_472	HMATmodel_50	HMAT
166	ASV_153	HMATmodel_7	HMAT
167	ASV_203	HMATmodel_54	HMAT
168	ASV_471	HMATmodel_41	HMAT
169	ASV_215	HMATmodel_11	HMAT
170	ASV_373	HMATmodel_27	HMAT
171	ASV_257	HMATmodel_26	HMAT
172	ASV_178	HMATmodel_33	HMAT
173	ASV_1427	HMATmodel_1	HMAT
174	ASV_294	HMATmodel_36	HMAT
175	ASV_317	HMATmodel_53	HMAT
176	ASV_334	HMATmodel_11	HMAT
177	ASV_269	HMATmodel_21	HMAT
178	ASV_296	HMATmodel_6	HMAT
179	ASV_190	HMATmodel_20	HMAT
180	ASV_249	HMATmodel_19	HMAT
181	ASV_405	HMATmodel_28	HMAT
182	ASV_347	HMATmodel_44	HMAT
183	ASV_510	HMATmodel_7	HMAT
184	ASV_377	HMATmodel_38	HMAT
185	ASV_561	HMATmodel_43	HMAT
186	ASV_488	HMATmodel_23	HMAT
187	ASV_477	HMATmodel_37	HMAT
188	ASV_516	HMATmodel_52	HMAT
189	ASV_494	HMATmodel_14	HMAT
190	ASV_589	HMATmodel_23	HMAT
191	ASV_598	LMATmodel_5	LMAT
192	ASV_288	LMATmodel_1	LMAT
193	ASV_425	LMATmodel_1	LMAT
194	ASV_317	LMATmodel_1	LMAT
195	ASV_229	LMATmodel_5	LMAT
196	ASV_24	LMATmodel_1	LMAT
197	ASV_43	LMATmodel_5	LMAT
198	ASV_965	LMATmodel_5	LMAT
199	ASV_1277	LMATmodel_5	LMAT
200	ASV_129	LMATmodel_1	LMAT
201	ASV_261	LMATmodel_1	LMAT
202	ASV_213	LMATmodel_5	LMAT
203	ASV_222	LMATmodel_5	LMAT
204	ASV_330	LMATmodel_1	LMAT
205	ASV_87	LMATmodel_5	LMAT
206	ASV_7	LMATmodel_5	LMAT
207	ASV_96	LMATmodel_1	LMAT
208	ASV_501	LMATmodel_1	LMAT
209	ASV_217	LMATmodel_5	LMAT
210	ASV_27	LMATmodel_5	LMAT
211	ASV_114	LMATmodel_1	LMAT
212	ASV_137	LMATmodel_1	LMAT
213	ASV_418	LMATmodel_1	LMAT
214	ASV_1343	LMATmodel_3	LMAT
215	ASV_50	LMATmodel_5	LMAT
216	ASV_17	LMATmodel_3	LMAT
217	ASV_126	LMATmodel_1	LMAT
218	ASV_508	LMATmodel_1	LMAT
219	ASV_134	LMATmodel_5	LMAT
220	ASV_128	LMATmodel_5	LMAT
221	ASV_79	LMATmodel_4	LMAT
222	ASV_71	LMATmodel_1	LMAT
223	ASV_55	LMATmodel_4	LMAT
224	ASV_260	LMATmodel_3	LMAT
225	ASV_543	LMATmodel_5	LMAT
226	ASV_481	LMATmodel_5	LMAT
227	ASV_119	LMATmodel_5	LMAT
228	ASV_22	LMATmodel_6	LMAT
229	ASV_426	LMATmodel_6	LMAT
230	ASV_1357	LMATmodel_5	LMAT
231	ASV_742	LMATmodel_5	LMAT
232	ASV_130	LMATmodel_3	LMAT
233	ASV_248	LMATmodel_3	LMAT
234	ASV_796	LMATmodel_4	LMAT
235	ASV_1399	LMATmodel_4	LMAT
236	ASV_417	LMATmodel_4	LMAT
237	ASV_347	LMATmodel_4	LMAT
238	ASV_225	LMATmodel_1	LMAT
239	ASV_166	LMATmodel_5	LMAT
240	ASV_207	LMATmodel_2	LMAT
241	ASV_64	LMATmodel_4	LMAT
242	ASV_104	LMATmodel_1	LMAT
