module1	module2	Both	P1A2	P2A1	A1A2	p_raw	p_adj
HMATmodel_10-NCmodel_33	HMATmodel_10	NCmodel_3	2	1	26	432	0.0102912050418583	0.0102912050418583
HMATmodel_35-NCmodel_43	HMATmodel_35	NCmodel_4	2	1	37	421	0.0198390639225919	0.0198390639225919
HMATmodel_15-NCmodel_63	HMATmodel_15	NCmodel_6	2	2	22	435	0.0146372688011193	0.0146372688011193
HMATmodel_22-NCmodel_23	HMATmodel_22	NCmodel_2	2	1	42	416	0.0251332247193574	0.0251332247193574
HMATmodel_8-NCmodel_13	HMATmodel_8	NCmodel_1	2	3	23	433	0.025559229329596	0.025559229329596
HMATmodel_8-NCmodel_53	HMATmodel_8	NCmodel_5	2	3	19	437	0.0182138785133516	0.0182138785133516
HMATmodel_29-NCmodel_53	HMATmodel_29	NCmodel_5	2	1	19	439	0.00577774572370996	0.00577774572370996
HMATmodel_1-NCmodel_303	HMATmodel_1	NCmodel_30	4	7	4	446	1.1836560535727e-05	1.1836560535727e-05
HMATmodel_11-NCmodel_83	HMATmodel_11	NCmodel_8	2	1	18	440	0.00523529226837392	0.00523529226837392
HMATmodel_6-NCmodel_363	HMATmodel_6	NCmodel_36	1	3	3	454	0.0343686175429678	0.0343686175429678
HMATmodel_56-NCmodel_153	HMATmodel_56	NCmodel_15	2	3	1	455	0.000281705942146107	0.000281705942146107
HMATmodel_6-NCmodel_183	HMATmodel_6	NCmodel_18	1	3	2	455	0.025860852058765	0.025860852058765
LMATmodel_1-MDmodel_32	LMATmodel_1	MDmodel_3	5	32	12	322	0.0190992611501869	0.0190992611501869
LMATmodel_9-MDmodel_72	LMATmodel_9	MDmodel_7	5	0	11	355	7.66210312639431e-08	7.66210312639431e-08
LMATmodel_22-MDmodel_72	LMATmodel_22	MDmodel_7	2	1	14	354	0.00511246898729642	0.00511246898729642
LMATmodel_2-MDmodel_42	LMATmodel_2	MDmodel_4	3	10	12	346	0.0120275418576428	0.0120275418576428
LMATmodel_41-MDmodel_52	LMATmodel_41	MDmodel_5	4	0	4	363	9.01279438264972e-08	9.01279438264972e-08
LMATmodel_7-MDmodel_122	LMATmodel_7	MDmodel_12	4	10	2	355	1.84982481739285e-05	1.84982481739285e-05
LMATmodel_42-MDmodel_112	LMATmodel_42	MDmodel_11	3	1	3	364	9.41837012986895e-06	9.41837012986895e-06
LMATmodel_4-MDmodel_82	LMATmodel_4	MDmodel_8	3	22	5	341	0.0121357027374554	0.0121357027374554
LMATmodel_2-MDmodel_82	LMATmodel_2	MDmodel_8	2	11	6	352	0.0282145214951058	0.0282145214951058
LMATmodel_12-MDmodel_102	LMATmodel_12	MDmodel_10	2	3	5	361	0.00297742021479888	0.00297742021479888
LMATmodel_30-MDmodel_392	LMATmodel_30	MDmodel_39	3	0	1	367	4.73815476116443e-07	4.73815476116443e-07
LMATmodel_29-MDmodel_242	LMATmodel_29	MDmodel_24	1	2	2	366	0.0241277501286705	0.0241277501286705
LMATmodel_18-NCmodel_21	LMATmodel_18	NCmodel_2	2	2	42	448	0.0414727756368789	0.0414727756368789
LMATmodel_7-NCmodel_91	LMATmodel_7	NCmodel_9	2	12	10	470	0.0418829216105049	0.0418829216105049
LMATmodel_7-NCmodel_301	LMATmodel_7	NCmodel_30	2	12	6	474	0.0189670120748023	0.0189670120748023
LMATmodel_41-NCmodel_301	LMATmodel_41	NCmodel_30	4	0	4	486	2.8555437514765e-08	2.8555437514765e-08
LMATmodel_42-NCmodel_231	LMATmodel_42	NCmodel_23	1	3	4	486	0.0399951027261488	0.0399951027261488
LMATmodel_22-NCmodel_81	LMATmodel_22	NCmodel_8	2	1	18	473	0.00456674874128988	0.00456674874128988
LMATmodel_42-NCmodel_151	LMATmodel_42	NCmodel_15	2	2	1	489	0.000147417854104796	0.000147417854104796
LMATmodel_12-NCmodel_171	LMATmodel_12	NCmodel_17	1	4	3	486	0.0399951027261487	0.0399951027261487
MDmodel_8-NCmodel_3	MDmodel_8	NCmodel_3	3	5	25	454	0.00787358803427472	0.00787358803427472
MDmodel_26-NCmodel_3	MDmodel_26	NCmodel_3	2	2	26	457	0.0178216233567263	0.0178216233567263
MDmodel_6-NCmodel_6	MDmodel_6	NCmodel_6	3	7	21	456	0.010075436544548	0.010075436544548
MDmodel_48-NCmodel_6	MDmodel_48	NCmodel_6	2	2	22	461	0.013160890263849	0.013160890263849
MDmodel_32-NCmodel_1	MDmodel_32	NCmodel_1	2	1	23	461	0.00736470362556154	0.00736470362556154
MDmodel_5-NCmodel_30	MDmodel_5	NCmodel_30	5	3	3	476	1.38061143673157e-08	1.38061143673157e-08
MDmodel_12-NCmodel_30	MDmodel_12	NCmodel_30	2	4	6	475	0.00343333797080296	0.00343333797080296
MDmodel_11-NCmodel_15	MDmodel_11	NCmodel_15	2	4	1	480	0.000378166293335257	0.000378166293335257
MDmodel_26-NCmodel_12	MDmodel_26	NCmodel_12	1	3	3	480	0.0325508396747685	0.0325508396747685
