Number.hub.removed	remain.mean	remain.sd	remain.se	weighted	Group
1	1	0.777210526315789	0.00496525322739823	0.000496525322739823	weighted	HMAT
2	2	0.776105263157895	0.00627757355294537	0.000627757355294537	weighted	HMAT
3	3	0.772842105263158	0.00578100971364605	0.000578100971364606	weighted	HMAT
4	4	0.768842105263158	0.00712360049319731	0.000712360049319731	weighted	HMAT
5	5	0.763842105263158	0.00692341172602709	0.000692341172602709	weighted	HMAT
6	6	0.760526315789474	0.00757365873721451	0.000757365873721451	weighted	HMAT
7	7	0.756526315789474	0.00667505557984652	0.000667505557984652	weighted	HMAT
8	8	0.751473684210526	0.00632906632136953	0.000632906632136953	weighted	HMAT
9	9	0.744736842105263	0.0054203015846783	0.00054203015846783	weighted	HMAT
10	10	0.736842105263158	0	0	weighted	HMAT
11	1	0.758473684210526	0.00549184204546123	0.000549184204546124	unweighted	HMAT
12	2	0.754947368421053	0.00695023542086854	0.000695023542086854	unweighted	HMAT
13	3	0.751315789473684	0.00764261608156826	0.000764261608156826	unweighted	HMAT
14	4	0.746526315789474	0.0087789445636469	0.00087789445636469	unweighted	HMAT
15	5	0.742157894736842	0.00814317582836698	0.000814317582836698	unweighted	HMAT
16	6	0.737684210526316	0.00912280701754384	0.000912280701754384	unweighted	HMAT
17	7	0.732315789473684	0.00777491923023168	0.000777491923023168	unweighted	HMAT
18	8	0.729842105263158	0.00784781377064737	0.000784781377064737	unweighted	HMAT
19	9	0.721052631578947	0.00549718913544311	0.000549718913544311	unweighted	HMAT
20	10	0.715789473684211	0	0	unweighted	HMAT
21	1	0.62511811023622	0.00561202374053855	0.000561202374053855	weighted	LMAT
22	2	0.619645669291339	0.00835437272519553	0.000835437272519553	weighted	LMAT
23	3	0.614527559055118	0.00938188800318418	0.000938188800318418	weighted	LMAT
24	4	0.611692913385827	0.00945767963868165	0.000945767963868165	weighted	LMAT
25	5	0.607283464566929	0.0101247996849074	0.00101247996849074	weighted	LMAT
26	6	0.60248031496063	0.00878481258329636	0.000878481258329636	weighted	LMAT
27	7	0.596653543307087	0.00996896430255167	0.000996896430255167	weighted	LMAT
28	8	0.592007874015748	0.00877054311728335	0.000877054311728335	weighted	LMAT
29	9	0.589015748031496	0.00884590899767582	0.000884590899767582	weighted	LMAT
30	10	0.585669291338583	0.00809210424835981	0.000809210424835981	weighted	LMAT
31	11	0.581614173228346	0.00818320419514012	0.000818320419514012	weighted	LMAT
32	12	0.578031496062992	0.0065349012153755	0.00065349012153755	weighted	LMAT
33	13	0.574803149606299	0	0	weighted	LMAT
34	1	0.65251968503937	0.00505547514022529	0.000505547514022529	unweighted	LMAT
