"","KO","Means","SD"
"num.edges(L)","2044","2044","0"
"num.pos.edges","1090","0","0"
"num.neg.edges","954","0","0"
"num.vertices(n)","199","199","0"
"Connectance(edge_density)","0.10375107862545","0.10375107862545","0"
"average.degree(Average K)","20.5427135678392","20.5427135678392","0"
"average.path.length","3.21994786449038","2.00252119181767","0.00312189136975738"
"diameter","8.16941627658616","3","0"
"edge.connectivity","1","9.74","1.36048119829312"
"mean.clustering.coefficient(Average.CC)","0.609558977172596","0.103633103503591","0.00281740782528692"
"no.clusters","1","1","0"
"centralization.degree","0.0780671031927313","0.0614004365260647","0.00856918743750806"
"centralization.betweenness","0.032623681386793","0.00776520868435145","0.00138357932574025"
"centralization.closeness","0.0872366572238998","0.079784021460196","0.00780165274376762"
"RM(relative.modularity)","2.48138622141173","-0.00345821900663372","0.069935541550593"
"the.number.of.keystone.nodes","Not.calculated","0","0"
