"","KO","Means","SD"
"num.edges(L)","1851","1851","0"
"num.pos.edges","953","0","0"
"num.neg.edges","898","0","0"
"num.vertices(n)","200","200","0"
"Connectance(edge_density)","0.0930150753768844","0.0930150753768844","0"
"average.degree(Average K)","18.51","18.51","0"
"average.path.length","3.09315944179076","2.06905427135678","0.00289954609060314"
"diameter","6.44409571106705","3","0"
"edge.connectivity","2","8.43","1.33526375406857"
"mean.clustering.coefficient(Average.CC)","0.576958871389929","0.0933594062141876","0.00278431539683558"
"no.clusters","1","1","0"
"centralization.degree","0.0878894472361809","0.0585427135678392","0.00791228637178908"
"centralization.betweenness","0.0453702378117975","0.00870256796567758","0.00155018658931594"
"centralization.closeness","0.0959771683221228","0.0926441346312259","0.0090567820319093"
"RM(relative.modularity)","2.33004951749667","0.00827603261149241","0.060404376894073"
"the.number.of.keystone.nodes","Not.calculated","0","0"
