"","KO","Means","SD"
"num.edges(L)","4482","4482","0"
"num.pos.edges","2780","0","0"
"num.neg.edges","1702","0","0"
"num.vertices(n)","199","199","0"
"Connectance(edge_density)","0.227501142074006","0.227501142074006","0"
"average.degree(Average K)","45.0452261306533","45.0452261306533","0"
"average.path.length","2.19492005060245","1.77252677529059","3.41264137229237e-05"
"diameter","7.18885438199983","2.45","0.5"
"edge.connectivity","0","29.3","2.07193853502687"
"mean.clustering.coefficient(Average.CC)","0.647991439521983","0.227780755037259","0.00169695891994756"
"no.clusters","2","1","0"
"centralization.degree","0.211892797319933","0.0852261306532663","0.0134235568683611"
"centralization.betweenness","0.054484436322822","0.00357336884221528","0.000695507538497526"
"centralization.closeness","1.13451891304092","0.057198107411707","0.00953954897241203"
"RM(relative.modularity)","3.67041869372328","0.00563898588610828","0.089516819352773"
"the.number.of.keystone.nodes","Not.calculated","0","0"
