"","KO","Means","SD"
"num.edges(L)","2088","2088","0"
"num.pos.edges","1211","0","0"
"num.neg.edges","877","0","0"
"num.vertices(n)","200","200","0"
"Connectance(edge_density)","0.104924623115578","0.104924623115578","0"
"average.degree(Average K)","20.88","20.88","0"
"average.path.length","3.10692796997748","1.99463618090452","0.00259756347172204"
"diameter","8.1746794344809","3","0"
"edge.connectivity","2","9.87","1.33071713027528"
"mean.clustering.coefficient(Average.CC)","0.577613749535685","0.104394706402895","0.0024655910843803"
"no.clusters","1","1","0"
"centralization.degree","0.0910552763819096","0.0623115577889447","0.00836240836856866"
"centralization.betweenness","0.0436030769242076","0.00766438252065157","0.00131615031166847"
"centralization.closeness","0.0766561671664252","0.0775748012195633","0.00680941032530962"
"RM(relative.modularity)","2.82318096962964","0.000815994559607131","0.0591253335973069"
"the.number.of.keystone.nodes","Not.calculated","0","0"
