manhatten	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
HD6	48.0	36.0	51.0	48.0	53.0	49.0	44.0	42.0	39.0	31.0	41.0	0	33.0	52.0	48.0	33.0	45.0	45.0	63.0	76.0	64.0	63.0	44.0	45.0	42.0	40.0	38.0	35.0	34.0	51.0	63.0	66.0	69.0	70.0	71.0	67.0	67.0	61.0	64.0	66.0	65.0	62.0	57.0	65.0	68.0
HD7	39.0	37.0	40.0	41.0	32.0	46.0	35.0	39.0	44.0	42.0	40.0	33.0	0	35.0	29.0	36.0	44.0	50.0	50.0	69.0	53.0	56.0	31.0	32.0	31.0	35.0	49.0	42.0	37.0	38.0	62.0	59.0	62.0	67.0	66.0	62.0	62.0	52.0	61.0	61.0	56.0	65.0	58.0	66.0	67.0
HD8	46.0	50.0	47.0	52.0	33.0	49.0	38.0	56.0	51.0	59.0	53.0	52.0	35.0	0	44.0	43.0	49.0	53.0	59.0	72.0	58.0	59.0	48.0	47.0	52.0	58.0	56.0	55.0	44.0	39.0	69.0	60.0	65.0	64.0	69.0	65.0	69.0	63.0	66.0	64.0	63.0	66.0	63.0	77.0	70.0
HD9	40.0	34.0	39.0	46.0	39.0	43.0	40.0	40.0	55.0	45.0	41.0	48.0	29.0	44.0	0	47.0	55.0	47.0	53.0	66.0	52.0	53.0	38.0	39.0	38.0	40.0	60.0	49.0	40.0	39.0	69.0	64.0	65.0	70.0	67.0	63.0	65.0	63.0	66.0	68.0	69.0	64.0	61.0	69.0	72.0
MD1	37.0	47.0	48.0	51.0	52.0	56.0	49.0	35.0	26.0	40.0	32.0	33.0	36.0	43.0	47.0	0	36.0	44.0	58.0	59.0	63.0	46.0	39.0	36.0	43.0	41.0	33.0	42.0	33.0	48.0	46.0	51.0	56.0	51.0	56.0	56.0	54.0	44.0	51.0	51.0	48.0	47.0	44.0	48.0	49.0
MD10	53.0	45.0	56.0	53.0	56.0	60.0	53.0	47.0	36.0	50.0	38.0	45.0	44.0	49.0	55.0	36.0	0	48.0	42.0	61.0	53.0	48.0	29.0	32.0	41.0	37.0	39.0	26.0	45.0	38.0	48.0	53.0	50.0	51.0	60.0	52.0	50.0	40.0	49.0	55.0	50.0	57.0	46.0	54.0	63.0
MD11	63.0	53.0	44.0	49.0	56.0	48.0	53.0	57.0	48.0	56.0	54.0	45.0	50.0	53.0	47.0	44.0	48.0	0	54.0	75.0	49.0	62.0	51.0	56.0	61.0	57.0	49.0	40.0	45.0	52.0	68.0	69.0	64.0	67.0	68.0	70.0	68.0	68.0	71.0	73.0	74.0	67.0	66.0	72.0	75.0
MD12	57.0	55.0	46.0	45.0	48.0	50.0	47.0	51.0	58.0	66.0	50.0	63.0	50.0	59.0	53.0	58.0	42.0	54.0	0	61.0	35.0	48.0	37.0	46.0	55.0	53.0	65.0	44.0	49.0	42.0	60.0	55.0	54.0	59.0	60.0	52.0	60.0	56.0	57.0	63.0	66.0	67.0	62.0	72.0	69.0
MD13	66.0	70.0	69.0	68.0	75.0	69.0	68.0	60.0	59.0	79.0	53.0	76.0	69.0	72.0	66.0	59.0	61.0	75.0	61.0	0	74.0	19.0	62.0	65.0	74.0	64.0	72.0	69.0	62.0	73.0	65.0	62.0	61.0	62.0	61.0	61.0	63.0	59.0	64.0	70.0	67.0	62.0	59.0	67.0	68.0
MD14	68.0	58.0	47.0	58.0	53.0	57.0	52.0	60.0	59.0	67.0	59.0	64.0	53.0	58.0	52.0	63.0	53.0	49.0	35.0	74.0	0	61.0	50.0	49.0	58.0	58.0	72.0	53.0	60.0	51.0	71.0	68.0	61.0	72.0	71.0	61.0	69.0	67.0	70.0	72.0	73.0	74.0	69.0	83.0	80.0
