OTUID	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
ASV_1	 0.07345959	 0.08860830	 0.68440800	 0.97431700	 2.03083122	 0.41274717	 1.31957243	 0.08667076	 2.55314277	 0.60503388	 0.09564632	 0.07470301	 1.37641289	 4.00694088	 0.08758852	 0.25266454	 8.67294194	 2.07585547	 7.58651439	 0.10065606	 3.88033500	 0.03542143	12.10688773	 7.55785192	 2.34886949	 0.03355767	 0.07588617	 4.24242424	 0.10784578	 7.94044223	 5.53390633	 4.95174499	 2.13344048	 3.16193962	 0.08679049	 0.04485730	 6.43496152	 0.83502243	 5.44564049	 3.43250209	 3.25999930	 0.03403966	 0.57909385	 0.07147464	 0.08111374
ASV_2	 2.24141329	 8.42332613	 4.23672874	 1.54331813	 3.66053280	 3.83758879	 1.89273867	 2.94319454	 0.42743197	 1.72946608	 0.12752843	 5.78310619	14.87158753	 2.29119819	11.39209840	 0.83806338	 3.60193699	 3.04897503	 1.96865247	 0.07189719	 2.46132465	 0.01416857	 0.23106094	 0.04763737	 0.69570106	 9.04752139	 2.80778832	 2.00547752	 4.06039364	 5.36911555	 0.02913541	 0.10132722	 0.50513748	 0.11893870	 0.10588440	 3.16991571	 0.18186160	 0.04331029	 0.01937950	 0.02560295	 0.03481046	 0.17870820	 0.12100468	 0.19350452	 0.09932295
ASV_4	 0.04120904	 0.07937827	 0.35262646	 0.17147979	 0.55762416	 0.40122864	 0.56026539	 0.08305948	 0.06296989	 0.10611363	 0.03365334	 0.20588878	 0.16172412	 0.06020150	 0.07267984	 0.07651109	 0.02357763	 0.06979341	 0.07373872	 0.09526377	 0.06948762	 0.11689071	 0.04409560	 0.05496620	 0.02986595	 0.20693898	 0.05591613	 0.05830904	 0.05572032	 0.03566334	 0.09833200	 9.86860683	 0.28126973	 0.49405306	 0.63009894	 0.96256285	 2.51483366	 0.02771859	 0.03171191	 0.04608531	 0.03481046	18.39673219	15.18781656	 9.94194864	 9.31649258
ASV_15	 2.81654812	 0.12183641	 9.32983602	 4.74297517	 4.20196787	 1.43021693	 1.24216734	 0.06139179	 0.72701599	 3.78658128	 0.05490807	 3.85358210	 0.04570464	 3.18359686	 0.16585911	 3.45011655	 0.73453398	 1.99409747	 0.24522413	 0.11503550	 0.06217313	 0.05490321	 0.49563454	 0.73105040	 0.47609845	 0.02982904	 0.65501747	 3.02676915	17.25173003	 1.20542083	 0.04006118	 0.11793824	 0.14350497	 0.67154620	 0.15101545	 0.31400108	 0.11021915	 0.04677512	 0.04052078	 0.10241180	 0.04873464	 0.70972683	 0.04494460	 0.28066872	 0.25989505
ASV_3	 1.58744379	 0.10337635	 0.23276820	 0.19096613	 0.10073211	 0.12286427	 0.05344637	 2.02954028	13.35915735	 1.29198004	 3.63987389	 0.20406676	 0.05273613	 0.07613719	 0.11181513	16.36803616	 0.08161489	 0.11366356	 0.12003978	 0.23366586	 0.06400176	 0.08146928	 0.15168886	 0.11176460	 0.11770700	 0.06338671	 0.20369446	 0.16609241	 0.18873012	 0.09985735	 4.62524583	 1.07141077	 0.34058512	 1.03019213	 0.28814442	 0.16073865	 1.06912578	 3.74547407	 4.95586759	 2.72244696	 2.29574964	 0.65185942	 0.37684316	 1.83916462	 2.12220033
ASV_6	1.22552094	1.69647967	0.25535019	0.30398691	0.15469574	0.12094452	0.20825654	0.98768553	3.43281304	2.31216025	1.61004641	2.50528387	1.48540088	0.63211573	0.94856504	1.19570826	4.24397410	0.67201085	0.31553315	0.02156916	0.39681088	0.02833714	2.12540788	1.42545668	1.88682560	1.41687951	3.52670994	2.32706069	0.78188191	1.50855920	4.58700561	0.62291324	0.07270918	0.07136322	0.06943239	0.08971460	0.13777394	4.32583199	4.98405595	1.44912694	1.88846730	0.23997958	1.31549379	0.77401810	1.53453956
ASV_9	0.057334313	0.055380185	0.368260145	0.481312600	1.007321066	0.286043386	0.689273867	0.043335380	1.398694806	0.299724477	0.042509476	0.027330370	0.789284019	2.264638702	0.040998882	0.138787566	4.701017466	1.214405360	4.053915012	0.055720320	1.857879530	0.007084285	6.760737278	4.188424119	1.185854078	0.016778836	0.063904144	2.403039138	0.068302328	4.247503566	3.126593343	2.622880019	1.192047912	1.705397987	0.046866863	0.029904865	3.598655326	0.505864214	3.054914466	2.002150648	1.775333310	0.020423794	0.300783073	0.050555236	0.026486120
ASV_8	 0.121835415	 1.203596020	 0.000000000	 0.019486340	 0.001798788	 4.605490497	 0.217471434	19.130764508	 0.104949815	 0.351850473	23.730915016	 0.027330370	 0.072072706	 0.056660233	 0.070816250	 0.101421683	 0.003627328	 0.049852437	 0.010289124	 0.012582008	 0.009143108	 0.067300710	 0.082899727	 0.120925631	 0.108922893	 8.296202390	 0.065901148	 0.003533881	 0.005392289	 0.005349501	 0.003641926	 0.018272122	 0.066968984	 0.029277219	 0.005207429	 0.044857298	 0.003673972	 0.045042704	 0.000000000	 0.000000000	 0.001740523	 0.020423794	 0.024200937	 0.066244792	 0.021519972
ASV_12	1.34914805	1.54141515	3.78161479	3.29903737	4.58870721	3.16567479	5.00184298	1.20436243	0.06296989	0.99784049	0.53668214	2.90248524	2.12702375	0.04249518	2.12262393	0.05515916	0.33915520	0.52843583	4.20825188	0.08268177	0.91065355	0.03010821	2.30002646	1.79556240	1.82182323	2.41988106	0.06789815	2.55499602	1.60869956	1.39621969	0.10743681	0.02823873	0.05166179	0.12259835	0.20135393	0.03364297	0.06245752	0.08662058	0.02642660	0.13654906	0.08180457	0.04084759	0.03457277	0.02614926	0.02648612
ASV_7	 0.005375092	 0.012922043	 0.017370762	 0.013640438	 0.000000000	 0.071030908	 0.027644674	 0.079448196	 0.041979926	 0.013031499	 0.003542456	 0.000000000	 0.024610192	 0.028330117	 0.040998882	 0.001779328	 0.001813664	 0.313073303	 0.655074253	18.770558102	 1.280035110	30.508474576	 0.017638240	 0.010993239	 0.012297746	 0.033557673	 0.017973040	 0.012368584	 0.014379437	 0.008915835	 0.005462889	 0.011627714	 0.038267991	 0.036596523	 0.001735810	 0.000000000	 0.000000000	 0.003464823	 0.007047092	 0.020482360	 0.001740523	 0.034039656	 0.001728638	 0.000000000	 0.004966147
