OTUID	HDA	HDB	HDC	MDA	MDB	MDC	NCA	NCB	NCC
ASV_53	0.002177969	0.002872159	0.004943416	0.005139689	0.003991804	4.133792482	0.001722955	0.003015352	0.004507929
ASV_42	0.01953113	0.02012500	0.05319498	0.03012629	0.20098647	1.93820192	1.40669643	0.11859483	0.34845236
ASV_45	0.016760078	0.013247063	0.006308834	0.179555860	0.009241992	0.009517104	2.354167147	1.211206859	0.126468681
ASV_37	0.63423746	0.32398959	0.70733833	0.40648560	1.35579004	0.52202742	0.05155933	0.08771901	0.06822956
ASV_39	0.14286930	0.34814933	0.37961329	0.08483351	0.38430321	1.66026441	0.34579778	0.21423337	0.48893004
ASV_59	0.25307779	0.82847071	1.15582552	0.52573315	0.68946546	0.33962635	0.02901631	0.07805302	0.02032072
ASV_109	0.16384446	0.18083783	0.06906867	0.05200309	0.03833202	0.06213941	0.77435691	1.50057176	0.78388360
ASV_58	0.004386247	0.009514001	0.073069600	0.007250896	0.005423729	1.414218065	0.206579067	0.490549138	1.394861645
ASV_40	0.651848131	0.007641964	0.004478346	0.015101621	0.007555919	0.003793461	2.663873841	0.160123841	0.030111166
ASV_48	0.36603695	0.65801262	0.43039483	0.38423628	0.36984857	1.27128755	0.01929750	0.01157681	0.17837627
ASV_64	0.6078260	0.4205468	0.5927021	0.6309168	0.3644872	0.1915218	0.2747660	0.3067058	0.1068278
ASV_55	0.30790522	0.67956581	0.72469081	0.58788588	0.53556957	0.48810351	0.07706346	0.02670464	0.07977254
ASV_74	0.1367437	0.3465730	0.1510722	0.7185454	0.5047368	0.4249173	0.3213883	0.3010767	0.5539085
ASV_89	0.009951264	0.012991034	0.077291111	0.007332249	0.003961706	0.312709680	0.265849614	0.730220774	1.992613206
ASV_73	0.03950769	0.02888973	0.04833663	0.04032927	0.01952288	0.05334958	0.93950622	1.08469906	1.08577720
ASV_1365	0.27509520	0.62752825	0.76083125	0.23984700	0.82610495	0.38915226	0.08601799	0.11027572	0.09379233
ASV_57	0.85437638	0.32133268	0.03001580	0.23642243	0.09446888	0.01761839	0.78919077	0.76082496	0.19222907
ASV_82	0.1548635	0.2647448	0.2317325	0.1574781	0.1386737	0.1283855	0.2970944	1.6137143	0.1666902
ASV_47	0.020798731	0.023283101	0.045156796	0.023923402	0.080919518	2.926786485	0.003116375	0.015400984	0.022781744
ASV_54	0.22452000	0.25557279	0.08110854	0.37065620	0.30012884	0.11671381	0.56205511	0.95770746	0.11139956
ASV_75	0.3420829	0.4622429	0.3338965	0.2279560	0.4547668	0.2934711	0.4874509	0.1317130	0.2259844
ASV_49	0.2632094	0.4801405	0.4587405	0.3774903	0.6371986	0.1099129	0.2125169	0.1878046	0.2194588
ASV_76	0.16435819	0.28963505	1.17492661	0.06660077	0.20409758	0.01138243	0.02118531	0.02436003	0.97821461
ASV_507	0.15763897	0.16856578	0.06783462	0.33859865	0.14407566	0.05388087	0.93052357	0.75367957	0.12289168
ASV_61	0.05487361	0.03137733	0.08291591	0.05210571	0.01788280	0.07257588	0.08625203	1.26752473	1.06386822
ASV_465	0.30332766	0.18419592	0.05216601	0.61182656	1.00736676	0.15694014	0.20910790	0.14432298	0.09222660
ASV_63	0.026868184	0.010088048	0.024577764	0.017644158	0.008528017	0.021728397	1.467450847	0.079615869	0.990536819
ASV_1412	0.1761168	0.5332258	0.5977255	0.2765278	0.2324116	0.1195659	0.3905887	0.1684891	0.1421195
ASV_67	0.296766773	0.011858055	0.003387222	1.445219793	0.538119703	0.238098710	0.032793511	0.069337313	0.002955950
ASV_62	0.91003635	0.18423793	0.03196161	0.16365797	0.19534524	0.01904713	1.01182557	0.07201732	0.01871961
ASV_81	0.61152181	0.38317301	0.05727644	0.43879565	0.57926407	0.20109801	0.12264069	0.05984997	0.15461733
ASV_91	0.205812159	0.548355117	0.603382857	0.196342779	0.938196679	0.047102372	0.004853557	0.008111202	0.011577165
ASV_80	0.02383910	0.02185731	0.01938228	1.17434714	0.02129843	0.01046618	0.04215443	0.84954301	0.30773638
ASV_60	0.006487977	0.034942854	0.037346412	0.005396324	0.037850551	0.167233205	0.023767439	0.325075861	1.887981881
ASV_94	0.06822143	0.12961991	0.08749078	0.08158838	0.07047406	0.06377557	0.34416154	0.75591504	0.85249789
ASV_71	0.10546857	0.06174098	0.34005831	0.05436317	0.08344466	1.59666173	0.07854307	0.04748129	0.14086789
ASV_392	0.009860818	0.016369478	0.016002944	0.010452678	0.037747347	0.167364202	0.670342636	0.535371174	0.895930476
ASV_88	0.2783745	0.1924622	0.1918386	0.2382658	0.2159303	0.2094224	0.5088238	0.2390462	0.3122393
ASV_68	0.2766231	0.3385843	0.2423971	0.4944522	0.3613952	0.2194429	0.1965031	0.1450586	0.1340624
ASV_98	0.10018691	0.16002257	0.17863004	0.03793008	0.05475116	0.01195957	0.43114679	0.72355479	0.59442811
ASV_72	0.49183510	0.08270827	0.06479873	0.23730108	0.43075267	0.13573064	0.53784657	0.26878706	0.11050420
ASV_83	0.2337317	0.4014450	0.1507403	0.2339373	0.4473190	0.1811080	0.2227008	0.1334256	0.3429232
ASV_300	0.33873078	0.30040015	0.63459213	0.34352526	0.18152603	0.18026818	0.14733220	0.04624242	0.08044437
ASV_157	0.09431065	0.27798503	0.46265030	0.07676142	0.33629951	0.22814033	0.10058359	0.12777693	0.50135235
ASV_102	0.31931985	0.45721757	0.50194997	0.32122163	0.27162235	0.33099603	0.03455416	0.01020713	0.01332587
ASV_125	0.05456224	0.06056780	0.07182498	0.06281571	0.06162328	0.04783175	0.27621237	0.64555236	0.87793861
ASV_87	0.11980615	0.49683198	0.94710684	0.17819153	0.15550676	0.07976759	0.04293045	0.08008828	0.07096220
ASV_206	0.113439582	0.742985553	0.868332682	0.155310911	0.026958316	0.221645853	0.003508262	0.003741242	0.015825972
ASV_117	0.04661184	0.11854203	0.81376482	0.05192010	0.03911161	0.38515589	0.15204499	0.16049960	0.34662331
ASV_77	0.0007222563	0.0007082529	0.0014473770	0.0029212089	0.0000000000	2.0872052253	0.0010343373	0.0013453180	0.0011327570
ASV_720	0.023469884	0.017534889	0.008280278	0.024760929	0.014673964	0.115044355	0.092200803	1.502956304	0.236392742
ASV_122	0.04072623	0.01115252	0.04246361	0.08609899	0.04263717	0.21599847	0.09328926	0.15405856	1.42034294
ASV_95	0.1976506	0.3421636	0.1182800	0.2091294	0.4226282	0.1671891	0.2198590	0.1215637	0.2924135
ASV_78	0.24998255	0.29581131	0.52093406	0.17116630	0.29940912	0.21103293	0.07459681	0.06234798	0.17432970
ASV_130	0.11606156	0.23167796	0.52297984	0.26288894	0.36615080	0.31070380	0.07329594	0.07199140	0.10067046
ASV_85	0.18580846	0.22721866	0.81207905	0.13480513	0.22306773	0.21735852	0.10645440	0.08654997	0.06647849
ASV_142	0.434031988	0.927650764	0.142882653	0.379230427	0.043103928	0.007786473	0.041867032	0.042765060	0.023952314
ASV_1658	0.2111175	0.1196096	0.1127131	0.2382248	0.3273859	0.1058918	0.1572542	0.5121652	0.2014372
ASV_118	0.193724712	0.518571814	0.556044080	0.166205024	0.536324733	0.038255928	0.005189823	0.010765091	0.010891752
ASV_93	0.28559528	0.28138030	0.14674235	0.21695381	0.28424069	0.12637858	0.35955343	0.09894837	0.22500093
ASV_1450	0.14234774	0.19978425	0.53985173	0.28225156	0.48034806	0.26692892	0.02674112	0.01824188	0.02835438
ASV_126	0.02386787	0.04164904	0.04204327	0.03872658	0.42239756	1.37370541	0.02744827	0.01734143	0.02320196
ASV_101	0.35396162	0.40055586	0.16102289	0.41434479	0.27680266	0.06768799	0.12881254	0.10729832	0.04272899
ASV_333	0.07755731	0.08848033	0.10839498	0.29935546	0.28284919	0.10455388	0.53404487	0.21664389	0.20312370
ASV_100	0.29194069	0.38574978	0.24183211	0.40562635	0.41838756	0.09863686	0.03213600	0.02169455	0.02035492
ASV_96	0.246042062	0.407501938	0.558109350	0.372833283	0.043906789	0.254728640	0.010139103	0.009426218	0.030903619
ASV_90	0.15209844	0.64456310	0.54526686	0.22601392	0.16698356	0.08530468	0.03356602	0.01863047	0.04091901
ASV_84	0.09734405	0.12233664	0.80074153	0.14014702	0.14573900	0.27197714	0.06641452	0.13492864	0.14061465
ASV_103	0.35812655	0.37796777	0.13718664	0.43826044	0.27949519	0.08391923	0.10739984	0.08111793	0.03396663
ASV_107	0.712427094	0.589808318	0.165188454	0.231754434	0.037609398	0.006538395	0.060165635	0.056629997	0.032453153
ASV_111	0.21659682	0.27247060	0.23183213	0.28907059	0.35944900	0.11297640	0.06354193	0.14534165	0.18521075
ASV_99	0.06976481	0.36862579	0.06033785	0.32881474	0.16718264	0.40307896	0.18795151	0.14161425	0.15471354
ASV_104	0.17321700	0.24099940	0.06736629	0.15758442	0.21605653	0.04356781	0.59660055	0.16962706	0.18060040
ASV_135	0.026510232	0.131524893	0.270399787	0.552951930	0.378100925	0.409764675	0.005223625	0.059069191	0.011821549
ASV_128	0.020236135	0.023394846	0.156298838	0.077402923	0.006158932	0.036620131	0.364704725	0.683773660	0.388793372
ASV_119	0.579319929	0.245414385	0.021068407	0.101881814	0.073981787	0.006546195	0.284955055	0.396569898	0.087558817
ASV_106	0.36623819	0.39190324	0.16012515	0.35782928	0.22109522	0.08522455	0.09616019	0.09338458	0.04644980
ASV_136	0.005793110	0.004733301	0.009262045	0.008273936	0.005863438	0.573682501	0.617217964	0.211504797	0.345082273
ASV_112	0.005179166	0.038560004	1.737333603	0.002892548	0.004769456	0.028379766	0.008942455	0.007810770	0.007552742
ASV_86	0.15208612	0.09468391	0.16399661	0.13808447	0.89365625	0.32179680	0.01788252	0.02623035	0.01580722
ASV_116	0.0011038920	0.0010749019	0.0044093769	0.0021397878	0.0000000000	1.6907367455	0.0010241180	0.0013288816	0.0003826799
ASV_114	0.29837065	0.27754776	0.14780974	0.22404770	0.30128292	0.36204370	0.02503454	0.02686938	0.04584576
ASV_129	0.09038510	0.29742586	0.07644145	0.27378862	0.18894134	0.05307747	0.32845597	0.18720519	0.17072470
ASV_155	0.02757960	0.06806386	0.05269704	0.06726980	0.01598271	0.02166848	0.56127314	0.59792836	0.18174433
ASV_113	0.262477661	0.158227596	0.358065066	0.333164782	0.364804775	0.133017754	0.021410810	0.003740824	0.009946519
ASV_115	0.008309891	0.004028464	0.011174983	0.008689667	0.005535233	1.522427213	0.011534965	0.011866449	0.003352085
ASV_377	0.24326709	0.13118873	0.12932165	0.27847650	0.13396153	0.09475761	0.29079641	0.21506368	0.04564681
ASV_153	0.061432658	0.046516016	0.373815877	0.199363807	0.009402839	0.024621167	0.231354882	0.530256831	0.070475802
ASV_124	0.404029156	0.272769251	0.050675208	0.535106602	0.118442716	0.063427941	0.009397975	0.043061021	0.082534018
ASV_110	0.083815962	0.359188173	0.035053152	0.432260283	0.273732833	0.234778024	0.109132695	0.039371586	0.002966293
ASV_121	0.13803672	0.01844850	0.01989978	0.13007338	0.07281900	0.02967483	0.09395345	0.09762813	0.97529969
ASV_154	0.08228219	0.11846940	0.16946370	0.21200050	0.07492793	0.08884735	0.12419520	0.10045037	0.54924895
ASV_138	0.22658241	0.23362943	0.15134866	0.25891728	0.20797958	0.24598492	0.09519020	0.09737947	0.01713302
ASV_159	0.03510270	0.15405072	0.10072170	0.09319338	0.17336964	0.24618904	0.19139317	0.32614071	0.17698221
ASV_108	0.08947511	0.03267817	0.07428947	0.06137353	0.04977678	0.96529141	0.06696397	0.05327105	0.11301627
ASV_105	0.057140185	0.009126209	0.019117161	0.062514820	0.171967207	0.063008847	0.653329153	0.294662892	0.126925220
ASV_272	0.370952578	0.637310467	0.120063170	0.247798910	0.030144635	0.008771576	0.024602037	0.035286109	0.012981356
ASV_134	0.555177944	0.160961217	0.110797054	0.426388403	0.176679945	0.006528689	0.023317857	0.004696993	0.014814437
ASV_1046	0.08229567	0.49903681	0.36626378	0.15528889	0.15634205	0.14639355	0.01778643	0.02741782	0.03067097
ASV_127	0.17819851	0.23049186	0.10046711	0.19217577	0.35098233	0.22283719	0.11724479	0.05644389	0.03642488
ASV_120	0.061259191	0.007985873	0.008668375	0.095646320	0.069623875	0.020443289	0.023624509	0.065439507	1.115278329
ASV_167	0.43643337	0.28999492	0.20084806	0.26723482	0.06449732	0.05416151	0.01860681	0.05102997	0.05089941
ASV_183	0.02762293	0.13245576	0.02601981	0.01428032	0.01357388	0.05349926	0.57952890	0.07708126	0.45468235
ASV_123	0.03427475	0.04400123	0.04568925	0.08208497	0.04779829	0.08164452	0.34705645	0.21735854	0.48164994
ASV_149	0.484131960	0.261985664	0.003724318	0.345506333	0.246267204	0.044947809	0.004568047	0.004402893	0.002927840
ASV_139	0.21576574	0.07917205	0.07344939	0.12431761	0.23400135	0.06587723	0.11866342	0.07905462	0.38961614
ASV_150	0.10763939	0.27731402	0.04883837	0.12941022	0.33386143	0.09191374	0.08345507	0.24076142	0.04953661
ASV_141	0.07177356	0.29476820	0.07330460	0.22353672	0.16076235	0.03606555	0.23428276	0.14051550	0.10550903
ASV_137	0.108780333	0.172807234	0.216349152	0.192769195	0.443424695	0.091179008	0.075515745	0.007810656	0.013120576
ASV_144	0.36197210	0.21767514	0.28019962	0.16226811	0.03570792	0.10301115	0.08907930	0.02852784	0.05147329
ASV_1505	0.32197189	0.17948296	0.13427072	0.25875923	0.10664671	0.03496982	0.08387223	0.09822037	0.08562397
ASV_174	0.11492828	0.15059985	0.23258405	0.21226121	0.10776993	0.05273250	0.07938140	0.26656113	0.07221435
ASV_1497	0.05781776	0.24587184	0.29445610	0.14210257	0.13791827	0.09923392	0.22580167	0.06262910	0.03784823
ASV_140	0.12439249	0.17768366	0.18749071	0.25372325	0.19117885	0.03379633	0.06717153	0.05376084	0.20782266
ASV_131	0.09409694	0.09156031	0.04064391	0.15762311	0.12710058	0.04316890	0.24605199	0.40854598	0.04394168
ASV_143	0.24231435	0.17527493	0.37591354	0.15738982	0.09809732	0.08040183	0.05831434	0.02160586	0.03891010
ASV_151	0.26423216	0.20833874	0.09904760	0.30679890	0.17916580	0.05516223	0.02741213	0.05678608	0.02754727
ASV_196	0.06693150	0.10828745	0.10207753	0.07585597	0.11805181	0.07395341	0.19515207	0.34886815	0.09059714
ASV_133	0.18400598	0.20788236	0.18342959	0.13779197	0.26004022	0.06100927	0.02691306	0.06431900	0.08746940
ASV_148	0.25751707	0.09072701	0.16158837	0.12117835	0.08452985	0.04758695	0.13439298	0.08557773	0.21741555
ASV_152	0.01755447	0.01776802	0.01274821	0.03935136	0.06845627	0.10393987	0.41843351	0.26063078	0.24593472
ASV_165	0.013501888	0.011660180	0.008954768	0.007921956	0.010181699	0.007172830	1.060254115	0.008595464	0.023468494
ASV_164	0.013058766	0.019487889	0.090739482	0.027489094	0.013665675	0.014514500	0.004277323	0.007150595	1.027913226
