OTUID	All	HDC	MDC	NCC
ASV_73	0.452779	0.05631206	0.06268546	1.23933986
ASV_122	0.442783	0.04608613	0.34926559	0.93299705
ASV_85	0.427008	0.83984522	0.35450170	0.08667623
ASV_61	0.419829	0.09093861	0.06860422	1.09994414
ASV_74	0.404766	0.1193560	0.6986795	0.3962635
ASV_102	0.392282	0.61797422	0.54213525	0.01673586
ASV_63	0.388815	0.03063724	0.01604521	1.11976235
ASV_19	0.400894	0.2662779	0.7098105	0.2265923
ASV_220	0.382685	0.0072207552	0.0006646992	1.1401706391
ASV_3	0.364912	0.18219954	0.09923503	0.81330101
ASV_120	0.364557	0.01261904	0.02161315	1.05943966
ASV_157	0.357463	0.4296564	0.3689117	0.2738204
ASV_96	0.367638	0.66044116	0.42096166	0.02151113
ASV_87	0.361005	0.8698973	0.1122483	0.1008690
ASV_130	0.354775	0.47329424	0.50361839	0.08741114
ASV_5	0.36472	0.98345670	0.07765013	0.03305440
ASV_49	0.353014	0.6314841	0.1808003	0.2467574
ASV_78	0.34999	0.4935738	0.3451573	0.2112401
ASV_300	0.347539	0.67084737	0.29092218	0.08084608
ASV_41	0.347664	0.79241015	0.01990174	0.23067879
ASV_206	0.334511	0.62083923	0.36401747	0.01867712
ASV_75	0.338813	0.3837446	0.3925933	0.2401024
ASV_56	0.336805	0.11433482	0.06831185	0.82776783
ASV_135	0.329077	0.30141888	0.67345148	0.01235961
ASV_94	0.330842	0.09399796	0.09438005	0.80414817
ASV_198	0.325979	0.50064135	0.44828013	0.02901589
ASV_51	0.327201	0.93931984	0.01978798	0.02249437
ASV_121	0.315584	0.02228520	0.03165948	0.89280849
ASV_1450	0.298208	0.43679028	0.43180581	0.02602905
ASV_71	0.313374	0.5330348	0.2076902	0.1993974
ASV_347	0.30912	0.01918376	0.89628145	0.01189533
ASV_64	0.299282	0.5066481	0.2853418	0.1058566
ASV_248	0.28352	0.01410081	0.75650874	0.07994936
ASV_83	0.284754	0.1889113	0.2923483	0.3730034
ASV_114	0.280103	0.18840103	0.59685953	0.05504811
ASV_99	0.283887	0.06889801	0.63425433	0.14850958
ASV_7	0.269454	0.03401404	0.74939422	0.02495484
ASV_203	0.279962	0.69704264	0.12371677	0.01912785
ASV_68	0.267466	0.3020951	0.3592003	0.1411040
ASV_44	0.263846	0.3470261	0.3079110	0.1365999
ASV_1314	0.253882	0.04449761	0.66343106	0.05371602
ASV_356	0.248268	0.006965446	0.717590904	0.020246679
ASV_86	0.265765	0.25014533	0.52320835	0.02394213
ASV_17	0.260492	0.01317882	0.09898486	0.66931125
ASV_6	0.26072	0.22676054	0.46145163	0.09394878
ASV_1440	0.254269	0.3790031	0.1148651	0.2689400
ASV_213	0.248995	0.01958973	0.20248332	0.52491097
ASV_112	0.258216	0.735585493	0.032928959	0.006134438
ASV_1412	0.25328	0.5169751	0.1761471	0.0667182
ASV_95	0.249613	0.1457951	0.2727010	0.3303443
ASV_227	0.247175	0.24262910	0.48649076	0.01240578
ASV_88	0.243446	0.2099226	0.1617921	0.3586229
ASV_159	0.23733	0.08419726	0.39481642	0.23297582
ASV_11	0.242519	0.06010258	0.25425508	0.41319785
ASV_185	0.238168	0.10881999	0.51171355	0.09397085
ASV_1318	0.218474	0.1110893	0.4654154	0.0789181
ASV_249	0.229346	0.60308459	0.08062182	0.00433247
ASV_128	0.225506	0.11803767	0.05153512	0.50694664
ASV_172	0.224975	0.28728240	0.30511204	0.08252946
ASV_139	0.218454	0.09617638	0.10742517	0.45176015
ASV_1027	0.216209	0.09396992	0.50781638	0.04684220
ASV_123	0.208476	0.04716193	0.13427678	0.44398842
ASV_143	0.203883	0.42367542	0.13340391	0.05456976
ASV_222	0.20588	0.011668169	0.004318492	0.601654291
ASV_125	0.204825	0.06761277	0.04993814	0.49692522
ASV_342	0.199536	0.009723917	0.004800479	0.584082609
ASV_1046	0.192708	0.32035044	0.23745139	0.02032149
ASV_113	0.195131	0.35855615	0.21631275	0.01052501
ASV_111	0.195248	0.2235489	0.1740376	0.1881587
ASV_81	0.197786	0.07290743	0.33160364	0.18884661
ASV_138	0.192918	0.15612698	0.40697916	0.01564811
ASV_189	0.190968	0.1023233	0.3570767	0.1135031
ASV_153	0.190964	0.45589256	0.03153685	0.08546247
ASV_90	0.188074	0.39037884	0.13799804	0.03584462
ASV_411	0.184456	0.04493435	0.03387225	0.47456193
ASV_93	0.185625	0.1721581	0.1531027	0.2316149
