OTUID	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
ASV_46	32	1	3	12	3	15	50	37	12	34	16	94	10	55	32	99	13	6	35	54	12	50	72	46	162	29	44	148	24	113	135	105	70	32	40	14	3	12	23	25	83	43	43	28	48	33	14
ASV_42	146	24	29	15	68	19	150	158	83	38	72	26	22	112	43	52	63	30	48	26	60	49	27	45	61	27	38	27	64	54	54	105	82	65	30	1	1	4	4	9	24	4	5	0	10	7	2
ASV_35	28	19	67	96	6	20	58	10	29	25	39	61	37	39	29	10	74	66	21	140	36	81	69	43	21	91	101	46	161	19	17	8	15	20	3	33	59	70	33	27	14	74	45	30	15	11	39
ASV_45	1	0	0	0	3	4	1	0	1	1	0	1	3	6	1	0	0	0	0	1	0	6	2	0	0	1	0	0	3	4	4	2	1	3	1	307	170	3	5	25	3	11	5	5	260	847	179
ASV_33	26	38	28	30	68	189	20	36	111	58	59	35	86	35	63	67	18	272	74	67	24	104	168	40	6	46	21	20	87	38	19	11	5	121	24	2	2	2	3	0	0	2	0	2	2	2	0
ASV_52	62	37	27	50	72	32	90	117	21	33	30	78	17	35	12	17	19	16	18	31	34	10	39	17	24	16	11	50	38	45	50	18	30	20	42	5	5	69	142	40	107	163	133	45	69	24	29
ASV_36	0	0	0	0	0	2	3	0	0	0	1	0	0	1	1	0	0	0	0	2	1	1	1	0	0	0	0	0	1	0	2	3	1	1	2	397	511	69	69	19	1	16	27	48	21	71	585
ASV_56	3	1	0	21	1	10	0	37	3	0	4	0	12	3	37	4	51	66	49	56	4	18	25	2	3	1	3	2	121	26	11	6	1	36	4	13	2	82	44	10	192	327	94	401	92	26	25
ASV_47	90	30	13	77	92	19	32	58	60	53	23	26	22	44	28	63	31	19	47	11	51	7	19	45	46	66	25	18	7	102	156	182	89	92	68	8	5	5	0	2	0	2	0	7	2	9	5
ASV_120	44	75	31	98	49	10	62	67	43	67	201	39	27	81	24	14	25	23	29	134	48	22	19	57	74	13	32	27	37	27	27	48	121	27	20	4	1	3	3	7	18	2	2	1	26	3	3
ASV_60	53	58	4	23	34	12	41	5	46	97	64	74	7	13	6	7	29	17	4	15	7	11	85	57	280	25	24	53	35	117	6	108	148	26	78	2	1	1	1	6	6	1	1	4	4	1	4
ASV_54	16	2	4	3	11	8	35	18	32	23	9	2	228	9	11	47	11	256	90	125	40	139	185	1	1	364	27	1	36	0	1	1	1	0	1	1	3	1	1	0	0	1	0	0	2	1	3
ASV_50	3	4	121	1	472	2	2	4	0	38	9	2	505	141	48	2	85	2	1	4	302	1	0	0	0	0	2	0	4	0	0	0	0	0	1	0	4	0	0	0	0	0	2	0	1	0	0
ASV_68	14	0	0	10	2	148	5	257	1	2	3	7	3	2	1	4	0	0	2	54	1	19	7	2	2	3	2	1	171	1	4	4	3	4	1	75	37	10	24	9	31	35	3	328	236	104	20
ASV_44	24	59	107	43	49	84	27	33	27	38	75	48	70	18	22	8	17	84	23	71	30	40	36	50	15	93	27	13	30	36	34	33	37	84	54	13	3	25	1	24	34	12	23	12	4	8	23
ASV_218	22	51	3	17	97	1	38	13	26	72	17	8	59	22	36	18	41	15	32	5	3	30	10	55	169	119	27	23	8	45	53	31	107	75	114	2	5	4	3	12	8	4	1	5	18	74	1
ASV_41	17	6	21	10	47	117	16	27	46	32	19	11	96	38	93	95	16	412	79	58	25	66	208	6	3	7	16	8	23	6	6	0	5	27	6	0	0	1	2	2	2	1	0	1	1	1	0
ASV_43	12	10	36	11	11	43	51	50	19	6	70	59	19	34	63	144	32	58	105	71	10	59	102	34	2	56	36	118	69	13	18	16	4	35	5	8	2	8	16	27	10	12	14	20	7	10	11
ASV_1390	42	44	11	41	50	29	45	42	24	84	18	35	19	15	38	20	28	28	17	10	32	31	29	58	78	34	31	23	24	95	73	23	117	72	80	10	4	7	3	12	9	16	4	20	28	18	8
ASV_65	13	3	0	1	0	5	0	9	115	49	2	7	41	30	89	3	53	98	0	7	0	168	120	61	3	1	62	0	2	87	44	303	8	91	2	2	5	8	6	5	4	4	0	21	17	4	8
ASV_77	72	44	37	97	69	40	89	102	28	81	53	41	42	6	1	0	65	29	22	44	35	31	50	6	73	119	55	35	7	43	14	20	1	46	1	23	5	0	4	3	1	6	1	1	61	1	4
ASV_62	31	109	10	20	7	37	28	91	102	78	91	186	14	7	24	61	5	36	16	8	6	32	18	29	91	5	60	22	16	45	41	37	45	46	3	3	4	6	6	22	13	30	21	11	8	9	6
ASV_55	49	54	23	34	35	20	44	52	48	23	57	97	10	55	38	49	23	17	28	21	21	30	31	26	101	50	3	29	8	22	31	23	31	32	32	5	8	26	19	55	29	79	16	9	27	26	11
ASV_51	7	26	41	34	24	43	69	26	7	17	76	62	20	33	28	78	7	35	48	111	19	99	66	68	29	65	31	45	85	32	20	12	13	38	9	3	6	32	19	15	24	30	37	9	12	8	5
ASV_49	0	0	2	0	1	1	111	0	5	3	151	123	2	1	1	3	0	85	12	2	0	9	60	74	2	77	46	7	110	22	51	202	81	104	0	4	3	16	3	45	105	10	12	0	3	3	4
ASV_61	51	33	65	38	14	25	37	27	14	21	36	25	69	23	24	19	11	24	31	56	30	42	45	32	16	45	13	24	44	18	28	7	33	33	17	64	69	17	20	52	1	15	39	19	13	17	49
ASV_85	1	0	1	0	1	21	7	1	3	1	2	1	213	6	3	5	144	6	163	52	2	79	28	2	0	1	42	1	122	4	1	0	1	51	1	1	1	0	106	4	203	2	3	60	50	6	112
ASV_965	214	27	8	269	8	41	31	25	27	87	6	40	3	1	14	62	3	8	32	34	0	27	31	23	2	4	12	9	9	70	100	38	41	59	5	10	5	3	1	3	14	13	1	16	14	11	18
ASV_53	76	24	6	42	115	69	101	81	43	15	57	22	37	29	24	13	35	21	47	13	64	29	41	70	24	68	9	3	12	4	66	18	27	49	4	3	2	2	2	2	21	4	3	4	2	5	2
ASV_67	35	16	23	51	11	16	33	24	44	12	10	9	11	14	9	7	12	5	18	26	5	16	41	19	7	1	7	33	29	40	28	17	69	8	72	5	5	45	34	96	147	173	80	24	45	29	18
ASV_64	33	45	14	31	16	21	70	71	34	18	64	109	9	54	38	67	20	12	24	23	18	20	39	19	114	55	6	34	19	32	23	16	36	34	40	9	1	6	9	8	8	29	16	3	8	7	4
ASV_71	22	2	18	20	21	2	57	54	13	21	12	33	18	122	163	103	135	16	57	9	57	24	41	49	8	1	44	6	11	8	2	2	5	17	1	4	3	10	7	21	24	50	12	14	24	12	16
ASV_63	40	143	8	2	52	25	4	48	114	93	25	14	20	58	19	7	1	10	0	53	33	5	19	3	0	1	2	1	2	31	4	7	24	2	33	7	1	89	122	135	12	20	71	24	13	46	33
ASV_82	124	90	11	5	14	47	6	42	224	21	88	6	4	33	1	63	23	18	19	24	6	24	9	11	7	8	13	5	45	48	33	5	64	16	44	13	15	13	8	21	14	45	11	27	36	22	45
ASV_100	18	11	3	15	6	8	13	15	31	16	17	22	5	14	4	20	2	2	8	10	10	3	8	8	7	9	10	4	6	11	7	9	5	6	5	53	19	109	92	105	81	274	129	66	57	134	20
ASV_76	32	13	12	8	7	9	32	11	25	17	18	28	12	53	27	32	39	9	28	13	26	11	30	16	21	21	9	11	9	26	20	23	51	32	11	36	21	18	41	48	95	104	10	88	115	57	35
ASV_148	20	28	11	32	16	11	24	20	28	17	14	17	8	28	12	11	17	10	16	11	11	11	12	9	52	24	9	10	7	24	24	6	16	14	12	9	8	21	36	64	167	53	32	166	142	54	82
ASV_59	111	2	18	1	16	82	209	41	37	20	70	24	19	7	44	0	42	27	3	14	23	61	35	35	105	0	2	2	2	78	30	6	7	116	41	2	0	0	5	3	18	1	1	1	10	0	4
ASV_90	3	1	2	3	1	2	3	2	4	7	0	1	3	3	2	1	5	0	2	1	3	2	2	0	8	11	3	3	3	12	6	3	5	1	11	9	11	27	48	39	214	87	38	273	187	72	147
ASV_73	25	30	26	19	7	38	18	22	11	19	31	7	13	54	22	15	19	28	6	33	50	36	29	21	12	22	10	37	43	17	24	19	18	28	31	84	55	13	2	9	13	10	5	68	21	73	57
ASV_74	0	0	0	1	0	7	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	4	2	4	2	1	4	4	3	782	41	8	6	120	293	20	48	4	3
ASV_91	5	4	0	11	2	1	85	41	16	9	7	23	9	20	23	6	5	2	41	23	16	12	16	10	13	2	14	3	43	88	226	68	6	134	51	12	10	12	6	13	40	16	4	7	30	9	13
ASV_88	35	32	16	27	18	19	25	7	32	46	28	42	15	16	11	10	27	10	12	8	44	34	38	49	110	33	34	31	19	58	23	58	74	36	30	2	2	10	8	48	41	8	1	15	20	11	11
ASV_1277	135	15	3	168	3	41	27	22	17	42	5	16	4	4	3	49	4	19	13	39	1	14	18	34	2	0	13	11	9	102	153	52	57	61	3	8	6	4	6	4	12	4	0	17	6	9	6
ASV_83	1	1	0	1	0	4	38	3	5	0	1	0	1	3	1	15	13	15	21	17	1	40	26	33	1	68	8	1	23	24	7	20	18	53	0	38	16	50	32	38	87	146	24	26	20	270	12
ASV_70	63	17	7	53	43	10	31	28	19	4	22	19	4	14	3	6	9	14	19	19	19	43	31	5	38	7	4	1	31	100	113	123	115	24	91	4	2	4	3	6	13	1	1	4	7	11	3
ASV_72	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	1	0	2	2	0	0	99	214	294	88	493	225	3	3	4	1
ASV_80	46	56	16	40	32	10	30	12	19	13	70	129	20	53	34	73	26	8	17	9	12	12	35	4	128	0	2	13	10	26	34	30	46	29	33	2	0	4	1	4	3	6	2	0	2	1	2
ASV_66	24	29	36	39	32	39	47	34	19	20	35	35	22	56	50	67	31	22	48	20	15	33	30	63	18	22	29	32	22	11	28	20	13	36	7	11	9	6	0	17	9	3	2	5	4	6	4
ASV_135	70	22	49	17	32	5	28	15	15	38	48	62	0	4	8	27	26	23	33	22	1	31	24	1	1	0	0	14	0	42	34	63	115	4	97	10	6	5	11	14	24	5	4	9	41	28	16
ASV_89	2	19	0	1	0	1	4	0	14	11	0	9	0	2	18	5	5	1	0	1	1	0	1	14	29	0	5	7	1	1	2	1	31	3	33	56	9	1	18	54	319	311	72	9	59	13	7
ASV_94	11	1	7	25	3	5	5	2	8	3	2	4	12	12	14	37	4	11	54	18	5	4	63	6	0	6	3	5	3	3	10	16	3	19	1	21	29	55	31	18	56	91	32	41	130	99	98
ASV_108	1	4	0	1	0	2	10	227	3	8	2	2	1	2	2	2	1	56	0	1	1	117	2	1	3	1	2	0	41	4	11	18	10	245	8	6	2	4	4	21	88	7	5	3	74	63	6
ASV_81	31	8	21	60	71	34	25	50	22	10	49	16	21	53	17	9	41	4	36	3	10	5	10	18	6	6	36	24	20	13	31	44	31	44	21	1	1	4	3	43	61	6	4	4	10	5	1
ASV_107	0	0	0	0	2	0	0	0	0	1	0	0	4	0	42	23	33	47	25	48	27	29	75	53	48	65	51	69	67	42	2	3	2	4	4	3	6	4	47	41	25	28	42	29	19	27	2
ASV_69	3	0	2	3	68	325	186	145	1	3	329	1	4	4	3	0	0	0	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
ASV_84	1	11	0	3	9	17	68	12	1	3	3	8	1	1	9	5	2	52	60	34	4	31	32	1	1	18	2	6	182	18	36	187	2	94	2	3	3	8	14	32	27	1	35	0	2	18	0
ASV_101	3	0	5	11	5	8	9	8	6	15	6	8	8	19	7	10	14	5	5	2	8	1	3	2	0	0	3	2	1	5	11	5	11	16	1	48	38	71	41	98	62	149	26	17	88	75	101
ASV_867	46	89	36	21	24	47	35	19	29	15	89	4	22	65	8	10	31	4	20	15	6	10	9	55	18	6	16	24	9	47	10	19	13	18	41	1	1	4	16	5	4	22	7	7	4	4	6
ASV_75	20	15	20	20	14	36	26	15	9	10	33	32	14	32	33	21	26	11	55	28	50	24	7	37	14	24	44	35	70	9	36	55	35	56	18	3	0	1	1	10	13	3	3	8	15	3	0
ASV_79	28	53	13	20	23	15	32	8	12	18	82	113	17	54	28	72	26	6	35	18	13	20	16	8	100	2	3	10	2	20	22	25	31	30	37	1	1	2	1	2	4	5	4	0	4	1	1
ASV_86	65	45	13	40	38	24	31	70	46	21	25	9	38	21	17	7	22	12	11	14	30	24	8	34	26	63	6	11	11	3	6	13	35	32	33	1	0	1	0	8	2	0	0	0	1	0	1
ASV_92	1	0	1	2	0	15	5	0	0	0	2	1	168	7	1	6	97	2	118	35	1	62	12	0	0	3	17	0	118	3	1	0	0	24	1	0	1	1	67	0	101	1	2	43	25	2	45
ASV_134	2	2	81	9	212	7	4	5	1	43	2	4	225	78	24	0	57	1	1	3	161	4	1	1	0	0	4	0	5	4	1	1	0	1	0	0	0	0	0	2	0	0	0	0	2	1	0
ASV_113	1	4	12	23	15	10	28	46	13	9	17	36	18	5	17	10	0	4	20	64	15	7	36	7	2	28	8	34	25	26	28	20	1	3	11	35	36	7	47	30	5	12	30	48	24	12	57
ASV_114	11	45	13	11	37	2	14	18	44	27	26	34	16	70	41	16	29	3	20	7	31	5	11	9	79	26	18	20	5	13	1	9	8	6	21	5	4	25	9	17	29	18	13	6	19	10	12
ASV_78	56	6	6	7	46	14	5	168	16	3	8	0	22	3	2	3	7	3	1	3	50	0	0	0	89	9	3	3	5	91	60	26	58	0	31	2	1	2	1	19	7	0	0	0	3	27	24
ASV_131	0	0	7	0	5	29	5	23	1	1	2	1	3	8	3	1	6	63	183	6	10	19	3	2	0	5	5	1	2	6	47	0	0	3	0	116	10	4	9	4	7	2	65	28	39	142	9
ASV_109	5	7	7	2	4	3	8	2	3	11	8	18	12	13	10	18	10	31	20	33	23	29	52	48	27	27	26	25	63	7	6	3	0	12	7	41	38	11	11	102	5	27	35	26	6	34	31
ASV_127	0	0	0	0	0	4	1	0	0	0	1	1	0	0	1	1	0	0	2	109	2	1	0	0	0	0	0	2	1	0	1	0	1	0	2	180	129	6	19	6	9	5	1	131	169	4	105
ASV_104	10	19	15	27	41	67	29	26	21	29	38	20	35	7	12	7	19	78	26	38	7	38	44	8	12	20	16	11	32	7	23	11	8	36	20	0	0	5	8	5	2	4	1	1	0	1	2
ASV_552	4	15	21	10	8	11	14	48	13	17	8	7	6	48	25	3	9	14	3	17	18	10	15	19	6	18	7	4	3	13	13	17	12	11	31	0	1	32	31	36	42	155	26	7	11	10	5
ASV_164	11	28	4	19	26	26	12	10	12	35	3	18	21	20	11	18	5	38	4	15	11	18	15	15	10	25	5	22	24	11	17	8	5	49	6	24	25	36	16	31	12	42	10	11	21	18	16
ASV_112	21	71	2	1	28	24	88	45	2	32	134	156	18	18	16	66	0	1	0	0	2	0	1	4	28	2	28	1	1	0	4	18	0	2	1	1	0	0	1	3	0	0	0	1	0	0	0
ASV_133	57	2	2	233	3	3	47	1	22	21	0	3	0	62	2	19	2	31	0	36	0	37	3	0	3	1	0	0	22	100	61	12	13	29	0	4	0	1	1	0	1	2	0	0	1	2	1
ASV_98	34	0	1	63	3	0	85	36	0	7	68	24	19	3	6	0	3	2	8	71	1	106	51	36	0	2	56	2	4	96	21	6	46	2	22	2	1	0	1	0	0	0	2	4	1	2	1
ASV_275	12	1	3	11	10	16	11	1	7	1	0	0	2	0	1	14	7	5	23	29	0	17	16	8	0	35	3	1	17	3	2	3	0	4	1	11	12	27	67	21	64	50	88	58	145	11	15
ASV_110	2	19	24	48	5	29	7	51	2	7	37	64	5	42	48	39	18	11	59	60	38	18	60	5	3	0	2	0	11	44	6	25	7	10	2	6	0	1	7	4	5	17	5	17	6	6	6
ASV_87	5	3	17	7	2	18	36	48	6	2	119	39	0	12	9	250	3	17	9	37	4	18	53	21	1	2	29	4	10	6	7	21	0	3	5	0	0	1	8	3	2	17	2	16	2	1	3
ASV_124	2	1	3	4	3	8	7	26	0	1	4	4	1	2	0	4	5	4	5	17	5	3	5	5	1	2	2	4	2	3	5	5	0	7	0	51	30	30	35	63	65	34	28	85	110	105	49
ASV_99	1	2	5	36	1	11	87	132	2	14	81	77	5	8	1	25	7	0	0	0	2	15	2	5	10	1	5	10	8	5	50	91	40	89	2	2	2	1	1	1	1	0	1	1	0	1	1
ASV_118	1	0	1	0	1	3	0	1	0	0	1	4	0	0	0	0	1	0	0	4	0	2	4	0	0	1	1	0	1	0	0	0	2	0	3	10	41	137	273	40	41	44	279	13	2	33	13
ASV_97	10	6	4	17	8	43	16	12	6	38	20	16	48	8	8	9	9	43	11	11	12	24	33	17	22	49	31	25	94	14	1	2	0	12	15	19	4	1	4	38	10	4	9	11	13	10	9
ASV_105	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	2	1	37	44	240	2	427	16	4	37	26	3	18	35
ASV_96	11	24	19	19	10	25	43	9	50	19	15	17	31	1	8	18	11	85	36	41	11	27	21	13	13	27	10	8	16	13	22	27	21	21	8	9	2	1	0	0	4	1	1	3	1	8	0
ASV_137	25	3	12	3	34	7	36	47	7	11	9	27	27	36	24	19	24	10	21	5	29	16	6	20	8	12	5	7	6	19	19	44	25	26	3	3	1	9	7	11	17	11	8	6	12	9	12
ASV_143	27	24	8	5	10	6	18	31	22	20	11	14	5	15	20	15	7	5	12	9	17	8	15	12	34	17	16	9	8	9	14	10	19	14	19	7	8	15	19	22	30	69	19	20	48	10	17
ASV_115	19	0	8	4	6	16	36	43	6	1	9	26	5	24	7	15	8	4	9	12	13	8	3	5	9	28	0	7	9	19	36	25	13	27	8	2	4	6	14	18	20	32	6	21	67	18	14
ASV_129	5	33	25	9	15	29	39	15	9	13	25	9	30	15	16	8	16	59	28	52	12	41	45	4	2	11	11	0	4	7	5	8	2	9	24	11	18	9	4	12	2	4	18	9	1	4	16
ASV_1446	41	27	10	19	15	10	24	15	26	20	17	36	7	20	9	23	15	4	13	4	4	10	10	2	57	21	6	9	3	11	31	14	20	18	18	6	3	5	5	7	10	13	2	9	10	12	4
ASV_122	4	2	4	1	19	23	21	56	14	21	70	42	20	1	0	26	26	34	40	21	0	30	29	2	62	2	41	1	1	14	1	27	7	12	10	1	0	0	1	0	0	0	0	1	0	48	0
ASV_142	0	0	0	1	2	1	1	0	3	0	0	1	1	0	1	0	1	0	0	0	1	1	2	1	3	0	1	0	2	0	1	0	0	0	0	4	15	16	39	22	141	20	34	185	126	20	108
ASV_117	30	1	22	29	25	18	18	84	7	7	8	24	10	16	11	7	15	8	14	14	9	5	16	53	1	12	10	16	65	26	17	22	23	27	2	1	0	1	3	1	5	1	2	3	4	5	0
ASV_151	29	0	0	4	2	1	61	11	22	3	46	102	1	0	0	41	2	0	31	1	0	22	2	15	33	1	0	0	29	27	4	61	1	21	2	0	0	11	5	11	1	4	2	7	37	15	3
