Genus	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium	0.217160391832881	0.551737974620053	0.21237123468242	0.0869565217391304	0.533333333333333	0.469048123807505	0.098950162905756	0.412644787644788	0.197688564476886	0.24879911319128	1.54406713854792	0.449575275619013	0.0645116697002511	0.0685806176985291	0.360054821250203	1.69299914522844	0.232164770654373	0.0914158305462653	0.77864605215248	1.56554977228367	0.0677099006921456	0.069748686763007	0.121976011384428	0.114681758121214
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia	0.018883512333294	0.0476500978080955	0.0439388761411903	0.0434782608695652	0.0498442367601246	0.0476998092007632	0.0241341860745746	0.0144787644787645	0.0202757502027575	0.0123167877817465	0.0238927216796583	0.0158142056750407	0.0207358938322236	0.0260133377477179	0.0301981462984041	0.0606612071580224	0.0729660707770887	0.0289855072463768	0.0896283225499258	0.0609954456733897	0.0275855150968001	0.0392336363041915	0.0338822253845633	0.00997232679314901
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Unassigned|Unassigned	0.00708131712498525	0	0	0.00255754475703325	0.00747663551401869	0.026499894000424	0.00241341860745746	0.0217181467181467	0	0	0.00895977062987187	0	0.0253438702393844	0.0094593955446247	0.137053125508142	0.113050431521769	0.0165831979038838	0.00222965440356745	0.0280088507968518	0.126057254391672	0.0025077740997091	0.0217964646134397	0.0271057803076506	0.00997232679314901
Bacteria|Actinobacteria|Actinobacteria|Unassigned|Unassigned|Unassigned	0.056650536999882	0.0200631990770928	0.21481228335693	0.0127877237851662	0.00747663551401869	0.116599533601866	0.00241341860745746	0.028957528957529	0.0177412814274128	0.0221702180071437	0.00597318041991458	0.454093620097596	0.011519941017902	0.0567563732677482	0.28339798833887	0.0248159483828274	0.0331663958077676	0.00222965440356745	0.0504159314343333	0.0894599869876383	0.0025077740997091	0.00653893938403191	0.00225881502563755	0.0274238986811598
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella	0.00236043904166175	0.00752369965390982	0.0244104867451057	0	0.0996884735202492	0.0211999152003392	0.00241341860745746	0.0506756756756757	0.0202757502027575	0.0024633575563493	0.164262461547651	0.0112958611964576	0.0023039882035804	0.00236484888615617	0.044135752282283	0.126837069512229	0.0298497562269908	0	0.0252079657171666	0.0731945348080677	0.0025077740997091	0.00435929292268794	0.0225881502563755	0
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Adlercreutzia	0.0141626342499705	0.0275868987310027	0.0219694380705951	0	0.0299065420560748	0.0079499682001272	0.0144805116447448	0.0168918918918919	0.00760340632603406	0.00985343022539722	0.0179195412597437	0.0248508946322068	0.0506877404787687	0.0804048621293099	0.202095286766243	0.121322414316045	0.0729660707770887	0.0156075808249721	0.0532168165140184	0.117924528301887	0.0326010632962183	0.0239761110747837	0.0542115606153012	0.0673132058537558
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Unassigned	0.0236043904166175	0.00501579976927321	0.00976419469804228	0.00767263427109974	0.00747663551401869	0	0.0217207674671172	0.0265444015444015	0.00506893755068938	0	0.00298659020995729	0.0293692391107898	0.0161279174250628	0.0189187910892494	0.0209064089758183	0.110293103923677	0.013266558323107	0.0222965440356745	0.120438058426463	0.0772608978529603	0.0200621927976728	0.0130778787680638	0.0112940751281878	0.0822716960434794
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	0.689248200165231	2.54802628279079	3.2099790069814	2.82864450127877	1.34828660436137	1.81524273902904	0.765053698564016	0.856660231660232	0.704582319545823	1.11097425791354	2.58340053161306	0.781673594794867	0.177407091675691	0.234120039729461	0.427419916838951	0.0689331899522982	0.315080760173792	0.379041248606466	0.193261070498277	0.272446324007807	0.303440666064801	0.0566708079949432	0.176187571999729	0.411358480217397
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola	0.0141626342499705	0.107839695039374	0.017087340721574	0.281329923273657	0.032398753894081	0.124549501801993	0.00965367442982985	0.0168918918918919	0.00506893755068938	0.0591205813523833	0.0657049846190604	0.00225917223929152	0.0023039882035804	0	0.00464586866129294	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Barnesiellaceae|Barnesiella	0.191195562374602	0.436374579926769	0.497973929600156	0.363171355498721	0.525856697819315	0.919546321814713	0.36201279111862	0.272683397683398	0.32441200324412	0.428624214804779	0.528626467162441	0.329839146936562	0.188927032693593	0.267227924135648	0.267137448024344	0.137866379904596	0.162515339458061	0.0356744704570792	0.128840713665518	0.191119063109954	0.105326512187782	0.0479522221495673	0.0880937859998645	0.109695594724639
