Class	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Bacteria|Actinobacteria|Actinobacteria	0.828627997360123	0.122761911379798	0.508290564547967	0.352571842550109	0.246840216670857	0.242403878462055	0.188692596174258	0.218319425577334	0.171667593510481	0.205583459876183	0.179252190158802	0.339448590381426	0.191231020897173	0.205741853095587	0.845548096355316	1.88876940469297	0.36814699346622	0.133779264214047	0.893482340419573	1.83799609629148	0.102818738088073	0.139497373526014	0.185222832102279	0.137119493405799
Bacteria|Actinobacteria|Coriobacteriia	0.0391092860110973	0.0393764621406898	0.120904066324516	0.0120743781695243	0.178273489817841	0.115201843229492	0.00943462980871288	0.0121288569765185	0.0386856548756014	0.00467235136082233	0.0277714660809412	0.015547263681592	0.0714236343109923	0.120607293193965	0.336825477943739	0.270218104613009	0.106132466584856	0.0579710144927536	0.196061955577963	0.252114508783344	0.0652021265924365	0.0435929292268794	0.090352601025502	0.184488045673257
Bacteria|Bacteroidetes|Bacteroidia	10.2197453007749	7.73400041692725	18.1183379392025	12.463173146583	8.16172605307065	14.4698315173043	4.73618416397387	5.33912284106346	2.80954568534055	3.99719658918351	7.89467040319119	6.75787728026534	8.49941248300809	7.24589698718252	5.38920764709982	3.40805691124162	11.8370866637922	2.97658862876254	5.3300843066409	9.64134677944047	5.33152773598154	2.21670045118682	5.20205100404328	7.09281743162723
Bacteria|Bacteroidetes|Flavobacteriia	0.0611082593923395	0.0208463623097769	0.552704303197789	0.0724462690171456	0.0845656297853861	0.093601497623962	0.0825530108262377	0.0363865709295556	0.120892671486254	0.0186894054432893	0.0833143982428236	0.0414593698175788	0.472317581733982	0.312160052972615	0.290366791330809	0.281247415005377	0.583728566216709	0.0423634336677815	0.092429207629611	0.524560832791152	0.308456214264219	0.0675690403016631	0.140046531589528	0.241828924733864
Bacteria|Candidatus_Saccharibacteria|Unassigned	0.0122216518784679	0	0.00493485984998026	0.147307413668196	0.00228555756176719	0.00480007680122882	0.00235865745217822	0	0.0241785342972509	0.00233617568041117	0.14895604534323	0	0.251134714190263	0.156080026486308	0.220678761411415	0.763779744671464	0.198998374846605	0.272017837235229	0.484553118785536	0.418835393623943	0.100310963988364	0.0675690403016631	0.126493641435703	0.206925780957842
Bacteria|Deferribacteres|Deferribacteres	0.0366649556354037	0.898709841799273	0.0863600473746546	0.0313933832407631	0.0411400361118095	0.0504008064129026	0.943462980871288	0.754414903939453	0.236949636113059	0.616750379628548	0.0151480724077861	0.269485903814262	0.0184319056286432	0.0094593955446247	0.00696880299193942	0.0165439655885516	0.149248781134954	0.0557413600891862	0.00560177015937036	0	0	0.0305150504588156	0.275575433127781	0.221884271147566
Bacteria|Firmicutes|Bacilli	0.992398132531593	0.706460056053552	0.769838136596921	1.01666264187394	0.827371837359724	1.62242595881534	0.934028351062575	0.654958276732001	0.517420633961169	0.815325312463497	0.537756570476407	1.12199419568823	0.661244614427574	0.794589225748475	2.54361309205789	2.50641078666556	2.16244900666645	1.00334448160535	0.887880570260202	2.44795055302537	0.850135419801384	0.682229342400663	1.35528901538253	0.942384881952582
Bacteria|Firmicutes|Clostridia	67.6566204688226	73.8586616635397	60.5902092380576	51.0528857763825	40.5892167394236	66.6946671146738	86.0202372809397	85.2464583737628	88.9407384124374	83.2823268309777	81.7339493549446	69.931592039801	64.0693039651637	62.9759258383389	69.8413435852168	68.3955110706703	65.7192132930914	86.6109253065775	68.7785340167493	61.0279765777489	82.1747416992677	89.6466793086161	82.9143231460776	69.5345416469298
Bacteria|Firmicutes|Erysipelotrichia	6.0130527242062	2.232877029625	0.964765100671141	2.60565080898334	6.62354581400133	10.6777708443335	1.10621034507159	1.28565883951096	1.12913755168162	0.401822217030721	2.97154687066071	5.43117744610282	1.15660207819736	1.08546563874568	0.919881994936003	2.79593018446522	0.696494311963119	0.129319955406912	0.834663753746184	1.28497072218608	1.03571070317986	0.765055907931734	1.83189898579205	1.08449053875496
Bacteria|Firmicutes|Negativicutes	0.0708855808951138	0.0393764621406898	0.0690880378997236	0.0434677614102874	0.125705665897196	0.040800652810445	0.0353798617826733	0.0751989132544149	0.0846248700403781	0.0934470272164467	0.184301547628064	0.13733416252073	0.202750961915075	0.0685806176985291	0.12543845385491	0.0937491383351256	0.0862326291001957	0.0713489409141583	0.0840265523905554	0.13825634352635	0.0978031898886548	0.0348743433815035	0.0767997108716767	0.0174515718880108
