#OTUID	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
ASV_1255	0	1	12	2	1	0	0	1	0	0	5	0	0	0	0	1	0	1	8	0	0	0	2	5	2	0	7	0	0	0	0	2	0	0	8	0	0	0	0	2	0	1	4	0	1	0	0
ASV_1334	0	0	0	0	2	5	1	0	1	0	0	0	0	2	5	0	3	0	0	0	0	1	7	2	3	0	0	0	0	5	3	3	2	1	1	0	1	2	3	0	3	0	0	0	1	1	8
ASV_1394	3	1	1	2	2	1	2	4	6	0	0	1	1	0	0	0	2	0	0	1	1	1	1	1	2	2	1	5	1	1	0	4	5	0	0	1	0	2	2	3	2	0	1	2	1	0	0
ASV_929	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	1	5	5	5	6	6	17	5	2
ASV_932	2	0	0	0	5	0	21	26	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0	17	0	0	0	40	0	0	2	0
ASV_1037	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	4	1	11	0	35	0	1	0	6	0
ASV_1273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	8	0	14	7	7	2	6	4	4	1	4	6
ASV_843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	14	0	3	2	26	1	0	14	0
ASV_948	4	0	2	0	1	5	0	1	0	4	2	4	7	1	1	1	1	1	0	0	2	1	2	0	3	1	1	0	2	1	1	0	6	1	1	2	1	0	2	2	0	0	0	0	0	0	1
ASV_1027	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	2	12	1	8	1	7	1	0	0	0	18
ASV_1105	0	0	0	1	1	48	0	0	2	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1
ASV_1301	0	0	3	1	1	5	0	0	0	1	2	1	0	5	0	1	0	2	2	1	0	2	1	2	0	5	2	2	0	4	0	0	1	0	1	2	0	5	0	4	0	1	1	0	0	5	1
ASV_1431	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	4	7	7	7	0	5	15	4	5
ASV_1495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	24	2	2	11	16	0	2	0	1
ASV_1009	1	4	1	8	0	0	0	0	0	0	1	0	0	1	0	0	0	7	7	3	0	10	3	0	0	1	0	0	0	0	0	1	5	5	2	0	0	1	0	1	0	0	1	0	0	0	0
ASV_1072	1	0	1	1	0	1	1	0	5	0	0	1	0	4	0	0	6	0	0	1	0	2	1	0	5	1	1	3	0	0	2	0	4	1	0	0	0	5	1	0	4	2	1	2	0	3	3
ASV_1237	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	16	9	2	4	2	4	0	8	10	0
