Family	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae	0.217160391832881	0.551737974620053	0.21237123468242	0.0869565217391304	0.533333333333333	0.469048123807505	0.098950162905756	0.412644787644788	0.197688564476886	0.24879911319128	1.54406713854792	0.449575275619013	0.152897137132915	0.207662992629105	0.0672416991281766	0.182721139430285	0.105572732071488	0.415632235208792	0.125292147555598	0.316690992206648	0.0485942381117667	0.329911120959204	0.490978274211366
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae	0.018883512333294	0.0476500978080955	0.0439388761411903	0.0434782608695652	0.0498442367601246	0.0476998092007632	0.0241341860745746	0.0144787644787645	0.0202757502027575	0.0123167877817465	0.0238927216796583	0.0158142056750407	0.0158169452206464	0.0136920654480728	0.0231867928028195	0.0257683658170915	0.0326772742126034	0.0334737370637954	0.0289135725128304	0.0385536860077658	0.0161980793705889	0.0246202329074033	0.0417331533079661
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Unassigned	0.00708131712498525	0	0	0.00255754475703325	0.00747663551401869	0.026499894000424	0.00241341860745746	0.0217181467181467	0	0	0.00895977062987187	0	0.0421785205883904	0.0616142945163278	0.0278241513633834	0.0140554722638681	0.0226227283010331	0.0167368685318977	0.0530082162735224	0.0413075207226062	0.0300821474025223	0.0393923726518453	0.0564625015343071
Bacteria|Actinobacteria|Actinobacteria|Unassigned|Unassigned	0.056650536999882	0.0200631990770928	0.21481228335693	0.0127877237851662	0.00747663551401869	0.116599533601866	0.00241341860745746	0.028957528957529	0.0177412814274128	0.0221702180071437	0.00597318041991458	0.454093620097596	0.195075657721305	0.0273841308961457	0.104340567612688	0.0117128935532234	0.497700022622728	0.0976317331027365	0.0192757150085536	0.118414892738138	0.0809903968529446	0.0960189083388729	0.0196391309684546
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae	0.00236043904166175	0.00752369965390982	0.0244104867451057	0	0.0996884735202492	0.0211999152003392	0.00241341860745746	0.0506756756756757	0.0202757502027575	0.0024633575563493	0.164262461547651	0.0112958611964576	0.0606316233458111	0.0867164145044613	0.111296605453534	0.426349325337331	0.00502727295578513	0.00278947808864961	0.0024094643760692	0.00275383471484042	0.0462802267731112	0	0.00490978274211366
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae	0.703410834415201	2.65586597783016	3.22706634770297	3.10997442455243	1.38068535825545	1.93979224083104	0.774707372993846	0.873552123552124	0.709651257096513	1.17009483926592	2.64910551623212	0.783932767034159	2.84705013971635	0.668629196047557	0.412724911890187	0.238943028485757	0.553000025136365	2.80621495718151	0.790304315350697	2.84746509514499	1.00428092097651	0.622891892557304	0.711918497606481
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Barnesiellaceae	0.169951610999646	0.42885088027286	0.495532880925646	0.324808184143222	0.520872274143302	0.908946364214543	0.359599372511162	0.27027027027027	0.32441200324412	0.416307427023032	0.519666696532569	0.323061630218688	0.775030315811673	0.134638643572716	0.234186607308477	0.126499250374813	0.38207274463967	1.01537002426846	0.385514300171072	0.66367416627654	0.168922827721856	0.561341310288795	0.567079906714128
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae	2.34391596837012	5.17630536188995	4.95288776058195	3.1304347826087	3.78566978193146	6.19037523849905	5.89598165801858	3.26013513513514	2.39760746147607	3.49057765734696	6.91694292626109	3.96936562443521	5.77054884799916	4.30159056160288	4.29651270636246	3.23275862068966	3.3833546992434	8.40469748110129	4.92012625593331	10.5444331231239	4.09348605808168	8.29948051308565	9.83674972382472
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Odoribacteraceae	0.0165230732916322	0.0100315995385464	0.017087340721574	0.0127877237851662	0.0149532710280374	0.12189951240195	0.0748159768311814	0.0265444015444015	0.0253446877534469	0.024633575563493	0.0328524923095302	0.0225917223929152	0.0369062055148416	0.015974076356085	0.0139120756816917	0.0210832083958021	0.0326772742126034	0.0920527769254373	0.0433703587692456	0.0385536860077658	0.0277681360638667	0.0615505822685083	0.0564625015343071
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae	0.325740587749321	2.31980739328886	3.09036762193038	1.27365728900256	0.986915887850467	0.967246131015476	1.22360323398093	1.44787644787645	4.60006082725061	1.48294124892228	2.76259594421049	1.41876016627508	6.85400959561343	0.609296912439241	0.774438879614172	0.407608695652174	1.87014553955207	1.84105553850874	0.387923764547141	3.76449205518685	0.985768830267268	2.02624516827929	1.41647232109979
