Genus	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium	0.144988664522592	0.198534948997056	0.048692264885921	0.171008245877061	0.0980318226378101	0.3598426734358	0.108425896923114	0.300167983917605	0.0485942381117667	0.312676957924022	0.471339143242911	0.0552957168859295	0.0614860710400605	0.346117215266324	1.68196983483608	0.225531491492819	0.084726867335563	0.711424810240036	1.54521795705921	0.0551710301936002	0.0675690403016631	0.112940751281878	0.0897509411383411
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia	0.0158169452206464	0.0136920654480728	0.0231867928028195	0.0257683658170915	0.0326772742126034	0.0334737370637954	0.0289135725128304	0.0385536860077658	0.0161980793705889	0.0246202329074033	0.0417331533079661	0.0207358938322236	0.0260133377477179	0.0301981462984041	0.0606612071580224	0.0729660707770887	0.0289855072463768	0.0896283225499258	0.0609954456733897	0.0275855150968001	0.0392336363041915	0.0338822253845633	0.00997232679314901
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Unassigned|Unassigned	0.0421785205883904	0.0616142945163278	0.0278241513633834	0.0140554722638681	0.0226227283010331	0.0167368685318977	0.0530082162735224	0.0413075207226062	0.0300821474025223	0.0393923726518453	0.0564625015343071	0.0253438702393844	0.0094593955446247	0.137053125508142	0.113050431521769	0.0165831979038838	0.00222965440356745	0.0280088507968518	0.126057254391672	0.0025077740997091	0.0217964646134397	0.0271057803076506	0.00997232679314901
Bacteria|Actinobacteria|Actinobacteria|Unassigned|Unassigned|Unassigned	0.195075657721305	0.0273841308961457	0.104340567612688	0.0117128935532234	0.497700022622728	0.0976317331027365	0.0192757150085536	0.118414892738138	0.0809903968529446	0.0960189083388729	0.0196391309684546	0.011519941017902	0.0567563732677482	0.28339798833887	0.0248159483828274	0.0331663958077676	0.00222965440356745	0.0504159314343333	0.0894599869876383	0.0025077740997091	0.00653893938403191	0.00225881502563755	0.0274238986811598
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella	0.0606316233458111	0.0867164145044613	0.111296605453534	0.426349325337331	0.00502727295578513	0.00278947808864961	0.0024094643760692	0.00275383471484042	0.0462802267731112	0	0.00490978274211366	0.0023039882035804	0.00236484888615617	0.044135752282283	0.126837069512229	0.0298497562269908	0	0.0252079657171666	0.0731945348080677	0.0025077740997091	0.00435929292268794	0.0225881502563755	0
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Adlercreutzia	0.0184531027574208	0.0296661418041578	0.0394175477647932	0.0749625187406297	0.00502727295578513	0.0139473904432481	0.0168662506324844	0.0110153388593617	0.00925604535462224	0.0123101164537017	0.044188044679023	0.0506877404787687	0.0804048621293099	0.202095286766243	0.121322414316045	0.0729660707770887	0.0156075808249721	0.0532168165140184	0.117924528301887	0.0326010632962183	0.0239761110747837	0.0542115606153012	0.0673132058537558
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Enteroscipio	0.0052723150735488	0.0136920654480728	0.0278241513633834	0.0773050974512744	0.0075409094336777	0.00557895617729923	0.0072283931282076	0.00275383471484042	0.00231401133865556	0.00492404658148066	0.00981956548422732	0.0046079764071608	0.0212836399754056	0.113823782201677	0.038602586373287	0.0198998374846605	0.020066889632107	0.0224070806374814	0.0569290826284971	0.0125388704985455	0.00653893938403191	0.0248469652820131	0.0349031437760215
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Unassigned	0	0.0228201090801214	0.0139120756816917	0.0819902548725637	0.0125681823894628	0	0.0072283931282076	0.00275383471484042	0.00231401133865556	0.00492404658148066	0.029458696452682	0.0161279174250628	0.0189187910892494	0.0209064089758183	0.110293103923677	0.013266558323107	0.0222965440356745	0.120438058426463	0.0772608978529603	0.0200621927976728	0.0130778787680638	0.0112940751281878	0.0822716960434794
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	2.70733379026731	0.666347185139545	0.40345019476906	0.236600449775112	0.527863660357439	2.70300426790148	0.778256993470351	2.6849888469694	0.962628716880713	0.615505822685083	0.709463606235424	0.177407091675691	0.234120039729461	0.427419916838951	0.0689331899522982	0.315080760173792	0.379041248606466	0.193261070498277	0.272446324007807	0.303440666064801	0.0566708079949432	0.176187571999729	0.411358480217397
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola	0.139716349449043	0.00228201090801214	0.00927471712112781	0.00234257871064468	0.0251363647789257	0.103210689280036	0.012047321880346	0.162476248175584	0.0416522040958001	0.00738606987222099	0.00245489137105683	0.0023039882035804	0	0.00464586866129294	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Barnesiellaceae|Barnesiella	0.780302630885222	0.15974076356085	0.250417362270451	0.142897301349325	0.394640927029133	1.02931741471171	0.395152157675349	0.677443339850742	0.182806895753789	0.568727380161016	0.598993494537867	0.188927032693593	0.267227924135648	0.267137448024344	0.137866379904596	0.162515339458061	0.0356744704570792	0.128840713665518	0.191119063109954	0.105326512187782	0.0479522221495673	0.0880937859998645	0.109695594724639
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Duncaniella	3.57462961986608	2.2363706898519	2.42533852717492	1.26733508245877	2.07626373073926	5.16611342017908	2.58294581114618	5.76928372759067	2.09186625014463	4.42671787675111	5.57014852092795	3.78314863027901	3.66788062242823	1.37053125508142	1.18565086717953	5.32652316672747	0.918617614269788	1.66092485225331	3.22462589459987	2.3974320393219	0.804289544235925	2.03067470804816	3.47036972401586
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculum	0.838298096694258	0.935624472284977	0.58198849935077	0.503654422788606	0.605786391172109	1.02094898044576	0.568633592752331	1.38793269627957	0.939488603494157	1.0315877588202	1.24217503375476	2.1749648641799	1.35269356288133	0.606285860298729	0.523892243637467	2.13591589002023	0.376811594202899	0.689017729602554	0.992192582953806	1.49964891162604	0.575426665794808	1.34173612522871	1.57064146992097
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Paramuribaculum	1.21790478198977	1.05885306131763	1.21962530142831	1.22751124437781	0.688736394942563	2.08095065413261	1.59024648820567	2.98791066560185	0.983454818928613	2.50141566339218	2.76666257518105	0.596732944727323	0.612495861514449	0.724755511161699	0.568009485206937	1.18735696991808	0.474916387959866	0.576982326415147	1.00845803513338	0.489015949443274	0.246300050131869	0.758961848614217	0.6257635062701
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Unassigned	0.118627089154848	0.125510599940668	0.108977926173252	0.262368815592204	0.0402181836462811	0.172947641496276	0.175890899453052	0.432352050229945	0.108758532916811	0.361917423738829	0.326500552350558	0.202750961915075	0.0496618266092797	0.448326325814769	0.286762070201561	1.44937149679944	0.22742474916388	0.498557544183962	1.42322706571243	0.0576788042933093	0.0828265655310709	0.0519527455896637	0.0922440228366284
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	0.421785205883904	0.308071472581639	0.248098682990169	0.117128935532234	0.746550033934092	0.644369438478061	0.214442329470159	1.65230082890425	0.356357746152956	0.866632198340596	0.670185344298515	0.338686265926318	0.669252234782197	0.722432576831053	0.250916811426366	0.331663958077676	0.136008918617614	0.661008878805703	0.435100845803513	0.248269635871201	0.156934545216766	0.108423121230602	0.403879235122535
