Order	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales	0.30065263621031	0.0833854492391078	0.0518160284247927	0.0893503984544796	0.127991223458963	0.12000192003072	0.165106021652475	0.179507083252474	0.135399792064605	0.170540824670015	0.126233936731551	0.300580431177446	0.133631315807663	0.113512746535496	0.3948988362099	1.69024181763035	0.24543132897748	0.100334448160535	0.725429235638462	1.56148340923878	0.0702176747918548	0.071928333224351	0.121976011384428	0.0897509411383411
Bacteria|Actinobacteria|Actinobacteria|Micrococcales	0.0391092860110973	0.023162624788641	0.0394788787998421	0.0289785076068582	0.0297122483029735	0.0240003840061441	0.0188692596174258	0.0339607995342519	0.0145071205783505	0.0163532297628782	0.0201974298770481	0.0259121061359867	0.046079764071608	0.0354727332923426	0.167251271806546	0.173711638679792	0.0895492686809724	0.0312151616499443	0.117637173346778	0.187052700065062	0.0300932891965092	0.0610301009176312	0.0609880056922139	0.019944653586298
Bacteria|Actinobacteria|Actinobacteria|Unassigned	0.488866075138716	0.0162138373520487	0.416995657323332	0.234242936488771	0.0891367449089205	0.0984015744251908	0.00471731490435644	0.00485154279060741	0.0217606808675258	0.0186894054432893	0.0328208235502032	0.0129560530679934	0.011519941017902	0.0567563732677482	0.28339798833887	0.0248159483828274	0.0331663958077676	0.00222965440356745	0.0504159314343333	0.0894599869876383	0.0025077740997091	0.00653893938403191	0.00225881502563755	0.0274238986811598
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales	0.0391092860110973	0.0393764621406898	0.120904066324516	0.0120743781695243	0.178273489817841	0.115201843229492	0.00943462980871288	0.0121288569765185	0.0386856548756014	0.00467235136082233	0.0277714660809412	0.015547263681592	0.0714236343109923	0.120607293193965	0.336825477943739	0.270218104613009	0.106132466584856	0.0579710144927536	0.196061955577963	0.252114508783344	0.0652021265924365	0.0435929292268794	0.090352601025502	0.184488045673257
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	10.2197453007749	7.73400041692725	18.1183379392025	12.463173146583	8.16172605307065	14.4698315173043	4.73618416397387	5.33912284106346	2.80954568534055	3.99719658918351	7.89467040319119	6.75787728026534	8.49941248300809	7.24589698718252	5.38920764709982	3.40805691124162	11.8370866637922	2.97658862876254	5.3300843066409	9.64134677944047	5.33152773598154	2.21670045118682	5.20205100404328	7.09281743162723
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	0.0611082593923395	0.0208463623097769	0.552704303197789	0.0724462690171456	0.0845656297853861	0.093601497623962	0.0825530108262377	0.0363865709295556	0.120892671486254	0.0186894054432893	0.0833143982428236	0.0414593698175788	0.472317581733982	0.312160052972615	0.290366791330809	0.281247415005377	0.583728566216709	0.0423634336677815	0.092429207629611	0.524560832791152	0.308456214264219	0.0675690403016631	0.140046531589528	0.241828924733864
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned	0.0122216518784679	0	0.00493485984998026	0.147307413668196	0.00228555756176719	0.00480007680122882	0.00235865745217822	0	0.0241785342972509	0.00233617568041117	0.14895604534323	0	0.251134714190263	0.156080026486308	0.220678761411415	0.763779744671464	0.198998374846605	0.272017837235229	0.484553118785536	0.418835393623943	0.100310963988364	0.0675690403016631	0.126493641435703	0.206925780957842
Bacteria|Deferribacteres|Deferribacteres|Deferribacterales	0.0366649556354037	0.898709841799273	0.0863600473746546	0.0313933832407631	0.0411400361118095	0.0504008064129026	0.943462980871288	0.754414903939453	0.236949636113059	0.616750379628548	0.0151480724077861	0.269485903814262	0.0184319056286432	0.0094593955446247	0.00696880299193942	0.0165439655885516	0.149248781134954	0.0557413600891862	0.00560177015937036	0	0	0.0305150504588156	0.275575433127781	0.221884271147566
Bacteria|Firmicutes|Bacilli|Bacillales	0.0268876341326294	0.0370601996618257	0.0172720094749309	0.0676165177493359	0.0182844604941375	0.0336005376086017	0.0165106021652475	0.00970308558121483	0.00483570685945018	0.0070085270412335	0.00757403620389305	0.0310945273631841	0.00921595281432159	0.014189093316937	0.00696880299193942	0.176468966277883	0.192365095685052	0.11371237458194	0.145646024143629	0.166720884840599	0.137927575484	0.102443383683167	0.180705202051004	0.164543392086959
Bacteria|Firmicutes|Bacilli|Lactobacillales	0.965510498398964	0.669399856391726	0.75256612712199	0.949046124124608	0.809087376865586	1.58882542120674	0.917517748897328	0.645255191150786	0.512584927101719	0.808316785422264	0.530182534272514	1.09089966832504	0.652028661613253	0.780400132431538	2.53664428906595	2.32994182038768	1.97008391098139	0.889632107023411	0.742234546116573	2.28122966818478	0.712207844317384	0.579785958717496	1.17458381333153	0.777841489865623
