Class	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Bacteria|Actinobacteria|Actinobacteria	0.398059788052934	0.301225439857603	0.204043776664812	0.222544977511244	0.651031847774175	0.50768501213423	0.20962340071802	0.498444083386115	0.175864861737823	0.472708471822143	0.589173929053639	0.112895421975439	0.153715177600151	0.79676647541174	1.8804974218987	0.348247155981559	0.118171683389075	0.879477915021147	1.82173064411191	0.0877720934898184	0.135138080603326	0.176187571999729	0.137119493405799
Bacteria|Actinobacteria|Coriobacteriia	0.0843570411767807	0.152894730836813	0.192450380263402	0.660607196401799	0.0301636377347108	0.0223158247091969	0.0337325012649688	0.0192768430038829	0.0601642948050445	0.022158209616663	0.0883760893580459	0.0737276225145727	0.122972142080121	0.380961230226022	0.397055174125238	0.135982222811847	0.0579710144927536	0.221269921295129	0.325309043591412	0.0677099006921456	0.0479522221495673	0.112940751281878	0.184488045673257
Bacteria|Bacteroidetes|Bacteroidia	17.4988137291085	5.96061249172771	5.97755518456687	4.38999250374813	6.61840484629113	15.9837094479623	7.02599812061779	18.602153498747	6.65278259863473	12.4061353620405	13.1410335092672	8.57774808192982	7.38069337369342	5.45657274268856	3.45493148040919	11.9067360949886	3.02118171683389	5.38050023807523	9.69014313597918	5.44186979636874	2.23631726933891	5.28336834496623	7.22245767993817
Bacteria|Bacteroidetes|Flavobacteriia	0.0843570411767807	0.00228201090801214	0.0370988684845112	0.00702773613193403	0.0653545484252067	0.106000167368685	0.0819217887863528	0.0605843637264891	0.0740483628369779	0.103404978211094	0.0908309807291027	0.472317581733982	0.312160052972615	0.290366791330809	0.281247415005377	0.583728566216709	0.0423634336677815	0.092429207629611	0.524560832791152	0.308456214264219	0.0675690403016631	0.140046531589528	0.241828924733864
Bacteria|Candidatus_Saccharibacteria|Unassigned	0.0052723150735488	0.00684603272403642	0.113615284733816	0.00234257871064468	0	0	0	0.00275383471484042	0	0	0	0.251134714190263	0.156080026486308	0.220678761411415	0.763779744671464	0.198998374846605	0.272017837235229	0.484553118785536	0.418835393623943	0.100310963988364	0.0675690403016631	0.126493641435703	0.206925780957842
Bacteria|Deferribacteres|Deferribacteres	0.17398639742711	0.0456402181602428	0.0046373585605639	0.0163980509745127	0.0452454566020662	0.0223158247091969	0.0168662506324844	0.0192768430038829	0.550734698600023	0.0344683260703646	0.0245489137105683	0.0184319056286432	0.0094593955446247	0.00696880299193942	0.0165439655885516	0.149248781134954	0.0557413600891862	0.00560177015937036	0	0	0.0305150504588156	0.275575433127781	0.221884271147566
Bacteria|Firmicutes|Bacilli	1.41561659724785	1.71379019191712	0.660823594880356	0.477886056971514	0.409722745896488	0.437948059917989	0.380695371418934	1.05747253049872	0.613213004743723	0.467784425240663	1.39928808150239	0.661244614427574	0.794589225748475	2.54361309205789	2.50641078666556	2.16244900666645	1.00334448160535	0.887880570260202	2.44795055302537	0.850135419801384	0.682229342400663	1.35528901538253	0.942384881952582
Bacteria|Firmicutes|Clostridia	57.5288659250277	80.1647611875585	72.6349471341124	74.6181596701649	68.4488349294925	58.6264609891489	81.3435173360962	65.9901412717209	68.9922480620155	66.0634709604353	69.4758806922794	64.2513190332465	63.4678144066594	70.2525029617413	68.9276752971021	65.7424297701569	86.7045707915273	69.0754278351959	61.7517891997398	82.2248971812619	89.6684757732296	83.4180388967947	69.6392510782578
Bacteria|Firmicutes|Erysipelotrichia	10.5920809827595	6.20706966979302	8.17566314227416	13.3152173913043	1.00042731820124	17.498396050099	4.93217357781365	5.20750144576323	3.46176096262872	14.2304946204791	9.27703449122376	1.15660207819736	1.08546563874568	0.919881994936003	2.79593018446522	0.696494311963119	0.129319955406912	0.834663753746184	1.28497072218608	1.03571070317986	0.765055907931734	1.83189898579205	1.08449053875496
Bacteria|Firmicutes|Negativicutes	0.0052723150735488	0.177996850824947	0.257373400111297	0.393553223388306	0.291581831435538	0.334737370637954	0.250584295111197	0.459890397378349	0.208261020479	0.322525051086983	0.0613722842764208	0.186623044490012	0.0496618266092797	0.171897140467839	0.0606612071580224	0.0994991874233027	0.0624303232998885	0.0504159314343332	0.121990891346779	0.0652021265924365	0.0305150504588156	0.12875245646134	0.00747924509486176
