Family	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae	0.30065263621031	0.0833854492391078	0.0518160284247927	0.0893503984544796	0.127991223458963	0.12000192003072	0.165106021652475	0.179507083252474	0.135399792064605	0.170540824670015	0.126233936731551	0.300580431177446	0.133631315807663	0.113512746535496	0.3948988362099	1.69024181763035	0.24543132897748	0.100334448160535	0.725429235638462	1.56148340923878	0.0702176747918548	0.071928333224351	0.121976011384428	0.0897509411383411
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae	0.0391092860110973	0.023162624788641	0.037011448874852	0.0289785076068582	0.0297122483029735	0.0240003840061441	0.00943462980871288	0.0169803997671259	0.0120892671486255	0.014017054082467	0.0201974298770481	0.0259121061359867	0.0207358938322236	0.0260133377477179	0.0301981462984041	0.0606612071580224	0.0729660707770887	0.0289855072463768	0.0896283225499258	0.0609954456733897	0.0275855150968001	0.0392336363041915	0.0338822253845633	0.00997232679314901
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Unassigned	0	0	0.00246742992499013	0	0	0	0.00943462980871288	0.0169803997671259	0.00241785342972509	0.00233617568041117	0	0	0.0253438702393844	0.0094593955446247	0.137053125508142	0.113050431521769	0.0165831979038838	0.00222965440356745	0.0280088507968518	0.126057254391672	0.0025077740997091	0.0217964646134397	0.0271057803076506	0.00997232679314901
Bacteria|Actinobacteria|Actinobacteria|Unassigned|Unassigned	0.488866075138716	0.0162138373520487	0.416995657323332	0.234242936488771	0.0891367449089205	0.0984015744251908	0.00471731490435644	0.00485154279060741	0.0217606808675258	0.0186894054432893	0.0328208235502032	0.0129560530679934	0.011519941017902	0.0567563732677482	0.28339798833887	0.0248159483828274	0.0331663958077676	0.00222965440356745	0.0504159314343333	0.0894599869876383	0.0025077740997091	0.00653893938403191	0.00225881502563755	0.0274238986811598
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae	0.0391092860110973	0.0393764621406898	0.120904066324516	0.0120743781695243	0.178273489817841	0.115201843229492	0.00943462980871288	0.0121288569765185	0.0386856548756014	0.00467235136082233	0.0277714660809412	0.015547263681592	0.0714236343109923	0.120607293193965	0.336825477943739	0.270218104613009	0.106132466584856	0.0579710144927536	0.196061955577963	0.252114508783344	0.0652021265924365	0.0435929292268794	0.090352601025502	0.184488045673257
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae	0.970399159150351	0.546637945011929	3.71594946703514	0.659261048056025	0.388544785500423	1.9488311812989	0.816095478453664	1.30263923927809	0.544017021688145	0.829342366545964	1.33555505061981	1.3603855721393	0.149759233232726	0.16080972425862	0.390252967548607	0.0551465519618386	0.305130841431462	0.356744704570792	0.165252219701426	0.248048145738452	0.233222991272946	0.0414132827655354	0.146822976666441	0.339059110967066
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Barnesiellaceae	0.263987680574907	0.226993722928682	0.56750888274773	0.321178459309346	0.351975864512148	0.432006912110594	0.169823336556832	0.257131767902193	0.106385550907904	0.217264338278239	0.522608498068621	0.500103648424544	0.188927032693593	0.267227924135648	0.267137448024344	0.137866379904596	0.162515339458061	0.0356744704570792	0.128840713665518	0.191119063109954	0.105326512187782	0.0479522221495673	0.0880937859998645	0.109695594724639
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae	6.33081567304637	3.05746647210062	8.48302408211607	4.37333977300169	4.67853632893744	8.43373493975904	2.95775644503149	2.99825344459538	1.56193331560241	2.12124751781334	4.85243252796082	3.3167495854063	6.70921364882612	5.62124580239323	3.12434667471951	2.53122673504839	10.0394680110112	1.97547380156076	3.40307537181749	6.62410540013012	4.40365131908918	1.70448353277098	4.13137268189108	5.70167784398295
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae	2.21945198112977	3.54619785514094	4.85590209238058	6.5684617242212	2.40440655497909	2.84164546632746	0.5306979267401	0.368717252086163	0.294978118426461	0.436864852236888	0.757403620389306	1.27228441127695	0.509181392991268	0.761481341342288	1.45647982531534	0.603854743982132	0.832476534774966	0.416945373467113	1.40884519508165	2.40728692257645	0.336041729361019	0.311689443972188	0.5714802014863	0.545984891924908
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae	0.435090806873457	0.356704421745072	0.495953414923016	0.540932141994687	0.338262519141545	0.813613017808285	0.261810977191782	0.41238113720163	0.302231678715636	0.392477514309076	0.426670706152642	0.308354063018242	0.942331175264383	0.435132195052736	0.150990731492021	0.0799625003446659	0.497495937116514	0.1917502787068	0.224070806374814	0.170787247885491	0.253285184070619	0.111161969528542	0.264281357999593	0.396399990027673
