Order	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales	0.217160391832881	0.551737974620053	0.21237123468242	0.0869565217391304	0.533333333333333	0.469048123807505	0.098950162905756	0.412644787644788	0.197688564476886	0.24879911319128	1.54406713854792	0.449575275619013	0.0645116697002511	0.0685806176985291	0.360054821250203	1.69299914522844	0.232164770654373	0.0914158305462653	0.77864605215248	1.56554977228367	0.0677099006921456	0.069748686763007	0.121976011384428	0.114681758121214
Bacteria|Actinobacteria|Actinobacteria|Micrococcales	0.0259648294582792	0.0476500978080955	0.0439388761411903	0.0460358056265985	0.0573208722741433	0.0741997032011872	0.0265476046820321	0.0361969111969112	0.0202757502027575	0.0123167877817465	0.0328524923095302	0.0158142056750407	0.046079764071608	0.0354727332923426	0.167251271806546	0.173711638679792	0.0895492686809724	0.0312151616499443	0.117637173346778	0.187052700065062	0.0300932891965092	0.0610301009176312	0.0609880056922139	0.019944653586298
Bacteria|Actinobacteria|Actinobacteria|Unassigned	0.056650536999882	0.0200631990770928	0.21481228335693	0.0127877237851662	0.00747663551401869	0.116599533601866	0.00241341860745746	0.028957528957529	0.0177412814274128	0.0221702180071437	0.00597318041991458	0.454093620097596	0.011519941017902	0.0567563732677482	0.28339798833887	0.0248159483828274	0.0331663958077676	0.00222965440356745	0.0504159314343333	0.0894599869876383	0.0025077740997091	0.00653893938403191	0.00225881502563755	0.0274238986811598
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	0.00236043904166175	0.00752369965390982	0.0244104867451057	0	0.0996884735202492	0.0211999152003392	0.00241341860745746	0.0506756756756757	0.0202757502027575	0.0024633575563493	0.164262461547651	0.0112958611964576	0.0023039882035804	0.00236484888615617	0.044135752282283	0.126837069512229	0.0298497562269908	0	0.0252079657171666	0.0731945348080677	0.0025077740997091	0.00435929292268794	0.0225881502563755	0
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales	0.037767024666588	0.0326026985002759	0.0317336327686374	0.00767263427109974	0.0373831775700935	0.0079499682001272	0.036201279111862	0.0434362934362934	0.0126723438767234	0.00985343022539722	0.020906131469701	0.0542201337429966	0.0668156579038315	0.0993236532185593	0.223001695742061	0.231615518239722	0.0862326291001957	0.0379041248606466	0.173654874940481	0.195185426154847	0.0526632560938911	0.0370539898428475	0.065505635743489	0.149584901897235
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	3.87820134545025	10.8466670010533	12.0856319875018	8.59590792838875	6.93582554517134	10.7854568581726	9.31338240617835	6.04971042471042	8.92386455798865	6.9195713757852	13.2992862049398	6.77525754563528	8.46024468354722	7.27900487158871	5.42405166205951	3.39427027325116	11.7375874763689	3.03010033444816	5.34128784695964	9.60474951203643	5.36914434747718	2.23195797641623	5.14558062840234	7.15015831068784
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	0.22896258704119	0.0677132968851883	0.187960747937314	0.721227621483376	0.102180685358255	0.0291498834004664	0.272716302642693	0.041023166023166	0.0253446877534469	0.118241162704767	0.0836245258788042	0.0429242725465389	0.472317581733982	0.312160052972615	0.290366791330809	0.281247415005377	0.583728566216709	0.0423634336677815	0.092429207629611	0.524560832791152	0.308456214264219	0.0675690403016631	0.140046531589528	0.241828924733864
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned	0	0	0.00488209734902114	0	0.00498442367601246	0.026499894000424	0.0530952093640642	0.0555019305019305	0	0	0	0.00225917223929152	0.251134714190263	0.156080026486308	0.220678761411415	0.763779744671464	0.198998374846605	0.272017837235229	0.484553118785536	0.418835393623943	0.100310963988364	0.0675690403016631	0.126493641435703	0.206925780957842
Bacteria|Deferribacteres|Deferribacteres|Deferribacterales	0.571226248082143	0.112855494808647	0.0268515354196163	0.051150895140665	0.478504672897196	0.0821496714013144	0.0530952093640642	1.57818532818533	0.164740470397405	0.0615839389087326	0.071678165038975	0.00677751671787457	0.0184319056286432	0.0094593955446247	0.00696880299193942	0.0165439655885516	0.149248781134954	0.0557413600891862	0.00560177015937036	0	0	0.0305150504588156	0.275575433127781	0.221884271147566
Bacteria|Firmicutes|Bacilli|Bacillales	0.0424879027499115	0.0501579976927321	0.0585851681882537	0.020460358056266	0.0498442367601246	0.0609497562009752	0.195486907204055	0.1496138996139	0.134326845093268	0.118241162704767	0.20906131469701	0.112958611964576	0.00921595281432159	0.014189093316937	0.00696880299193942	0.176468966277883	0.192365095685052	0.11371237458194	0.145646024143629	0.166720884840599	0.137927575484	0.102443383683167	0.180705202051004	0.164543392086959
