Order	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales	0.144988664522592	0.198534948997056	0.048692264885921	0.171008245877061	0.0980318226378101	0.3598426734358	0.108425896923114	0.300167983917605	0.0485942381117667	0.312676957924022	0.471339143242911	0.0552957168859295	0.0614860710400605	0.346117215266324	1.68196983483608	0.225531491492819	0.084726867335563	0.711424810240036	1.54521795705921	0.0551710301936002	0.0675690403016631	0.112940751281878	0.0897509411383411
Bacteria|Actinobacteria|Actinobacteria|Micrococcales	0.0579954658090368	0.0753063599644006	0.0510109441662029	0.0398238380809595	0.0553000025136365	0.050210605595693	0.0819217887863528	0.079861206730372	0.0462802267731112	0.0640126055592486	0.0981956548422732	0.046079764071608	0.0354727332923426	0.167251271806546	0.173711638679792	0.0895492686809724	0.0312151616499443	0.117637173346778	0.187052700065062	0.0300932891965092	0.0610301009176312	0.0609880056922139	0.019944653586298
Bacteria|Actinobacteria|Actinobacteria|Unassigned	0.195075657721305	0.0273841308961457	0.104340567612688	0.0117128935532234	0.497700022622728	0.0976317331027365	0.0192757150085536	0.118414892738138	0.0809903968529446	0.0960189083388729	0.0196391309684546	0.011519941017902	0.0567563732677482	0.28339798833887	0.0248159483828274	0.0331663958077676	0.00222965440356745	0.0504159314343333	0.0894599869876383	0.0025077740997091	0.00653893938403191	0.00225881502563755	0.0274238986811598
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	0.0606316233458111	0.0867164145044613	0.111296605453534	0.426349325337331	0.00502727295578513	0.00278947808864961	0.0024094643760692	0.00275383471484042	0.0462802267731112	0	0.00490978274211366	0.0023039882035804	0.00236484888615617	0.044135752282283	0.126837069512229	0.0298497562269908	0	0.0252079657171666	0.0731945348080677	0.0025077740997091	0.00435929292268794	0.0225881502563755	0
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales	0.0237254178309696	0.0661783163323521	0.0811537748098683	0.234257871064468	0.0251363647789257	0.0195263466205473	0.0313230368888996	0.0165230082890425	0.0138840680319334	0.022158209616663	0.0834663066159322	0.0714236343109923	0.120607293193965	0.336825477943739	0.270218104613009	0.106132466584856	0.0579710144927536	0.196061955577963	0.252114508783344	0.0652021265924365	0.0435929292268794	0.090352601025502	0.184488045673257
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	17.4988137291085	5.96061249172771	5.97755518456687	4.38999250374813	6.61840484629113	15.9837094479623	7.02599812061779	18.602153498747	6.65278259863473	12.4061353620405	13.1410335092672	8.57774808192982	7.38069337369342	5.45657274268856	3.45493148040919	11.9067360949886	3.02118171683389	5.38050023807523	9.69014313597918	5.44186979636874	2.23631726933891	5.28336834496623	7.22245767993817
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	0.0843570411767807	0.00228201090801214	0.0370988684845112	0.00702773613193403	0.0653545484252067	0.106000167368685	0.0819217887863528	0.0605843637264891	0.0740483628369779	0.103404978211094	0.0908309807291027	0.472317581733982	0.312160052972615	0.290366791330809	0.281247415005377	0.583728566216709	0.0423634336677815	0.092429207629611	0.524560832791152	0.308456214264219	0.0675690403016631	0.140046531589528	0.241828924733864
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned	0.0052723150735488	0.00684603272403642	0.113615284733816	0.00234257871064468	0	0	0	0.00275383471484042	0	0	0	0.251134714190263	0.156080026486308	0.220678761411415	0.763779744671464	0.198998374846605	0.272017837235229	0.484553118785536	0.418835393623943	0.100310963988364	0.0675690403016631	0.126493641435703	0.206925780957842
Bacteria|Deferribacteres|Deferribacteres|Deferribacterales	0.17398639742711	0.0456402181602428	0.0046373585605639	0.0163980509745127	0.0452454566020662	0.0223158247091969	0.0168662506324844	0.0192768430038829	0.550734698600023	0.0344683260703646	0.0245489137105683	0.0184319056286432	0.0094593955446247	0.00696880299193942	0.0165439655885516	0.149248781134954	0.0557413600891862	0.00560177015937036	0	0	0.0305150504588156	0.275575433127781	0.221884271147566
Bacteria|Firmicutes|Bacilli|Bacillales	0.255707281067117	0.182560872640971	0.0231867928028195	0.0234257871064468	0.0377045471683885	0.0251053027978465	0.0337325012649688	0.0275383471484042	0.0370241814184889	0.0270822561981436	0.0171842395973978	0.00921595281432159	0.014189093316937	0.00696880299193942	0.176468966277883	0.192365095685052	0.11371237458194	0.145646024143629	0.166720884840599	0.137927575484	0.102443383683167	0.180705202051004	0.164543392086959
