Class	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Bacteria|Actinobacteria|Actinobacteria	0.299775758291042	0.619451271505241	0.47112239418054	0.145780051150895	0.598130841121495	0.659847360610558	0.127911186195246	0.477799227799228	0.235705596107056	0.28328611898017	1.58289281127736	0.91948310139165	0.122111374789761	0.16080972425862	0.810704081395619	1.89152673229106	0.354880435143113	0.124860646599777	0.946699156933591	1.84206245933637	0.100310963988364	0.13731772706467	0.185222832102279	0.162050310388671
Bacteria|Actinobacteria|Coriobacteriia	0.0401274637082497	0.0401263981541857	0.0561441195137431	0.00767263427109974	0.137071651090343	0.0291498834004664	0.0386146977193194	0.0941119691119691	0.0329480940794809	0.0123167877817465	0.185168593017352	0.0655159949394542	0.0691196461074119	0.101688502104716	0.267137448024344	0.358452587751951	0.116082385327186	0.0379041248606466	0.198862840657648	0.268379960962915	0.0551710301936002	0.0414132827655354	0.0880937859998645	0.149584901897235
Bacteria|Bacteroidetes|Bacteroidia	3.87820134545025	10.8466670010533	12.0856319875018	8.59590792838875	6.93582554517134	10.7854568581726	9.31338240617835	6.04971042471042	8.92386455798865	6.9195713757852	13.2992862049398	6.77525754563528	8.46024468354722	7.27900487158871	5.42405166205951	3.39427027325116	11.7375874763689	3.03010033444816	5.34128784695964	9.60474951203643	5.36914434747718	2.23195797641623	5.14558062840234	7.15015831068784
Bacteria|Bacteroidetes|Flavobacteriia	0.22896258704119	0.0677132968851883	0.187960747937314	0.721227621483376	0.102180685358255	0.0291498834004664	0.272716302642693	0.041023166023166	0.0253446877534469	0.118241162704767	0.0836245258788042	0.0429242725465389	0.472317581733982	0.312160052972615	0.290366791330809	0.281247415005377	0.583728566216709	0.0423634336677815	0.092429207629611	0.524560832791152	0.308456214264219	0.0675690403016631	0.140046531589528	0.241828924733864
Bacteria|Candidatus_Saccharibacteria|Unassigned	0	0	0.00488209734902114	0	0.00498442367601246	0.026499894000424	0.0530952093640642	0.0555019305019305	0	0	0	0.00225917223929152	0.251134714190263	0.156080026486308	0.220678761411415	0.763779744671464	0.198998374846605	0.272017837235229	0.484553118785536	0.418835393623943	0.100310963988364	0.0675690403016631	0.126493641435703	0.206925780957842
Bacteria|Deferribacteres|Deferribacteres	0.571226248082143	0.112855494808647	0.0268515354196163	0.051150895140665	0.478504672897196	0.0821496714013144	0.0530952093640642	1.57818532818533	0.164740470397405	0.0615839389087326	0.071678165038975	0.00677751671787457	0.0184319056286432	0.0094593955446247	0.00696880299193942	0.0165439655885516	0.149248781134954	0.0557413600891862	0.00560177015937036	0	0	0.0305150504588156	0.275575433127781	0.221884271147566
Bacteria|Firmicutes|Bacilli	0.967780007081317	2.25460199628831	1.07162036811014	0.554987212276215	1.20623052959502	1.31969472122111	1.08603837335586	1.3030888030888	1.88057583130576	1.56176869072546	1.59782576232715	0.960148201698897	0.661244614427574	0.794589225748475	2.54361309205789	2.50641078666556	2.16244900666645	1.00334448160535	0.887880570260202	2.44795055302537	0.850135419801384	0.682229342400663	1.35528901538253	0.942384881952582
Bacteria|Firmicutes|Clostridia	88.0679806443999	63.3620905853438	50.8250744519846	82.6624040920716	74.7563862928349	71.8385626457494	79.4425003016773	80.5260617760618	73.279095701541	82.4855277743565	63.0200400203088	69.2210374118923	64.0969518236067	62.9641015939081	69.7925619642733	68.417569691455	65.815395840934	86.5663322185061	68.7169145449962	61.1499674690956	82.1346173136724	89.5376969855489	83.3841566714102	69.1456209019969
Bacteria|Firmicutes|Erysipelotrichia	0.632597663165349	12.7927973115313	5.43621539813504	0.281329923273657	9.43052959501558	7.81216875132499	2.95402437552794	3.42664092664093	9.97313463098135	3.09890380588742	13.705462473494	5.26613048978854	1.15660207819736	1.08546563874568	0.919881994936003	2.79593018446522	0.696494311963119	0.129319955406912	0.834663753746184	1.28497072218608	1.03571070317986	0.765055907931734	1.83189898579205	1.08449053875496
Bacteria|Firmicutes|Negativicutes	0.009441756166647	0.0175552991924562	0	0.0690537084398977	0.0274143302180685	0.039749841000636	0.0458549535416918	0.0361969111969112	0.00760340632603406	0.00492671511269861	0.0597318041991458	0.135550334357491	0.168191138861369	0.0449321288369673	0.0859485702339195	0.0606612071580224	0.0497495937116514	0.0468227424749164	0.0504159314343332	0.101659076122316	0.0601865783930184	0.0283354039974716	0.0609880056922139	0.00747924509486176
