Genus	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium	0.30065263621031	0.0833854492391078	0.0518160284247927	0.0893503984544796	0.127991223458963	0.12000192003072	0.165106021652475	0.179507083252474	0.135399792064605	0.170540824670015	0.126233936731551	0.300580431177446	0.133631315807663	0.113512746535496	0.3948988362099	1.69024181763035	0.24543132897748	0.100334448160535	0.725429235638462	1.56148340923878	0.0702176747918548	0.071928333224351	0.121976011384428	0.0897509411383411
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia	0.0391092860110973	0.023162624788641	0.037011448874852	0.0289785076068582	0.0297122483029735	0.0240003840061441	0.00943462980871288	0.0169803997671259	0.0120892671486255	0.014017054082467	0.0201974298770481	0.0259121061359867	0.0207358938322236	0.0260133377477179	0.0301981462984041	0.0606612071580224	0.0729660707770887	0.0289855072463768	0.0896283225499258	0.0609954456733897	0.0275855150968001	0.0392336363041915	0.0338822253845633	0.00997232679314901
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Unassigned|Unassigned	0	0	0.00246742992499013	0	0	0	0.00943462980871288	0.0169803997671259	0.00241785342972509	0.00233617568041117	0	0	0.0253438702393844	0.0094593955446247	0.137053125508142	0.113050431521769	0.0165831979038838	0.00222965440356745	0.0280088507968518	0.126057254391672	0.0025077740997091	0.0217964646134397	0.0271057803076506	0.00997232679314901
Bacteria|Actinobacteria|Actinobacteria|Unassigned|Unassigned|Unassigned	0.488866075138716	0.0162138373520487	0.416995657323332	0.234242936488771	0.0891367449089205	0.0984015744251908	0.00471731490435644	0.00485154279060741	0.0217606808675258	0.0186894054432893	0.0328208235502032	0.0129560530679934	0.011519941017902	0.0567563732677482	0.28339798833887	0.0248159483828274	0.0331663958077676	0.00222965440356745	0.0504159314343333	0.0894599869876383	0.0025077740997091	0.00653893938403191	0.00225881502563755	0.0274238986811598
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Adlercreutzia	0.0244433037569358	0.0185300998309128	0.037011448874852	0.00724462690171456	0.0159989029323703	0.0264004224067585	0.00471731490435644	0.00727731418591112	0.0217606808675258	0.00467235136082233	0.0126233936731551	0.0129560530679934	0.0506877404787687	0.0804048621293099	0.202095286766243	0.121322414316045	0.0729660707770887	0.0156075808249721	0.0532168165140184	0.117924528301887	0.0326010632962183	0.0239761110747837	0.0542115606153012	0.0673132058537558
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Enteroscipio	0.00488866075138716	0	0.0123371496249507	0	0.0937078600324549	0.0360005760092161	0.00235865745217822	0.00242577139530371	0.00725356028917527	0	0	0.00259121061359867	0.0046079764071608	0.0212836399754056	0.113823782201677	0.038602586373287	0.0198998374846605	0.020066889632107	0.0224070806374814	0.0569290826284971	0.0125388704985455	0.00653893938403191	0.0248469652820131	0.0349031437760215
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Unassigned	0.00977732150277431	0.0208463623097769	0.0715554678247138	0.00482975126780971	0.0685667268530158	0.052800844813517	0.00235865745217822	0.00242577139530371	0.00967141371890036	0	0.0151480724077861	0	0.0161279174250628	0.0189187910892494	0.0209064089758183	0.110293103923677	0.013266558323107	0.0222965440356745	0.120438058426463	0.0772608978529603	0.0200621927976728	0.0130778787680638	0.0112940751281878	0.0822716960434794
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	0.970399159150351	0.546637945011929	3.71594946703514	0.659261048056025	0.388544785500423	1.9488311812989	0.816095478453664	1.30263923927809	0.544017021688145	0.829342366545964	1.33555505061981	1.3603855721393	0.149759233232726	0.16080972425862	0.390252967548607	0.0551465519618386	0.305130841431462	0.356744704570792	0.165252219701426	0.248048145738452	0.233222991272946	0.0414132827655354	0.146822976666441	0.339059110967066
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Barnesiellaceae|Barnesiella	0.263987680574907	0.226993722928682	0.56750888274773	0.321178459309346	0.351975864512148	0.432006912110594	0.169823336556832	0.257131767902193	0.106385550907904	0.217264338278239	0.522608498068621	0.500103648424544	0.188927032693593	0.267227924135648	0.267137448024344	0.137866379904596	0.162515339458061	0.0356744704570792	0.128840713665518	0.191119063109954	0.105326512187782	0.0479522221495673	0.0880937859998645	0.109695594724639
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Duncaniella	3.04807997848989	1.54726333588122	4.73253059613107	2.538034291234	2.55068223893219	4.63927422838765	1.54020331627238	1.73685231903745	0.838995140114606	1.12136432659736	2.63071524148552	2.02632669983416	3.73706886620741	3.60639455138817	1.36123951775883	1.18013621198335	5.31988988756592	0.916387959866221	1.65812396717363	3.22462589459987	2.36733875012539	0.804289544235925	2.02389826297125	3.4230011717484
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculum	0.884847596001076	0.403029671322354	1.72720094749309	0.642356918618691	0.898224121774507	1.18081889310229	0.412765054131189	0.480302736270134	0.26596387726976	0.474243663123467	0.696811330758161	0.611525704809287	2.1749648641799	1.35269356288133	0.606285860298729	0.523892243637467	2.13591589002023	0.376811594202899	0.689017729602554	0.992192582953806	1.49964891162604	0.575426665794808	1.34173612522871	1.57064146992097
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Paramuribaculum	2.11190144459925	1.02147175317907	1.61369917094355	1.06496015455204	0.996503096930496	2.24403590457447	0.922235063801684	0.715602561614593	0.41345293648299	0.485924541525523	1.33303037188518	0.632255389718076	0.594428956523743	0.612495861514449	0.708494970847174	0.540436209226018	1.13429073662565	0.454849498327759	0.557376130857351	0.984059856864021	0.478984853044438	0.241940757209181	0.713785548101466	0.615791179476952
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Unassigned	0.285986653956149	0.0857017117179719	0.409593367548362	0.127988408596957	0.233126871300254	0.369605913694619	0.0825530108262377	0.0654958276732001	0.0435213617350516	0.0397149865669898	0.191875583831957	0.0466417910447761	0.202750961915075	0.0496618266092797	0.448326325814769	0.286762070201561	1.44937149679944	0.22742474916388	0.498557544183962	1.42322706571243	0.0576788042933093	0.0828265655310709	0.0519527455896637	0.0922440228366284
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	0.427757815746376	0.226993722928682	0.94255823134623	1.18811881188119	0.422828148926931	1.44722315557049	0.228789772861287	0.208616339996119	0.0773713097512029	0.0957832028968578	0.217122371178268	0.0414593698175788	0.338686265926318	0.669252234782197	0.722432576831053	0.250916811426366	0.331663958077676	0.136008918617614	0.661008878805703	0.435100845803513	0.248269635871201	0.156934545216766	0.108423121230602	0.403879235122535
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellamassilia	1.79169416538339	3.31920413221226	3.91334386103435	5.38034291234001	1.98157840605216	1.39442231075697	0.301908153878812	0.160100912090045	0.217606808675258	0.34108164934003	0.540281249211038	1.23082504145937	0.170495127064949	0.0922291065600908	0.734047248484285	0.352937932555767	0.50081257669729	0.280936454849498	0.747836316275943	1.97218607677293	0.0877720934898184	0.154754898755422	0.463057080255698	0.142105656802373
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes	0.435090806873457	0.356704421745072	0.495953414923016	0.540932141994687	0.338262519141545	0.813613017808285	0.261810977191782	0.41238113720163	0.302231678715636	0.392477514309076	0.426670706152642	0.308354063018242	0.942331175264383	0.435132195052736	0.150990731492021	0.0799625003446659	0.497495937116514	0.1917502787068	0.224070806374814	0.170787247885491	0.253285184070619	0.111161969528542	0.264281357999593	0.396399990027673
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Unassigned	0.0611082593923395	0.0208463623097769	0.552704303197789	0.0724462690171456	0.0845656297853861	0.093601497623962	0.0825530108262377	0.0363865709295556	0.120892671486254	0.0186894054432893	0.0833143982428236	0.0414593698175788	0.472317581733982	0.312160052972615	0.290366791330809	0.281247415005377	0.583728566216709	0.0423634336677815	0.092429207629611	0.524560832791152	0.308456214264219	0.0675690403016631	0.140046531589528	0.241828924733864
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned|Saccharibacteria_genera_incertae_sedis	0.0122216518784679	0	0.00493485984998026	0.147307413668196	0.00228555756176719	0.00480007680122882	0.00235865745217822	0	0.0241785342972509	0.00233617568041117	0.14895604534323	0	0.251134714190263	0.156080026486308	0.220678761411415	0.763779744671464	0.198998374846605	0.272017837235229	0.484553118785536	0.418835393623943	0.100310963988364	0.0675690403016631	0.126493641435703	0.206925780957842
Bacteria|Deferribacteres|Deferribacteres|Deferribacterales|Deferribacteraceae|Mucispirillum	0.0366649556354037	0.898709841799273	0.0863600473746546	0.0313933832407631	0.0411400361118095	0.0504008064129026	0.943462980871288	0.754414903939453	0.236949636113059	0.616750379628548	0.0151480724077861	0.269485903814262	0.0184319056286432	0.0094593955446247	0.00696880299193942	0.0165439655885516	0.149248781134954	0.0557413600891862	0.00560177015937036	0	0	0.0305150504588156	0.275575433127781	0.221884271147566
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus	0.0268876341326294	0.0370601996618257	0.0172720094749309	0.0676165177493359	0.0182844604941375	0.0336005376086017	0.0165106021652475	0.00970308558121483	0.00483570685945018	0.0070085270412335	0.00757403620389305	0.0310945273631841	0.00921595281432159	0.014189093316937	0.00696880299193942	0.176468966277883	0.192365095685052	0.11371237458194	0.145646024143629	0.166720884840599	0.137927575484	0.102443383683167	0.180705202051004	0.164543392086959
Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus	0.381315538608198	0.2710027100271	0.301026450848796	0.301859454238107	0.303979155715037	0.316805068881102	0.181616623817723	0.28138948185523	0.207935394956358	0.214928162597827	0.229745764851423	0.233208955223881	0.253438702393844	0.27195762190796	0.313596134637274	0.250916811426366	0.202315014427382	0.153846153846154	0.145646024143629	0.178919973975276	0.100310963988364	0.071928333224351	0.164893496871541	0.147091820198948
Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Melissococcus	0.00244433037569358	0	0.00986971969996052	0.118328906061338	0.011427787808836	0.0192003072049153	0.021227917069604	0	0.00241785342972509	0.00233617568041117	0	0.139925373134328	0.0023039882035804	0.0307430355200303	0.0209064089758183	0.00827198279427579	0.00331663958077676	0.00445930880713489	0	0.227716330513988	0.0025077740997091	0.0196168181520957	0.10164667615369	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	0.0439979467624844	0.0138975748731846	0.019739439399921	0.0193190050712388	0.00685667268530158	0.012000192003072	0.290114866617921	0.0679215990685038	0.0773713097512029	0.334073122298797	0.0227221086116792	0.336857379767828	0.103679469161118	0.0283781866338741	0.91523612627471	1.17462155678716	1.25037312195284	0.198439241917503	0.193261070498277	0.565224463240078	0.253285184070619	0.14821595937139	0.481127600460798	0.289197477001321
