OTU	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
ASV_1	6.4559498075605	0.435864083430319	7.46150992394732	0.466173163418291	17.454691702486	0.198052944294123	0.15179625569236	0.283644975628563	14.2242276987157	0.265898515399956	0.314226095495274	18.5240651567864	19.5170978574469	8.94562010731957	2.38233104475143	0.421213226758648	0.0869565217391304	1.03632747948352	7.9090761223162	4.52402447587521	0.353102726737723	0.78380881389623	11.9618059883822
ASV_2	8.17736067907418	6.90764701855275	13.3463179373029	5.04122938530735	7.7118367141744	2.62210940333064	5.02132375972821	0.280891140913722	18.2575494619924	4.00817391732526	4.14876641708604	0.200446973711495	0.326349146289552	0.171897140467839	0.118565086717953	0.13266558323107	0.1917502787068	0.887880570260202	0.154521795705921	0.0476477078944729	0.370539898428475	0.501456935691536	0.124654084914363
ASV_3	5.72573416987399	3.95016088176901	4.40549063253571	6.46083208395802	0.26393183017872	16.2849730815364	2.76847456810351	3.83333792305786	2.45979405299086	8.84851170692075	6.38517245611882	0.0760316107181531	0.0969588043324032	0.617900531951962	2.43472026911517	0.0928659082617492	0.0423634336677815	0.487354003865221	0.817338972023422	0.0426321596950547	0.0392336363041915	0.0406586704614759	0.0324100620777343
ASV_11	0.123899404228397	0.107254512676571	0.0417362270450751	0.1101011994003	0.0703818213809919	0.384947976233647	0.192757150085536	0.388290694792499	0.00462802267731112	0.160031513898121	0.778200564625015	0.271870608022487	0.212836399754056	0.281075054008223	0.0965064659332175	0.892176047228948	0.74247491638796	0.16245133462174	0.0772608978529603	0.0275855150968001	0.366180605505787	0.0971290461024147	0.186981127371544
ASV_8	0.0421785205883904	0.0867164145044613	0.10665924689297	0.079647676161919	0.10808636854938	0.627632569946163	7.4789774233188	1.84506925894308	0.0624783061437001	4.34547110815668	1.73560819933718	5.71389074487939	5.28307241167289	5.73300192803549	5.74351338682549	2.07289973798547	4.39910813823857	0.845867294064924	3.7613858165257	6.8637777109038	0.505677979031801	8.38472137516659	6.46206776196056
ASV_10	0.0659039384193599	0.0844344035964492	0.0834724540901502	2.67991004497751	0.0728954578588844	4.11726965884683	1.55892345131677	1.55040894445515	0.0485942381117667	0.918334687446143	0.832208174788266	0.218878879340138	0.205741853095587	0.213709958419475	0.0579038795599305	0.102815827004079	0.0624303232998885	0.0476150463546481	0.109791802212101	0.0401243855953456	0.0239761110747837	0.0745408958460392	0.0623270424571813
ASV_1385	0.0949016713238783	0.100408479952534	0.0834724540901502	0.0585644677661169	0.135736369806199	0.175737119584926	11.6690359733031	4.90182579241594	0.0624783061437001	3.80136396090307	1.73560819933718	0.0714236343109923	0.00472969777231235	0.00696880299193942	0.00827198279427579	0.00331663958077676	0.0691192865105908	0.0644203568327592	0.0365972674040338	0.0326010632962183	0.00435929292268794	0.0090352601025502	0.0149584901897235
ASV_6	0.0500869931987135	0.00684603272403642	0.0417362270450751	0	0.00502727295578513	0.00278947808864961	0.0048189287521384	0.101891884449095	0.0532222607890779	0.00984809316296132	0.044188044679023	18.1139552565491	20.5647259140141	2.4390810471788	11.5835332395842	0.397996749693211	0.127090301003344	0.0812256673108702	2.32595966167859	2.70839602768583	0.0980840907604786	1.82738135574078	7.91304131036374
ASV_4	2.52016660515632	4.26964240889071	6.13754405490633	11.7128935532234	10.318477741749	1.32500209210857	1.63843577572706	6.868063778812	1.1454356126345	1.29748627422015	9.22057198968946	0.034559823053706	0.0212836399754056	0.0487816209435759	0.0413599139713789	0.0464329541308746	0.0267558528428094	0.00560177015937036	0.0284645413142485	0.0200621927976728	0.00653893938403191	0.00677644507691265	0.0448754705691706
ASV_7	0.284705013971635	0.0433582072522307	0.412724911890187	6.06259370314843	0.0477590930799588	0.892632988367876	1.48182059128256	1.86434610194696	0.0254541247252112	1.26301794814979	1.40419786424451	0.548349192452135	0.127701839852433	0.116146716532324	0.286762070201561	0.0895492686809724	0.361204013377926	0.39492479623561	0.0894599869876383	0.687130103320293	0.557989494104056	0.512751010819724	0.511081748148887
ASV_9	6.43222438972953	0.301225439857603	0.526340196624003	0.29047976011994	1.12359550561798	1.19668610003068	0.173481435076982	2.1121912262826	0.629411084114312	1.1596129699387	0.746286976801277	0.170495127064949	0.0922291065600908	0.734047248484285	0.352937932555767	0.50081257669729	0.280936454849498	0.747836316275943	1.97218607677293	0.0877720934898184	0.154754898755422	0.463057080255698	0.142105656802373
ASV_14	0.0790847261032319	0.03194815271217	0.0440549063253571	0.0398238380809595	0.736495488022522	1.03489637088901	2.83112064188131	1.13182606779941	0.0856184195302557	0.945416943644287	0.014729348226341	1.03218671520402	0.806413470179256	1.47738623429116	3.50180604957675	1.17740705117575	5.35340022296544	1.72254432400639	0.679082628497072	6.60547697863376	11.6698271540356	2.35594407173997	0.957343372142305
