orig_model	model	color	OTU	X1	X2
85	23	mini_model	#C1C1C1	ASV_98	-20.3681911519328	-9.24700889186088
86	18	model_18	#F8FCB4	ASV_87	-7.32023589649808	-23.4009277719795
87	2	model_2	#E65948	ASV_133	-1.24020495561183	-22.9158592264321
88	1	model_1	#9E0142	ASV_127	-11.0306324618139	9.25491495766773
89	42	mini_model	#C1C1C1	ASV_110	7.30535275942349	-3.4357948654764
90	1	model_1	#9E0142	ASV_124	-13.6235310653547	7.49003487787708
91	7	model_7	#FEF6B1	ASV_99	8.88083296689669	12.335457370568
92	4	model_4	#BA2148	ASV_103	-6.36930474540211	-4.97571434333379
93	9	model_9	#FDB567	ASV_129	9.47976596697191	1.8319230291391
94	7	model_7	#FEF6B1	ASV_137	8.8416223842889	14.3257495069488
95	1	model_1	#9E0142	ASV_143	-18.5076973910867	3.61821992783431
96	1	model_1	#9E0142	ASV_115	-19.3666794194519	7.89174520460189
97	87	mini_model	#C1C1C1	ASV_1446	15.3185407034914	6.32084888147828
98	9	model_9	#FDB567	ASV_132	11.1206233819423	2.78727481474496
99	1	model_1	#9E0142	ASV_142	-13.9705387112086	5.62339750952336
100	33	mini_model	#C1C1C1	ASV_111	-23.042511647398	-9.12472332861703
101	9	model_9	#FDB567	ASV_219	10.5725593506966	-2.03851192804858
102	1	model_1	#9E0142	ASV_147	-14.1385156151967	9.57860061018815
103	1	model_1	#9E0142	ASV_139	-14.5305489269736	5.71979378872607
104	1	model_1	#9E0142	ASV_154	-12.1475809083441	7.47616424086301
105	6	model_6	#FEE695	ASV_106	9.47227803335537	-22.5487635181287
106	83	mini_model	#C1C1C1	ASV_130	-5.84439385094776	-14.0592156838997
107	2	model_2	#E65948	ASV_570	-8.07126484769239	-15.1433502301914
108	41	mini_model	#C1C1C1	ASV_126	6.51237454889343	-5.37917065084871
109	1	model_1	#9E0142	ASV_152	-15.5911691020463	7.95389416399194
110	2	model_2	#E65948	ASV_1343	-11.2285566705102	-15.867543563874
111	88	mini_model	#C1C1C1	ASV_1357	8.68071783644402	4.1822338716035
