X1	X2	elements	Kingdom	Phylum	Class	Order	Family	Genus	Species	mean
ASV_10	14.7540566337251	-9.79635027565729	ASV_10	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned	681.255319148936
ASV_100	-11.9097150936685	0.761741923833274	ASV_100	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Frisingicoccus	Unassigned	119.957446808511
ASV_1001	4.43250056298368	-15.2646105052207	ASV_1001	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned	3.93617021276596
ASV_1002	-13.548201058634	-0.325627356021403	ASV_1002	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned	1.93617021276596
ASV_1003	-4.57278253145538	-0.333595256057855	ASV_1003	Bacteria	Firmicutes	Clostridia	Clostridiales	Vallitaleaceae	Vallitalea	Unassigned	1.8936170212766
ASV_1008	-6.46642910609842	-18.1378527024498	ASV_1008	Bacteria	Firmicutes	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	1.68085106382979
ASV_101	-13.5846736637131	2.67054843373917	ASV_101	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Kineothrix	Unassigned	87.1063829787234
ASV_1011	-20.5454248470902	-12.3433725729326	ASV_1011	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lacrimispora	Unassigned	6.72340425531915
ASV_103	-6.36930474540211	-4.97571434333379	ASV_103	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Unassigned	60.2127659574468
ASV_1032	-2.77777661276431	19.1067877588431	ASV_1032	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa	Unassigned	2.19148936170213
ASV_1034	8.69784246841951	-9.07227411608509	ASV_1034	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Hungatella	Unassigned	3.53191489361702
ASV_1038	-3.48507350450204	-0.851865145162163	ASV_1038	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Unassigned	Unassigned	2.76595744680851
ASV_104	12.0702905755016	1.45389643360465	ASV_104	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Unassigned	74.7234042553192
ASV_1042	-12.8906763760509	7.85527021423273	ASV_1042	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lacrimispora	Unassigned	2.74468085106383
ASV_1043	-10.4228823374111	-23.8646397422756	ASV_1043	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned	2.17021276595745
ASV_1046	13.655751737832	9.7116560870377	ASV_1046	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unassigned	1.63829787234043
ASV_1049	0.21215116545585	13.8103433632931	ASV_1049	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Falcatimonas	Unassigned	2.17021276595745
