PathwayL2	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
 sorting and degradation	1409939.3100000008	1465213.43	1729079.2200000007	1505490.8300000005	1751315.5000000002	1569897.4199999997	1653555.1199999999	1553902.2900000007	999539.3699999998	1305682.35	1467295.99	1285369.03	1613111.7000000007	1704001.82	1584953.2299999995	1270427.5799999998	1347453.92	1372391.9900000002	1845310.6799999995	1832245.4900000007	1593752.5799999996	1715935.3099999998	1582597.5600000003	1432309.3400000003	1463172.4400000002	1444178.1700000006	1158197.5000000005	1440072.1799999995	1571438.79	1670275.319999999	1324233.8800000001	1704924.6699999995	1483949.4700000014	1472203.2100000011	1696592.2900000003	1473904.3600000006	1425720.000000001	1440857.3599999999	1279022.5600000003	1680103.8800000006	1495219.9500000002	1533743.2000000002	1412423.2700000003	1422787.19	1621835.3400000003
Aging	268508.77	281679.8300000001	326410.4700000001	291611.9500000001	330419.45000000007	300562.45000000007	313006.23	299356.76	194622.96000000005	246670.1000000001	290266.48	256714.27000000008	308390.26	323145.20000000007	299902.77	243663.75999999998	256577.26999999993	256689.18000000008	353290.74	380875.63	295365.85	368958.0900000001	296110.49	269552.26	272984.17	277525.0200000001	211211.17000000007	277429.50000000006	298064.7	316268.1899999999	242805.52999999997	303384.86	258432.37000000005	280645.9600000001	311951.46	284799.2300000001	271904.7	240721.83000000002	239621.23000000004	309808.14	260425.89999999997	271892.55000000005	244512.64	230949.02000000002	297455.01000000007
Amino acid metabolism	6400319.679999983	7132348.049999985	8286701.839999999	7168116.769999999	8451648.790000014	7546190.969999993	8031575.639999979	7347430.239999999	4736746.669999998	6241445.000000021	6787090.149999997	6099729.380000005	7888913.589999978	8335748.610000017	7708511.770000017	5943392.410000017	6319251.239999973	6601948.340000008	8835235.780000003	8966294.849999981	7677501.970000007	8467317.370000003	7469230.1400000015	6778598.880000011	7087999.49000001	6912649.030000004	5468422.610000015	6716139.380000015	7377624.299999979	8163683.500000014	6031355.040000016	8143894.410000012	6829551.09999998	6932642.400000008	7881868.410000011	7112197.720000003	6668925.70999998	6324337.03	5948456.600000007	7987498.200000011	6850447.669999976	7243665.0900000045	6523200.529999994	6156942.84	7707121.219999997
Biosynthesis of other secondary metabolites	1450713.5800000005	1684411.0199999996	1948640.66	1704336.3000000005	1952325.2400000002	1795326.2200000004	1866836.68	1737569.2700000005	1109702.4700000004	1468807.5100000005	1577108.2999999998	1475634.3100000003	1899106.0399999996	1921388.390000001	1820009.7800000007	1413248.6900000004	1484194.3699999992	1544959.24	2119473.1100000003	2577249.34	1750838.4100000001	2423390.630000001	1733805.7299999997	1564394.75	1625140.4	1650303.9500000007	1288475.2800000007	1584662.210000001	1731917.02	1904764.459999999	1403417.8100000003	1906119.53	1603837.6399999997	1695904.1900000004	1805230.0600000003	1703884.8200000003	1588566.4099999997	1447161.01	1408538.4300000004	1869513.7000000002	1567409.9000000004	1682722.2999999996	1504431.22	1438416.7000000004	1802073.7200000004
Cancer: overview	468828.68000000017	515522.75	629341.2300000001	543820.9600000001	638372.97	568594.9999999999	608785.46	568865.68	355259.42000000004	468721.41000000003	534319.9399999998	447757.46000000014	567433.5499999999	628191.38	559106.5500000002	435222.20000000007	482417.32	493513.12	677646.0600000002	689505.8399999999	588392.7400000001	674833.4299999999	588300.96	520404.0600000002	518425.79999999993	515868.0899999999	398032.47	522584.1	581224.95	619466.2599999999	475326.7200000001	591180.37	500787.0800000002	499575.05000000016	582440.1900000001	499865.97000000026	496971.57	497229.26	440880.7400000001	602363.02	528498.0900000001	500396.1	469915.89	465208.3200000003	557479.37
Cancer: specific types	49446.25	48917.81000000001	55206.82000000001	52402.96000000003	56159.24000000002	54110.38999999999	53860.97000000001	50554.44000000002	32682.27000000001	41879.99000000001	50389.23	41987.610000000015	49615.69999999999	54680.000000000015	51804.72000000001	39507.320000000014	42531.46	43819.040000000015	59120.04	91895.36000000002	49730.170000000006	96621.99000000002	49253.34000000001	45642.960000000014	47083.97	45602.88000000001	40436.78999999999	46030.07	49475.81	51689.99999999997	41948.26000000001	49692.54	46399.320000000014	45095.91000000001	51845.42000000002	43848.58	45083.19000000002	44410.750000000015	40298.21	51505.36000000002	46056.209999999985	46247.270000000004	42065.07	44492.70000000002	49875.83000000001
Carbohydrate metabolism	9690905.69999998	11082654.38000003	12855764.33	10843322.850000016	13046896.44000002	11629609.619999984	12512753.759999983	11417207.28000001	6987756.250000005	9502402.580000035	10356371.930000009	9505980.220000012	12752219.779999956	12837009.330000028	12154420.840000002	9047652.260000017	9565433.189999986	10329140.730000008	14082624.270000054	16161946.789999986	11924651.76999997	14999971.91000003	11308623.54000003	10204935.92999999	10760680.680000016	10897937.569999976	7902275.670000024	10109790.500000002	11396607.090000013	12745482.279999997	9153137.590000026	12542402.649999978	10250311.89000001	10845663.439999979	11589990.520000072	11034760.519999996	9948479.560000008	9723250.280000003	8873564.860000018	12320219.820000025	10375045.610000033	10861457.989999998	9776730.309999997	9671654.560000006	11847313.41000002
Cardiovascular disease	147408.28000000003	159501.24000000002	180449.15000000002	159855.98000000004	181448.99000000005	165599.87000000002	170660.16	160196.37000000002	104894.63000000003	139470.60000000003	147784.78	133621.59	169917.80999999997	178196.10000000003	169485.34000000003	133113.74000000005	141647.7	151004.94	187338.07	254643.26999999996	172260.67999999996	232207.80000000005	162517.95	150512.22000000003	158127.40000000002	151582.75000000006	129753.35000000002	151517.65000000002	159157.97999999998	172999.9699999999	134139.24000000002	177854.43	160005.13000000003	153369.06000000006	184103.25000000006	156996.17000000004	151389.03000000003	146476.43000000005	132919.97	174772.03000000003	155461.41999999998	163861.84	150760.69000000003	146928.68000000008	169936.74000000005
Cell growth and death	766491.4700000002	810032.2600000001	982932.2100000005	869059.0100000004	989358.1400000002	891573.99	940455.5900000003	877794.3400000002	561123.42	746891.1200000003	841200.6999999998	744899.4500000001	897067.6799999999	963836.3100000002	877039.9400000002	689840.5300000003	765058.32	775865.9700000002	1059723.3600000003	1141861.8600000003	884353.5699999998	1062962.9200000004	902271.0300000003	815316.2799999999	817621.01	807174.3000000004	645554.67	825466.22	895597.43	953843.5599999995	728399.2699999999	920638.61	825064.7200000004	826369.4900000003	924388.7200000001	810787.09	806472.7000000002	731764.52	710306.1900000003	923807.8399999999	793732.24	811317.8400000001	748034.72	730111.9000000003	875741.5000000002
Cell motility	2053038.7900000007	1829873.14	2396527.2600000002	1931533.5600000015	2585984.3700000006	2150753.92	2374666.9300000006	2313359.4000000013	990433.7399999995	1633661.9799999981	2294564.5799999996	1559042.7000000004	2222955.1700000004	2564137.4300000016	2245003.8600000017	1304472.0100000002	1712061.3900000006	1551145.2000000007	2686849.1200000006	679383.78	2103577.7299999995	611243.33	2398904.280000002	2018667.610000001	1810897.9000000001	2049062.5200000005	1147259.2299999997	1768606.1400000001	2409687.8099999996	2506509.0799999996	1550494.74	2251255.200000001	1630620.6000000015	1752246.0099999998	2082434.450000001	1835215.2799999998	1598693.6200000006	1368301.8800000006	1485243.2799999998	2247115.6899999995	1730366.3800000004	1941594.5599999984	1571207.9199999992	1319420.1900000009	2100876.579999999
