PathwayL2	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
Cellular community - prokaryotes	2413455.2599999993	2499742.500000002	2915973.5800000057	2342078.320000006	3058709.7800000017	2625242.1400000043	2953231.870000003	2585218.3999999994	1437493.3400000022	2089593.6599999955	2394610.499999999	2081693.3800000015	2946095.7499999944	3006057.6800000034	2851716.4100000025	1986242.5000000014	2116740.0699999984	2235171.440000001	3249287.910000006	2279683.4899999984	2713157.9400000055	2253020.1199999982	2579405.2700000056	2322318.620000002	2466368.6600000015	2494455.700000001	1699549.370000005	2165854.450000003	2670642.379999997	2931657.4900000063	1974059.2300000018	2982427.680000004	2261172.7900000024	2394686.1199999996	2672478.580000005	2544100.63	2143345.9599999986	2125737.03	1938402.8299999991	2848990.9700000025	2333526.429999999	2546027.3699999964	2251256.5600000024	2084701.8200000012	2699527.2999999993
Circulatory system	36.5	56.239999999999995	137.75	280.5	146.0	256.0	210.26	70.5	75.5	56.760000000000005	108.24	86.99	17.0	32.0	59.0	98.0	67.0	411.73999999999995	310.99	1062.0	321.5	371.75	32.0	42.0	44.5	53.0	236.01	40.5	25.0	29.0	123.26	41.0	160.5	266.5	212.0	195.0	194.0	124.25	112.0	79.0	72.5	74.5	112.76	95.49	90.25
Development and regeneration	11206.0	8112.66	5000.28	5912.91	4408.41	4949.3899999999985	4583.75	7522.33	7262.25	6991.58	9795.95	8221.369999999999	6165.09	4502.04	6490.03	5241.7	8152.32	6051.83	5171.49	17340.309999999998	4380.91	16137.17	5453.16	6549.25	7228.66	8169.29	9084.75	8522.619999999999	4848.25	4483.08	8144.83	7342.41	4643.15	6617.45	4692.32	5349.64	7947.77	10211.04	8943.83	7583.92	8860.49	9785.01	10992.12	10488.78	8458.380000000001
Digestive system	84692.37	85653.99000000002	104082.59000000001	99655.89000000001	105624.36000000002	94576.82999999999	102517.18	87351.32000000002	60887.630000000005	78160.95999999999	86604.70000000001	83077.33000000002	86736.72	104478.6	89481.44	70547.84000000001	79339.56999999999	100327.21000000002	105921.86	202558.50999999998	105352.57	180848.53	90894.88	84484.20000000001	89788.63	73930.64000000001	72729.45000000001	91638.82000000002	89768.68	99991.89999999997	76064.09000000001	92850.9	99120.69000000002	87872.43000000002	103945.07000000002	81447.85	89574.26000000001	82004.33	73388.39000000001	88919.45000000003	86666.24	84054.27	78147.63	83341.68000000002	93007.91
Drug resistance: antimicrobial	957535.3500000001	1171574.550000001	1288903.4600000004	1106774.4799999988	1304011.6300000006	1190225.27	1215089.6400000008	1193057.1000000008	726776.0899999989	958849.420000001	1068133.310000001	989996.7799999992	1328181.9499999983	1285314.2400000016	1270019.5499999996	966198.29	983637.1600000005	1036781.2500000012	1445909.0899999999	1633311.820000001	1194208.400000001	1614227.28	1155689.5800000005	1031781.8099999999	1078650.8000000005	1163482.0700000003	825126.8199999997	1056913.0399999993	1162999.1900000006	1277811.0099999986	939247.8099999992	1249335.6199999994	1036002.1400000016	1142687.9300000009	1177576.0899999996	1167863.5100000005	1020673.7600000005	981469.9900000003	931697.9800000006	1280551.31	1058664.6500000015	1091659.6600000008	963538.4999999991	973111.2999999999	1206640.910000001
Drug resistance: antineoplastic	218770.45000000004	242618.65000000005	285939.4600000001	250931.89000000007	295900.4600000001	258575.68999999997	271959.63	254938.80000000005	165782.43000000005	216121.98000000007	241564.40999999997	211343.03000000006	267369.88999999996	296469.5700000001	263099.66000000003	203250.66000000006	221947.07	235897.09000000003	304856.05000000005	280934.74000000005	272439.39	267555.45000000007	265931.75000000006	237258.14	238633.24	234891.69000000006	187426.31000000008	239419.32000000004	258344.55000000005	287311.3099999999	209585.34000000005	270451.08999999997	224722.96000000008	234538.2900000001	269616.04000000004	233371.85000000003	226487.80000000005	215565.62000000002	203649.94000000003	269051.24	236941.61000000002	236756.08000000002	216424.11	202467.7200000001	260314.81000000006
Endocrine and metabolic disease	206116.33000000005	213385.17000000007	249546.6400000001	219953.29000000007	254007.8900000001	227730.49000000002	243609.51	227312.80000000008	151055.66000000003	191062.45	216424.76999999996	188150.12000000005	231270.71	249179.35000000003	227546.21000000005	182378.62000000002	198645.85000000003	199708.24000000008	265011.97000000003	287864.3400000001	232748.64999999997	279130.50000000006	232419.24000000002	211525.23	216514.1	207894.63000000006	168685.58000000007	210184.88	226819.11999999997	244543.3299999999	193824.43000000005	236481.03	214581.48000000004	210221.34000000008	243704.46000000005	206718.71000000008	206183.80000000008	205888.49000000002	186428.10000000006	240692.55000000002	217872.64	208842.22	193173.92	197727.92000000013	230541.94000000003
Endocrine system	729295.2200000003	785671.6900000002	960180.4000000001	822789.0700000001	971909.2500000002	854287.7699999998	920506.2400000002	850379.7500000002	534230.3899999999	710554.4500000001	803849.35	688997.7300000003	864471.8300000001	935705.7000000003	846226.35	667030.9000000001	721272.3500000001	752131.0300000005	1023330.0899999999	1063057.7499999998	878894.3700000002	1010902.6200000001	872036.8500000002	780311.7100000003	789784.6400000002	773038.8700000003	588817.7100000002	771329.7700000003	863503.8500000001	942003.7399999995	693610.3600000001	874136.71	810092.1600000003	778636.4300000003	886247.8400000002	775925.6500000003	756907.5800000002	701413.64	660841.1100000001	883390.19	760506.5299999999	756615.6599999999	684191.2399999999	708270.1000000003	835436.97
Energy metabolism	3864376.5199999996	3997187.650000004	4527041.850000007	4020224.080000008	4604621.160000009	4213252.730000006	4441487.919999999	4030367.8400000026	2666952.050000003	3474063.310000001	3794945.6600000043	3509777.780000001	4435373.609999989	4566144.810000006	4358639.840000006	3441482.6700000083	3513633.9399999995	3743639.5500000003	4862059.769999999	5855614.449999995	4202236.180000003	5573235.869999999	4048396.0200000075	3730017.6500000046	3979612.050000003	3847453.7100000014	3147916.900000001	3774923.6900000037	4051990.5199999968	4421145.529999999	3406018.4800000014	4593318.530000005	3944344.500000005	3968713.1099999994	4434418.130000009	4007886.349999999	3744959.430000003	3710914.550000004	3359934.680000004	4443491.140000004	3898344.070000004	4218104.329999995	3843846.7500000005	3764120.3800000055	4436965.93
Environmental adaptation	264214.7	247256.09000000008	307994.96	273506.13	305141.76000000007	276966.94000000006	289999.9	274415.69000000006	165704.10000000003	231605.07	274456.17000000004	232216.53000000006	269451.14999999997	295036.8300000001	270613.60000000003	199699.7500000001	232267.44	235947.12000000005	323023.98000000004	363017.08999999997	268994.33999999997	348370.78	282223.88	253782.32	247745.1	247483.63000000003	192523.80000000002	254808.04999999996	287141.74	297556.6	212952.34	270998.87	243376.56000000006	247345.1100000001	272134.36	245673.83000000007	241572.86000000007	198591.04000000004	209182.48	269633.8000000001	224516.48	245362.1	215393.44	205661.0000000001	261602.57
Excretory system	7160.95	12562.880000000001	9774.5	12646.96	7874.7	10303.949999999999	8134.97	10530.130000000001	12071.970000000001	9348.669999999998	9721.08	9460.86	7360.52	7747.28	9200.44	12659.11	10469.42	11539.67	8482.34	45049.81	9589.84	44077.08	8838.25	8763.54	10827.98	9341.189999999999	13018.529999999999	13069.25	6574.139999999999	7318.620000000001	15063.960000000001	9886.869999999999	17782.920000000002	11717.46	14106.799999999997	13150.09	14571.689999999999	20156.379999999997	13598.369999999999	11628.480000000001	15278.39	11792.86	11598.82	22368.33	13579.04
Folding	1409939.3100000008	1465213.43	1729079.2200000007	1505490.8300000005	1751315.5000000002	1569897.4199999997	1653555.1199999999	1553902.2900000007	999539.3699999998	1305682.35	1467295.99	1285369.03	1613111.7000000007	1704001.82	1584953.2299999995	1270427.5799999998	1347453.92	1372391.9900000002	1845310.6799999995	1832245.4900000007	1593752.5799999996	1715935.3099999998	1582597.5600000003	1432309.3400000003	1463172.4400000002	1444178.1700000006	1158197.5000000005	1440072.1799999995	1571438.79	1670275.319999999	1324233.8800000001	1704924.6699999995	1483949.4700000014	1472203.2100000011	1696592.2900000003	1473904.3600000006	1425720.000000001	1440857.3599999999	1279022.5600000003	1680103.8800000006	1495219.9500000002	1533743.2000000002	1412423.2700000003	1422787.19	1621835.3400000003
Glycan biosynthesis and metabolism	1900236.3000000005	2128782.4699999997	2465597.3100000005	2303036.030000001	2418993.89	2300826.9700000007	2289476.7599999993	2297470.2	1637636.2100000004	1957480.5300000005	2188911.2399999998	2012621.63	2353414.1900000004	2398529.900000001	2270224.530000002	1970612.8600000003	1993418.8999999997	2084324.9900000005	2698625.4800000004	4704440.499999998	2218160.1800000006	4451710.540000001	2258846.26	2030323.6800000009	2043438.0899999996	2130012.210000001	1735277.8300000012	2204201.7	2210877.2699999977	2390003.959999997	1949746.6400000006	2314726.46	2029146.9200000004	2230792.4200000004	2214031.390000002	2128461.860000001	2149887.160000001	1924465.7300000004	1942931.6299999997	2380693.570000001	2023766.1300000004	2033892.4599999993	1883202.13	1839419.8500000008	2274697.8500000006
Immune disease	34620.400000000016	47932.31000000001	55094.83000000001	44998.210000000014	54689.28000000001	47594.87000000002	49418.1	44764.140000000014	30470.75000000001	42306.530000000006	37454.35	44003.92000000001	58774.43	52774.79000000001	50660.400000000016	37023.740000000005	45303.090000000004	46646.66	61840.659999999996	62945.84000000001	54015.80999999998	58048.99000000002	46009.55	44018.0	45071.5	46551.99000000002	36899.90000000001	44714.57	45557.35999999999	55540.499999999985	42043.150000000016	53969.54	46946.85000000001	50347.460000000014	53816.96000000001	50934.23000000002	44230.790000000015	45776.380000000005	41172.10000000001	54153.66	47055.79	45127.49	45176.79	48502.84000000002	51377.59
Immune system	309411.72000000003	309805.36000000004	377643.3	329303.3400000001	382300.6800000001	340702.67	360917.82000000007	338974.18000000005	205042.35000000012	281316.87000000005	322865.49000000005	274482.3700000001	338956.22	376813.55000000005	338370.13	255829.75000000015	289067.07	284979.29000000004	391830.99000000005	387801.08	339612.58	339751.44	352416.18000000005	317626.5400000001	312493.96	307607.75	239230.58000000002	308673.02	355298.16	369039.9799999999	266737.7800000001	357036.96	307982.37000000005	302217.7500000001	361896.8000000001	305346.8300000001	295451.3300000001	265765.6100000001	259686.44000000003	353019.5000000002	298918.23999999993	320719.82999999996	285325.44	262372.5700000001	339471.38
Infectious disease: bacterial	744794.15	740388.6100000002	913412.4199999997	799279.6599999998	915647.5200000003	825149.5199999998	868509.0000000003	825467.53	487684.8700000001	675898.8099999999	796427.18	666851.6800000002	815618.8299999998	904763.4799999996	817665.3300000001	607318.4300000003	694118.9	699387.3100000003	970056.8999999994	1050170.6100000003	837167.8699999999	1083641.6500000001	852856.51	765775.41	742907.74	747150.9700000002	568550.7500000001	755032.6800000002	861100.2200000001	882475.52	656464.16	858871.7899999999	720563.6100000003	726286.5200000003	859683.72	730340.3300000003	707163.3600000001	667705.2900000002	630583.35	841862.1700000002	726276.1299999999	785297.1600000003	702471.6799999999	667856.1700000002	821776.2899999998
Infectious disease: parasitic	15485.8	26566.899999999994	27443.510000000002	22675.770000000004	26256.52	23586.39	22661.04	15419.03	12135.449999999999	17124.410000000003	10693.97	17506.660000000003	26505.6	25278.420000000006	24902.630000000005	18062.97	16716.979999999996	26032.310000000005	24163.840000000004	56325.780000000006	27926.760000000002	60396.880000000005	14798.22	17378.370000000003	22276.23	18126.32	18797.22	15737.17	18057.649999999994	25102.15	14198.95	28523.700000000004	17628.170000000002	20690.549999999996	24843.910000000003	23102.25	17794.989999999998	20916.980000000003	14485.34	21547.04	18141.46	28027.589999999997	26259.69000000001	22882.1	23124.25
Infectious disease: viral	49206.570000000014	60922.02000000002	66592.34000000003	65435.39000000002	64726.07000000002	67281.05	62875.20000000001	59244.67000000001	33743.04	48813.67000000001	59080.42	47249.84000000002	56900.08999999999	66082.09000000003	64182.47000000002	43794.63000000001	46600.08	52463.56	68786.00000000001	52912.7	54410.08	48224.1	55802.77	53025.12	53373.76000000001	53408.13000000001	51038.91	52907.84000000001	55669.28999999999	56442.38999999996	42421.369999999995	49593.57	46546.84000000001	45842.210000000014	53793.78000000001	45102.970000000016	46612.460000000014	45563.23	42894.72	53543.86000000001	46053.70999999999	47324.48	43247.79	47013.66000000005	50500.150000000016
Lipid metabolism	1781299.9199999992	2020226.929999999	2357947.5200000005	2010958.5100000019	2381171.6900000004	2123264.8000000007	2270675.3	2045825.150000001	1339471.6899999992	1798028.7699999996	1888130.5599999994	1761892.870000002	2260998.0499999984	2339530.6200000006	2167472.020000002	1672066.3800000006	1818753.899999999	1926987.4599999995	2527201.7099999995	2723067.0599999996	2219958.900000002	2628867.129999999	2101274.0700000008	1922611.8500000006	2005675.7100000002	1948510.0700000015	1538248.370000001	1912013.370000001	2083643.6199999992	2333652.449999999	1715793.3900000022	2251406.8600000013	1895950.83	1967036.720000001	2208771.500000001	2010974.4000000008	1875548.8799999985	1788134.6000000008	1677306.0900000003	2229787.5799999977	1910605.189999999	1951969.3199999994	1805309.3100000015	1743727.340000002	2116386.07
Membrane transport	3961882.379999998	4894592.220000004	5410223.400000016	4126605.3500000085	5739031.79000001	4926601.54000001	5423250.649999995	4909528.1299999915	2455942.920000004	3682062.6799999955	4226302.269999997	3839735.8500000015	6083368.999999992	5716288.300000012	5642028.50000002	3637661.780000009	3764207.4599999893	3986980.2100000023	6362635.99000001	3580852.769999997	4952562.310000013	3338574.35	4661118.440000016	4080593.2600000044	4401377.780000014	4944177.150000001	2702536.0300000035	3714993.2900000075	4837886.15999999	5576768.960000006	3481762.770000001	5638872.550000011	3611989.920000006	4549697.039999994	4404444.020000011	4805508.529999991	3619031.8300000066	3907042.9900000026	3409058.6200000085	5443657.270000005	4186736.3000000045	4664944.259999995	3990496.3800000018	3698579.27000001	5103051.789999997
Metabolism of cofactors and vitamins	3773325.120000003	3941463.9300000058	4537308.890000003	3986995.380000003	4592559.350000007	4177185.8400000026	4354478.8299999945	4051283.93	2668620.8600000017	3492796.7599999984	3807717.830000002	3455369.4600000023	4382640.159999989	4445553.250000003	4270449.0000000065	3517035.4100000057	3601163.3899999927	3646000.8500000015	4934354.2799999975	5510985.260000001	4179929.140000001	5343335.460000001	4140598.220000011	3801726.500000005	3961548.690000005	3900844.339999999	3241172.6500000013	3819288.6500000027	4119426.4699999955	4409498.980000003	3369236.399999999	4632086.390000004	4053689.6400000043	4023397.6099999994	4627088.210000008	4101512.7600000026	3824620.3200000096	3519912.37	3414055.4699999997	4433726.610000002	3840491.5199999996	4239989.229999995	3867027.29	3733373.950000007	4324361.339999999
Metabolism of other amino acids	1036372.9000000003	1213806.9300000002	1381114.4500000002	1216503.7700000007	1380885.8100000005	1264011.7600000002	1322678.82	1226208.2599999995	814951.7099999998	1068207.8099999998	1117388.1599999995	1076690.94	1344690.07	1364467.5900000005	1285469.860000001	1003048.4499999998	1100376.5900000003	1167781.1400000008	1500709.1599999995	2029669.8600000006	1317942.6200000006	1956660.1700000002	1245085.88	1141063.4000000001	1195908.5899999996	1171102.88	963991.3200000001	1180692.8000000007	1214926.6399999994	1355723.809999999	1051497.27	1368728.9400000006	1159246.2100000007	1208562.0199999993	1323650.5900000012	1212910.63	1149150.69	1128153.76	1037920.4200000002	1333964.1600000001	1177196.2800000005	1205296.9099999992	1123036.9900000005	1103690.3699999996	1294487.1100000006
Metabolism of terpenoids and polyketides	884502.5100000005	974050.91	1162653.1000000006	1003845.6299999997	1185801.81	1054795.8299999998	1124771.7500000007	1040806.2600000002	671529.4399999998	879804.7200000003	969907.1400000005	860713.2200000003	1078825.9200000006	1167581.5400000003	1049489.49	828062.35	896936.1900000003	920679.3700000006	1240831.44	1219430.7999999998	1079912.81	1121598.46	1072893.7299999997	960614.2699999999	977061.7300000001	953538.1800000005	752385.6599999999	956224.9499999998	1053181.8600000006	1156624.8399999994	870681.42	1142832.2300000007	981376.510000001	963632.2700000007	1117950.4200000002	965320.6700000003	938059.0900000004	906184.7500000005	835559.8499999999	1116806.67	978966.13	1005686.7900000003	920946.8199999996	909846.6700000003	1085541.49
Nervous system	199248.31	228289.6300000001	273758.4	235189.08000000002	278372.3800000001	247000.01	263264.99000000005	250912.24	161592.83	209496.4000000001	235053.21999999997	196535.54	251932.92000000004	273030.97	246776.9200000001	192407.5000000001	210665.57000000004	215253.85000000003	297582.17999999993	352908.23	248046.8799999999	343457.06999999995	257080.25000000015	226162.38	228331.63	231203.91000000006	175733.56000000003	228041.71000000002	248646.01	270465.67999999993	207911.9800000001	264056.68000000005	218640.82000000007	225743.03000000003	247524.1500000001	225903.26	225816.9200000001	208223.15999999997	197531.61	267240.56999999995	225997.18	219715.33	202479.10000000003	191560.6400000001	241430.72000000003
Neurodegenerative disease	248049.72	236292.21999999977	279387.98999999993	257299.12000000002	286374.54000000004	262082.88000000006	265244.2900000002	250830.35000000006	156971.09000000005	212648.56000000017	252523.8099999998	212358.4099999999	246916.94999999992	280166.7900000001	254558.97999999998	198746.79	208208.96000000002	234758.5199999999	289746.77999999997	390860.5999999999	263647.51999999996	367327.17	253612.43	234234.22000000003	233550.42	222543.6400000001	182403.38000000018	233483.62000000008	252414.47000000003	271205.4399999998	197946.65000000014	262322.9699999999	220447.72000000003	224623.0200000001	265092.99000000005	218505.97999999998	228377.74000000005	195371.65000000005	192347.15	256839.0	211322.53	239220.73	222811.73000000016	190845.52999999994	249536.52000000005
Not included in regular maps	32721.280000000013	39794.790000000015	47408.33000000001	37349.33	48965.080000000016	40785.67	45732.0	42584.92000000001	25776.37000000001	35909.580000000016	38374.42999999999	32419.810000000016	44126.01	48889.41	42642.710000000014	30639.450000000008	37725.45	33418.69	50144.79	17379.630000000005	42874.41	18433.35	45427.38000000001	40429.79	40721.42000000001	40408.88000000001	28377.780000000017	36648.12	43383.56	47837.97999999997	34195.52000000001	46633.82	38660.44000000002	37945.35000000001	45623.31000000001	40134.42	37673.35000000002	35157.090000000004	33591.07000000001	45499.69	39745.94	41346.23	36719.95999999999	34244.52000000002	43536.180000000015
Nucleotide metabolism	2510475.8700000015	2847912.6600000025	3243914.8900000015	2809106.320000004	3271942.0900000012	2949413.6100000017	3097335.6199999987	2907810.4200000023	1841846.2300000016	2442639.449999999	2668956.7199999997	2511350.78	3172279.719999996	3202159.6100000045	3038411.3500000034	2375474.0300000026	2545530.659999999	2641327.2000000016	3532228.1200000024	3515690.399999999	3031355.430000001	3319211.31	2917010.9500000025	2664448.770000001	2774297.77	2780938.280000003	2159344.1300000027	2718513.2200000016	2902407.899999997	3173906.6100000003	2427552.3300000015	3174508.7900000005	2728598.450000001	2838622.3800000018	3076765.210000003	2806217.340000001	2647336.9500000016	2612081.6699999995	2388258.72	3160432.890000002	2757769.5600000024	2818177.3799999985	2578490.670000002	2595264.130000002	3025203.4500000007
Poorly characterized	2564579.3700000024	2779712.200000008	3297920.7700000084	2795924.5100000068	3387173.3500000047	2982996.5700000073	3204946.6599999983	2979738.129999999	1747288.500000002	2427184.399999995	2791557.6	2410844.1000000066	3138788.9899999956	3340103.1100000055	3062211.910000009	2241631.2100000014	2481153.119999994	2574901.2700000023	3604693.730000009	3735636.619999993	3069236.890000007	3721424.7099999986	3030952.330000007	2694659.860000002	2728600.030000009	2776230.250000003	2010436.5300000026	2644233.830000003	3046811.949999995	3279540.260000006	2360572.0200000014	3210085.9300000058	2546546.2300000023	2690397.199999996	2972318.940000006	2702149.900000001	2532796.790000007	2454651.2900000014	2269251.9999999986	3154284.200000002	2658454.819999997	2777218.619999994	2499772.230000003	2372933.8400000054	2982745.869999999
Protein families: genetic information processing	18183577.719999976	19852654.850000046	23487360.769999996	20174062.89999993	23971321.19000001	21116404.949999977	22485925.98000009	21144534.410000037	13294588.000000075	17605095.510000054	19730328.440000005	17349139.690000076	21941929.52000002	23596536.879999936	21426615.299999844	16677408.269999944	18217281.09000002	18536566.659999963	25122148.759999968	22048178.82999998	21884852.19999995	20874313.160000023	21718622.240000058	19537235.409999944	19783515.95000005	19560237.469999928	15007638.01999991	19392089.080000013	21413492.300000083	23184637.159999926	17553322.38999996	22571559.910000015	19553218.710000027	19594389.459999975	22433328.409999985	19536802.319999952	18883760.650000118	18618492.209999986	16857278.930000015	22600062.109999973	19817253.100000106	19833113.910000056	18121529.730000056	18009314.829999983	21508522.850000013
