PathwayL1	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
Brite Hierarchies	40645114.170000166	44749306.509999655	52936484.55999898	44377118.279998794	54561166.569999896	47537981.439999476	50999338.119999565	47712241.92000079	28247684.839999296	38793605.52999941	44196078.87000055	38328975.29999961	50916693.69000149	53766256.49999859	49357612.01999861	36416907.32999945	39859203.45000016	40880225.56999973	57689919.94999883	47933976.110000044	48956357.53999939	45751864.550000444	48463267.639998816	43196347.22999963	43776275.51999894	44665223.11999989	31858016.229999755	41970350.72999901	48424126.11000121	52880659.34000024	37945475.299999304	51339352.529998556	41615184.790000245	43538651.96000096	48461885.43999856	44068352.2400002	40565429.88000015	39871265.61000033	36526663.20999928	50975421.48999959	43085071.30999946	44413724.51000106	39802460.37999934	38305233.779999815	48164442.93000014
Cellular Processes	5423483.569999994	5367209.520000008	6542719.150000007	5401277.490000004	6853966.880000002	5907622.160000001	6483636.190000001	6016647.929999989	3201847.7900000075	4692222.079999992	5762727.3299999945	4622858.7	6303675.759999993	6743311.760000014	6197097.060000006	4223815.800000004	4813838.369999995	4792724.419999997	7271029.860000001	5005638.849999991	5912345.230000007	4771551.509999989	6101916.140000006	5361674.7500000065	5307972.660000003	5578586.969999996	3707708.13	5008608.530000008	6189616.159999994	6620302.570000006	4470651.340000001	6370246.210000013	4930812.300000003	5229894.9300000025	5895259.170000013	5431273.060000001	4794480.450000006	4423477.249999999	4367561.970000003	6249360.630000013	5056559.589999995	5498207.770000002	4762096.230000001	4329064.850000011	5897661.8199999975
Environmental Information Processing	6731945.919999995	7783642.989999979	8845621.90000003	6972590.480000019	9335633.980000013	8043249.610000021	8784778.370000001	8032050.899999997	4180471.4200000195	6147350.160000017	7177321.899999995	6257841.150000005	9426999.829999978	9284238.880000016	8944076.580000022	5912533.190000018	6234019.499999973	6602988.430000003	10121941.690000005	6608872.909999985	8126459.09000003	6303655.710000003	7801005.050000025	6832270.590000008	7184105.15000002	7875473.539999996	4661508.349999983	6346515.780000021	8024996.389999986	9055250.730000025	5850447.650000005	9056657.650000015	6158449.84999998	7292636.479999995	7456173.700000021	7660319.72999999	6130134.229999986	6322976.490000004	5693539.460000031	8745565.530000014	6875230.319999984	7680342.3999999855	6603178.710000013	6080947.240000008	8302830.589999999
Genetic Information Processing	7763573.559999991	8359576.449999995	9788884.239999996	8519476.069999991	9936712.67	8862627.399999987	9363018.019999985	8849153.839999981	5718940.899999999	7412331.939999998	8299388.209999988	7355453.119999998	9147454.029999975	9767491.710000023	8958503.970000004	7121766.4300000165	7709635.450000003	7808605.360000016	10438102.730000021	9317192.99	9107239.590000011	8641707.140000012	9053146.569999993	8187834.170000018	8337702.25	8197816.450000009	6470964.200000011	8233601.96000002	8882061.72999999	9581555.660000004	7543649.660000018	9475999.240000026	8367640.699999985	8315915.630000011	9542486.310000012	8257666.390000007	8081334.569999984	8168449.759999996	7241696.420000002	9510032.580000006	8515140.390000008	8438900.810000008	7780463.179999988	7943597.399999996	9109653.569999997
Human Diseases	3140310.490000002	3463668.520000005	4031599.7000000086	3523756.2100000056	4077834.3300000015	3690635.3400000036	3832767.770000001	3650708.899999996	2257527.1900000046	3012945.5900000003	3414844.7999999984	3000864.0000000033	3818558.009999996	4021200.370000007	3753109.180000008	2864657.7400000026	3081810.33	3220220.750000004	4354640.940000005	4851592.329999995	3747145.7700000037	4782386.72	3677230.3100000066	3311599.040000004	3354708.7100000074	3407148.52	2607182.98	3328552.8100000015	3670853.619999992	3944643.649999999	2947197.5900000026	3828372.7100000023	3234892.2099999995	3353728.6299999985	3766862.8000000063	3377041.750000002	3191308.5400000066	3066485.4300000006	2857440.8200000036	3847004.7200000035	3292451.2200000016	3392820.1099999934	3075915.7300000014	3007101.800000004	3671240.570000002
Metabolism	33938103.410000265	37793708.289999776	43624709.36999969	37794786.859999746	44147283.30999986	39829954.609999835	42142929.600000024	38827012.680000365	24938684.619999874	32964100.010000102	35813351.16000005	32911656.469999887	42407681.34000091	43423119.379999235	40946281.62999951	31819015.799999654	33475917.92000023	35349801.89999981	47248237.44999928	54259914.25000028	40440447.34999971	51259430.61000001	39016390.4399995	35474742.53999984	37166421.119999714	36915007.72999996	28764097.54999994	35665027.9699997	38880415.18000049	42870950.159999974	32011199.169999823	42966194.399999276	36195042.91999994	37399991.03000028	41075218.559999086	37849472.72000002	35226068.77000003	33791196.90000026	31498324.280000057	42111930.64999971	36104381.089999825	38089156.36000022	34577576.74999978	33707223.94999987	40751430.500000075
Not Included in Pathway or Brite	7734180.129999979	8712610.180000002	10109885.610000024	8509960.750000019	10386405.64000001	9149052.159999974	9825658.83999997	9014001.760000013	5338044.56000002	7411174.39000006	8221283.339999981	7375413.660000002	9895631.559999963	10271381.260000024	9559504.590000024	7038580.490000022	7560389.679999948	7996027.140000008	11017196.140000047	11842463.909999954	9460740.829999987	11630254.610000076	9068487.580000043	8172912.170000008	8493721.380000023	8576252.819999998	6206037.050000035	7973905.290000034	9168368.84999998	10048430.060000043	7135519.000000031	10060412.910000019	7904517.239999955	8364341.540000001	9216289.48000005	8551199.059999991	7750099.869999959	7620479.000000001	6909196.500000031	9756167.85000003	8188804.539999977	8780465.119999997	7909739.310000003	7379526.690000005	9354291.41
Organismal Systems	1873774.5400000007	1959088.3700000008	2364982.6500000004	2070895.8300000012	2386196.989999999	2129606.0100000002	2263141.340000001	2119512.9000000004	1341489.9800000004	1774200.860000001	2032720.6799999992	1749792.9900000005	2133481.71	2320492.17	2107120.6800000016	1647178.3100000012	1807878.0100000007	1863330.9200000004	2508944.66	2813670.409999999	2150558.84	2652874.529999999	2165085.9400000004	1947274.200000001	1959229.2699999996	1928353.3000000005	1502585.5600000015	1953553.2400000005	2153870.53	2307156.7899999972	1723414.1300000013	2179735.2600000002	1960231.5400000012	1941062.1200000003	2202710.8000000017	1937791.3800000013	1903941.1100000006	1727211.2799999998	1662905.46	2191303.0500000003	1881241.9499999993	1920012.1099999999	1732753.1899999997	1715107.61	2090532.2299999995
