variable	group	value
methanol_oxidation	HD1	0
methanol_oxidation	HD10	0
methanol_oxidation	HD11	0
methanol_oxidation	HD12	0
methanol_oxidation	HD13	1
methanol_oxidation	HD14	0
methanol_oxidation	HD15	0
methanol_oxidation	HD2	0
methanol_oxidation	HD3	0
methanol_oxidation	HD4	0
methanol_oxidation	HD5	0
methanol_oxidation	HD6	2
methanol_oxidation	HD7	1
methanol_oxidation	HD8	0
methanol_oxidation	HD9	0
methanol_oxidation	MD1	1
methanol_oxidation	MD10	0
methanol_oxidation	MD11	0
methanol_oxidation	MD12	0
methanol_oxidation	MD13	0
methanol_oxidation	MD14	0
methanol_oxidation	MD15	1
methanol_oxidation	MD2	0
methanol_oxidation	MD3	0
methanol_oxidation	MD4	0
methanol_oxidation	MD5	0
methanol_oxidation	MD6	2
methanol_oxidation	MD7	0
methanol_oxidation	MD8	0
methanol_oxidation	MD9	0
methanol_oxidation	NC1	0
methanol_oxidation	NC10	0
methanol_oxidation	NC11	0
methanol_oxidation	NC12	0
methanol_oxidation	NC13	2
methanol_oxidation	NC14	0
methanol_oxidation	NC15	0
methanol_oxidation	NC2	1
methanol_oxidation	NC3	1
methanol_oxidation	NC4	1
methanol_oxidation	NC5	0
methanol_oxidation	NC6	0
methanol_oxidation	NC7	1
methanol_oxidation	NC8	0
methanol_oxidation	NC9	1
methylotrophy	HD1	0
methylotrophy	HD10	0
methylotrophy	HD11	0
methylotrophy	HD12	0
methylotrophy	HD13	1
methylotrophy	HD14	0
methylotrophy	HD15	0
methylotrophy	HD2	0
methylotrophy	HD3	0
methylotrophy	HD4	0
methylotrophy	HD5	0
methylotrophy	HD6	2
methylotrophy	HD7	1
methylotrophy	HD8	0
methylotrophy	HD9	0
methylotrophy	MD1	1
methylotrophy	MD10	0
methylotrophy	MD11	0
methylotrophy	MD12	0
methylotrophy	MD13	0
methylotrophy	MD14	0
methylotrophy	MD15	1
methylotrophy	MD2	0
methylotrophy	MD3	0
methylotrophy	MD4	0
methylotrophy	MD5	0
methylotrophy	MD6	2
methylotrophy	MD7	0
methylotrophy	MD8	0
methylotrophy	MD9	0
methylotrophy	NC1	0
methylotrophy	NC10	0
methylotrophy	NC11	0
methylotrophy	NC12	0
methylotrophy	NC13	2
methylotrophy	NC14	0
methylotrophy	NC15	0
methylotrophy	NC2	1
methylotrophy	NC3	1
methylotrophy	NC4	1
methylotrophy	NC5	0
methylotrophy	NC6	0
methylotrophy	NC7	1
methylotrophy	NC8	0
methylotrophy	NC9	1
sulfate_respiration	HD1	135
sulfate_respiration	HD10	142
sulfate_respiration	HD11	195
sulfate_respiration	HD12	165
sulfate_respiration	HD13	255
sulfate_respiration	HD14	169
sulfate_respiration	HD15	199
sulfate_respiration	HD2	216
sulfate_respiration	HD3	56
sulfate_respiration	HD4	167
sulfate_respiration	HD5	300
sulfate_respiration	HD6	85
sulfate_respiration	HD7	150
sulfate_respiration	HD8	309
sulfate_respiration	HD9	279
sulfate_respiration	MD1	119
sulfate_respiration	MD10	82
sulfate_respiration	MD11	108
sulfate_respiration	MD12	230
sulfate_respiration	MD13	26
sulfate_respiration	MD14	60
sulfate_respiration	MD15	22
sulfate_respiration	MD2	184
sulfate_respiration	MD3	206
sulfate_respiration	MD4	147
sulfate_respiration	MD5	230
sulfate_respiration	MD6	81
sulfate_respiration	MD7	101
sulfate_respiration	MD8	172
sulfate_respiration	MD9	131
sulfate_respiration	NC1	54
sulfate_respiration	NC10	964
sulfate_respiration	NC11	47
sulfate_respiration	NC12	59
sulfate_respiration	NC13	81
sulfate_respiration	NC14	117
sulfate_respiration	NC15	276
sulfate_respiration	NC2	43
sulfate_respiration	NC3	68
sulfate_respiration	NC4	68
sulfate_respiration	NC5	27
sulfate_respiration	NC6	1824
sulfate_respiration	NC7	1540
sulfate_respiration	NC8	962
sulfate_respiration	NC9	952
sulfur_respiration	HD1	12
sulfur_respiration	HD10	13
sulfur_respiration	HD11	10
sulfur_respiration	HD12	9
sulfur_respiration	HD13	4
sulfur_respiration	HD14	4
sulfur_respiration	HD15	2
sulfur_respiration	HD2	7
sulfur_respiration	HD3	7
sulfur_respiration	HD4	11
sulfur_respiration	HD5	13
sulfur_respiration	HD6	14
sulfur_respiration	HD7	3
sulfur_respiration	HD8	7
sulfur_respiration	HD9	7
sulfur_respiration	MD1	10
sulfur_respiration	MD10	1
sulfur_respiration	MD11	5
sulfur_respiration	MD12	3
sulfur_respiration	MD13	4
sulfur_respiration	MD14	4
sulfur_respiration	MD15	16
sulfur_respiration	MD2	2
sulfur_respiration	MD3	11
sulfur_respiration	MD4	8
sulfur_respiration	MD5	5
sulfur_respiration	MD6	9
sulfur_respiration	MD7	16
sulfur_respiration	MD8	3
sulfur_respiration	MD9	2
sulfur_respiration	NC1	51
sulfur_respiration	NC10	24
sulfur_respiration	NC11	1111
sulfur_respiration	NC12	167
sulfur_respiration	NC13	532
sulfur_respiration	NC14	436
sulfur_respiration	NC15	31
sulfur_respiration	NC2	31
sulfur_respiration	NC3	30
sulfur_respiration	NC4	7
sulfur_respiration	NC5	30
sulfur_respiration	NC6	468
sulfur_respiration	NC7	116
sulfur_respiration	NC8	969
sulfur_respiration	NC9	357
respiration_of_sulfur_compounds	HD1	147
respiration_of_sulfur_compounds	HD10	155
respiration_of_sulfur_compounds	HD11	205
respiration_of_sulfur_compounds	HD12	174
respiration_of_sulfur_compounds	HD13	259
respiration_of_sulfur_compounds	HD14	173
respiration_of_sulfur_compounds	HD15	201
respiration_of_sulfur_compounds	HD2	223
respiration_of_sulfur_compounds	HD3	63
respiration_of_sulfur_compounds	HD4	178
respiration_of_sulfur_compounds	HD5	313
respiration_of_sulfur_compounds	HD6	99
respiration_of_sulfur_compounds	HD7	153
respiration_of_sulfur_compounds	HD8	316
respiration_of_sulfur_compounds	HD9	286
respiration_of_sulfur_compounds	MD1	129
respiration_of_sulfur_compounds	MD10	83
respiration_of_sulfur_compounds	MD11	113
respiration_of_sulfur_compounds	MD12	233
respiration_of_sulfur_compounds	MD13	30
respiration_of_sulfur_compounds	MD14	64
respiration_of_sulfur_compounds	MD15	38
respiration_of_sulfur_compounds	MD2	186
respiration_of_sulfur_compounds	MD3	217
respiration_of_sulfur_compounds	MD4	155
respiration_of_sulfur_compounds	MD5	235
respiration_of_sulfur_compounds	MD6	90
respiration_of_sulfur_compounds	MD7	117
respiration_of_sulfur_compounds	MD8	175
respiration_of_sulfur_compounds	MD9	133
respiration_of_sulfur_compounds	NC1	105
respiration_of_sulfur_compounds	NC10	988
respiration_of_sulfur_compounds	NC11	1158
respiration_of_sulfur_compounds	NC12	226
respiration_of_sulfur_compounds	NC13	613
respiration_of_sulfur_compounds	NC14	553
respiration_of_sulfur_compounds	NC15	307
respiration_of_sulfur_compounds	NC2	74
respiration_of_sulfur_compounds	NC3	98
respiration_of_sulfur_compounds	NC4	75
respiration_of_sulfur_compounds	NC5	57
respiration_of_sulfur_compounds	NC6	2292
respiration_of_sulfur_compounds	NC7	1656
respiration_of_sulfur_compounds	NC8	1931
respiration_of_sulfur_compounds	NC9	1309
knallgas_bacteria	HD1	0
knallgas_bacteria	HD10	0
knallgas_bacteria	HD11	0
knallgas_bacteria	HD12	0
knallgas_bacteria	HD13	0
knallgas_bacteria	HD14	0
knallgas_bacteria	HD15	1
knallgas_bacteria	HD2	0
knallgas_bacteria	HD3	0
knallgas_bacteria	HD4	2
knallgas_bacteria	HD5	2
knallgas_bacteria	HD6	0
knallgas_bacteria	HD7	0
knallgas_bacteria	HD8	0
knallgas_bacteria	HD9	0
knallgas_bacteria	MD1	0
knallgas_bacteria	MD10	0
knallgas_bacteria	MD11	1
knallgas_bacteria	MD12	0
knallgas_bacteria	MD13	0
knallgas_bacteria	MD14	0
knallgas_bacteria	MD15	0
knallgas_bacteria	MD2	0
knallgas_bacteria	MD3	0
knallgas_bacteria	MD4	0
knallgas_bacteria	MD5	0
knallgas_bacteria	MD6	1
knallgas_bacteria	MD7	0
knallgas_bacteria	MD8	0
knallgas_bacteria	MD9	0
knallgas_bacteria	NC1	1
knallgas_bacteria	NC10	0
knallgas_bacteria	NC11	0
knallgas_bacteria	NC12	0
knallgas_bacteria	NC13	6
knallgas_bacteria	NC14	2
knallgas_bacteria	NC15	0
knallgas_bacteria	NC2	1
knallgas_bacteria	NC3	0
knallgas_bacteria	NC4	0
knallgas_bacteria	NC5	0
knallgas_bacteria	NC6	0
knallgas_bacteria	NC7	1
knallgas_bacteria	NC8	2
knallgas_bacteria	NC9	0
dark_hydrogen_oxidation	HD1	0
dark_hydrogen_oxidation	HD10	0
dark_hydrogen_oxidation	HD11	0
dark_hydrogen_oxidation	HD12	0
dark_hydrogen_oxidation	HD13	0
dark_hydrogen_oxidation	HD14	0
dark_hydrogen_oxidation	HD15	2
dark_hydrogen_oxidation	HD2	1
dark_hydrogen_oxidation	HD3	0
dark_hydrogen_oxidation	HD4	2
dark_hydrogen_oxidation	HD5	2
dark_hydrogen_oxidation	HD6	0
dark_hydrogen_oxidation	HD7	0
dark_hydrogen_oxidation	HD8	1
dark_hydrogen_oxidation	HD9	0
dark_hydrogen_oxidation	MD1	0
dark_hydrogen_oxidation	MD10	0
dark_hydrogen_oxidation	MD11	1
dark_hydrogen_oxidation	MD12	0
dark_hydrogen_oxidation	MD13	0
dark_hydrogen_oxidation	MD14	1
dark_hydrogen_oxidation	MD15	0
dark_hydrogen_oxidation	MD2	0
dark_hydrogen_oxidation	MD3	0
dark_hydrogen_oxidation	MD4	0
dark_hydrogen_oxidation	MD5	0
dark_hydrogen_oxidation	MD6	2
dark_hydrogen_oxidation	MD7	0
dark_hydrogen_oxidation	MD8	0
dark_hydrogen_oxidation	MD9	0
dark_hydrogen_oxidation	NC1	1
dark_hydrogen_oxidation	NC10	0
dark_hydrogen_oxidation	NC11	0
dark_hydrogen_oxidation	NC12	0
dark_hydrogen_oxidation	NC13	18
dark_hydrogen_oxidation	NC14	2
dark_hydrogen_oxidation	NC15	0
dark_hydrogen_oxidation	NC2	1
dark_hydrogen_oxidation	NC3	0
dark_hydrogen_oxidation	NC4	0
dark_hydrogen_oxidation	NC5	2
dark_hydrogen_oxidation	NC6	0
dark_hydrogen_oxidation	NC7	1
dark_hydrogen_oxidation	NC8	2
dark_hydrogen_oxidation	NC9	0
nitrogen_fixation	HD1	9
nitrogen_fixation	HD10	5
nitrogen_fixation	HD11	6
nitrogen_fixation	HD12	11
nitrogen_fixation	HD13	5
nitrogen_fixation	HD14	5
nitrogen_fixation	HD15	1
nitrogen_fixation	HD2	5
nitrogen_fixation	HD3	11
nitrogen_fixation	HD4	10
nitrogen_fixation	HD5	6
nitrogen_fixation	HD6	11
nitrogen_fixation	HD7	5
nitrogen_fixation	HD8	3
nitrogen_fixation	HD9	3
nitrogen_fixation	MD1	11
nitrogen_fixation	MD10	8
nitrogen_fixation	MD11	6
nitrogen_fixation	MD12	4
nitrogen_fixation	MD13	9
nitrogen_fixation	MD14	3
nitrogen_fixation	MD15	11
nitrogen_fixation	MD2	2
nitrogen_fixation	MD3	14
nitrogen_fixation	MD4	11
nitrogen_fixation	MD5	4
nitrogen_fixation	MD6	11
nitrogen_fixation	MD7	8
nitrogen_fixation	MD8	9
nitrogen_fixation	MD9	7
nitrogen_fixation	NC1	17
nitrogen_fixation	NC10	7
nitrogen_fixation	NC11	3
nitrogen_fixation	NC12	10
nitrogen_fixation	NC13	10
nitrogen_fixation	NC14	7
nitrogen_fixation	NC15	8
nitrogen_fixation	NC2	15
nitrogen_fixation	NC3	18
nitrogen_fixation	NC4	5
nitrogen_fixation	NC5	13
nitrogen_fixation	NC6	7
nitrogen_fixation	NC7	12
nitrogen_fixation	NC8	10
nitrogen_fixation	NC9	5
cellulolysis	HD1	2
cellulolysis	HD10	0
cellulolysis	HD11	1
cellulolysis	HD12	2
cellulolysis	HD13	1
cellulolysis	HD14	4
cellulolysis	HD15	0
cellulolysis	HD2	1
cellulolysis	HD3	0
cellulolysis	HD4	2
cellulolysis	HD5	1
cellulolysis	HD6	1
cellulolysis	HD7	2
cellulolysis	HD8	4
cellulolysis	HD9	2
cellulolysis	MD1	0
cellulolysis	MD10	1
cellulolysis	MD11	1
cellulolysis	MD12	3
cellulolysis	MD13	2
cellulolysis	MD14	1
cellulolysis	MD15	2
cellulolysis	MD2	2
cellulolysis	MD3	1
cellulolysis	MD4	1
cellulolysis	MD5	1
cellulolysis	MD6	2
cellulolysis	MD7	2
cellulolysis	MD8	0
cellulolysis	MD9	1
cellulolysis	NC1	2
cellulolysis	NC10	2
cellulolysis	NC11	1
cellulolysis	NC12	2
cellulolysis	NC13	1
cellulolysis	NC14	0
cellulolysis	NC15	0
cellulolysis	NC2	1
cellulolysis	NC3	2
cellulolysis	NC4	2
cellulolysis	NC5	2
cellulolysis	NC6	2
cellulolysis	NC7	4
cellulolysis	NC8	0
cellulolysis	NC9	1
dark_sulfur_oxidation	HD1	0
dark_sulfur_oxidation	HD10	0
dark_sulfur_oxidation	HD11	0
dark_sulfur_oxidation	HD12	0
dark_sulfur_oxidation	HD13	0
dark_sulfur_oxidation	HD14	0
dark_sulfur_oxidation	HD15	1
dark_sulfur_oxidation	HD2	0
dark_sulfur_oxidation	HD3	0
dark_sulfur_oxidation	HD4	2
dark_sulfur_oxidation	HD5	2
dark_sulfur_oxidation	HD6	0
dark_sulfur_oxidation	HD7	0
dark_sulfur_oxidation	HD8	0
dark_sulfur_oxidation	HD9	0
dark_sulfur_oxidation	MD1	0
dark_sulfur_oxidation	MD10	0
dark_sulfur_oxidation	MD11	1
dark_sulfur_oxidation	MD12	0
dark_sulfur_oxidation	MD13	0
dark_sulfur_oxidation	MD14	0
dark_sulfur_oxidation	MD15	0
dark_sulfur_oxidation	MD2	0
dark_sulfur_oxidation	MD3	0
dark_sulfur_oxidation	MD4	0
dark_sulfur_oxidation	MD5	0
dark_sulfur_oxidation	MD6	1
dark_sulfur_oxidation	MD7	0
dark_sulfur_oxidation	MD8	0
dark_sulfur_oxidation	MD9	0
dark_sulfur_oxidation	NC1	1
dark_sulfur_oxidation	NC10	0
dark_sulfur_oxidation	NC11	0
dark_sulfur_oxidation	NC12	0
dark_sulfur_oxidation	NC13	6
dark_sulfur_oxidation	NC14	2
dark_sulfur_oxidation	NC15	0
dark_sulfur_oxidation	NC2	1
dark_sulfur_oxidation	NC3	0
dark_sulfur_oxidation	NC4	0
dark_sulfur_oxidation	NC5	0
dark_sulfur_oxidation	NC6	0
dark_sulfur_oxidation	NC7	1
dark_sulfur_oxidation	NC8	2
dark_sulfur_oxidation	NC9	0
dark_oxidation_of_sulfur_compounds	HD1	0
dark_oxidation_of_sulfur_compounds	HD10	2
dark_oxidation_of_sulfur_compounds	HD11	0
dark_oxidation_of_sulfur_compounds	HD12	0
dark_oxidation_of_sulfur_compounds	HD13	0
dark_oxidation_of_sulfur_compounds	HD14	0
dark_oxidation_of_sulfur_compounds	HD15	2
dark_oxidation_of_sulfur_compounds	HD2	0
dark_oxidation_of_sulfur_compounds	HD3	0
dark_oxidation_of_sulfur_compounds	HD4	8
dark_oxidation_of_sulfur_compounds	HD5	9
dark_oxidation_of_sulfur_compounds	HD6	0
dark_oxidation_of_sulfur_compounds	HD7	0
dark_oxidation_of_sulfur_compounds	HD8	0
dark_oxidation_of_sulfur_compounds	HD9	0
dark_oxidation_of_sulfur_compounds	MD1	0
dark_oxidation_of_sulfur_compounds	MD10	0
dark_oxidation_of_sulfur_compounds	MD11	5
dark_oxidation_of_sulfur_compounds	MD12	0
