variable	group	value
dark_oxidation_of_sulfur_compounds	MD13	0
dark_oxidation_of_sulfur_compounds	MD14	0
dark_oxidation_of_sulfur_compounds	MD15	0
dark_oxidation_of_sulfur_compounds	MD2	0
dark_oxidation_of_sulfur_compounds	MD3	0
dark_oxidation_of_sulfur_compounds	MD4	0
dark_oxidation_of_sulfur_compounds	MD5	0
dark_oxidation_of_sulfur_compounds	MD6	4
dark_oxidation_of_sulfur_compounds	MD7	0
dark_oxidation_of_sulfur_compounds	MD8	0
dark_oxidation_of_sulfur_compounds	MD9	0
dark_oxidation_of_sulfur_compounds	NC1	7
dark_oxidation_of_sulfur_compounds	NC10	0
dark_oxidation_of_sulfur_compounds	NC11	0
dark_oxidation_of_sulfur_compounds	NC12	0
dark_oxidation_of_sulfur_compounds	NC13	12
dark_oxidation_of_sulfur_compounds	NC14	8
dark_oxidation_of_sulfur_compounds	NC15	0
dark_oxidation_of_sulfur_compounds	NC2	7
dark_oxidation_of_sulfur_compounds	NC3	0
dark_oxidation_of_sulfur_compounds	NC4	0
dark_oxidation_of_sulfur_compounds	NC5	0
dark_oxidation_of_sulfur_compounds	NC6	0
dark_oxidation_of_sulfur_compounds	NC7	2
dark_oxidation_of_sulfur_compounds	NC8	8
dark_oxidation_of_sulfur_compounds	NC9	0
fermentation	HD1	1019
fermentation	HD10	1531
fermentation	HD11	929
fermentation	HD12	1666
fermentation	HD13	413
fermentation	HD14	1206
fermentation	HD15	799
fermentation	HD2	874
fermentation	HD3	1841
fermentation	HD4	880
fermentation	HD5	902
fermentation	HD6	1275
fermentation	HD7	809
fermentation	HD8	636
fermentation	HD9	719
fermentation	MD1	2213
fermentation	MD10	1209
fermentation	MD11	1026
fermentation	MD12	678
fermentation	MD13	6933
fermentation	MD14	639
fermentation	MD15	5859
fermentation	MD2	779
fermentation	MD3	992
fermentation	MD4	938
fermentation	MD5	799
fermentation	MD6	1647
fermentation	MD7	1469
fermentation	MD8	576
fermentation	MD9	559
fermentation	NC1	1343
fermentation	NC10	639
fermentation	NC11	2019
fermentation	NC12	991
fermentation	NC13	1379
fermentation	NC14	951
fermentation	NC15	1043
fermentation	NC2	1811
fermentation	NC3	1143
fermentation	NC4	834
fermentation	NC5	1326
fermentation	NC6	1118
fermentation	NC7	928
fermentation	NC8	2629
fermentation	NC9	1190
aerobic_chemoheterotrophy	HD1	160
aerobic_chemoheterotrophy	HD10	8
aerobic_chemoheterotrophy	HD11	34
aerobic_chemoheterotrophy	HD12	29
aerobic_chemoheterotrophy	HD13	22
aerobic_chemoheterotrophy	HD14	17
aerobic_chemoheterotrophy	HD15	7
aerobic_chemoheterotrophy	HD2	190
aerobic_chemoheterotrophy	HD3	1276
aerobic_chemoheterotrophy	HD4	121
aerobic_chemoheterotrophy	HD5	374
aerobic_chemoheterotrophy	HD6	17
aerobic_chemoheterotrophy	HD7	6
aerobic_chemoheterotrophy	HD8	5
aerobic_chemoheterotrophy	HD9	14
aerobic_chemoheterotrophy	MD1	1578
aerobic_chemoheterotrophy	MD10	11
aerobic_chemoheterotrophy	MD11	21
aerobic_chemoheterotrophy	MD12	14
aerobic_chemoheterotrophy	MD13	46
aerobic_chemoheterotrophy	MD14	6
aerobic_chemoheterotrophy	MD15	7
aerobic_chemoheterotrophy	MD2	14
aerobic_chemoheterotrophy	MD3	9
aerobic_chemoheterotrophy	MD4	10
aerobic_chemoheterotrophy	MD5	10
aerobic_chemoheterotrophy	MD6	21
aerobic_chemoheterotrophy	MD7	17
aerobic_chemoheterotrophy	MD8	23
aerobic_chemoheterotrophy	MD9	9
aerobic_chemoheterotrophy	NC1	465
aerobic_chemoheterotrophy	NC10	116
aerobic_chemoheterotrophy	NC11	49
aerobic_chemoheterotrophy	NC12	103
aerobic_chemoheterotrophy	NC13	52
aerobic_chemoheterotrophy	NC14	27
aerobic_chemoheterotrophy	NC15	112
aerobic_chemoheterotrophy	NC2	371
aerobic_chemoheterotrophy	NC3	488
aerobic_chemoheterotrophy	NC4	239
aerobic_chemoheterotrophy	NC5	246
aerobic_chemoheterotrophy	NC6	62
aerobic_chemoheterotrophy	NC7	43
aerobic_chemoheterotrophy	NC8	187
aerobic_chemoheterotrophy	NC9	222
human_gut	HD1	2
human_gut	HD10	3
human_gut	HD11	1
human_gut	HD12	9
human_gut	HD13	0
human_gut	HD14	1
human_gut	HD15	3
human_gut	HD2	5
human_gut	HD3	3
human_gut	HD4	5
human_gut	HD5	2
human_gut	HD6	0
human_gut	HD7	0
human_gut	HD8	1
human_gut	HD9	2
human_gut	MD1	1
human_gut	MD10	5
human_gut	MD11	12
human_gut	MD12	1
human_gut	MD13	55
human_gut	MD14	10
human_gut	MD15	2
human_gut	MD2	1
human_gut	MD3	3
human_gut	MD4	2
human_gut	MD5	3
human_gut	MD6	6
human_gut	MD7	3
human_gut	MD8	2
human_gut	MD9	3
human_gut	NC1	1
human_gut	NC10	6
human_gut	NC11	0
human_gut	NC12	7
human_gut	NC13	2
human_gut	NC14	47
human_gut	NC15	3
human_gut	NC2	1
human_gut	NC3	2
human_gut	NC4	2
human_gut	NC5	3
human_gut	NC6	15
human_gut	NC7	2
human_gut	NC8	2
human_gut	NC9	2
human_associated	HD1	2
human_associated	HD10	3
human_associated	HD11	1
human_associated	HD12	9
human_associated	HD13	0
human_associated	HD14	1
human_associated	HD15	3
human_associated	HD2	5
human_associated	HD3	3
human_associated	HD4	5
human_associated	HD5	2
human_associated	HD6	0
human_associated	HD7	0
human_associated	HD8	1
human_associated	HD9	2
human_associated	MD1	1
human_associated	MD10	5
human_associated	MD11	12
human_associated	MD12	1
human_associated	MD13	55
human_associated	MD14	10
human_associated	MD15	2
human_associated	MD2	1
human_associated	MD3	3
human_associated	MD4	2
human_associated	MD5	3
human_associated	MD6	6
human_associated	MD7	3
human_associated	MD8	2
human_associated	MD9	3
human_associated	NC1	1
human_associated	NC10	6
human_associated	NC11	0
human_associated	NC12	7
human_associated	NC13	2
human_associated	NC14	47
human_associated	NC15	3
human_associated	NC2	1
human_associated	NC3	2
human_associated	NC4	2
human_associated	NC5	3
human_associated	NC6	15
human_associated	NC7	2
human_associated	NC8	2
human_associated	NC9	2
mammal_gut	HD1	2
mammal_gut	HD10	3
mammal_gut	HD11	1
mammal_gut	HD12	9
mammal_gut	HD13	0
mammal_gut	HD14	1
mammal_gut	HD15	3
mammal_gut	HD2	5
mammal_gut	HD3	3
mammal_gut	HD4	5
mammal_gut	HD5	2
mammal_gut	HD6	0
mammal_gut	HD7	0
mammal_gut	HD8	1
mammal_gut	HD9	2
mammal_gut	MD1	1
mammal_gut	MD10	5
mammal_gut	MD11	12
mammal_gut	MD12	1
mammal_gut	MD13	55
mammal_gut	MD14	10
mammal_gut	MD15	2
mammal_gut	MD2	1
mammal_gut	MD3	3
mammal_gut	MD4	2
mammal_gut	MD5	3
mammal_gut	MD6	6
mammal_gut	MD7	3
mammal_gut	MD8	2
mammal_gut	MD9	3
mammal_gut	NC1	1
mammal_gut	NC10	6
mammal_gut	NC11	0
mammal_gut	NC12	7
mammal_gut	NC13	2
mammal_gut	NC14	47
mammal_gut	NC15	3
mammal_gut	NC2	1
mammal_gut	NC3	2
mammal_gut	NC4	2
mammal_gut	NC5	3
mammal_gut	NC6	15
mammal_gut	NC7	2
mammal_gut	NC8	2
mammal_gut	NC9	2
animal_parasites_or_symbionts	HD1	357
animal_parasites_or_symbionts	HD10	124
animal_parasites_or_symbionts	HD11	156
animal_parasites_or_symbionts	HD12	135
animal_parasites_or_symbionts	HD13	139
animal_parasites_or_symbionts	HD14	174
animal_parasites_or_symbionts	HD15	283
animal_parasites_or_symbionts	HD2	87
animal_parasites_or_symbionts	HD3	172
animal_parasites_or_symbionts	HD4	194
animal_parasites_or_symbionts	HD5	59
animal_parasites_or_symbionts	HD6	223
animal_parasites_or_symbionts	HD7	185
animal_parasites_or_symbionts	HD8	199
animal_parasites_or_symbionts	HD9	166
animal_parasites_or_symbionts	MD1	235
animal_parasites_or_symbionts	MD10	183
animal_parasites_or_symbionts	MD11	281
animal_parasites_or_symbionts	MD12	145
animal_parasites_or_symbionts	MD13	66
animal_parasites_or_symbionts	MD14	237
animal_parasites_or_symbionts	MD15	17
animal_parasites_or_symbionts	MD2	304
animal_parasites_or_symbionts	MD3	285
animal_parasites_or_symbionts	MD4	176
animal_parasites_or_symbionts	MD5	105
animal_parasites_or_symbionts	MD6	179
animal_parasites_or_symbionts	MD7	206
animal_parasites_or_symbionts	MD8	187
animal_parasites_or_symbionts	MD9	155
animal_parasites_or_symbionts	NC1	100
animal_parasites_or_symbionts	NC10	34
animal_parasites_or_symbionts	NC11	475
animal_parasites_or_symbionts	NC12	344
animal_parasites_or_symbionts	NC13	297
animal_parasites_or_symbionts	NC14	260
animal_parasites_or_symbionts	NC15	407
animal_parasites_or_symbionts	NC2	50
animal_parasites_or_symbionts	NC3	68
animal_parasites_or_symbionts	NC4	83
animal_parasites_or_symbionts	NC5	76
animal_parasites_or_symbionts	NC6	66
animal_parasites_or_symbionts	NC7	130
animal_parasites_or_symbionts	NC8	93
animal_parasites_or_symbionts	NC9	137
aromatic_compound_degradation	HD1	0
aromatic_compound_degradation	HD10	7
aromatic_compound_degradation	HD11	3
aromatic_compound_degradation	HD12	2
aromatic_compound_degradation	HD13	9
aromatic_compound_degradation	HD14	3
aromatic_compound_degradation	HD15	1
aromatic_compound_degradation	HD2	0
aromatic_compound_degradation	HD3	0
aromatic_compound_degradation	HD4	10
aromatic_compound_degradation	HD5	2
aromatic_compound_degradation	HD6	16
aromatic_compound_degradation	HD7	9
aromatic_compound_degradation	HD8	11
aromatic_compound_degradation	HD9	8
aromatic_compound_degradation	MD1	1
aromatic_compound_degradation	MD10	5
aromatic_compound_degradation	MD11	3
aromatic_compound_degradation	MD12	1
aromatic_compound_degradation	MD13	0
aromatic_compound_degradation	MD14	10
aromatic_compound_degradation	MD15	1
aromatic_compound_degradation	MD2	3
aromatic_compound_degradation	MD3	14
aromatic_compound_degradation	MD4	3
aromatic_compound_degradation	MD5	8
aromatic_compound_degradation	MD6	0
aromatic_compound_degradation	MD7	1
aromatic_compound_degradation	MD8	1
aromatic_compound_degradation	MD9	9
aromatic_compound_degradation	NC1	0
aromatic_compound_degradation	NC10	1
aromatic_compound_degradation	NC11	2
aromatic_compound_degradation	NC12	1
aromatic_compound_degradation	NC13	0
aromatic_compound_degradation	NC14	1
aromatic_compound_degradation	NC15	2
aromatic_compound_degradation	NC2	1
aromatic_compound_degradation	NC3	1
aromatic_compound_degradation	NC4	2
aromatic_compound_degradation	NC5	3
aromatic_compound_degradation	NC6	1
aromatic_compound_degradation	NC7	0
aromatic_compound_degradation	NC8	0
aromatic_compound_degradation	NC9	0
nitrate_reduction	HD1	2
nitrate_reduction	HD10	3
nitrate_reduction	HD11	3
nitrate_reduction	HD12	1
nitrate_reduction	HD13	0
nitrate_reduction	HD14	2
nitrate_reduction	HD15	1
nitrate_reduction	HD2	1
nitrate_reduction	HD3	2
nitrate_reduction	HD4	5
nitrate_reduction	HD5	1
nitrate_reduction	HD6	0
nitrate_reduction	HD7	2
nitrate_reduction	HD8	1
nitrate_reduction	HD9	2
nitrate_reduction	MD1	1
nitrate_reduction	MD10	6
nitrate_reduction	MD11	15
nitrate_reduction	MD12	3
nitrate_reduction	MD13	65
nitrate_reduction	MD14	14
nitrate_reduction	MD15	7
nitrate_reduction	MD2	2
nitrate_reduction	MD3	0
nitrate_reduction	MD4	5
nitrate_reduction	MD5	1
nitrate_reduction	MD6	5
nitrate_reduction	MD7	7
nitrate_reduction	MD8	1
nitrate_reduction	MD9	7
nitrate_reduction	NC1	18
nitrate_reduction	NC10	7
nitrate_reduction	NC11	3
nitrate_reduction	NC12	13
nitrate_reduction	NC13	3
nitrate_reduction	NC14	1
nitrate_reduction	NC15	24
nitrate_reduction	NC2	9
nitrate_reduction	NC3	59
nitrate_reduction	NC4	11
nitrate_reduction	NC5	20
nitrate_reduction	NC6	18
nitrate_reduction	NC7	13
nitrate_reduction	NC8	3
nitrate_reduction	NC9	9
ureolysis	HD1	0
ureolysis	HD10	0
ureolysis	HD11	0
ureolysis	HD12	0
ureolysis	HD13	1
ureolysis	HD14	0
ureolysis	HD15	1
