DATASET_HEATMAP
SEPARATOR TAB
BORDER_WIDTH	0.5
COLOR	#fb9a99
COLOR_MAX	#1f78b4
COLOR_MIN	#e5e5e5
COLOR_NAN	#FFFFFF
DATASET_LABEL	OTUID
FIELD_LABELS	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
LEGEND_COLORS	#e5e5e5	#1f78b4
LEGEND_LABELS	Min. (0)	Max. (3048)
LEGEND_SHAPES	1	1
LEGEND_TITLE	OTUID
MARGIN	5
STRIP_WIDTH	50
DATA
ASV_1	9	11	75	96	188	37	120	12	265	73	8	11	148	385	8	21	860	199	799	12	391	7	1167	784	231	2	10	409	16	774	555	501	199	309	7	4	698	69	533	336	331	6	48	7	8
ASV_2	211	858	427	153	330	393	194	282	46	190	17	617	1514	233	1151	98	366	297	199	13	225	2	25	3	69	899	281	215	412	514	4	16	42	14	10	313	17	2	4	4	5	18	11	17	10
ASV_4	3	9	34	13	52	45	51	13	5	10	4	23	16	6	6	9	5	8	8	7	9	10	3	7	2	16	8	6	5	3	9	957	34	45	76	103	265	2	4	3	4	1814	1534	956	946
ASV_15	292	19	943	495	431	154	126	7	74	357	4	355	4	331	10	359	75	195	19	12	9	9	57	52	45	7	59	337	1749	119	9	13	11	55	13	31	7	6	5	6	6	60	2	23	24
ASV_3	160	8	28	18	11	13	5	190	1275	120	374	16	6	5	12	1576	9	16	11	27	3	5	14	8	10	10	19	16	22	8	465	116	40	96	36	19	101	371	486	239	246	60	43	185	220
ASV_6	112	169	30	27	21	12	23	109	370	237	170	245	145	58	81	115	402	62	38	3	43	3	208	148	212	131	338	228	93	163	496	49	5	9	6	9	23	457	493	157	182	22	121	70	164
ASV_9	4	7	36	66	107	27	61	4	147	32	1	2	75	242	5	13	479	119	387	6	188	1	660	425	127	4	4	227	7	434	302	252	128	176	6	5	395	47	310	215	172	1	25	5	3
ASV_8	12	111	0	0	0	471	24	1850	9	41	2312	1	3	9	8	13	0	7	0	3	0	6	9	9	8	786	6	1	0	0	0	4	6	2	0	2	0	5	0	0	0	1	3	9	1
ASV_12	137	168	338	351	430	328	480	110	9	85	44	274	208	3	237	4	29	49	418	9	82	6	251	175	195	260	11	249	166	134	16	1	5	7	21	3	6	6	3	13	11	6	5	3	4
ASV_7	1	2	2	1	0	9	4	6	2	1	0	0	2	3	5	0	0	26	57	1849	120	3048	1	1	1	3	0	3	3	0	1	0	1	3	1	0	0	1	1	1	0	1	0	0	1
ASV_5	2089	18	20	76	308	188	158	81	10	14	871	196	96	66	382	10	12	8	10	3	5	0	3	11	8	15	3	15	212	53	12	23	2	2	6	6	3	15	20	109	9	7	38	2	19
ASV_13	32	215	92	76	20	131	104	42	196	196	30	192	116	52	114	67	160	137	91	73	158	37	133	119	170	122	622	233	44	60	71	24	47	80	60	85	118	139	138	43	78	34	76	32	43
ASV_26	46	267	102	52	162	300	181	400	24	59	225	59	64	212	140	10	29	38	31	9	62	7	175	127	328	281	12	21	4	15	41	110	114	37	28	306	93	9	15	180	87	72	64	18	128
ASV_11	76	41	3	6	8	7	4	108	375	186	136	130	63	31	18	177	117	49	24	7	17	20	101	220	176	138	231	59	56	96	184	135	22	52	16	60	62	120	176	157	137	171	256	175	159
ASV_14	371	322	44	68	8	33	34	507	766	236	444	290	134	24	55	174	79	7	2	8	4	0	36	73	210	133	62	20	13	9	26	20	2	1	0	2	2	51	42	48	97	5	19	55	7
ASV_16	113	126	153	145	200	119	140	198	44	151	293	59	128	291	259	99	77	96	205	2	45	2	165	181	133	211	65	76	161	114	33	3	11	11	3	12	5	25	54	55	15	8	2	3	3
ASV_10	22	63	68	299	23	169	50	34	144	101	34	439	37	6	19	291	79	132	23	0	11	4	15	65	130	16	149	298	49	13	127	24	114	282	61	17	79	62	258	74	31	62	66	63	105
ASV_22	21	4	9	15	9	4	2	83	20	52	41	11	13	2	5	14	70	16	12	4	5	12	23	25	28	174	22	49	15	7	122	39	378	582	281	935	517	89	106	42	52	31	61	46	40
ASV_27	70	100	243	262	345	170	370	59	17	74	34	179	141	7	98	5	39	59	354	5	76	3	205	160	130	130	6	207	131	134	15	4	7	16	15	4	14	20	5	26	23	4	3	5	6
ASV_97	192	63	58	100	44	121	98	145	102	187	67	183	166	86	106	241	49	75	36	5	87	5	100	178	181	109	125	61	63	28	44	154	47	18	40	3	37	45	22	90	73	60	129	31	80
ASV_21	158	4	529	255	204	81	71	5	56	224	0	211	6	195	3	187	49	107	19	8	4	2	27	46	31	5	44	181	712	74	2	8	11	111	9	12	4	3	2	2	1	118	4	83	33
ASV_24	9	12	5	7	3	3	2	5	5	7	9	11	3	6	7	4	1	3	3	4	4	13	1	10	7	5	7	15	2	1	37	19	1042	141	483	64	18	8	23	3	15	443	109	832	261
ASV_19	54	98	4	37	2	34	23	16	443	37	7	45	6	12	2	1076	9	192	4	1	0	7	81	47	422	1	306	5	155	47	129	1	14	16	22	0	44	36	11	21	23	34	9	0	4
ASV_17	18	1	0	1	1	1	1	9	14	4	9	2	3	1	0	33	1	4	18	177	13	9	0	1	2	2	4	4	1	0	345	66	103	53	103	12	36	749	87	114	315	37	237	720	98
ASV_23	46	103	22	21	10	10	29	42	52	93	78	76	71	41	73	26	278	46	24	7	34	9	63	91	52	167	106	117	71	44	243	50	40	68	29	31	153	163	331	102	138	45	63	72	53
ASV_20	2	12	12	24	4	14	8	13	109	71	2	49	18	14	4	103	73	224	26	4	89	8	30	51	29	23	49	51	8	16	86	8	463	321	267	203	397	29	44	60	54	21	94	84	77
ASV_28	1	156	75	177	151	159	240	134	198	8	64	97	242	367	150	174	5	137	4	3	99	2	99	136	125	60	4	123	62	159	1	0	4	9	5	1	6	0	1	0	4	5	2	1	4
ASV_31	1	0	2	0	1	0	3	0	1	2	1	3	5	0	2	5	0	0	1	0	0	7	3	2	1	12	3	1	0	0	11	661	151	177	72	20	79	166	178	80	88	515	571	167	254
ASV_29	58	90	184	180	307	163	343	65	2	48	29	159	159	4	106	3	18	13	271	3	90	2	109	85	106	143	0	137	72	96	9	2	5	6	10	10	3	2	3	8	3	1	2	3	4
ASV_41	5	3	18	88	101	129	42	2	15	5	2	4	55	130	4	1	4	3	3	1	2	5	18	71	4	6	3	5	2	3	406	7	5	51	115	13	2	301	154	218	550	5	9	12	1
ASV_25	2	203	133	265	62	270	115	42	1	38	3	95	67	27	106	1	27	124	20	11	40	4	3	4	29	2	266	87	5	21	16	18	27	31	51	25	60	15	28	11	15	68	44	88	50
ASV_201	71	72	166	163	273	125	243	61	9	47	37	128	82	12	108	9	21	23	141	6	55	1	75	63	83	125	8	79	174	60	4	10	19	9	33	15	13	3	4	10	7	6	5	5	2
ASV_51	6	63	1	4	7	319	14	741	8	23	853	3	8	5	4	6	1	2	2	2	4	1	7	8	13	366	1	0	0	2	0	5	4	3	0	121	1	0	1	0	0	2	0	5	0
ASV_44	129	68	42	23	193	34	43	70	32	126	43	61	81	223	91	42	28	59	16	0	18	4	102	92	201	41	77	33	176	117	12	42	19	5	9	40	13	16	9	31	10	6	27	7	23
ASV_46	39	52	67	74	47	64	350	4	26	51	1	110	67	121	45	43	29	103	116	8	82	4	30	30	182	2	21	4	39	36	6	132	58	25	64	63	25	8	13	48	38	36	50	32	110
ASV_32	13	14	32	33	7	24	12	41	115	99	34	82	29	8	15	128	17	62	19	29	16	25	19	44	25	40	7	21	6	4	98	116	61	93	64	21	107	36	104	55	88	90	293	124	118
ASV_30	21	303	6	8	2	4	5	12	31	30	29	269	209	59	43	54	166	22	9	5	23	20	56	177	217	148	114	155	47	45	16	2	0	1	0	0	0	31	23	26	32	7	1	30	8
ASV_35	16	4	168	138	167	6	118	2	194	30	1	2	209	96	5	25	344	1	199	5	61	6	70	217	72	1	76	43	2	148	6	2	4	4	2	7	4	1	0	14	4	3	2	2	9
ASV_52	131	73	39	19	92	99	37	17	55	117	2	1	245	200	240	2	102	260	75	3	18	5	193	11	12	11	9	92	20	177	1	1	9	11	2	4	16	1	0	4	3	2	8	1	7
ASV_50	4	5	15	30	43	23	32	5	27	20	9	13	4	46	5	22	6	14	12	3	9	7	34	17	2	10	78	39	34	47	45	442	2	6	27	21	21	20	90	347	8	273	263	8	190
ASV_36	66	243	9	3	0	1	0	60	122	61	27	222	81	59	28	63	245	0	0	0	6	4	45	113	139	80	118	134	25	56	25	26	8	2	3	3	2	68	24	14	68	7	37	55	12
ASV_33	34	65	13	15	6	3	6	40	128	99	68	89	56	34	48	65	158	38	13	1	14	0	97	49	68	50	116	101	30	54	148	22	3	1	2	1	2	171	212	55	62	11	48	36	47
ASV_417	4	6	20	18	53	18	44	3	46	14	4	0	34	140	4	10	164	45	147	5	73	1	218	151	41	1	4	96	4	156	87	182	101	67	5	1	158	12	80	120	63	7	20	2	5
ASV_43	1	1	1	1	0	2	1	3	3	4	1	2	2	4	6	206	367	97	54	3	1	1	182	1	1	202	743	247	270	6	0	4	0	0	0	0	0	2	2	2	0	2	4	2	3
ASV_38	75	36	164	2	228	1	2	1	94	137	0	27	130	198	138	53	5	228	0	7	204	1	16	83	84	1	4	1	2	325	0	0	32	7	25	23	0	2	7	5	2	5	0	2	2
ASV_56	21	7	20	7	18	4	6	12	2	3	7	3	8	7	3	1	18	13	3	5	6	15	1	4	7	5	6	1	2	3	21	20	104	84	1242	309	76	7	2	1	5	47	15	6	29
ASV_34	3	4	4	4	1	0	3	3	4	6	3	3	5	1	1	6	5	0	2	2	2	10	4	6	4	2	5	2	1	0	43	25	543	82	293	32	121	5	31	10	5	100	61	580	86
ASV_1253	45	101	122	51	106	79	55	33	9	33	1	100	233	46	168	14	69	56	38	8	62	0	10	7	4	121	39	38	139	115	4	16	19	2	10	52	3	5	2	15	9	13	8	4	18
ASV_53	0	0	0	1	0	2	1	1	0	0	0	0	0	2	0	0	0	2	19	639	4	1468	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
ASV_42	3	1	9	7	2	4	5	2	0	0	1	1	1	7	1	3	0	17	488	10	467	1	6	2	0	2	1	4	7	94	211	18	2	25	29	99	6	79	53	235	113	3	10	2	21
ASV_45	4	0	1	1	0	2	1	1	2	1	1	3	2	1	0	2	2	1	2	1	1	2	17	28	44	4	0	0	2	0	80	38	7	21	1	27	6	397	192	212	268	292	40	158	19
ASV_37	55	49	50	225	6	69	18	103	34	46	85	81	14	15	23	37	34	142	110	4	27	1	54	43	29	25	272	245	74	25	2	20	14	5	3	1	7	10	8	2	6	6	10	3	8
