DATASET_HEATMAP
SEPARATOR TAB
BORDER_WIDTH	0.5
COLOR	#fb9a99
COLOR_MAX	#1f78b4
COLOR_MIN	#e5e5e5
COLOR_NAN	#FFFFFF
DATASET_LABEL	OTUID
FIELD_LABELS	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
ASV_39	17	17	76	77	10	30	11	18	1	24	9	32	63	3	61	1	17	361	64	19	354	41	10	12	6	9	44	128	2	1	16	11	45	34	77	33	48	65	35	19	32	4	38	51	5
ASV_59	21	26	146	81	107	152	124	1	30	69	1	66	68	141	91	49	34	91	46	5	33	1	82	56	88	6	63	25	157	82	3	0	4	4	2	0	3	3	5	3	7	3	32	2	1
ASV_109	5	2	9	8	3	8	11	3	69	4	1	7	4	69	4	1	2	8	6	2	9	4	2	6	4	10	0	2	3	10	7	328	6	87	79	213	3	4	31	357	6	9	183	8	235
ASV_58	1	3	2	34	0	6	2	0	0	1	2	1	0	1	0	4	0	1	707	5	13	0	0	2	0	2	0	0	1	0	4	152	4	396	30	212	55	0	54	28	2	28	28	2	52
ASV_40	20	1	0	0	0	0	0	278	0	4	17	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0	4	1	1	0	214	1	1	11	1	3	0	847	50	19	189	0	0	74	1
ASV_48	46	15	93	4	116	0	0	2	57	79	1	23	78	113	98	107	3	357	4	1	297	1	10	68	37	0	1	1	1	185	1	0	24	5	32	22	1	0	2	1	4	2	0	1	3
ASV_64	37	27	49	72	58	35	91	143	18	36	68	34	62	54	44	56	28	29	18	5	45	4	53	80	44	69	44	51	27	33	23	37	12	14	26	3	9	22	15	53	36	32	33	23	37
ASV_55	17	68	55	84	71	99	61	30	24	18	69	59	28	130	53	19	56	73	38	2	119	1	85	48	63	91	43	71	37	61	11	3	15	12	4	7	3	6	8	2	5	3	2	1	4
ASV_74	6	50	17	17	13	5	19	4	14	31	3	22	9	48	47	23	56	38	69	2	101	1	100	176	58	11	2	41	9	140	52	62	101	11	50	121	21	58	15	23	3	17	38	3	19
ASV_89	0	0	5	32	1	3	1	0	3	0	0	6	0	0	0	0	0	2	154	1	4	0	0	0	1	4	1	1	0	0	0	208	11	536	51	324	63	4	65	57	1	51	37	3	62
ASV_73	6	4	11	5	6	4	1	4	1	9	5	5	3	2	1	6	2	3	7	8	8	7	3	3	1	7	3	4	1	0	84	78	40	155	100	79	156	76	77	112	94	182	89	110	87
ASV_1365	45	56	99	47	74	53	74	14	20	63	1	64	80	52	64	28	27	76	55	9	75	1	7	18	23	37	84	45	167	80	7	18	12	0	3	30	5	6	1	32	5	17	12	3	13
ASV_57	36	12	1	3	4	2	2	51	197	110	65	66	48	15	8	74	3	0	1	2	0	3	4	18	13	16	32	2	3	0	100	54	13	16	5	28	31	57	101	69	68	85	114	93	55
ASV_82	12	41	16	30	15	16	27	17	14	31	10	33	41	19	15	16	7	14	5	7	21	18	7	34	18	8	4	10	11	29	39	8	10	13	36	7	5	19	20	17	44	15	28	8	734
ASV_47	2	3	3	21	0	2	4	3	2	3	3	5	3	3	0	3	3	6	13	583	6	834	3	2	0	3	30	7	2	0	0	2	6	3	1	1	3	0	0	1	0	1	0	4	0
ASV_54	13	33	10	9	7	14	8	22	46	24	20	12	25	15	37	41	48	33	5	0	10	5	49	33	39	42	31	38	9	13	44	40	12	13	11	1	16	67	45	16	118	59	101	248	42
ASV_75	9	73	32	30	9	42	37	16	59	66	11	56	31	12	37	13	50	42	28	14	54	10	23	18	30	25	98	60	10	25	29	10	14	22	12	33	45	59	84	25	35	10	22	15	9
ASV_49	12	115	38	95	9	42	38	27	35	68	10	43	17	13	30	27	107	18	14	0	16	0	37	46	42	60	33	158	5	20	19	16	14	19	23	14	33	7	25	28	20	18	6	24	16
ASV_76	41	54	158	198	9	138	66	2	25	8	0	35	3	37	12	5	23	1	1	4	2	1	6	17	1	0	47	0	5	29	6	1	217	147	130	5	16	0	1	5	0	4	1	8	0
ASV_507	5	27	2	4	5	12	6	30	21	24	8	14	20	12	7	62	25	8	1	0	12	0	24	24	22	30	15	7	17	18	114	78	18	15	13	0	25	95	38	125	103	48	155	14	70
ASV_61	6	2	10	12	7	4	6	3	4	5	3	5	3	2	2	3	2	11	4	6	9	8	1	5	5	8	2	3	2	3	9	101	81	162	100	104	114	16	5	5	10	136	161	146	80
ASV_465	49	29	5	17	4	2	3	33	4	55	18	8	34	10	10	44	173	10	17	0	27	1	84	32	70	67	76	139	79	48	6	29	8	3	5	4	25	40	5	37	31	17	28	5	9
ASV_63	1	2	5	4	2	2	1	2	3	2	2	1	2	0	0	0	1	3	0	0	2	4	1	4	2	2	2	0	0	0	157	4	115	115	109	48	81	190	269	54	111	4	13	5	5
ASV_1412	3	27	35	51	61	58	69	34	31	13	10	24	53	108	29	35	4	33	4	2	30	4	20	28	20	9	2	15	51	38	39	10	6	9	34	9	4	29	14	43	57	5	12	7	56
ASV_67	20	0	0	1	0	0	0	22	43	39	4	2	2	1	0	2	135	9	7	1	97	1	161	285	110	140	2	159	1	0	3	0	2	1	0	0	0	8	2	4	0	4	14	16	3
ASV_62	47	5	2	9	0	3	2	47	166	186	7	35	49	3	10	5	41	1	2	6	0	2	77	2	2	1	2	37	2	7	181	8	3	4	4	1	1	117	145	50	47	4	3	2	14
ASV_81	27	36	6	8	4	10	4	44	82	90	65	54	42	13	38	53	57	67	22	0	21	1	33	44	41	61	116	40	32	26	14	1	30	21	6	10	16	12	14	4	14	4	5	15	4
ASV_91	57	6	39	54	72	35	114	0	15	9	0	82	62	90	18	78	8	10	3	2	6	1	13	7	3	0	129	25	263	44	0	1	0	1	3	1	2	0	1	1	1	0	1	2	0
ASV_80	1	4	2	7	3	2	1	4	5	4	1	7	1	0	4	547	1	1	4	1	0	0	3	2	1	28	4	3	3	1	9	2	1	44	84	5	6	3	11	2	3	5	2	342	103
ASV_60	2	10	6	11	1	3	2	0	1	0	0	3	2	0	3	0	8	14	19	0	45	1	0	0	0	0	1	7	0	2	0	23	140	155	171	185	313	1	3	2	3	30	19	41	52
ASV_94	12	12	6	9	11	13	7	12	1	10	7	24	12	14	19	3	6	16	14	1	3	3	8	5	12	6	4	15	7	10	17	98	85	66	141	33	99	32	14	50	44	85	100	16	81
ASV_71	5	17	10	92	0	48	10	12	11	9	21	13	2	6	6	1	5	34	12	457	5	267	9	7	6	7	16	10	3	3	20	5	31	11	5	4	17	4	3	9	8	1	4	5	3
ASV_392	5	2	2	3	1	1	0	0	1	0	0	4	1	1	3	1	11	26	28	0	28	0	0	0	0	2	3	0	7	1	94	33	0	161	45	2	215	36	27	66	125	66	42	63	63
ASV_88	49	14	23	22	19	10	10	21	23	26	30	27	18	17	22	27	20	9	15	33	13	23	18	22	19	23	22	25	21	10	52	16	31	30	25	26	42	37	62	46	52	20	29	24	19
ASV_68	17	43	19	30	13	28	16	16	47	44	16	28	38	10	48	43	60	34	21	1	37	1	61	52	66	39	59	56	13	11	23	9	22	15	12	11	7	18	28	13	32	14	6	16	10
ASV_98	18	9	26	14	41	4	13	20	6	6	4	4	22	37	6	9	1	1	0	0	3	0	3	4	5	3	5	0	14	9	10	304	28	5	113	152	4	36	3	148	32	29	11	3	5
ASV_72	14	18	3	24	1	4	4	26	102	43	44	21	3	8	0	39	49	23	12	23	11	3	14	13	31	15	56	68	41	9	65	15	10	17	15	3	10	37	83	52	62	5	12	62	18
ASV_83	10	46	27	15	2	20	16	12	42	32	16	56	29	19	45	8	51	44	12	2	17	3	18	27	32	27	66	53	14	30	28	17	32	47	44	35	41	28	46	7	24	4	17	27	5
ASV_300	38	30	54	87	29	75	82	31	10	44	46	22	30	18	33	14	6	34	38	2	15	0	21	37	68	37	27	29	16	8	38	5	8	6	6	8	7	5	7	18	6	10	7	0	8
ASV_157	33	27	58	32	63	43	45	4	1	3	2	21	4	47	43	32	17	3	60	1	58	2	1	1	10	0	8	32	112	15	3	13	31	33	60	105	25	9	5	15	25	16	21	1	1
ASV_102	3	101	46	63	26	54	32	87	20	18	31	12	39	23	62	1	3	53	25	1	85	0	22	25	40	70	122	2	1	10	0	1	1	3	0	0	0	1	0	1	16	2	1	3	2
ASV_125	5	3	9	7	11	6	12	1	17	1	2	2	6	4	9	11	7	4	2	5	9	6	4	3	12	3	5	8	6	9	5	36	123	22	261	10	12	16	76	10	22	66	84	86	29
ASV_87	8	141	102	87	133	58	60	13	4	36	8	3	34	62	17	3	3	10	0	1	23	3	1	39	47	3	4	4	1	75	3	32	5	4	5	3	18	2	2	0	19	6	1	0	0
ASV_206	2	43	107	8	143	84	108	2	2	55	0	22	20	72	211	0	1	20	2	1	118	0	26	1	53	0	1	2	3	3	1	1	1	2	2	1	0	0	0	0	2	0	2	0	0
ASV_117	1	4	132	116	22	100	38	2	2	18	4	3	17	4	25	1	3	4	172	5	17	3	12	3	9	2	0	10	3	6	9	55	32	15	91	5	17	7	8	17	41	2	10	1	20
ASV_77	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	470	0	553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_720	0	3	0	1	2	0	1	3	4	5	2	2	0	0	2	2	3	24	7	0	24	1	0	0	2	6	2	3	0	0	12	73	14	33	29	0	42	13	8	1	5	149	205	183	116
ASV_122	2	0	7	6	5	2	1	1	0	15	3	2	0	4	0	2	2	3	46	4	65	1	3	20	18	1	2	0	13	3	12	18	256	26	197	241	6	8	17	10	2	21	5	11	18
ASV_95	8	40	14	4	1	19	8	9	45	25	16	55	26	21	34	7	51	56	8	2	21	0	16	24	32	25	55	53	11	27	27	11	25	28	24	27	32	22	41	18	15	6	15	20	7
ASV_78	36	31	44	37	52	52	75	24	23	14	28	10	24	36	24	17	22	47	27	1	24	2	11	14	42	14	18	56	19	33	10	9	14	12	21	5	28	6	5	9	13	8	7	3	8
ASV_130	29	19	50	46	56	44	50	4	26	7	3	23	23	31	11	28	15	33	65	1	51	3	27	34	46	5	59	20	7	63	5	7	16	6	9	13	5	6	1	10	14	14	14	2	9
ASV_85	43	22	88	90	54	105	85	22	4	27	4	21	24	14	40	10	4	48	21	1	31	0	6	21	16	9	27	36	25	13	4	11	11	7	2	7	5	9	5	23	20	12	3	8	15
ASV_142	55	134	7	4	6	15	53	5	21	119	25	1	56	33	224	1	11	0	2	0	1	1	64	4	93	32	2	1	3	14	8	7	1	1	2	1	4	5	6	3	2	2	7	1	4
ASV_1658	35	6	12	23	6	8	17	30	10	30	14	13	8	5	12	20	45	18	12	1	15	2	30	25	29	18	15	49	38	16	15	54	12	14	48	3	29	18	4	20	20	52	89	36	25
ASV_118	68	4	29	38	55	40	111	0	12	13	0	90	58	111	14	70	8	8	2	1	6	0	6	5	4	0	98	10	119	24	0	1	0	2	2	2	0	0	2	1	0	2	1	0	1
ASV_93	18	23	15	14	3	20	14	20	61	32	15	55	26	13	18	31	33	17	20	10	6	10	15	29	11	23	82	9	13	2	68	10	15	25	5	28	28	19	47	20	20	10	10	11	8
ASV_1450	10	4	66	70	85	5	52	1	59	22	0	4	53	47	0	10	124	0	91	3	37	1	32	77	18	1	23	20	2	59	2	2	1	2	3	4	3	1	1	3	2	1	0	0	3
ASV_126	5	2	2	1	6	7	5	1	3	0	0	9	1	4	4	6	7	300	105	2	264	3	1	3	4	4	4	2	22	188	2	1	2	5	1	8	1	3	1	6	3	0	2	2	1
ASV_101	30	30	34	5	9	25	7	20	21	77	36	77	39	14	18	26	36	17	9	1	4	1	36	42	50	62	43	38	15	19	5	4	2	7	3	5	4	16	18	7	21	10	15	7	14
ASV_333	3	6	8	12	6	17	13	7	13	11	6	15	10	8	4	35	8	5	4	1	15	15	23	46	31	8	12	34	41	36	17	14	21	8	63	8	14	25	22	81	128	22	44	5	26
ASV_100	28	33	31	14	40	8	30	52	15	51	15	16	33	38	63	35	13	24	14	0	14	2	28	56	64	29	32	30	42	85	1	2	3	2	3	0	5	1	2	5	7	4	4	0	0
ASV_96	13	120	94	61	38	52	36	29	12	26	24	12	32	18	44	6	5	72	9	1	46	1	33	48	56	45	6	1	3	8	2	2	2	2	3	8	4	0	2	0	1	0	0	1	0
ASV_90	6	82	30	46	100	40	77	16	4	21	23	13	29	106	113	28	21	20	11	1	8	0	19	28	20	4	23	8	15	9	7	0	5	6	3	6	4	3	0	2	5	3	2	0	2
ASV_84	3	8	95	151	18	84	32	6	11	29	2	30	7	14	6	11	16	61	25	14	28	2	15	14	24	7	20	34	4	4	6	8	13	18	16	15	18	5	6	12	6	19	7	18	19
ASV_103	25	22	15	4	11	29	9	16	20	93	37	82	57	12	13	29	30	21	11	1	9	6	31	39	52	60	50	43	9	22	7	7	3	6	1	1	5	8	19	5	17	12	10	3	15
ASV_107	190	76	20	10	10	6	37	3	43	115	21	3	27	73	125	1	8	2	2	1	0	0	28	3	46	37	2	4	1	8	5	2	0	1	4	0	5	10	13	2	1	1	10	0	15
ASV_99	3	33	3	7	4	5	5	6	8	10	6	54	27	6	71	24	18	131	24	5	21	2	42	33	51	25	28	20	16	4	15	8	17	22	18	18	7	39	23	4	23	2	21	8	27
ASV_104	12	32	8	3	5	5	7	10	16	31	20	27	16	19	30	13	30	10	2	2	6	1	20	19	11	42	37	17	15	8	65	8	14	20	15	16	29	47	111	26	38	16	24	21	22
ASV_119	15	12	0	2	2	2	3	31	131	54	40	57	38	12	9	23	9	4	0	0	2	0	2	10	3	10	15	3	3	6	34	26	2	6	6	32	6	32	33	24	28	50	61	27	49
ASV_106	23	31	19	16	10	29	8	19	37	80	37	114	44	10	23	21	20	27	5	1	2	5	36	38	46	42	43	30	5	12	3	10	6	4	2	7	4	11	15	3	13	11	8	8	11
ASV_112	0	2	0	20	0	181	663	1	0	0	0	0	19	0	0	1	0	2	2	7	6	0	1	1	0	0	1	2	1	1	3	0	0	1	4	0	0	0	0	1	1	1	2	0	2
ASV_86	30	28	22	40	4	20	7	21	9	11	4	10	10	0	10	11	169	99	30	2	16	1	13	9	11	27	87	137	20	13	5	3	0	1	1	0	2	4	0	3	2	1	2	4	1
