Order	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	All
Clostridiales	58.5	69.7	83	72	88.3	77.5	86.8	72	44.2	62.3	60.7	57.3	77.6	87	76	59.3	63.2	65.2	83.3	15	80.5	8.87	79.1	75.7	72.6	70.7	53.4	62	85.3	85.6	56.4	73.2	65.6	63.7	72.1	66.9	57.9	53.3	51.4	75.5	63.8	61.8	53.4	43.7	65.6	67.7
Bacteroidales	11.1	21.3	12.1	22.5	4.88	16.8	8.52	15.7	31.8	30.1	17.8	32.7	16	7.43	14.6	19.3	30.6	26.9	10.9	60.5	12.2	57.8	16.9	19.2	21	23.2	40.9	31.5	9.3	10.9	30.2	12.4	24.3	31.1	19.5	29.3	33.2	26.4	37.6	15.9	22.1	14.7	23.8	24.1	17.6	19.4
Erysipelotrichales	4.84	6.56	0.65	0.87	0.18	0.56	0.45	5.92	9.15	3.25	5.03	5.81	2.64	1.26	1.39	2.6	3.79	0.31	0.19	0.32	0.25	0.28	1.01	2.05	3.77	2.6	2.67	2.12	0.83	1.23	0.76	0.93	0.49	0.22	0.37	0.32	0.38	1.39	0.9	0.75	1.91	0.81	1.15	1.94	1.33	2.4
Eggerthellales	0.25	0.11	0.03	0.03	0.01	0.03	0.05	0.26	0.14	0.2	0.1	0.14	0.06	0.03	0.07	0.15	0.07	0.12	0.06	0.01	0.13	0.02	0.13	0.13	0.35	0.18	0.08	0.12	0.01	0.03	0.67	0.17	0.07	0.04	0.09	0.04	0.16	1.7	0.44	0.8	1.88	0.91	0.31	0.96	0.31	2.0
Unassigned	0.12	0.13	0.15	0.33	0.08	0.07	0.07	0.14	0.3	0.16	0.09	0.1	0.1	0.08	0.12	0.17	0.25	0.1	0.08	0.09	0.09	0.19	0.28	0.18	0.07	0.12	0.24	0.33	0.11	0.05	1.07	0.63	6.04	1.15	3.27	0.65	2.1	0.89	1.06	0.69	1.27	1.49	1.02	6.8	1.31	1.9
Lactobacillales	0.68	0.29	0.98	1.07	0.23	0.81	0.17	0.3	0.16	0.46	0.27	0.55	0.83	0.04	0.84	0.52	0.42	5.03	1.48	2.34	4.52	0.76	0.13	0.16	0.14	0.23	0.76	2.1	0.23	0.06	4.07	0.84	1.75	1.03	2.11	0.54	1.08	8.67	1.51	1.52	3.75	0.46	3.05	8.04	1.15	0.9
Bacillales	0.1	0.02	0.09	0.06	0.02	0.03	0.01	0.03	0.04	0.06	0.06	0.02	0.03	0.02	0.02	0.01	0.02	0.03	0.02	0.04	0.06	0.06	0.01	0.04	0.03	0.03	0.02	0.03	0.01	0.02	0.05	0.03	0.06	0.02	0.03	0.04	0	0.02	0.04	0.01	0.03	0.01	0.05	0.02	0.01	0.6
Burkholderiales	0.11	0.03	0.01	0.07	0	0.06	0.03	0.09	0.15	0.13	0.05	0.09	0.02	0.01	0.04	0.04	0.07	0.06	0.43	1.19	0.05	0.94	0.05	0.06	0.12	0.12	0.04	0.24	0.03	0.01	0.29	0.05	0.22	0.35	0.15	0.09	0.23	0.26	0.16	0.04	0.13	0.22	0.07	0.27	0.29	0.6
Enterobacterales	0.01	0.02	0.02	0.01	0	0.09	0.05	0.06	0.03	0.02	0	0	0.02	0.03	0.05	0.02	0.05	0.42	0.57	19.5	1.26	30.6	0.01	0.01	0.01	0.03	0.05	0.07	0.03	0.04	0.01	0	0.01	0.04	0.01	0	0.01	0.01	0.01	0.01	0.02	0.02	0	0	0.01	0.5
Desulfovibrionales	1.32	1.42	1.95	1.65	2.55	1.69	1.99	2.15	0.55	1.67	3	0.84	1.5	3.08	2.77	1.19	0.82	1.08	2.31	0.25	0.6	0.22	1.83	2.05	1.47	2.3	0.8	1.01	1.72	1.31	0.55	9.64	0.47	0.58	0.81	1.16	2.74	0.42	0.67	0.68	0.25	18.2	15.4	9.62	9.52	0.5
Campylobacterales	0	0.02	0	0.02	0.01	0.02	0.01	0	0	0.06	0.07	0.01	0	0	0.01	0	0	0.04	0	0.01	0	0.01	0	0	0	0	0.03	0	0	0	0.06	0	0	0.01	0.07	0.06	0	0.06	0	0.01	0	0	0.02	0.06	0	0.3
Thermoanaerobacterales	0.01	0	0.01	0.01	0	0	0	0.02	0.01	0.03	0.01	0	0.01	0	0.02	0.04	0	0	0.02	0.01	0	0.01	0.01	0.03	0	0	0	0.01	0	0.02	0.01	0.02	0	0.01	0.01	0	0.01	0	0.03	0.01	0.02	0.01	0	0.03	0	0.3
Synergistales	0	0	0	0	0.01	0	0	0.01	0.01	0.01	0	0.01	0	0	0.02	0.01	0	0	0	0	0.01	0.02	0	0	0.01	0.02	0.02	0	0	0	0	0	0	0.02	0	0	0.01	0.01	0.02	0.03	0	0	0.02	0.01	0.01	0.2
Micrococcales	0.05	0	0.01	0	0.02	0.04	0.06	0	0	0	0.02	0	0.01	0	0	0	0.02	0.09	0.08	0.12	0.02	0	0.02	0.01	0.03	0	0	0.02	0	0	0	0	0	0	0	0.05	0.02	0.05	0.01	0.01	0.01	0	0	0.03	0	0.2
