Family	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	All
Lachnospiraceae	48.7	51.2	71.5	59.8	76.3	66.1	75.2	58.5	35.1	51.2	48.7	45.8	66.6	75	63.1	52.2	49.4	52.7	74.1	5.58	65.5	4.92	65.1	59	55.3	55.6	42.8	47.1	77.4	74.2	39.9	64.9	44.9	50.9	58.9	53.8	44.6	33	37.7	62.8	46.6	47.8	43.3	23.7	51.3	37.7
Ruminococcaceae	7.32	13.1	10.2	10.6	11.2	10.2	10.3	11.1	5.3	7.02	10.1	6.44	6.95	10.4	10.8	4.79	8.09	10.5	6.6	0.52	10.3	0.75	9.56	9.91	11.4	9.79	7.82	9.07	6.07	9.4	9.9	5.08	5.91	7.4	5.01	6.11	9.99	13.8	7.45	8.05	10.6	6.33	5.17	4.83	6.24	17.5
Muribaculaceae	8.74	14.4	6.12	6.45	2.78	6.81	4.62	11.2	27.1	24.6	14.6	23.7	13.5	5.58	11.2	13.1	24.4	15.1	6.39	2.4	8.48	2.51	14.1	15.6	17.1	19.6	28.5	19.4	6.91	9.18	25.8	10.5	14.4	20.8	12.3	23.7	21.7	23.8	31.8	12.5	19.3	11.3	20.4	19.7	13.5	9.3
Unassigned	0.45	0.8	0.59	0.73	0.45	0.68	0.51	0.66	0.79	0.62	0.44	0.48	0.44	0.5	0.65	0.6	0.95	0.68	1.47	0.28	2.07	0.29	0.98	0.76	0.76	0.79	0.7	0.98	0.56	0.63	2.48	2.18	7.72	2.18	4.47	2.34	3.39	2.86	2.4	2.29	3.52	3.13	2.58	9.36	3.77	7.6
Bacteroidaceae	1.49	1.91	1.6	6.33	0.7	3.2	0.94	2.89	1.09	1.59	2.26	1.63	0.62	0.54	1.09	0.94	2.37	4.54	2.61	49.7	0.96	42.1	1.26	1.3	0.92	1.68	5.51	4.63	1.28	0.72	0.72	0.55	1.15	0.89	0.39	0.51	1.05	0.48	0.53	0.7	0.66	0.41	0.35	0.36	0.36	5.9
Erysipelotrichaceae	4.84	6.56	0.65	0.87	0.18	0.56	0.45	5.92	9.15	3.25	5.03	5.81	2.64	1.26	1.39	2.6	3.79	0.31	0.19	0.32	0.25	0.28	1.01	2.05	3.77	2.6	2.67	2.12	0.83	1.23	0.76	0.93	0.49	0.22	0.37	0.32	0.38	1.39	0.9	0.75	1.91	0.81	1.15	1.94	1.33	2.4
Eggerthellaceae	0.25	0.11	0.03	0.03	0.01	0.03	0.05	0.26	0.14	0.2	0.1	0.14	0.06	0.03	0.07	0.15	0.07	0.12	0.06	0.01	0.13	0.02	0.13	0.13	0.35	0.18	0.08	0.12	0.01	0.03	0.67	0.17	0.07	0.04	0.09	0.04	0.16	1.7	0.44	0.8	1.88	0.91	0.31	0.96	0.31	2.0
Vallitaleaceae	0.08	0.03	0.03	0.05	0.04	0	0	0.17	0.16	0.11	0.07	0.02	0.04	0.05	0.06	0.21	0.02	0.03	0.05	0	0.23	0.08	0.02	0.13	0.06	0.1	0.08	0.03	0.01	0.05	0.62	0.31	0.84	1.78	0.81	0.29	0.39	0.78	1.15	0.61	1.19	0.26	0.59	0.54	0.71	1.2
Rikenellaceae	0.23	1.62	1.89	2.96	0.4	1.71	0.92	0.4	0.64	1.13	0.14	0.95	0.29	0.39	0.49	0.69	1.54	1.47	0.7	0.17	1.02	0.07	0.63	0.73	0.92	0.82	0.8	2.3	0.17	0.33	0.58	0.66	2.1	2.39	2.55	2.37	4.35	0.32	0.56	0.76	0.66	1.13	0.6	1.25	1.08	1.2
Clostridiaceae_1	0.04	0.23	0.04	0.01	0.01	0.01	0.04	0.02	0.03	0.01	0.01	0.05	0.08	0.01	0.06	0.03	0.24	0.02	0.08	0.76	0.01	0.14	0.01	0.01	0.04	0	0.02	0.05	0.02	0.23	0.11	0.03	0.08	0.06	0.08	0.06	0.15	0.14	0.12	0.04	0.05	0.06	0.14	0.17	0.11	1.0
Porphyromonadaceae	0.27	2.43	1.57	3.29	0.68	3	1.34	0.63	0.27	0.79	0.34	1.32	0.9	0.56	1.43	0.28	0.66	1.94	0.62	8.11	0.62	12.8	0.32	0.3	0.45	0.59	3.69	1.28	0.29	0.31	0.85	0.28	0.66	0.67	0.76	0.46	1.03	0.72	1.45	0.42	0.55	0.88	0.74	1.23	0.76	1.0
Clostridiales_Incertae_Sedis_XIII	0.22	0.31	0.1	0.11	0.09	0.12	0.09	0.41	0.09	0.16	0.21	0.21	0.28	0.1	0.25	0.24	0.42	0.3	0.13	0.08	0.41	0.02	0.14	0.22	0.21	0.51	0.33	0.36	0.11	0.15	0.45	0.33	0.11	0.09	0.17	0.1	0.11	0.46	0.34	0.43	0.68	0.28	0.43	0.49	0.31	0.8
Clostridiaceae_2	0.12	0.13	0.1	0.09	0.04	0.04	0.02	0.07	0.07	0.11	0.13	0.14	0.03	0.07	0.07	0.1	0.01	0.05	0.03	0.04	0.04	0.16	0.02	0.11	0.08	0.05	0.09	0.16	0.03	0.02	0.51	0.24	11.1	1.67	5.32	4.36	0.31	0.31	0.3	0.07	0.3	4.68	1.16	9.69	3.57	0.7
Christensenellaceae	0	0.01	0	0.01	0	0	0.01	0.03	0.01	0	0.02	0.02	0.01	0.01	0.02	0	0	0.03	0	0	0.05	0.02	0.02	0.03	0.02	0.03	0	0.04	0.02	0.01	0.15	0.08	0.19	0.14	0.08	0.05	0.31	0.09	0.09	0.05	0.14	0.07	0.11	0.06	0.03	0.7
Tissierellaceae	0.04	0.01	0.05	0.04	0.03	0.01	0.01	0.02	0.01	0.03	0.03	0.02	0.03	0.02	0	0.07	0.04	0.03	0.03	0.02	0.02	0.04	0.04	0.03	0.05	0.01	0.02	0.03	0.02	0.01	0.03	0.02	0.03	0.02	0.02	0.03	0.06	0.06	0.04	0.06	0.03	0.01	0.01	0.03	0.08	0.7
Odoribacteraceae	0.04	0.09	0.05	0.08	0.02	0.09	0.04	0.03	0.05	0.09	0.03	0.05	0.02	0.07	0.09	0.13	0.09	0.18	0.01	0.01	0.07	0.02	0.06	0.08	0.02	0.05	0.23	0.22	0	0.03	0.01	0.02	0	0.02	0.01	0	0	0.01	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.7
Lactobacillaceae	0.66	0.26	0.98	1.07	0.23	0.78	0.13	0.3	0.16	0.43	0.26	0.55	0.8	0.04	0.84	0.49	0.4	5.02	1.44	2.2	4.51	0.66	0.11	0.16	0.14	0.21	0.75	2.08	0.23	0.06	4.06	0.84	1.74	1.02	2.11	0.54	1.08	8.6	1.48	1.52	3.74	0.46	3.04	8	1.15	0.6
Prevotellaceae	0.28	0.79	0.83	3.26	0.27	1.86	0.6	0.5	2.63	1.76	0.38	4.92	0.58	0.22	0.26	4.01	1.53	3.59	0.57	0.06	1	0.19	0.48	1.17	1.6	0.42	2.02	3.55	0.61	0.29	2.2	0.32	5.81	6.13	3.4	2.21	4.81	0.97	3.12	1.39	0.87	0.92	1.65	1.52	1.86	0.5
Eubacteriaceae	0.71	0.13	0.03	0.1	0	0.1	0.12	0.71	2.14	2.28	0.12	0.41	0.52	0.06	0.12	0.08	1.81	0.15	0.12	0.14	1.05	0.11	2.41	2.91	1.13	1.46	0.07	2.05	0.05	0.09	1.92	0.24	0.24	0.06	0.05	0.05	0.03	1.39	1.54	0.74	0.56	0.15	0.26	0.54	0.26	0.5
Sutterellaceae	0.11	0.03	0.01	0.07	0	0.04	0.02	0.09	0.15	0.13	0.05	0.09	0.02	0.01	0.04	0.04	0.07	0.06	0.4	1.14	0.04	0.94	0.05	0.06	0.12	0.12	0.04	0.24	0.03	0.01	0.29	0.05	0.22	0.35	0.15	0.09	0.23	0.26	0.16	0.04	0.13	0.22	0.07	0.27	0.29	0.5
Desulfovibrionaceae	1.32	1.42	1.95	1.65	2.55	1.69	1.99	2.15	0.55	1.67	3	0.84	1.5	3.08	2.77	1.19	0.82	1.08	2.31	0.25	0.6	0.22	1.83	2.05	1.47	2.3	0.8	1.01	1.72	1.31	0.55	9.64	0.47	0.58	0.81	1.16	2.74	0.42	0.67	0.68	0.25	18.2	15.4	9.62	9.52	0.5
Dysgonomonadaceae	0.03	0	0.01	0.04	0.01	0.04	0.01	0.02	0.03	0.04	0.02	0.05	0.02	0.01	0.01	0.01	0	0	0.02	0.06	0.03	0.02	0.01	0.02	0.02	0.02	0.03	0.03	0.02	0.03	0.02	0.04	0.04	0	0.04	0	0.02	0.02	0.06	0.09	0.05	0.03	0.01	0.04	0.02	0.5
Enterobacteriaceae	0.01	0.02	0.02	0.01	0	0.09	0.05	0.06	0.03	0.02	0	0	0.02	0.03	0.05	0	0.05	0.42	0.57	19.4	1.26	30.6	0.01	0.01	0.01	0.03	0.05	0.07	0.03	0.04	0.01	0	0.01	0.04	0.01	0	0.01	0.01	0.01	0.01	0.01	0.02	0	0	0.01	0.5
