Genus	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	All
Oscillibacter	0.61	1.98	0.89	0.78	1.81	0.97	1.21	0.56	0.32	0.52	0.71	0.51	0.76	1.59	1.54	0.4	0.47	1.12	0.62	0.01	0.67	0.09	0.61	0.54	0.8	0.59	0.93	1.01	0.96	1.19	0.21	0.29	0.52	0.69	0.36	0.5	0.65	0.22	0.27	0.29	0.23	0.39	0.27	0.08	0.37	1.6
Eisenbergiella	2.18	4.35	5.77	5.52	8	4.18	6.8	1.29	2.65	3.51	0.64	3.17	4.74	5.24	2.67	1.39	6.53	4.61	9.05	0.46	5.69	0.31	8.68	6.26	4.12	2.33	1.68	5.05	4.78	8.03	5.41	4.27	3.22	3.48	13.3	4.27	5.44	1.12	3.39	4.06	2.8	1.79	1.75	0.34	1.18	1.6
Clostridium_XlVa	1.41	0.33	0.77	1.7	1.07	1.45	1.64	0.42	0.6	0.83	0.23	1.16	1.12	1.23	0.9	1.24	0.78	0.69	0.57	0.07	0.57	0.09	0.82	0.52	0.79	0.4	1.6	1.04	3.24	1.5	1.01	1.5	0.67	0.81	1.57	0.47	1.05	2.77	0.35	1.54	1.05	2.69	3.22	2.48	2.27	1.5
Roseburia	3.49	1.06	1.4	0.99	1.35	1.57	2.7	0.66	0.52	1.14	0.54	1.7	1.64	1.82	1.58	1.26	1.04	0.43	1.11	0.05	1.38	0.03	2.7	2.3	1.44	0.76	1.2	1.46	1.73	1.36	0.07	0.2	0.08	0.06	0.16	0.09	0.03	0.14	0.13	0.18	0.17	0.26	0.29	0.02	0.55	1.4
Blautia	0.66	0.94	1.64	2.2	0.14	1.63	1.04	0.26	0.42	1.1	0.21	0.51	0.42	0.66	0.82	0.15	0.42	0.26	0.19	1.23	0.3	0.67	0.41	0.72	0.37	0.36	1.18	0.32	0.34	0.73	0.24	0.35	2.38	1.61	1.6	0.21	0.46	0.13	0.24	0.45	0.33	0.25	0.38	0.12	0.43	1.4
Lawsonibacter	0.59	1.68	0.94	1.7	1.27	1.21	1.28	1.14	0.17	0.92	1.21	0.56	0.59	0.66	1.17	0.4	0.41	1.08	1.2	0.09	1.26	0.03	0.8	1.3	1.69	0.91	0.46	0.91	0.65	0.93	1.48	0.41	0.54	0.37	0.3	0.44	0.67	0.69	0.83	1.01	0.64	0.63	0.41	0.24	0.94	1.2
Vallitalea	0.07	0	0.03	0.05	0.04	0	0	0.16	0.11	0.07	0.05	0.02	0.04	0.04	0.04	0.2	0.02	0.02	0.05	0	0.23	0.07	0.02	0.08	0.03	0.1	0.04	0.03	0.01	0.03	0.54	0.21	0.82	1.76	0.69	0.29	0.28	0.76	1.1	0.55	1.01	0.26	0.47	0.48	0.54	1.2
Adlercreutzia	0.19	0.09	0.03	0.03	0.01	0.03	0.04	0.2	0.09	0.18	0.06	0.12	0.05	0.02	0.06	0.13	0.06	0.09	0.03	0.01	0.09	0	0.1	0.11	0.24	0.13	0.06	0.07	0.01	0.03	0.38	0.06	0.03	0.02	0.05	0.02	0.11	0.97	0.18	0.28	0.91	0.69	0.19	0.74	0.16	1.2
Neglecta	0.16	0.14	0.14	0.19	0.22	0.32	0.1	0.37	0.06	0.21	0.17	0.19	0.15	0.18	0.26	0.16	0.11	0.33	0.15	0.01	0.16	0.06	0.25	0.07	0.19	0.38	0.13	0.19	0.21	0.14	0.2	0.32	0.27	0.41	0.09	0.33	0.59	0.22	0.19	0.58	0.28	0.33	0.2	0.1	0.33	1.1
Alistipes	0.23	1.61	1.61	2.92	0.34	1.54	0.87	0.4	0.64	1.13	0.14	0.95	0.29	0.39	0.48	0.69	1.54	1.47	0.7	0.17	1.02	0.07	0.63	0.73	0.92	0.82	0.8	2.3	0.17	0.33	0.54	0.55	2.04	2.29	2.5	2.37	4.15	0.32	0.56	0.76	0.66	0.79	0.54	1.08	1.07	1.1
