Genus	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	All
Gp15	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0.11	0.08	0.05	0.01	0.02	0.1	0.07	0.02	0.03	0.14	0.02	0.06	0.07	0.47	0.1	0.2
Anaerosporobacter	0	0.42	0.97	1.09	0.19	0.57	0.32	0.01	0	0.21	0	0.07	0.21	0.06	0.35	0	0.12	0.5	0.14	0.01	0.19	0	0.12	0.27	0.11	0.02	0.01	0.21	0.9	0.27	0.03	0.02	0.08	0.02	0.07	0.02	0.03	0.03	0.01	0.03	0.02	0.03	0	0.01	0.04	0.2
Faecalimonas	0.08	0.06	0.29	0.28	0.18	0.04	0.08	0.1	0.04	0.15	0.09	0.15	0.04	0.16	0.04	0.27	0.28	0.14	0.2	0.02	0.42	0.04	0.05	0.07	0.05	0.07	0.07	0.18	0.9	0.23	0.02	0.39	0.03	0.07	0.09	0.03	0.25	0.06	0.05	0.11	0.11	0.18	0.07	0.06	0.1	0.2
Phocaeicola	0.1	0.25	0.28	0.5	0.01	0.18	0.06	0.01	0.14	0.1	0.06	0.18	0.02	0.06	0.07	0.23	0.05	0.22	0.14	0.03	0.03	0.02	0.1	0.04	0.08	0.06	0.3	0.3	0.02	0.02	0.01	0	0	0.04	0	0.03	0.02	0.02	0.03	0	0.01	0.01	0	0.02	0.02	0.2
Caldicoprobacter	0.04	0.01	0.02	0.03	0.01	0	0.02	0.03	0.03	0.02	0.01	0.04	0.01	0.02	0.01	0.01	0	0.01	0.05	0	0.01	0.01	0	0.01	0.01	0.02	0	0.01	0.02	0.02	0.01	0	0.01	0.02	0.01	0	0.03	0.02	0.01	0.02	0.02	0.01	0.02	0.01	0.01	0.2
Ihubacter	0.01	0	0	0.04	0.01	0.02	0.01	0.04	0.01	0.01	0.01	0	0	0.01	0.02	0.1	0.14	0.12	0.07	0.07	0.06	0.02	0.03	0.04	0.07	0.19	0.12	0.17	0.02	0.01	0.14	0.16	0.02	0.03	0.06	0.06	0.03	0.26	0.07	0.13	0.43	0.17	0.19	0.41	0.21	0.2
Corynebacterium	0	0	0.11	0.09	0.09	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.05	0.1	0.08	0.07	0	0	0	0	0	0	0	0	0.2
Breznakia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.02	0.05	0	0	0.01	0.02	0.01	0	0.02	0.05	0.02	0	0.03	0.02	0.2
Lactobacillus	0.18	0.01	0	0.01	0.01	0.02	0.01	0.09	0.14	0.04	0.09	0.02	0.03	0.01	0	0.33	0.02	0.04	0.18	1.77	0.13	0.09	0	0.01	0.02	0.02	0.04	0.04	0.01	0	3.53	0.66	1.04	0.53	1.05	0.12	0.36	7.56	0.88	1.14	3.15	0.37	2.38	7.2	0.99	0.2
Sulfurimonas	0	0.02	0	0	0	0	0.01	0	0	0.06	0.07	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0.03	0	0	0	0.06	0	0	0	0.06	0.06	0	0.06	0	0	0	0	0.01	0.06	0	0.2
Barnesiella	0	0	0	0	0.01	0	0.01	0.02	0.02	0.02	0.01	0.01	0	0	0	0.02	0	0	0.01	0.02	0	0.01	0	0.01	0	0.02	0	0	0	0	0.03	0.03	0.08	0.16	0.08	0.04	0.13	0.01	0.07	0.05	0.02	0	0.04	0.02	0	0.2
Ligilactobacillus	0.2	0.2	0.94	0.92	0.14	0.32	0.11	0.19	0.02	0.32	0.11	0.39	0.75	0.03	0.79	0.01	0.18	4.33	0.72	0.21	4.01	0.53	0.1	0.13	0.1	0.09	0.53	1.56	0.02	0.01	0.19	0.13	0.57	0.4	0.89	0.41	0.6	0.79	0.44	0.25	0.4	0.06	0.48	0.55	0.08	0.1
Limosilactobacillus	0.28	0.05	0.03	0.12	0.06	0.43	0.01	0.02	0	0.07	0.06	0.14	0.02	0	0.05	0.15	0.08	0.47	0.54	0.22	0.33	0.04	0.01	0.02	0.02	0.1	0.03	0.29	0.2	0.04	0.34	0.05	0.13	0.07	0.14	0	0.11	0.25	0.16	0.13	0.19	0.03	0.18	0.25	0.08	0.1
Acholeplasma	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0.02	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0.02	0	0	0.01	0	0.01	0.01	0.1
Odoribacter	0.03	0	0	0.03	0	0	0.01	0.01	0	0.01	0.01	0.01	0	0	0	0.01	0	0.01	0	0.01	0	0.01	0	0.02	0	0.02	0.01	0	0	0.01	0.01	0	0	0.01	0	0	0	0.01	0.02	0.03	0.02	0.01	0.01	0	0.01	0.1
Helicobacter	0	0	0	0.02	0.01	0.02	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0.01	0	0	0.01	0	0	0.1
Olsenella	0.05	0.02	0	0	0	0	0	0.16	0.21	0.01	0.04	0.01	0	0.01	0	0.05	0.01	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0.39	0.28	0	0.13	0.1	0.02	0.14	1.21	0.36	0.04	0.77	0.17	0.29	1.2	0.17	0.1
Hydrogenispora	0.09	0.05	0.06	0.11	0.05	0.05	0.01	0.05	0.11	0.1	0.06	0.11	0.05	0.03	0.03	0.11	0.08	0.06	0.04	0.09	0.03	0.11	0.02	0.14	0.11	0.04	0.11	0.08	0.09	0.07	0.17	0.07	0.03	0.1	0.1	0.07	0.08	0.15	0.18	0.05	0.13	0.07	0.12	0.1	0.05	0.1
Ileibacterium	0.02	0.04	0.02	0	0	0.02	0	0	0.01	0	0.01	0.07	0.06	0.04	0.05	0	0.05	0.04	0	0.01	0.01	0.01	0.01	0	0	0.06	0.04	0.04	0.05	0.04	0.01	0	0	0	0	0	0	0.02	0.02	0	0	0.06	0.06	0.05	0.14	0.1
Hydrogenovibrio	0	0	0	0	0	0	0.01	0	0	0.02	0.02	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0.06	0.02	0	0.01	0	0	0	0	0.01	0.02	0	0.1
Acetobacter	0	0	0.06	0.11	0.1	0.02	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.04	0.14	0.07	0.11	0	0	0	0	0	0	0	0	0.1
Hespellia	0.2	0.18	0.29	0.2	0.25	0.21	0.23	0.13	0.04	0.13	0.15	0.16	0.07	0.36	0.16	0.5	0.01	0.17	0.07	0.01	0.08	0.01	0.3	0.19	0.21	0.09	0.12	0.03	0.31	0.14	0.07	0.32	0.03	0.03	0.15	0.03	0.08	0.01	0.04	0.18	0.12	0.32	0.1	0.11	0.55	0.1
Agathobacter	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.01	0.03	0.01	0	0	0.01	0.02	0.12	0.03	0.02	0.02	0	0	0	0.01	0	0	0.01	0.01	0.01	0.1
Lachnospira	0.02	0	0	0.02	0	0.01	0	0	0	0	0.01	0.01	0.01	0.02	0	0	0	0.01	0.15	0	0.04	0	0	0	0	0	0	0	0.01	0	0	0.02	0.03	0	0.03	0.21	0.02	0.02	0	0	0.01	0	0.01	0.01	0.01	0.1
Dorea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.02	0.01	0.01	0.01	0	0.07	0	0	0.57	0.01	0.03	0.01	0	0.1
Pseudoflavonifractor	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.02	0.01	0.02	0	0	0	0	0	0	0	0	0	0.1
Dubosiella	0	0.05	0	0.01	0	0.01	0	0.01	0	0	0	0.03	0	0	0.01	0	0	0	0	0.01	0.01	0.01	0	0	0.01	0.03	0	0	0.02	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0.03	0	0.01	0.1
Syntrophococcus	0.55	1.34	0.07	0.04	0.06	0.15	0.54	0.05	0.22	1.2	0.25	0.01	0.56	0.36	2.24	0.01	0.11	0	0.02	0	0.01	0.01	0.67	0.06	0.93	0.32	0.02	0.01	0.03	0.14	0.11	0.08	0.01	0.01	0.02	0.01	0.04	0.05	0.07	0.03	0.03	0.02	0.07	0.01	0.04	0.1
Bifidobacterium	0.1	0.03	0.04	0.04	0	0.03	0.01	0.04	0.11	0.06	0.04	0.02	0.02	0	0.01	0.31	0.39	0.02	0.11	0.07	0.08	0.02	0.02	0.02	0.01	0.03	0.3	0.02	0.03	0.04	0.33	0.15	0.18	0.07	0.2	0.03	0.2	1.43	0.39	0.1	0.93	0.02	0.45	1.01	0.04	0.1
Staphylococcus	0	0	0	0	0	0.02	0.01	0	0	0.01	0	0	0	0	0	0.01	0	0.01	0.01	0.01	0.03	0.02	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Sellimonas	0.04	1.2	0.61	0.82	0.35	0.66	0.42	1.08	0.25	0.19	0.37	0.13	0.46	0.32	0.72	0.02	0.03	0.69	0.34	0.01	0.99	0	0.26	0.33	0.49	0.8	1.38	0.02	0.02	0.16	0	0.01	0.03	0.03	0	0	0	0.01	0	0.01	0.2	0.03	0.02	0.03	0.02	0.1
Cutibacterium	0	0	0.15	0.07	0.07	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.08	0.2	0.1	0.17	0.12	0	0	0	0	0	0	0	0	0.1
Reinekea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0.01	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0.01	0.1
Romboutsia	0.27	3.6	0.09	0.15	0.02	0.12	0.12	0.22	0.4	0.37	0.35	3.34	2.44	0.7	0.51	0.74	2.11	0.58	0.28	0.29	0.47	0.39	0.81	2.23	2.99	1.97	1.5	2.07	0.54	0.49	0.28	0.04	0.01	0.01	0	0	0.01	0.44	0.34	0.35	0.5	0.08	0.02	0.41	0.09	0.1
Fournierella	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0.01	0.01	0	0.02	0	0	0.02	0.01	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0.1
Faecalicatena	0.03	0.04	0.01	0.03	0.01	0.03	0	0.02	0.03	0.01	0	0.02	0	0.03	0	0.01	0.04	0.04	0.03	0.03	0.01	0	0.01	0.01	0.01	0.02	0.04	0.02	0.03	0.06	0.08	0.02	0.06	0.02	0.04	0.03	0.05	0.08	0.02	0.09	0.04	0.07	0.06	0.02	0.05	0.1
Gordonibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.03	0	0	0	0	0	0.03	0	0.02	0.01	0.02	0	0	0	0.1
Petrimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Saccharofermentans	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0.01	0	0.01	0.01	0	0	0.01	0.1
Rhabdanaerobium	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0.01	0	0	0.01	0.01	0	0.02	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0.01	0.01	0.01	0.01	0	0	0	0	0.1
Rikenella	0	0.01	0.28	0.04	0.06	0.17	0.05	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.11	0.06	0.1	0.05	0	0.2	0	0	0	0	0.34	0.06	0.17	0.01	0.1
Sporobacter	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0.01	0.01	0	0.01	0	0	0	0.01	0.01	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0.1
Murimonas	0.01	0.01	0	0	0	0.01	0	0.08	0	0.01	0.02	0.01	0.03	0	0.03	0	0	0	0	0	0.04	0.01	0	0.06	0	0.08	0	0	0	0	0.01	0.08	0.01	0.01	0	0	0.03	0.31	0.05	0.03	0	0.03	0.14	0.01	0.05	0.1
Weissella	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.12	0.18	0	0	0.04	0	0	0	0	0	0.15	0.19	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Tepidimicrobium	0	0	0	0	0	0.01	0	0.01	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0.1
Sporosarcina	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0.01	0	0	0.1
Natronoflexus	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0.01	0.01	0	0	0	0	0	0	0.01	0.02	0	0	0	0	0	0	0.01	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0.01	0	0.01	0	0.1
Thermoanaerobacter	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.02	0	0	0.01	0	0.01	0	0.1
Thermobrachium	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0.01	0.01	0	0	0.01	0.01	0	0.01	0	0	0	0	0.01	0.01	0	0.01	0.01	0	0	0.01	0	0.02	0	0.01	0.02	0	0.01	0	0	0	0	0.1
Porphyromonas	0.02	2.03	1.33	2.65	0.62	2.7	1.15	0.42	0.01	0.38	0.03	0.95	0.67	0.27	1.06	0.01	0.27	1.24	0.2	0.11	0.4	0.04	0.03	0.04	0.29	0.02	2.66	0.87	0.05	0.21	0.16	0.18	0.27	0.31	0.51	0.25	0.6	0.15	0.28	0.11	0.15	0.68	0.44	0.88	0.5	0.1
Thermovirga	0	0	0	0	0.01	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0.02	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0.1
Prevotellamassilia	0.22	0.63	0.68	2.99	0.23	1.69	0.5	0.34	1.44	1.01	0.34	4.39	0.37	0.06	0.19	2.91	0.79	1.32	0.23	0	0.11	0.04	0.15	0.65	1.3	0.16	1.49	2.98	0.49	0.13	1.27	0.24	1.14	2.82	0.61	0.17	0.79	0.62	2.58	0.74	0.31	0.62	0.66	0.63	1.05	0.1
Tepidanaerobacter	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0.01	0.01	0.01	0.01	0	0.02	0	0.01	0	0	0	0	0	0.1
Proteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.03	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.1
Paeniglutamicibacter	0.04	0	0.01	0	0.02	0	0	0	0	0	0.02	0	0.01	0	0	0	0.02	0.02	0	0.01	0	0	0.02	0	0.02	0	0	0.01	0	0	0	0	0	0	0	0.02	0.01	0.04	0.01	0	0	0	0	0.02	0	0.1
Schnuerera	0	0	0	0.02	0	0	0	0	0	0	0.01	0.01	0.02	0	0	0.01	0	0	0	0.01	0	0.01	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0.01	0.01	0	0	0	0	0	0.1
Tepidibaculum	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0.1
Pseudescherichia	0.01	0.02	0.02	0.01	0	0.09	0.04	0.06	0.02	0.01	0	0	0.02	0.03	0.05	0	0	0.26	0.57	18.5	1.2	30.5	0.01	0.01	0.01	0.03	0	0.03	0.03	0	0.01	0	0.01	0.03	0.01	0	0	0.01	0.01	0.01	0	0.01	0	0	0.01	0.1
Streptococcus	0.02	0.03	0	0	0	0	0	0	0	0.02	0	0	0.03	0	0	0.02	0.02	0	0	0	0	0	0.02	0	0	0.01	0.01	0.02	0	0	0.01	0	0	0.01	0	0	0	0.07	0.03	0	0.01	0	0.01	0.04	0	0.1
Papillibacter	0	0.07	0.03	0.02	0.09	0.03	0.01	0	0	0.1	0.01	0.16	0.09	0.11	0.08	0.01	0.03	0.02	0.01	0	0.1	0.01	0.03	0.14	0.02	0.07	0	0	0.01	0.09	0	0	0.01	0	0	0.01	0.02	0.01	0.01	0.02	0.02	0.01	0	0	0	0.1
Turicibacter	0.66	2.43	0.09	0.03	0	0.01	0	0.6	1.22	0.61	0.27	2.22	0.81	0.59	0.28	0.63	2.45	0	0	0	0.06	0.04	0.45	1.13	1.39	0.8	1.18	1.34	0.25	0.56	0.25	0.26	0.08	0.02	0.03	0.03	0.02	0.68	0.24	0.14	0.68	0.07	0.37	0.55	0.12	0.1
Caenibacillus	0.05	0.01	0.05	0.02	0.01	0.01	0	0.03	0.02	0.04	0.04	0.01	0	0.01	0	0	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0	0.02	0.03	0.01	0.03	0.02	0.02	0	0	0.01	0.04	0.01	0.02	0	0.02	0.02	0.01	0.1
Caenispirillum	0	0	0	0.03	0	0.01	0	0.02	0	0	0	0	0	0	0	0.02	0	0.01	0	0	0	0	0	0	0	0.03	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Cellulosibacter	0.08	0.02	0.05	0.1	0.06	0.04	0.02	0.04	0.09	0.05	0.04	0.01	0.03	0.1	0.05	0.06	0.05	0.01	0.01	0.01	0.03	0.04	0.04	0	0.01	0.02	0.01	0.05	0.05	0.03	0.06	0.05	0.05	0.05	0.04	0.02	0.05	0.07	0.07	0.05	0.03	0.06	0	0.03	0.07	0.1
Burkholderia	0	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	0.03	0.05	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Butyrivibrio	0.01	0	0	0	0	0	0.01	0.02	0	0.08	0.02	0	0	0	0	0.03	0	0	0	0	0	0.02	0.02	0.03	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0	0.02	0.02	0.02	0.02	0	0	0	0	0.1
Caecibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.27	0.09	0.15	0.1	0.18	0.02	0.05	0.48	0.4	0.11	0.03	0.08	0.02	0.02	0.1
Cellulosilyticum	0.01	0.01	0	0.01	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0.01	0.07	0.01	0.01	0.05	0	0	0	0.01	0.03	0.08	0.06	0.05	0.04	0.09	0.1
Coriobacterium	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.1
Cryptanaerobacter	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.1
Cuneatibacter	0	0	0	0.01	0.01	0	0	0	0.02	0.01	0.01	0.01	0	0.01	0	0.01	0	0.01	0	0	0.01	0	0	0	0.01	0.01	0.02	0.01	0.04	0	0	0	0.01	0.03	0.04	0.01	0.04	0	0	0.02	0	0	0.01	0	0	0.1
Clostridioides	0	0	0.02	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0.02	7.01	0	1.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Clostridium_XVIII	0.26	0	0	0	0	0	0	0	0.03	0.01	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0.04	0	0.03	0.01	0.01	0.03	0.01	0.01	0.01	0	0.01	0.02	0	0.02	0.07	0.1
Colidextribacter	0	0	0	0.01	0	0.01	0.01	0	0	0.02	0	0.01	0.01	0	0	0	0.01	0.02	0	0	0	0	0.02	0.02	0	0	0	0.01	0	0.02	0	0	0.01	0	0.01	0	0.02	0	0	0	0	0.01	0	0	0	0.1
Brassicibacter	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0.01	0	0.01	0	0	0	0	0	0.02	0	0	0	0	0	0	0.01	0.01	0	0	0.01	0.01	0.02	0	0	0.01	0	0	0	0.1
Aestuariispira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0.03	0	0.03	0.01	0	0.01	0.01	0.01	0.02	0	0	0.03	0	0.02	0.02	0.1
Agathobaculum	0.01	0	0	0	0	0	0.01	0	0.01	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0.03	0	0	0.01	0	0	0	0	0	0	0.01	0.1
Akkermansia	1.6	0.08	0.28	0.18	0.11	0.13	0.05	1.9	12.8	1.2	3.74	0.16	0.06	0.05	0.12	15.8	0.09	0.16	0.11	0.27	0.03	0.05	0.14	0.08	0.1	0.1	0.19	0.16	0.22	0.08	4.65	1.16	0.4	0.96	0.36	0.19	1.01	3.71	4.86	2.39	2.46	0.6	0.43	1.85	2.2	0.1
Acetitomaculum	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0.02	0	0	0	0	0.1
Acetomicrobium	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Actinomarinicola	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.02	0	0	0	0	0	0.1
Alloprevotella	0	0.01	0	0	0	0.01	0	0	0.02	0	0.01	0	0	0	0.01	0.02	0	0.01	0.01	0	0	0.03	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0.01	0.02	0	0.05	0	0	0.01	0.1
Atribacteria_genera_incertae_sedis	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0.01	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0.01	0.01	0	0	0	0	0	0.1
Bacilliculturomica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.05	0.01	0	0.09	0	0	0	0	0	0	0.06	0	0.02	0	0	0	0	0	0	0	0	0	0	0.01	0	0.02	0	0	0.1
Bacillus	0.02	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Anaerobutyricum	0	0.01	0	0	0	0	0.01	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.01	0.02	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Anaerofustis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0.01	0.03	0.01	0.02	0.02	0	0.1
Arthrobacter	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.01	0.01	0	0	0.01	0	0	0	0	0	0	0	0.03	0.01	0.01	0	0.01	0.01	0	0	0.01	0	0.1
Hungatella	0.46	2.67	1.02	0.52	1.62	3	1.81	4	0.24	0.59	2.25	0.59	0.64	2.12	1.4	0.1	0.29	0.38	0.31	0.09	0.62	0.07	1.75	1.27	3.28	2.81	0.12	0.21	0.04	0.15	0.41	1.1	1.14	0.37	0.28	3.06	0.93	0.09	0.15	1.8	0.87	0.72	0.64	0.18	1.28	0.1
Hydrogeniiclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.01	0	0	0	0.1
Hydrogenoanaerobacterium	0	0	0	0	0	0.01	0.02	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0.01	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0.1
Georgenia	0	0	0	0	0	0.04	0.06	0	0	0	0	0	0	0	0	0	0	0.05	0.08	0.11	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Halocella	0.02	0	0.01	0.02	0.01	0.04	0	0.01	0	0.02	0.01	0.01	0.02	0.04	0.02	0	0.01	0.01	0.03	0.02	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0	0.01	0.02	0.02	0.01	0.02	0.01	0	0	0.01	0.02	0.02	0.02	0.02	0.04	0	0.01	0.1
Holdemania	0	0.01	0	0	0	0.03	0.02	0	0.01	0.01	0	0.03	0.01	0	0.04	0	0.02	0	0	0	0	0	0.01	0.01	0	0.01	0	0.04	0	0	0.02	0.01	0.04	0.03	0.04	0	0	0	0.01	0	0.05	0.01	0	0	0.01	0.1
Klebsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.03	0	0.07	0	0.01	0	0	0	0	0.02	0.01	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.1
Methylophilus	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0.01	0	0	0.1
Methylotenera	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0.01	0	0	0	0	0.01	0.1
Mucispirillum	20.9	0.18	0.2	0.76	3.08	1.88	1.58	0.81	0.1	0.14	8.71	1.96	0.96	0.66	3.82	0.1	0.12	0.08	0.1	0.03	0.05	0	0.03	0.11	0.08	0.15	0.03	0.15	2.12	0.53	0.12	0.23	0.02	0.02	0.06	0.06	0.03	0.15	0.2	1.09	0.09	0.07	0.38	0.02	0.19	0.1
