Class	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	All
Clostridia	58.5	69.8	83.1	72.1	88.4	77.6	86.8	72.1	44.3	62.4	60.8	57.3	77.7	87.1	76.1	59.4	63.2	65.2	83.4	15.1	80.5	8.92	79.2	75.8	72.7	70.7	53.5	62.1	85.3	85.7	56.5	73.3	65.6	63.8	72.2	67	58	53.4	51.6	75.6	63.9	61.9	53.5	43.8	65.7	68.4
Bacteroidia	11.1	21.3	12.1	22.5	4.88	16.8	8.52	15.7	31.8	30.1	17.8	32.7	16	7.43	14.6	19.3	30.6	26.9	10.9	60.5	12.2	57.8	16.9	19.2	21	23.2	40.9	31.5	9.3	10.9	30.2	12.4	24.3	31.1	19.5	29.3	33.2	26.4	37.6	15.9	22.1	14.7	23.8	24.1	17.6	19.4
Erysipelotrichia	4.84	6.56	0.65	0.87	0.18	0.56	0.45	5.92	9.15	3.25	5.03	5.81	2.64	1.26	1.39	2.6	3.79	0.31	0.19	0.32	0.25	0.28	1.01	2.05	3.77	2.6	2.67	2.12	0.83	1.23	0.76	0.93	0.49	0.22	0.37	0.32	0.38	1.39	0.9	0.75	1.91	0.81	1.15	1.94	1.33	2.4
Coriobacteriia	0.3	0.13	0.03	0.03	0.01	0.03	0.05	0.43	0.35	0.21	0.14	0.15	0.06	0.04	0.07	0.2	0.08	0.12	0.06	0.01	0.13	0.03	0.13	0.13	0.35	0.18	0.08	0.13	0.01	0.03	1.06	0.45	0.07	0.17	0.19	0.06	0.3	2.91	0.8	0.84	2.65	1.08	0.6	2.18	0.48	2.2
Bacilli	0.78	0.31	1.07	1.13	0.25	0.84	0.18	0.33	0.2	0.52	0.33	0.57	0.86	0.06	0.86	0.53	0.44	5.06	1.5	2.38	4.58	0.82	0.14	0.2	0.17	0.26	0.78	2.13	0.24	0.08	4.12	0.88	1.83	1.05	2.14	0.58	1.1	8.7	1.55	1.54	3.8	0.47	3.1	8.06	1.17	1.6
Unassigned	0.07	0.08	0.12	0.32	0.05	0.05	0.07	0.09	0.26	0.11	0.05	0.06	0.06	0.04	0.05	0.12	0.23	0.05	0.05	0.06	0.06	0.17	0.26	0.13	0.06	0.11	0.23	0.26	0.09	0.02	0.87	0.45	5.79	1.07	3.21	0.48	1.78	0.82	0.9	0.46	1.11	1.32	0.86	6.04	1.1	1.0
Gammaproteobacteria	0.01	0.02	0.02	0.01	0	0.09	0.07	0.06	0.03	0.04	0.02	0.01	0.02	0.03	0.07	0.02	0.05	0.44	0.57	19.5	1.28	30.6	0.01	0.02	0.01	0.03	0.06	0.07	0.04	0.04	0.02	0	0.01	0.04	0.08	0.02	0.01	0.02	0.01	0.01	0.02	0.03	0.01	0.03	0.02	0.8
Betaproteobacteria	0.11	0.03	0.01	0.07	0.01	0.06	0.03	0.09	0.15	0.13	0.05	0.11	0.03	0.01	0.04	0.05	0.07	0.06	0.43	1.19	0.05	0.95	0.05	0.06	0.12	0.12	0.06	0.24	0.03	0.01	0.29	0.05	0.22	0.35	0.17	0.09	0.23	0.27	0.17	0.05	0.13	0.22	0.08	0.27	0.3	0.7
Actinobacteria	0.15	0.03	0.31	0.2	0.18	0.08	0.08	0.05	0.11	0.06	0.06	0.02	0.03	0.01	0.02	0.31	0.41	0.12	0.19	0.19	0.1	0.02	0.04	0.04	0.05	0.03	0.3	0.04	0.03	0.04	0.33	0.15	0.36	0.33	0.4	0.33	0.41	1.48	0.4	0.11	0.94	0.03	0.45	1.04	0.04	0.7
Deltaproteobacteria	1.33	1.42	1.95	1.65	2.56	1.69	1.99	2.16	0.57	1.68	3.01	0.86	1.5	3.08	2.78	1.19	0.82	1.09	2.31	0.26	0.6	0.22	1.83	2.06	1.47	2.3	0.8	1.01	1.72	1.31	0.57	9.66	0.6	0.62	0.85	1.21	2.91	0.44	0.7	0.7	0.27	18.3	15.4	9.78	9.58	0.7
Alphaproteobacteria	0	0.01	0.06	0.14	0.12	0.12	0.08	0.02	0	0	0	0	0	0	0	0.03	0	0.15	0.08	0.06	0.13	0.01	0	0.01	0	0.03	0.07	0.02	0	0	0.03	0	0.12	0.07	0.14	0.09	0.12	0.02	0.04	0	0.06	0.03	0	0.1	0.03	0.5
Campylobacteria	0	0.02	0	0.02	0.01	0.02	0.01	0	0	0.06	0.07	0.01	0	0	0.01	0	0	0.04	0	0.01	0	0.01	0	0	0	0	0.03	0	0	0	0.06	0	0	0.01	0.07	0.06	0	0.06	0	0.01	0	0	0.02	0.06	0	0.3
Mollicutes	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0.02	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0.03	0.01	0	0.01	0.01	0.01	0	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.2
