"","HMAT","LMAT","MD","NC"
"num.edges(L)","265","363","385","713"
"num.pos.edges","223","251","300","481"
"num.neg.edges","42","112","85","232"
"num.vertices(n)","318","364","375","518"
"Connectance(edge_density)","0.00525762355415352","0.00549450549450549","0.00549019607843137","0.00532475000560107"
"average.degree(Average K)","1.66666666666667","1.99450549450549","2.05333333333333","2.75289575289575"
"average.path.length","1.7629508880693","6.77746327635824","3.69606810413741","6.57133045796793"
"diameter","6.54880912922621","16.0313993358072","10.9770019666243","17.1452227858299"
"edge.connectivity","0","0","0","0"
"mean.clustering.coefficient(Average.CC)","0.529283489096573","0.444583591012163","0.477880658436214","0.361455592337945"
"no.clusters","113","96","103","78"
"centralization.degree","0.0199789695057834","0.0192988829352466","0.0185739750445633","0.0217545536694473"
"centralization.betweenness","0.000774062933520906","0.0412020578397373","0.00662933013744767","0.0811207411093898"
"centralization.closeness","0.319648567233391","0.719067420215884","0.597555769898248","1.16162192928555"
"RM(relative.modularity)","0.278534682571094","0.365899797238366","0.364286567520752","0.436926510922725"
"the.number.of.keystone.nodes","Not.calculated","Not.calculated","Not.calculated","Not.calculated"
