"","KO","Means","SD"
"num.edges(L)","713","713","0"
"num.pos.edges","481","0","0"
"num.neg.edges","232","0","0"
"num.vertices(n)","518","518","0"
"Connectance(edge_density)","0.00532475000560107","0.00532475000560107","0"
"average.degree(Average K)","2.75289575289575","2.75289575289575","0"
"average.path.length","6.57133045796793","6.01037061336537","0.105590107881141"
"diameter","17.1452227858299","13.91","1.13791409379113"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","0.361455592337945","0.00528347094911236","0.00363227005312483"
"no.clusters","78","36.79","5.21128340694255"
"centralization.degree","0.0217545536694473","0.011812580748751","0.0019828599063141"
"centralization.betweenness","0.0811207411093898","0.0543380674936559","0.0101157823168853"
"centralization.closeness","1.16162192928555","NaN",NA
"RM(relative.modularity)","0.423121507833751","5.03425959611199e-05","0.043276075606125"
"the.number.of.keystone.nodes","Not.calculated","0","0"
