"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_27",1,0.307692307692308,0,1
"ASV_29",3,0.8,0,3
"ASV_157",1,1,0,1
"ASV_24",1,1,0,1
"ASV_42",1,1,0,1
"ASV_1214",2,0.555555555555556,0,2
"ASV_31",3,0.6,5,3
"ASV_44",1,1,0,1
"ASV_4",3,0.5,0.5,3
"ASV_35",1,1,0,1
"ASV_80",1,1,0,1
"ASV_68",1,0.666666666666667,0,1
"ASV_99",2,0.75,2,2
"ASV_51",1,1,0,1
"ASV_181",2,0.4,16,2
"ASV_133",1,1,0,1
"ASV_135",1,0.666666666666667,0,1
"ASV_43",2,0.625,4,2
"ASV_98",2,0.75,2,2
"ASV_71",1,1,0,1
"ASV_73",1,1,0,1
"ASV_122",1,1,0,1
"ASV_160",2,0.538461538461538,0,2
"ASV_137",1,1,0,1
"ASV_1211",1,1,0,1
"ASV_213",1,0.234042553191489,0,1
"ASV_210",3,0.6,5,3
"ASV_164",1,1,0,1
"ASV_197",1,0.5,0,1
"ASV_121",2,1,1,2
"ASV_313",2,0.268292682926829,10,2
"ASV_145",1,0.666666666666667,0,1
"ASV_143",1,0.666666666666667,0,1
"ASV_39",1,0.5,0,1
"ASV_175",1,1,0,1
"ASV_994",1,1,0,1
"ASV_472",1,1,0,1
"ASV_223",2,0.296296296296296,7,2
"ASV_326",1,1,0,1
"ASV_183",1,1,0,1
"ASV_203",1,1,0,1
"ASV_348",2,0.407407407407407,24,2
"ASV_141",2,0.366666666666667,0,2
"ASV_196",1,1,0,1
"ASV_471",1,1,0,1
"ASV_215",1,1,0,1
"ASV_230",3,0.8,0,3
"ASV_167",1,1,0,1
"ASV_1427",1,1,0,1
"ASV_238",2,1,1,2
"ASV_294",1,1,0,1
"ASV_198",1,0.5,0,1
"ASV_275",1,1,0,1
"ASV_387",1,1,0,1
"ASV_317",1,1,0,1
"ASV_1309",1,0.294117647058824,0,1
"ASV_334",1,1,0,1
"ASV_269",1,1,0,1
"ASV_378",1,0.239130434782609,0,1
"ASV_252",1,1,0,1
"ASV_296",1,1,0,1
"ASV_239",2,1,0,2
"ASV_369",1,1,0,1
"ASV_385",1,0.666666666666667,0,1
"ASV_347",1,1,0,1
"ASV_510",1,1,0,1
"ASV_420",1,0.666666666666667,0,1
"ASV_874",1,0.666666666666667,0,1
"ASV_370",1,1,0,1
"ASV_377",1,1,0,1
"ASV_561",1,1,0,1
"ASV_169",1,1,0,1
"ASV_1477",1,1,0,1
"ASV_488",1,0.666666666666667,0,1
"ASV_358",1,1,0,1
"ASV_477",1,1,0,1
"ASV_460",1,0.666666666666667,0,1
"ASV_468",1,1,0,1
"ASV_402",1,1,0,1
"ASV_382",1,1,0,1
"ASV_481",1,1,0,1
"ASV_804",1,1,0,1
"ASV_596",1,1,0,1
"ASV_680",3,1,3,3
"ASV_516",2,1,1,2
"ASV_483",1,1,0,1
"ASV_307",1,1,0,1
"ASV_628",1,1,0,1
"ASV_265",1,0.24390243902439,0,1
"ASV_518",1,0.666666666666667,0,1
"ASV_208",1,1,0,1
"ASV_512",1,0.666666666666667,0,1
"ASV_1146",1,0.666666666666667,0,1
"ASV_704",2,0.538461538461538,0,2
"ASV_655",1,1,0,1
"ASV_707",2,1,0,2
"ASV_877",3,0.636363636363636,6,3
"ASV_722",1,0.666666666666667,0,1
"ASV_1024",1,0.666666666666667,0,1
"ASV_594",1,1,0,1
"ASV_353",1,1,0,1
"ASV_814",1,1,0,1
"ASV_634",4,1,0,4
"ASV_848",1,1,0,1
"ASV_810",1,1,0,1
"ASV_934",1,1,0,1
"ASV_875",1,0.666666666666667,0,1
"ASV_262",1,1,0,1
"ASV_834",1,1,0,1
"ASV_902",2,0.75,0,2
"ASV_394",1,1,0,1
"ASV_817",1,1,0,1
"ASV_585",8,1,0,8
"ASV_1476",1,0.5,0,1
"ASV_1411",1,1,0,1
"ASV_389",1,1,0,1
"ASV_752",1,0.666666666666667,0,1
"ASV_1278",1,0.294117647058824,0,1
"ASV_1376",1,1,0,1
"ASV_797",1,1,0,1
"ASV_989",1,0.333333333333333,0,1
"ASV_1103",1,1,0,1
"ASV_525",1,1,0,1
"ASV_924",1,1,0,1
"ASV_459",1,1,0,1
"ASV_403",1,1,0,1
"ASV_1287",1,0.6,0,1
"ASV_993",1,0.666666666666667,0,1
"ASV_905",2,1,0,2
"ASV_1450",1,0.37037037037037,0,1
"ASV_1438",2,1,0,2
