KO	Means	SD
num.edges(L)	8472	8472	0
num.pos.edges	6407	0	0
num.neg.edges	2065	0	0
num.vertices(n)	476	476	0
Connectance(edge_density)	0.0749402919062362	0.0749402919062362	0
average.degree(Average K)	35.5966386554622	35.5966386554622	0
average.path.length	1.61934984707371	1.98914639540027	0.000873181194349217
diameter	5.27985501953507	3	0
edge.connectivity	0	19.74	1.48133164225417
mean.clustering.coefficient(Average.CC)	0.524192417172197	0.0750551475861792	0.000887689255869707
no.clusters	3	1	0
centralization.degree	0.236638655462185	0.0384070765148165	0.00521483397727673
centralization.betweenness	0.0204862188064803	0.00269210904296737	0.000437234020612818
centralization.closeness	1.24426862561601	0.0481745507007822	0.00458842858199518
RM(relative.modularity)	1.52509996807529	0.00369346503677313	0.0481069828189776
the.number.of.keystone.nodes	Not.calculated	0	0
