z	module	p	roles	label	role_7
ASV_276	0.169660712647022	1	0.640817901234568	Connectors	ASV_276	non hub connector
ASV_257	0.356407398122454	1	0.158790170132325	Peripherals		peripheral
ASV_258	-0.363901245854212	1	0.639650283553875	Connectors	ASV_258	non hub connector
ASV_460	0.569832181522947	1	0.308390022675737	Peripherals		peripheral
ASV_468	0.703222671148256	1	0.244897959183674	Peripherals		peripheral
ASV_364	0.383085496047515	1	0.345679012345679	Peripherals		peripheral
ASV_413	-0.203832658303842	1	0.0444214876033058	Peripherals		ultra peripheral
ASV_1240	0.0629483209467748	1	0.0753556324490581	Peripherals		peripheral
ASV_393	0.649866475298132	1	0.625	Connectors	ASV_393	non hub connector
ASV_64	-0.257188854153966	1	0.375	Peripherals		peripheral
ASV_142	-0.523969833404583	1	0.0849382716049383	Peripherals		peripheral
ASV_107	-0.684038420954953	1	0	Peripherals		ultra peripheral
ASV_272	-0.337223147929151	1	0.1504	Peripherals		peripheral
ASV_262	-0.577326029254706	1	0.362087614926988	Peripherals		peripheral
ASV_173	-0.657360323029891	1	0.253104455807158	Peripherals		peripheral
ASV_397	-0.604004127179768	1	0	Peripherals		ultra peripheral
ASV_167	0.4631197898227	1	0.0570934256055363	Peripherals		peripheral
ASV_144	-0.764072714730138	1	0.15625	Peripherals		peripheral
ASV_1505	-0.523969833404583	1	0.349583828775268	Peripherals		peripheral
ASV_140	-1.03085369398076	1	0	Peripherals		ultra peripheral
ASV_187	-0.043764070753472	1	0.244897959183674	Peripherals		peripheral
ASV_239	0.0629483209467748	1	0.1171875	Peripherals		peripheral
ASV_162	-0.230510756228904	1	0.171984856679286	Peripherals		peripheral
ASV_1147	0.409763593972577	1	0	Peripherals		ultra peripheral
ASV_404	0.249695006422207	1	0.0720164609053497	Peripherals		peripheral
ASV_409	-0.0971202666035954	1	0.18	Peripherals		peripheral
ASV_137	-0.230510756228904	1	0.548438683612491	Peripherals		peripheral
ASV_308	-0.604004127179768	1	0	Peripherals		ultra peripheral
ASV_226	-0.150476462453719	1	0	Peripherals		ultra peripheral
ASV_766	-0.870785106430385	1	0	Peripherals		ultra peripheral
ASV_87	-0.63068222510483	1	0.64	Connectors	ASV_87	non hub connector
ASV_189	-0.7907508126552	1	0	Peripherals		ultra peripheral
ASV_277	0.14298261472196	1	0	Peripherals		ultra peripheral
ASV_237	0.00959212509665142	1	0.475624256837099	Peripherals		peripheral
ASV_283	-0.470613637554459	1	0.550754458161866	Peripherals		peripheral
ASV_375	-0.737394616805076	1	0.104938271604938	Peripherals		peripheral
ASV_48	-0.817428910580261	1	0.3203125	Peripherals		peripheral
ASV_669	-0.497291735479521	1	0.515	Peripherals		peripheral
ASV_1238	-0.577326029254706	1	0.4296875	Peripherals		peripheral
ASV_1209	-0.63068222510483	1	0.511296076099881	Peripherals		peripheral
ASV_290	-0.657360323029891	1	0.532235939643347	Peripherals		peripheral
ASV_967	-0.310545050004089	1	0.578512396694215	Peripherals		peripheral
ASV_265	-0.924141302280508	1	0.4856	Peripherals		peripheral
ASV_210	-0.7907508126552	1	0.1789802289282	Peripherals		peripheral
ASV_1035	-0.764072714730138	1	0.49203506456782	Peripherals		peripheral
ASV_254	-0.977497498130632	1	0.556480380499405	Peripherals		peripheral
ASV_419	-0.897463204355446	1	0.560546875	Peripherals		peripheral
ASV_1542	-1.03085369398076	1	0.660493827160494	Connectors	ASV_1542	non hub connector
ASV_370	-0.63068222510483	1	0.529948867786706	Peripherals		peripheral
ASV_1450	-0.844107008505323	1	0.533057851239669	Peripherals		peripheral
ASV_198	-0.870785106430385	1	0.382777777777778	Peripherals		peripheral
ASV_1614	-0.604004127179768	1	0.537775133848899	Peripherals		peripheral
ASV_1027	-0.7907508126552	1	0.208979591836735	Peripherals		peripheral
ASV_1491	-0.7907508126552	1	0.128418549346017	Peripherals		peripheral
ASV_323	-0.95081940020557	1	0.0454299621416983	Peripherals		ultra peripheral
ASV_241	-0.523969833404583	1	0.286666666666667	Peripherals		peripheral
ASV_406	-0.550647931329644	1	0.43213296398892	Peripherals		peripheral
ASV_378	-1.00417559605569	1	0	Peripherals		ultra peripheral
ASV_381	-1.08420988983088	1	0	Peripherals		ultra peripheral
ASV_1412	-0.977497498130632	1	0.309642372114079	Peripherals		peripheral
ASV_1497	-0.870785106430385	1	0.283264746227709	Peripherals		peripheral
ASV_274	-0.710716518880015	1	0.197530864197531	Peripherals		peripheral
ASV_250	-0.977497498130632	1	0.3168854685378	Peripherals		peripheral
ASV_391	-0.924141302280508	1	0.22879684418146	Peripherals		peripheral
ASV_573	-0.817428910580261	1	0.252551020408163	Peripherals		peripheral
ASV_253	-0.844107008505323	1	0.203017832647462	Peripherals		peripheral
ASV_475	-0.977497498130632	1	0	Peripherals		ultra peripheral
ASV_203	-0.897463204355446	1	0.126666666666667	Peripherals		peripheral
ASV_223	-0.924141302280508	1	0.1171875	Peripherals		peripheral
ASV_192	-0.95081940020557	1	0	Peripherals		ultra peripheral
ASV_174	-1.03085369398076	1	0.392361111111111	Peripherals		peripheral
ASV_403	-1.03085369398076	1	0.514268727705113	Peripherals		peripheral
ASV_303	-0.924141302280508	1	0.309106578569377	Peripherals		peripheral
ASV_214	-1.11088798775594	1	0	Peripherals		ultra peripheral
ASV_396	-1.08420988983088	1	0.107755102040816	Peripherals		peripheral
ASV_398	-1.11088798775594	1	0.110726643598616	Peripherals		peripheral
ASV_337	-1.11088798775594	1	0.0644444444444444	Peripherals		peripheral
ASV_1	-0.95081940020557	1	0.0540123456790124	Peripherals		peripheral
ASV_2	0.943325552473811	1	0.340264650283554	Peripherals		peripheral
ASV_15	-0.363901245854212	1	0.513888888888889	Peripherals		peripheral
ASV_5	-0.710716518880015	1	0.615	Peripherals		peripheral
ASV_46	-1.11088798775594	1	0.427266651815549	Peripherals		peripheral
ASV_35	-0.924141302280508	1	0.394463667820069	Peripherals		peripheral
ASV_38	-0.7907508126552	1	0.48	Peripherals		peripheral
ASV_82	-1.08420988983088	1	0.525951557093426	Peripherals		peripheral
ASV_76	-0.977497498130632	1	0.407908428720083	Peripherals		peripheral
ASV_124	-1.05753179190582	1	0.5625	Peripherals		peripheral
ASV_245	-1.11088798775594	1	0.508498092265002	Peripherals		peripheral
ASV_467	-1.11088798775594	1	0.279667422524565	Peripherals		peripheral
ASV_3	-0.161812552153727	2	0.497078159240321	Peripherals		peripheral
ASV_32	0.591603102723689	2	0.643313609467456	Connectors	ASV_32	non hub connector
ASV_34	2.24332203841648	2	0.369984567901235	Peripherals		peripheral
ASV_45	0.649558153098874	2	0.562957402889848	Peripherals		peripheral
ASV_73	1.20013113166314	2	0.21280276816609	Peripherals		peripheral
ASV_63	2.24332203841648	2	0.13265306122449	Peripherals		peripheral
ASV_217	1.28706370722592	2	0.524604441863841	Peripherals		peripheral
ASV_184	0.823423304224432	2	0.356518117451062	Peripherals		peripheral
ASV_264	0.852400829412025	2	0.348188254893794	Peripherals		peripheral
ASV_288	1.66377153466463	2	0.197066326530612	Peripherals		peripheral
ASV_343	1.20013113166314	2	0.128418549346017	Peripherals		peripheral
ASV_301	1.14217608128795	2	0.5	Peripherals		peripheral
ASV_307	-0.19079007734132	2	0.548696844993141	Peripherals		peripheral
ASV_322	1.3450187576011	2	0.512711111111111	Peripherals		peripheral
ASV_282	1.31604123241351	2	0.20068359375	Peripherals		peripheral
ASV_346	0.388760426410538	2	0.534735919351304	Peripherals		peripheral
ASV_368	0.794445779036839	2	0.186515437933207	Peripherals		peripheral
ASV_365	0.620580627911282	2	0.555247768544167	Peripherals		peripheral
ASV_371	0.330805376035353	2	0	Peripherals		ultra peripheral
ASV_401	1.28706370722592	2	0.239012345679012	Peripherals		peripheral
ASV_483	-0.364655228466877	2	0.511927437641723	Peripherals		peripheral
ASV_40	-0.625452955155213	2	0.369792826910225	Peripherals		peripheral
ASV_80	-0.944205732218735	2	0.632830361225423	Connectors	ASV_80	non hub connector
ASV_171	-1.14704840853189	2	0	Peripherals		ultra peripheral
ASV_359	-0.0169249262157622	2	0	Peripherals		ultra peripheral
ASV_327	-0.567497904780027	2	0.32	Peripherals		peripheral
ASV_313	1.51888390872666	2	0.159149669635162	Peripherals		peripheral
ASV_357	-0.538520379592434	2	0.540816326530612	Peripherals		peripheral
ASV_1424	0.678535678286467	2	0.11386593204775	Peripherals		peripheral
ASV_436	-0.828295631468363	2	0.287334593572779	Peripherals		peripheral
ASV_373	0.272850325660167	2	0.359861591695502	Peripherals		peripheral
ASV_392	0.475693001973317	2	0.184444444444444	Peripherals		peripheral
ASV_1501	-0.973183257406328	2	0.253968253968254	Peripherals		peripheral
ASV_950	-0.567497904780027	2	0.526280991735537	Peripherals		peripheral
ASV_24	0.678535678286467	2	0	Peripherals		ultra peripheral
ASV_230	0.939333404974803	2	0.32	Peripherals		peripheral
ASV_280	0.0989851745346094	2	0.209710743801653	Peripherals		peripheral
ASV_295	0.70751320347406	2	0.184444444444444	Peripherals		peripheral
ASV_289	1.92456926135296	2	0	Peripherals		ultra peripheral
ASV_361	1.57683895910185	2	0	Peripherals		ultra peripheral
ASV_546	0.881378354599618	2	0	Peripherals		ultra peripheral
ASV_259	0.243872800472574	2	0	Peripherals		ultra peripheral
ASV_20	-1.06011583296911	2	0	Peripherals		ultra peripheral
ASV_316	-0.973183257406328	2	0.607871301350187	Peripherals		peripheral
ASV_240	-1.0890933581567	2	0	Peripherals		ultra peripheral
ASV_31	1.7507041102274	2	0.401234567901235	Peripherals		peripheral
ASV_125	0.649558153098874	2	0.48	Peripherals		peripheral
