feature	method	group1	group2	p_values	adj_method	p_adjust
ko00400	LinDA	LMAT	NC	0.35490225397682	none	0.35490225397682
ko04020	LinDA	LMAT	NC	0.439757263286023	none	0.439757263286023
ko00350	LinDA	LMAT	NC	0.494023021578205	none	0.494023021578205
ko00480	LinDA	LMAT	NC	0.685184134101758	none	0.685184134101758
ko00643	LinDA	LMAT	NC	0.0172828952287836	none	0.0172828952287836
ko00642	LinDA	LMAT	NC	0.104728995218219	none	0.104728995218219
ko00640	LinDA	LMAT	NC	0.27496081574436	none	0.27496081574436
ko00720	LinDA	LMAT	NC	0.507153214108654	none	0.507153214108654
ko00960	LinDA	LMAT	NC	0.598152180423043	none	0.598152180423043
ko02020	LinDA	LMAT	NC	0.97782987955184	none	0.97782987955184
ko00120	LinDA	LMAT	NC	0.00152704168548274	none	0.00152704168548274
ko00965	LinDA	LMAT	NC	0.416269337810122	none	0.416269337810122
ko03008	LinDA	LMAT	NC	0.742788222009471	none	0.742788222009471
ko05414	LinDA	LMAT	NC	0.0585066703289786	none	0.0585066703289786
ko00290	LinDA	LMAT	NC	0.513687053084654	none	0.513687053084654
ko04614	LinDA	LMAT	NC	0.403786980485494	none	0.403786980485494
ko03410	LinDA	LMAT	NC	0.813184018621761	none	0.813184018621761
ko05010	LinDA	LMAT	NC	0.747515145103865	none	0.747515145103865
ko05012	LinDA	LMAT	NC	0.125355921141616	none	0.125355921141616
ko00980	LinDA	LMAT	NC	0.52306034868557	none	0.52306034868557
ko00410	LinDA	LMAT	NC	0.325523340303398	none	0.325523340303398
ko00983	LinDA	LMAT	NC	0.0319644558607259	none	0.0319644558607259
ko05150	LinDA	LMAT	NC	0.000321999916386689	none	0.000321999916386689
ko00791	LinDA	LMAT	NC	0.00553726219078363	none	0.00553726219078363
ko00790	LinDA	LMAT	NC	0.504619892411896	none	0.504619892411896
ko05131	LinDA	LMAT	NC	0.0953864372105712	none	0.0953864372105712
ko00020	LinDA	LMAT	NC	0.11152267131333	none	0.11152267131333
ko00710	LinDA	LMAT	NC	0.880510059419987	none	0.880510059419987
ko02060	LinDA	LMAT	NC	0.000385309578933527	none	0.000385309578933527
ko00340	LinDA	LMAT	NC	0.74445735349281	none	0.74445735349281
ko00785	LinDA	LMAT	NC	0.0018651574015976	none	0.0018651574015976
ko00550	LinDA	LMAT	NC	0.763718947968562	none	0.763718947968562
ko00650	LinDA	LMAT	NC	0.963663636268946	none	0.963663636268946
ko05220	LinDA	LMAT	NC	0.451410952783982	none	0.451410952783982
ko02030	LinDA	LMAT	NC	0.538512491231275	none	0.538512491231275
ko03320	LinDA	LMAT	NC	0.383127478553264	none	0.383127478553264
ko04612	LinDA	LMAT	NC	0.984853910834198	none	0.984853910834198
ko04621	LinDA	LMAT	NC	0.986445659721992	none	0.986445659721992
ko04622	LinDA	LMAT	NC	0.0216986130694199	none	0.0216986130694199
ko00910	LinDA	LMAT	NC	0.736590195376383	none	0.736590195376383
ko00460	LinDA	LMAT	NC	0.201450270228574	none	0.201450270228574
ko00830	LinDA	LMAT	NC	0.11293775521153	none	0.11293775521153
ko00780	LinDA	LMAT	NC	0.0346246542987556	none	0.0346246542987556
ko00511	LinDA	LMAT	NC	0.00647483899359961	none	0.00647483899359961
ko00970	LinDA	LMAT	NC	0.68097972406889	none	0.68097972406889
ko00030	LinDA	LMAT	NC	0.592953012774123	none	0.592953012774123
ko04972	LinDA	LMAT	NC	0.332033567535671	none	0.332033567535671
ko00232	LinDA	LMAT	NC	0.777273947318586	none	0.777273947318586
ko00230	LinDA	LMAT	NC	0.466432746171916	none	0.466432746171916
ko04122	LinDA	LMAT	NC	0.4496518044696	none	0.4496518044696
ko00540	LinDA	LMAT	NC	0.0108236427896368	none	0.0108236427896368
ko05014	LinDA	LMAT	NC	0.669093172613366	none	0.669093172613366
ko00660	LinDA	LMAT	NC	0.377045627899965	none	0.377045627899965
ko03020	LinDA	LMAT	NC	0.736920110983868	none	0.736920110983868
ko04512	LinDA	LMAT	NC	0.193125090590898	none	0.193125090590898
ko00982	LinDA	LMAT	NC	0.5251991081037	none	0.5251991081037
ko03010	LinDA	LMAT	NC	0.831233367601304	none	0.831233367601304
ko00140	LinDA	LMAT	NC	0.0899114207021256	none	0.0899114207021256
ko05100	LinDA	LMAT	NC	0.123106946098288	none	0.123106946098288
ko00860	LinDA	LMAT	NC	0.098920246618169	none	0.098920246618169
ko05410	LinDA	LMAT	NC	0.494396209293803	none	0.494396209293803
ko00330	LinDA	LMAT	NC	0.910241983843887	none	0.910241983843887
ko00908	LinDA	LMAT	NC	0.696865898717937	none	0.696865898717937
ko04930	LinDA	LMAT	NC	0.269856886314038	none	0.269856886314038
ko03430	LinDA	LMAT	NC	0.527624837184508	none	0.527624837184508
ko00906	LinDA	LMAT	NC	0.394145479196732	none	0.394145479196732
ko00900	LinDA	LMAT	NC	0.984045831489473	none	0.984045831489473
ko00901	LinDA	LMAT	NC	0.188150166491086	none	0.188150166491086
ko00903	LinDA	LMAT	NC	0.702287231073349	none	0.702287231073349
ko00471	LinDA	LMAT	NC	0.961643501192468	none	0.961643501192468
ko00472	LinDA	LMAT	NC	0.267087435881899	none	0.267087435881899
ko00473	LinDA	LMAT	NC	0.355977152180337	none	0.355977152180337
ko05111	LinDA	LMAT	NC	0.818604687702198	none	0.818604687702198
ko04210	LinDA	LMAT	NC	0.0111187354963865	none	0.0111187354963865
ko00240	LinDA	LMAT	NC	0.445258957758405	none	0.445258957758405
ko04011	LinDA	LMAT	NC	0.0107088223645105	none	0.0107088223645105
ko00944	LinDA	LMAT	NC	3.92993232716397e-05	none	3.92993232716397e-05
ko04113	LinDA	LMAT	NC	0.245183087108069	none	0.245183087108069
ko04070	LinDA	LMAT	NC	0.265090700475841	none	0.265090700475841
ko04640	LinDA	LMAT	NC	0.399677334099009	none	0.399677334099009
ko04310	LinDA	LMAT	NC	0.451410952783982	none	0.451410952783982
ko03420	LinDA	LMAT	NC	0.912553798406923	none	0.912553798406923
ko00770	LinDA	LMAT	NC	0.962208930609536	none	0.962208930609536
ko02040	LinDA	LMAT	NC	0.0547130445314618	none	0.0547130445314618
ko04912	LinDA	LMAT	NC	0.782139856013953	none	0.782139856013953
ko00670	LinDA	LMAT	NC	0.73551462594649	none	0.73551462594649
ko04920	LinDA	LMAT	NC	0.350348722748847	none	0.350348722748847
ko04144	LinDA	LMAT	NC	0.904550501352929	none	0.904550501352929
ko00930	LinDA	LMAT	NC	0.10411736126731	none	0.10411736126731
ko04112	LinDA	LMAT	NC	0.988759344193894	none	0.988759344193894
ko04075	LinDA	LMAT	NC	0.708223355688331	none	0.708223355688331
