feature	method	group1	group2	p_values	adj_method	p_adjust
ko00471	edgeR	LMAT	MD	0.907716155335598	none	0.907716155335598
ko00472	edgeR	LMAT	MD	0.0410427738215874	none	0.0410427738215874
ko00473	edgeR	LMAT	MD	0.956027156916247	none	0.956027156916247
ko05111	edgeR	LMAT	MD	0.855401102538466	none	0.855401102538466
ko04210	edgeR	LMAT	MD	0.8101260724215	none	0.8101260724215
ko00240	edgeR	LMAT	MD	0.911460682541632	none	0.911460682541632
ko04011	edgeR	LMAT	MD	0.78490187599634	none	0.78490187599634
ko00944	edgeR	LMAT	MD	0.0125638051318717	none	0.0125638051318717
ko04113	edgeR	LMAT	MD	0.0216133524914788	none	0.0216133524914788
ko04070	edgeR	LMAT	MD	0.779040236320093	none	0.779040236320093
ko04640	edgeR	LMAT	MD	3.19791205799834e-39	none	3.19791205799834e-39
ko04310	edgeR	LMAT	MD	0.935071019877561	none	0.935071019877561
ko03420	edgeR	LMAT	MD	0.949891723515407	none	0.949891723515407
ko00770	edgeR	LMAT	MD	0.870377665034532	none	0.870377665034532
ko02040	edgeR	LMAT	MD	0.370035705159534	none	0.370035705159534
ko04912	edgeR	LMAT	MD	0.565843407658711	none	0.565843407658711
ko00670	edgeR	LMAT	MD	0.900124755341171	none	0.900124755341171
ko04920	edgeR	LMAT	MD	0.243472714013724	none	0.243472714013724
ko04144	edgeR	LMAT	MD	0.455436631632306	none	0.455436631632306
ko00930	edgeR	LMAT	MD	0.0416843019972936	none	0.0416843019972936
ko04112	edgeR	LMAT	MD	0.907978996518633	none	0.907978996518633
ko04075	edgeR	LMAT	MD	0.749796662062142	none	0.749796662062142
