""	"FBG"	"Weight"	"AUC"	"Acetic.acid"	"Propionic.acid"	"Butyric.acid"	"Valeric.acid"	"Isovaleric.acid"
"Acetatifactor"	"-0.258101278627441"	"0.543344611796676"	"-0.197515778347551"	"-0.389319496231356"	"-0.368338617189949"	"-0.303389485488461"	"-0.0196481695650639"	"0.0499974257618303"
"Acetivibrio"	"-0.369127912446029"	"-0.202501448450525"	"-0.297243588505675"	"0.442678217861888"	"0.546134351531507"	"0.253390962648206"	"0.0674078874209552"	"-0.0860047608135403"
"Akkermansia"	"-0.435773574953739"	"-0.140742430726523"	"-0.393260611853382"	"0.267084270380317"	"0.391758115740648"	"0.0223863657117524"	"0.532985189105471"	"-0.260007479446161"
"Alistipes"	"-0.654343399688674"	"0.176818553604521"	"-0.558969144566017"	"0.273585901254323"	"0.299548279557433"	"0.025368279620576"	"0.0452145162424249"	"-0.290110554656117"
"Alkaliphilus"	"-0.398663837812998"	"-0.210015043649659"	"-0.329369917520949"	"0.267325549365306"	"0.493641472668313"	"0.083493501384403"	"0.136802455144856"	"-0.307925991608656"
"Anaerocolumna"	"-0.115983920362506"	"-0.0848099497083004"	"0.0366912522051739"	"-0.0359266310149092"	"0.213949482577123"	"-0.160069332139517"	"0.429534517815259"	"-0.199088840754477"
"Anaerotignum"	"-0.281440578040695"	"-0.0908572928291428"	"-0.112688818895156"	"0.160368361637438"	"0.387726501331274"	"0.00158561067867954"	"0.204655421582404"	"-0.111905506575535"
"Bacteroides"	"0.716850107103253"	"-0.395072567107916"	"0.5829934553561"	"0.0952575016310122"	"0.0233343432067101"	"0.283801743831667"	"-0.199584239079387"	"0.256022717833456"
"Bifidobacterium"	"-0.232046727844495"	"-0.356902161535955"	"-0.177250054787538"	"0.378673988131455"	"0.519815484845871"	"0.215905190148918"	"-0.0418608374092608"	"-0.244360774816108"
"Blautia"	"-0.412478190669894"	"0.382980669065901"	"-0.411031400554792"	"-0.328460001007814"	"-0.184015774774085"	"-0.395249848422994"	"0.149584569853484"	"-0.69897837631913"
"Clostridium_XlVa"	"-0.688052103200724"	"0.646000830560293"	"-0.670947225225271"	"-0.134160598436038"	"-0.22696387657967"	"-0.187597348525521"	"-0.00157618681197507"	"-0.225119918355124"
"Duncaniella"	"-0.483500360720764"	"-0.234755164611948"	"-0.382639236783922"	"0.512510267749691"	"0.651980947802532"	"0.190560183964425"	"0.362921091004748"	"-0.110186499654586"
"Eisenbergiella"	"-0.395180409997886"	"0.105351273044874"	"-0.371443594425157"	"0.130274122976068"	"0.00320606930864649"	"0.0930960696783879"	"-0.118257254894465"	"0.0187950379029178"
"Enterocloster"	"-0.0137425850795502"	"0.266540760009249"	"0.0969938871189426"	"-0.40393666397209"	"-0.388349160751477"	"-0.358562277420484"	"-0.143369195412389"	"0.0439942593035515"
"Flintibacter"	"-0.327620527897573"	"0.751683797577715"	"-0.238812989857194"	"-0.537971623572653"	"-0.587166320194882"	"-0.481667429583023"	"-0.12633218830773"	"-0.0435331992528313"
"Intestinimonas"	"-0.375438462582972"	"-0.0375681947455782"	"-0.307316650336678"	"0.12031186099374"	"0.222229520743425"	"-0.146635441007056"	"0.393347885027484"	"-0.22328051627014"
"Kineothrix"	"-0.525187696885774"	"0.557289869359554"	"-0.487732340683643"	"-0.177929476169035"	"-0.205149556743628"	"-0.241562826853668"	"0.0193435309091627"	"0.00897510630492608"
"Lachnospiracea_incertae_sedis"	"-0.164101341845826"	"0.43166482502201"	"-0.0469459733356081"	"-0.470837029852512"	"-0.427209686911164"	"-0.451770762903808"	"-0.282847801447642"	"-0.40975263796054"
"Lacrimispora"	"-0.318601272953109"	"0.440859775390884"	"-0.295604020023083"	"-0.435337979813701"	"-0.531449920266449"	"-0.47463025025198"	"0.178172483296512"	"-0.198468887080585"
"Lawsonibacter"	"-0.214942434029504"	"0.604935256974397"	"-0.137930372462928"	"-0.621173863157751"	"-0.689613973474625"	"-0.567715773308307"	"-0.227091432541458"	"-0.193651962274599"
"Ligilactobacillus"	"0.353473942162867"	"-0.280585088559087"	"0.602155680939069"	"-0.206089904343532"	"-0.0421069723161578"	"-0.189721665649286"	"-0.226208837552042"	"-0.151930614159866"
"Muribaculum"	"-0.428530224037387"	"-0.176782599524885"	"-0.312044630770693"	"0.435957874290437"	"0.528498299098858"	"0.153650832095649"	"0.233675749833503"	"-0.0770224467162921"
"Neglecta"	"-0.488406115340419"	"0.10163821315224"	"-0.383369756869156"	"0.162957600069055"	"0.245994138295085"	"-0.074509836778563"	"0.326289319623551"	"-0.0933066629191795"
"Oscillibacter"	"-0.432533301804854"	"0.555978475146758"	"-0.371182800223071"	"-0.384056318755244"	"-0.450856098364832"	"-0.363083074718118"	"0.167344363115421"	"0.098096595377976"
"Parabacteroides"	"0.730204410950734"	"-0.404620645149965"	"0.561000064015619"	"0.228773402931707"	"0.118029434878001"	"0.442957969739479"	"-0.159063669726548"	"0.347035191611787"
"Paramuribaculum"	"-0.0164798440564339"	"-0.143285054869963"	"0.223381911886717"	"-0.133378926195118"	"0.0182398897792546"	"-0.260934695771802"	"0.0146347342148413"	"-0.294446062723864"
"Pseudescherichia"	"0.732967134530493"	"-0.414925069760279"	"0.563041467107685"	"0.25124730522155"	"0.145496273941894"	"0.466079631175841"	"-0.148230191306031"	"0.373915728398568"
"Roseburia"	"-0.135994128049241"	"0.665565729449493"	"-0.159947298392242"	"-0.486399772959789"	"-0.541693250394971"	"-0.356183309525982"	"-0.116220919573461"	"0.0338182074306889"
"Ruminococcus"	"0.358643055256532"	"-0.234573684513869"	"0.511153184952483"	"-0.136254838526263"	"0.0526400573566368"	"-0.0964069902087513"	"-0.133463343555501"	"0.00451015129863591"
