""	"FBG"	"Weight"	"AUC"	"Acetic.acid"	"Propionic.acid"	"Butyric.acid"	"Valeric.acid"	"Isovaleric.acid"
"Acetatifactor"	"0.0111434467996942"	"0.0897240283170912"	"0.200422686711942"	"0.986742911194989"	"0.802771731207162"	"0.907363817812816"	"0.172455036093989"	"0.802771731207162"
"Acetivibrio"	"0.98653737812966"	"0.634029046428523"	"0.244102289836612"	"0.120742142142661"	"0.302385806021828"	"0.148266104168823"	"0.309685438118151"	"0.0409017891286929"
"Akkermansia"	"0.906799287861537"	"0.577218378137763"	"0.933368646568711"	"0.0124753208388897"	"0.0315868636010344"	"0.0461402181935044"	"0.0925316096694494"	"0.19735705415316"
"Alistipes"	"0.127552869703234"	"0.00609992331369691"	"0.751419652325848"	"0.00222003122591684"	"0.0330412225454377"	"0.00294022702327952"	"0.383319797800989"	"0.0158005962505716"
"Alkaliphilus"	"0.56734216530306"	"0.93167403784024"	"0.420312285422207"	"0.452532853853057"	"0.783320692702214"	"0.691820267084063"	"0.262555270913348"	"0.73066761204538"
"Anaerocolumna"	"0.244282294086627"	"0.066688"	"0.533400561272595"	"0.651477342796243"	"0.651477342796243"	"0.77699846344389"	"0.131501993065946"	"0.933772958094147"
"Anaerotignum"	"0.00740791059515762"	"0.0903658453522045"	"0.202750555511043"	"0.800984329914507"	"0.599820235426089"	"0.840304946722972"	"0.286692583610207"	"0.919829424122262"
"Bacteroides"	"0.0537177672171674"	"0.200422686711942"	"0.127552869703234"	"0.533400561272595"	"0.933772958094147"	"0.404701671270157"	"0.0262928781788051"	"0.36546831043867"
"Bifidobacterium"	"0.211390561325541"	"0.542286006166348"	"0.146800458453782"	"0.264887439584297"	"0.519479299957456"	"0.325077533765635"	"0.134163408891271"	"0.164716145174402"
"Blautia"	"0.676065175997854"	"0.138333698394492"	"0.700931884910058"	"0.0897240283170912"	"0.293050075292822"	"0.107593187782415"	"0.413326602860858"	"0.346593507087334"
"Clostridium_XlVa"	"0.000491873019082001"	"0.00208579650533431"	"0.019528343138303"	"0.274673014343399"	"0.12619736664662"	"0.227551510224215"	"0.619003093301408"	"0.454986007954027"
"Duncaniella"	"0.960240418128624"	"0.488776304519243"	"0.161522928017456"	"0.073877706888658"	"0.5108853175152"	"0.0216659233675324"	"0.142517917676253"	"0.00294022702327952"
"Eisenbergiella"	"0.149655673420837"	"0.488776304519243"	"0.200422686711942"	"0.986742911194989"	"0.293050075292822"	"0.802771731207162"	"0.465684706386463"	"0.986742911194989"
"Enterocloster"	"0.293050075292822"	"0.533400561272595"	"0.751419652325848"	"0.933772958094147"	"0.881036181161853"	"0.960240418128624"	"0.227551510224215"	"0.933772958094147"
