euclidean	H60	M54	M55	M57	M59	H61	H94	H79	H62	L38	L70	L91	M33	M34	M30	H64	L36	M58	L39	M35	L73	L92	L76	L37	L77	M31	M56	H63	H67	H95	H96	L93	N12	N13	N90	N86	N88	N87	N15	N16	N53	H66	H68	M32	N17	N51	N52
L36	7.35	7.07	6.93	7.07	6.08	6.48	6.71	6.86	5.10	5.48	5.48	6.08	5.74	6.24	6.63	4.69	0	6.63	7.14	6.86	6.16	6.08	6.56	7.00	7.07	7.07	7.62	7.68	7.14	7.14	7.21	6.93	7.00	6.93	7.48	7.75	7.68	8.54	7.55	7.14	7.87	6.48	7.68	6.71	7.68	8.19	8.37
M58	5.83	5.29	5.10	5.83	5.92	6.48	5.92	5.39	6.16	5.83	6.32	6.71	5.39	6.24	5.10	6.00	6.63	0	6.71	6.40	6.32	6.40	6.56	7.55	7.75	6.48	5.48	7.00	5.57	6.71	6.78	6.93	7.42	7.48	7.87	7.87	7.68	8.54	7.94	7.68	8.25	6.48	7.00	6.86	7.55	7.81	8.72
L39	6.24	6.40	6.56	6.71	6.93	6.71	6.63	6.00	6.86	5.20	6.56	6.48	6.16	5.66	7.00	7.14	7.14	6.71	0	7.21	6.71	6.32	6.00	6.48	6.86	7.00	6.86	7.21	6.32	6.32	6.24	6.56	7.21	7.42	7.94	7.94	7.62	8.37	7.87	7.48	8.19	6.56	6.63	7.35	7.75	8.25	8.19
M35	7.28	7.42	7.00	7.28	7.21	7.28	7.35	6.78	6.08	6.40	6.71	6.78	5.29	5.66	6.24	7.42	6.86	6.40	7.21	0	5.92	6.00	6.16	7.62	6.24	7.42	7.00	7.48	6.93	6.93	6.86	6.56	6.63	6.56	7.28	7.14	7.21	8.25	7.07	6.78	7.42	6.24	7.21	6.63	7.21	7.35	7.81
L73	7.35	7.07	6.63	7.07	6.86	6.93	7.14	6.56	6.16	5.83	6.63	7.14	5.39	5.57	6.32	7.07	6.16	6.32	6.71	5.92	0	5.20	5.74	7.81	5.48	7.48	7.07	7.55	7.00	7.14	7.07	6.00	6.71	6.78	7.48	7.62	7.42	8.19	7.42	7.42	7.62	6.16	7.55	6.71	7.55	7.94	8.00
L92	6.71	6.40	7.00	7.28	6.78	7.00	6.78	6.32	6.24	5.39	5.92	6.93	5.48	5.48	6.56	6.86	6.08	6.40	6.32	6.00	5.20	0	5.48	7.35	5.74	7.42	7.14	7.35	6.48	6.93	7.00	5.57	6.78	6.71	7.28	7.42	7.21	8.25	7.35	7.07	7.68	6.08	7.07	7.07	7.48	7.75	8.06
L76	6.56	7.00	6.86	7.28	6.93	7.00	6.78	6.16	6.24	5.39	5.92	6.63	6.00	5.83	7.00	7.00	6.56	6.56	6.00	6.16	5.74	5.48	0	7.21	5.74	7.68	7.14	7.07	6.93	7.62	7.00	5.92	6.63	6.86	7.14	7.28	6.78	8.00	7.35	7.07	7.81	6.40	7.07	7.48	7.35	7.62	8.06
L37	7.28	7.14	7.28	7.28	7.07	7.00	7.07	6.93	6.08	6.08	6.08	5.48	6.63	6.78	7.14	6.71	7.00	7.55	6.48	7.62	7.81	7.35	7.21	0	7.68	6.86	7.68	7.35	6.78	6.63	6.56	7.28	7.21	7.28	7.94	7.81	7.62	8.60	7.75	7.48	8.06	7.14	6.93	8.00	7.62	8.25	8.19
L77	7.35	7.75	7.75	7.87	7.42	7.07	7.14	6.86	6.32	6.48	7.21	7.14	6.56	6.24	7.35	7.75	7.07	7.75	6.86	6.24	5.48	5.74	5.74	7.68	0	8.00	8.12	7.00	7.42	7.14	7.07	5.83	6.56	6.63	7.35	7.48	7.81	8.31	7.28	7.42	7.48	5.83	7.42	7.28	7.28	8.43	8.12
M31	6.63	6.16	6.48	5.66	5.57	5.48	5.92	6.24	6.48	6.32	6.78	6.71	6.08	5.92	6.00	6.78	7.07	6.48	7.00	7.42	7.48	7.42	7.68	6.86	8.00	0	7.21	7.68	6.71	6.24	6.00	7.21	7.14	7.21	7.87	7.87	7.81	8.66	7.94	7.55	8.00	7.48	7.42	6.86	7.68	8.43	8.25
M56	6.00	5.48	5.83	5.83	6.56	7.48	7.00	6.08	7.07	6.63	6.93	7.28	6.08	6.08	6.48	7.48	7.62	5.48	6.86	7.00	7.07	7.14	7.14	7.68	8.12	7.21	0	7.28	6.08	7.55	6.48	7.21	7.28	7.48	8.00	8.00	7.94	8.54	7.94	7.68	8.25	7.35	7.68	7.81	7.68	7.81	8.72
H63	5.57	6.08	6.40	6.71	6.63	7.00	6.32	6.48	6.40	7.14	7.14	7.07	6.48	6.78	7.28	7.28	7.68	7.00	7.21	7.48	7.55	7.35	7.07	7.35	7.00	7.68	7.28	0	6.93	7.48	6.86	7.00	7.35	7.42	8.06	8.06	8.00	8.49	8.00	7.87	8.06	6.86	7.35	7.62	7.48	7.87	8.43
H67	6.24	6.08	6.08	6.40	6.63	6.56	6.63	6.32	6.71	6.08	6.24	6.63	5.66	6.00	6.08	6.40	7.14	5.57	6.32	6.93	7.00	6.48	6.93	6.78	7.42	6.71	6.08	6.93	0	5.83	5.57	6.08	7.75	7.68	8.31	8.31	8.12	8.60	8.00	8.00	8.43	6.56	5.83	6.93	7.87	8.12	8.31
H95	7.14	7.28	7.14	6.71	6.48	5.92	6.93	6.63	6.40	6.24	7.14	6.48	6.63	6.48	6.56	7.00	7.14	6.71	6.32	6.93	7.14	6.93	7.62	6.63	7.14	6.24	7.55	7.48	5.83	0	5.39	6.56	7.48	7.42	8.06	8.19	8.00	8.94	8.12	7.75	8.19	6.40	6.63	7.21	7.87	8.37	8.43
H96	6.78	6.78	6.78	6.32	6.08	6.00	6.40	6.24	5.83	6.16	6.63	6.56	5.74	5.74	6.48	7.21	7.21	6.78	6.24	6.86	7.07	7.00	7.00	6.56	7.07	6.00	6.48	6.86	5.57	5.39	0	5.83	7.00	7.07	7.75	7.62	7.81	8.31	7.42	7.42	7.75	7.07	6.86	7.00	7.42	7.81	7.87
L93	7.07	6.78	7.07	6.93	6.71	6.93	6.86	6.71	6.48	5.66	6.48	6.71	5.92	5.92	6.63	7.21	6.93	6.93	6.56	6.56	6.00	5.57	5.92	7.28	5.83	7.21	7.21	7.00	6.08	6.56	5.83	0	7.28	7.21	7.75	8.00	7.68	8.31	7.81	7.68	8.25	6.63	7.14	6.86	7.28	7.94	8.00
N12	7.00	7.14	7.14	7.00	6.78	7.00	7.21	6.63	5.92	6.40	6.71	6.48	6.00	5.83	7.14	7.42	7.00	7.42	7.21	6.63	6.71	6.78	6.63	7.21	6.56	7.14	7.28	7.35	7.75	7.48	7.00	7.28	0	3.87	4.58	5.00	4.90	6.16	6.00	5.83	6.08	6.24	7.62	7.35	5.83	6.93	7.14
N13	7.21	7.35	7.35	7.21	6.71	7.07	7.42	6.86	5.66	6.32	6.48	6.56	5.92	5.92	7.21	7.35	6.93	7.48	7.42	6.56	6.78	6.71	6.86	7.28	6.63	7.21	7.48	7.42	7.68	7.42	7.07	7.21	3.87	0	4.69	5.66	6.08	7.00	5.74	5.57	6.48	6.63	7.81	7.14	6.08	7.14	7.21
N90	7.75	7.87	7.87	7.75	7.42	7.62	7.94	7.42	6.63	7.07	7.21	7.28	6.71	6.56	7.75	8.00	7.48	7.87	7.94	7.28	7.48	7.28	7.14	7.94	7.35	7.87	8.00	8.06	8.31	8.06	7.75	7.75	4.58	4.69	0	4.69	5.74	5.92	6.40	6.08	7.21	7.21	8.31	7.94	6.56	6.56	7.48
N86	7.75	7.87	8.00	7.75	7.55	7.75	7.81	7.28	6.93	7.21	7.21	7.28	6.86	6.71	7.75	8.00	7.75	7.87	7.94	7.14	7.62	7.42	7.28	7.81	7.48	7.87	8.00	8.06	8.31	8.19	7.62	8.00	5.00	5.66	4.69	0	5.57	5.20	6.40	6.08	6.48	7.07	8.06	8.19	6.24	6.08	7.21
N88	7.55	7.81	7.68	7.68	7.62	7.81	7.75	7.48	7.00	7.00	7.28	7.07	6.78	6.78	7.55	7.81	7.68	7.68	7.62	7.21	7.42	7.21	6.78	7.62	7.81	7.81	7.94	8.00	8.12	8.00	7.81	7.68	4.90	6.08	5.74	5.57	0	6.16	6.48	6.63	7.28	7.00	7.62	8.12	6.48	6.48	7.42
N87	8.31	8.31	8.31	8.31	8.25	8.43	8.49	8.25	7.81	7.94	8.06	8.12	7.62	7.48	8.66	8.43	8.54	8.54	8.37	8.25	8.19	8.25	8.00	8.60	8.31	8.66	8.54	8.49	8.60	8.94	8.31	8.31	6.16	7.00	5.92	5.20	6.16	0	7.07	7.07	7.42	7.94	8.25	8.94	6.78	6.00	7.14
N15	7.81	7.81	7.94	8.06	7.48	7.68	7.75	7.21	6.40	6.86	7.00	7.07	6.48	6.78	7.81	7.68	7.55	7.94	7.87	7.07	7.42	7.35	7.35	7.75	7.28	7.94	7.94	8.00	8.00	8.12	7.42	7.81	6.00	5.74	6.40	6.40	6.48	7.07	0	5.10	5.20	7.00	8.00	8.00	5.83	6.48	6.56
N16	7.55	7.55	7.55	7.68	7.21	7.42	7.62	7.07	6.40	6.56	6.71	6.78	6.32	6.32	7.68	7.55	7.14	7.68	7.48	6.78	7.42	7.07	7.07	7.48	7.42	7.55	7.68	7.87	8.00	7.75	7.42	7.68	5.83	5.57	6.08	6.08	6.63	7.07	5.10	0	5.57	7.00	7.87	7.87	6.32	6.32	6.71
N53	8.00	8.00	8.12	8.12	7.55	7.87	7.94	7.42	6.93	7.21	7.48	7.42	7.00	6.86	7.87	8.00	7.87	8.25	8.19	7.42	7.62	7.68	7.81	8.06	7.48	8.00	8.25	8.06	8.43	8.19	7.75	8.25	6.08	6.48	7.21	6.48	7.28	7.42	5.20	5.57	0	7.21	8.31	8.19	5.92	7.14	6.78
H66	6.63	6.63	6.93	7.21	6.71	6.93	6.86	6.08	5.83	5.83	6.78	6.24	5.74	6.08	6.63	6.48	6.48	6.48	6.56	6.24	6.16	6.08	6.40	7.14	5.83	7.48	7.35	6.86	6.56	6.40	7.07	6.63	6.24	6.63	7.21	7.07	7.00	7.94	7.00	7.00	7.21	0	6.24	7.42	7.00	7.81	8.12
H68	6.71	7.28	7.00	7.42	7.48	7.28	7.35	7.07	7.00	6.56	6.71	6.48	6.48	6.63	7.28	7.00	7.68	7.00	6.63	7.21	7.55	7.07	7.07	6.93	7.42	7.42	7.68	7.35	5.83	6.63	6.86	7.14	7.62	7.81	8.31	8.06	7.62	8.25	8.00	7.87	8.31	6.24	0	7.87	8.00	8.49	8.31
M32	7.14	7.55	6.86	7.00	6.48	6.24	6.93	7.07	6.40	6.24	6.86	6.93	6.00	5.83	6.24	6.86	6.71	6.86	7.35	6.63	6.71	7.07	7.48	8.00	7.28	6.86	7.81	7.62	6.93	7.21	7.00	6.86	7.35	7.14	7.94	8.19	8.12	8.94	8.00	7.87	8.19	7.42	7.87	0	7.87	8.72	8.31
N17	7.42	7.55	7.68	7.55	7.21	7.55	7.48	7.07	6.71	7.00	7.14	7.21	6.78	6.93	7.55	7.68	7.68	7.55	7.75	7.21	7.55	7.48	7.35	7.62	7.28	7.68	7.68	7.48	7.87	7.87	7.42	7.28	5.83	6.08	6.56	6.24	6.48	6.78	5.83	6.32	5.92	7.00	8.00	7.87	0	5.66	6.71
N51	7.81	7.81	7.94	7.81	8.00	8.43	8.25	7.87	7.55	7.81	7.81	8.00	7.35	7.48	8.19	8.31	8.19	7.81	8.25	7.35	7.94	7.75	7.62	8.25	8.43	8.43	7.81	7.87	8.12	8.37	7.81	7.94	6.93	7.14	6.56	6.08	6.48	6.00	6.48	6.32	7.14	7.81	8.49	8.72	5.66	0	6.86
N52	8.37	8.49	8.49	8.37	7.94	8.37	8.43	8.19	7.48	7.35	7.48	7.42	7.42	7.14	8.37	8.37	8.37	8.72	8.19	7.81	8.00	8.06	8.06	8.19	8.12	8.25	8.72	8.43	8.31	8.43	7.87	8.00	7.14	7.21	7.48	7.21	7.42	7.14	6.56	6.71	6.78	8.12	8.31	8.31	6.71	6.86	0
