manhatten	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
H60	0	40.0	46.0	31.0	42.0	44.0	39.0	45.0	29.0	31.0	51.0	46.0	54.0	53.0	42.0	39.0	44.0	54.0	43.0	54.0	45.0	45.0	50.0	42.0	44.0	51.0	37.0	31.0	53.0	24.0	26.0	36.0	30.0	34.0	35.0	49.0	52.0	61.0	57.0	55.0	61.0	70.0	64.0	60.0	69.0	57.0	60.0
H61	40.0	0	34.0	49.0	42.0	48.0	43.0	53.0	31.0	23.0	35.0	36.0	42.0	49.0	34.0	45.0	42.0	48.0	49.0	50.0	43.0	49.0	48.0	32.0	30.0	39.0	31.0	33.0	53.0	44.0	42.0	56.0	38.0	42.0	25.0	49.0	50.0	59.0	55.0	57.0	71.0	70.0	62.0	60.0	71.0	61.0	58.0
H62	46.0	34.0	0	41.0	32.0	34.0	45.0	49.0	35.0	39.0	41.0	34.0	26.0	37.0	24.0	47.0	24.0	38.0	39.0	40.0	23.0	39.0	42.0	36.0	42.0	41.0	23.0	33.0	37.0	40.0	42.0	50.0	44.0	38.0	29.0	35.0	32.0	41.0	41.0	45.0	57.0	56.0	48.0	48.0	61.0	49.0	44.0
H63	31.0	49.0	41.0	0	53.0	47.0	48.0	54.0	42.0	40.0	56.0	47.0	59.0	54.0	51.0	52.0	51.0	57.0	50.0	49.0	50.0	54.0	49.0	53.0	59.0	58.0	42.0	46.0	56.0	37.0	41.0	53.0	45.0	49.0	44.0	54.0	55.0	64.0	62.0	56.0	62.0	71.0	65.0	65.0	72.0	64.0	65.0
H64	42.0	42.0	32.0	53.0	0	42.0	41.0	49.0	41.0	37.0	49.0	52.0	22.0	45.0	32.0	51.0	32.0	50.0	49.0	60.0	35.0	47.0	52.0	40.0	46.0	47.0	37.0	41.0	55.0	42.0	38.0	56.0	44.0	36.0	35.0	55.0	54.0	59.0	57.0	59.0	69.0	70.0	64.0	64.0	71.0	61.0	64.0
H66	44.0	48.0	34.0	47.0	42.0	0	43.0	39.0	37.0	47.0	41.0	50.0	42.0	51.0	34.0	43.0	46.0	38.0	41.0	34.0	39.0	37.0	44.0	44.0	56.0	55.0	33.0	37.0	39.0	44.0	48.0	54.0	52.0	42.0	45.0	39.0	44.0	49.0	49.0	49.0	61.0	66.0	52.0	50.0	63.0	49.0	52.0
H67	39.0	43.0	45.0	48.0	41.0	43.0	0	34.0	40.0	44.0	34.0	31.0	51.0	46.0	37.0	40.0	39.0	49.0	48.0	55.0	44.0	42.0	37.0	37.0	45.0	48.0	32.0	36.0	48.0	37.0	37.0	37.0	41.0	31.0	44.0	60.0	59.0	64.0	64.0	62.0	66.0	69.0	71.0	69.0	74.0	66.0	69.0
H68	45.0	53.0	49.0	54.0	49.0	39.0	34.0	0	50.0	54.0	44.0	47.0	59.0	48.0	43.0	44.0	45.0	57.0	50.0	55.0	42.0	50.0	51.0	53.0	55.0	62.0	42.0	44.0	52.0	53.0	49.0	59.0	55.0	49.0	56.0	58.0	61.0	64.0	62.0	64.0	72.0	69.0	69.0	65.0	68.0	58.0	69.0
H79	29.0	31.0	35.0	42.0	41.0	37.0	40.0	50.0	0	26.0	44.0	39.0	47.0	48.0	27.0	36.0	35.0	43.0	38.0	47.0	38.0	40.0	45.0	35.0	39.0	50.0	26.0	30.0	46.0	33.0	39.0	37.0	33.0	29.0	34.0	44.0	47.0	52.0	50.0	50.0	62.0	67.0	55.0	53.0	68.0	56.0	55.0
H94	31.0	23.0	39.0	40.0	37.0	47.0	44.0	54.0	26.0	0	48.0	41.0	45.0	50.0	35.0	44.0	43.0	51.0	46.0	51.0	44.0	46.0	47.0	37.0	35.0	48.0	32.0	36.0	54.0	33.0	37.0	49.0	35.0	35.0	28.0	52.0	55.0	60.0	58.0	56.0	68.0	71.0	63.0	61.0	72.0	60.0	63.0
