Family	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae	0.224241708957866	0.579324873351056	0.263633256847142	0.112531969309463	0.558255451713396	0.492898028407886	0.118257511765416	0.422297297297297	0.20529197080292	0.263579258529376	1.59782576232715	0.510572926079884	0.163441767280013	0.228201090801214	0.0881098126507142	0.18506371814093	0.115627277983058	0.426790147563391	0.156615184444498	0.363506182358935	0.0485942381117667	0.339759214122166	0.562170123972014	0.305541296961697	0.101915549070021	0.120904066324516	0.144892538034291	0.196557950311979	0.139202227235636	0.176899308913366	0.218319425577334	0.145071205783505	0.186894054432893	0.191875583831957	0.365360696517413	0.17279911526853	0.127701839852433	0.413482310855072	1.73160173160173	0.252064608139034	0.129319955406912	0.795451362630591	1.62654521795706	0.102818738088073	0.0784672726083829	0.131011271486978	0.129640248310937
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae	0.018883512333294	0.0476500978080955	0.0439388761411903	0.0434782608695652	0.0498442367601246	0.0476998092007632	0.0241341860745746	0.0144787644787645	0.0202757502027575	0.0123167877817465	0.0238927216796583	0.0158142056750407	0.0158169452206464	0.0136920654480728	0.0231867928028195	0.0257683658170915	0.0326772742126034	0.0334737370637954	0.0289135725128304	0.0385536860077658	0.0161980793705889	0.0246202329074033	0.0417331533079661	0.0391092860110973	0.023162624788641	0.037011448874852	0.0289785076068582	0.0297122483029735	0.0240003840061441	0.00943462980871288	0.0169803997671259	0.0120892671486255	0.014017054082467	0.0201974298770481	0.0259121061359867	0.0207358938322236	0.0260133377477179	0.0301981462984041	0.0606612071580224	0.0729660707770887	0.0289855072463768	0.0896283225499258	0.0609954456733897	0.0275855150968001	0.0392336363041915	0.0338822253845633	0.00997232679314901
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Unassigned	0.00708131712498525	0	0	0.00255754475703325	0.00747663551401869	0.026499894000424	0.00241341860745746	0.0217181467181467	0	0	0.00895977062987187	0	0.0421785205883904	0.0616142945163278	0.0278241513633834	0.0140554722638681	0.0226227283010331	0.0167368685318977	0.0530082162735224	0.0413075207226062	0.0300821474025223	0.0393923726518453	0.0564625015343071	0	0	0.00246742992499013	0	0	0	0.00943462980871288	0.0169803997671259	0.00241785342972509	0.00233617568041117	0	0	0.0253438702393844	0.0094593955446247	0.137053125508142	0.113050431521769	0.0165831979038838	0.00222965440356745	0.0280088507968518	0.126057254391672	0.0025077740997091	0.0217964646134397	0.0271057803076506	0.00997232679314901
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Mycobacteriaceae	0.018883512333294	0.0150473993078196	0.0122052433725528	0.0051150895140665	0.0722741433021807	0.026499894000424	0.00965367442982985	0.00241312741312741	0	0	0	0	0.0579954658090368	0.00684603272403642	0	0.00234257871064468	0.00251363647789257	0.00278947808864961	0	0	0.0439662154344556	0.00492404658148066	0.014729348226341	0.00488866075138716	0.00694878743659231	0.00493485984998026	0	0	0.0432006912110594	0.00943462980871288	0.0145546283718222	0	0.00233617568041117	0	0	0.0023039882035804	0.040202431064655	0.00464586866129294	0.00551465519618386	0.00994991874233027	0.00222965440356745	0	0	0	0.0261557575361276	0.0090352601025502	0.0149584901897235
Bacteria|Actinobacteria|Actinobacteria|Unassigned|Unassigned	0.056650536999882	0.0200631990770928	0.21481228335693	0.0127877237851662	0.00747663551401869	0.116599533601866	0.00241341860745746	0.028957528957529	0.0177412814274128	0.0221702180071437	0.00597318041991458	0.454093620097596	0.195075657721305	0.0273841308961457	0.104340567612688	0.0117128935532234	0.497700022622728	0.0976317331027365	0.0192757150085536	0.118414892738138	0.0809903968529446	0.0960189083388729	0.0196391309684546	0.488866075138716	0.0162138373520487	0.416995657323332	0.234242936488771	0.0891367449089205	0.0984015744251908	0.00471731490435644	0.00485154279060741	0.0217606808675258	0.0186894054432893	0.0328208235502032	0.0129560530679934	0.011519941017902	0.0567563732677482	0.28339798833887	0.0248159483828274	0.0331663958077676	0.00222965440356745	0.0504159314343333	0.0894599869876383	0.0025077740997091	0.00653893938403191	0.00225881502563755	0.0274238986811598
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae	0.00236043904166175	0.00752369965390982	0.0244104867451057	0	0.0996884735202492	0.0211999152003392	0.00241341860745746	0.0506756756756757	0.0202757502027575	0.0024633575563493	0.164262461547651	0.0112958611964576	0.0606316233458111	0.0867164145044613	0.111296605453534	0.426349325337331	0.00502727295578513	0.00278947808864961	0.0024094643760692	0.00275383471484042	0.0462802267731112	0	0.00490978274211366	0	0.00463252495772821	0	0	0.00228555756176719	0.00240003840061441	0.00235865745217822	0.00970308558121483	0.00967141371890036	0.00233617568041117	0.00252467873463102	0.0181384742951907	0.0023039882035804	0.00236484888615617	0.044135752282283	0.126837069512229	0.0298497562269908	0	0.0252079657171666	0.0731945348080677	0.0025077740997091	0.00435929292268794	0.0225881502563755	0
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae	0.0495692198748967	0.0551737974620053	0.0439388761411903	0.0230179028132992	0.0672897196261682	0.0317998728005088	0.0434415349342343	0.0965250965250965	0.0177412814274128	0.0172435028944451	0.0268793118896156	0.0722935116573288	0.0369062055148416	0.0798703817804249	0.0997032090521239	0.250655922038981	0.0251363647789257	0.0195263466205473	0.0409608943931764	0.0165230082890425	0.0161980793705889	0.022158209616663	0.0908309807291027	0.0513309378895652	0.0393764621406898	0.120904066324516	0.0120743781695243	0.185130162503143	0.122401958431335	0.0117932872608911	0.0194061711624297	0.0435213617350516	0.00934470272164467	0.0580676108965134	0.0207296849087894	0.0760316107181531	0.16080972425862	0.404190573532486	0.339151294565307	0.126032304069517	0.0624303232998885	0.235274346693555	0.329375406636304	0.077740997090982	0.0479522221495673	0.0926114160511396	0.211911944354417
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae	0.719933907706833	2.73611877413854	3.31006200263633	3.26086956521739	1.41806853582555	2.02459190163239	0.815735489320623	0.902509652509653	0.740064882400649	1.20950856016751	2.71481050085118	0.811042833905657	2.96040491379765	0.691449305127678	0.445186421814135	0.262368815592204	0.595731845260538	2.8954782560183	0.840903067248151	2.96587998788313	1.0621312044429	0.657360218627668	0.753651650914447	1.02173009703992	0.625390869293308	3.97009474930912	0.734122192707076	0.438827051859301	2.04723275572409	0.903365804184258	1.46516592276344	0.611716917720448	0.932134096484056	1.44159155747431	1.55213515754561	0.235006796765201	0.250673981932555	0.450649260145416	0.104778448727493	0.354880435143113	0.405797101449275	0.204464610817018	0.288711776187378	0.331026181161601	0.0610301009176312	0.191999277179192	0.466206277579716
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Barnesiellaceae	0.191195562374602	0.436374579926769	0.497973929600156	0.363171355498721	0.525856697819315	0.919546321814713	0.36201279111862	0.272683397683398	0.32441200324412	0.428624214804779	0.528626467162441	0.329839146936562	0.780302630885222	0.15974076356085	0.250417362270451	0.142897301349325	0.394640927029133	1.02931741471171	0.395152157675349	0.677443339850742	0.182806895753789	0.568727380161016	0.598993494537867	0.263987680574907	0.226993722928682	0.56750888274773	0.321178459309346	0.351975864512148	0.432006912110594	0.169823336556832	0.257131767902193	0.106385550907904	0.217264338278239	0.522608498068621	0.500103648424544	0.188927032693593	0.267227924135648	0.267137448024344	0.137866379904596	0.162515339458061	0.0356744704570792	0.128840713665518	0.191119063109954	0.105326512187782	0.0479522221495673	0.0880937859998645	0.109695594724639
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae	2.46429835949487	5.26408185785223	5.13840745984475	3.48593350383632	3.91775700934579	6.33612465550138	6.01906600699891	3.32528957528958	2.4787104622871	3.62359896538983	7.03640653465938	4.02132658593891	5.90235672483788	4.41112708518747	4.38462251901317	3.33583208395802	3.46379106653596	8.7031716365868	5.05264679661711	10.9767851733539	4.16522040958001	8.58015116823005	10.2172578863385	6.64613429151084	3.18022838348042	8.95183576786419	4.58584882878532	4.78824309190227	8.72413958623338	3.19833950515367	3.25053366970697	1.66590101308059	2.22403924775143	5.13519654623949	3.5214552238806	6.935004492777	5.77259613110722	3.23352458825989	2.60015992500069	10.2550495837617	2.10033444816054	3.47869926896899	6.75829538061158	4.55662553917143	1.72410035092308	4.25560750830115	5.96843758569968
