Order	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales	0.224241708957866	0.579324873351056	0.263633256847142	0.112531969309463	0.558255451713396	0.492898028407886	0.118257511765416	0.422297297297297	0.20529197080292	0.263579258529376	1.59782576232715	0.510572926079884	0.163441767280013	0.228201090801214	0.0881098126507142	0.18506371814093	0.115627277983058	0.426790147563391	0.156615184444498	0.363506182358935	0.0485942381117667	0.339759214122166	0.562170123972014	0.305541296961697	0.101915549070021	0.120904066324516	0.144892538034291	0.196557950311979	0.139202227235636	0.176899308913366	0.218319425577334	0.145071205783505	0.186894054432893	0.191875583831957	0.365360696517413	0.17279911526853	0.127701839852433	0.413482310855072	1.73160173160173	0.252064608139034	0.129319955406912	0.795451362630591	1.62654521795706	0.102818738088073	0.0784672726083829	0.131011271486978	0.129640248310937
Bacteria|Actinobacteria|Actinobacteria|Micrococcales	0.0259648294582792	0.0476500978080955	0.0439388761411903	0.0460358056265985	0.0573208722741433	0.0741997032011872	0.0265476046820321	0.0361969111969112	0.0202757502027575	0.0123167877817465	0.0328524923095302	0.0158142056750407	0.0579954658090368	0.0753063599644006	0.0510109441662029	0.0398238380809595	0.0553000025136365	0.050210605595693	0.0819217887863528	0.079861206730372	0.0462802267731112	0.0640126055592486	0.0981956548422732	0.0391092860110973	0.023162624788641	0.0394788787998421	0.0289785076068582	0.0297122483029735	0.0240003840061441	0.0188692596174258	0.0339607995342519	0.0145071205783505	0.0163532297628782	0.0201974298770481	0.0259121061359867	0.046079764071608	0.0354727332923426	0.167251271806546	0.173711638679792	0.0895492686809724	0.0312151616499443	0.117637173346778	0.187052700065062	0.0300932891965092	0.0610301009176312	0.0609880056922139	0.019944653586298
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales	0.018883512333294	0.0150473993078196	0.0122052433725528	0.0051150895140665	0.0722741433021807	0.026499894000424	0.00965367442982985	0.00241312741312741	0	0	0	0	0.0579954658090368	0.00684603272403642	0	0.00234257871064468	0.00251363647789257	0.00278947808864961	0	0	0.0439662154344556	0.00492404658148066	0.014729348226341	0.00488866075138716	0.00694878743659231	0.00493485984998026	0	0	0.0432006912110594	0.00943462980871288	0.0145546283718222	0	0.00233617568041117	0	0	0.0023039882035804	0.040202431064655	0.00464586866129294	0.00551465519618386	0.00994991874233027	0.00222965440356745	0	0	0	0.0261557575361276	0.0090352601025502	0.0149584901897235
Bacteria|Actinobacteria|Actinobacteria|Unassigned	0.056650536999882	0.0200631990770928	0.21481228335693	0.0127877237851662	0.00747663551401869	0.116599533601866	0.00241341860745746	0.028957528957529	0.0177412814274128	0.0221702180071437	0.00597318041991458	0.454093620097596	0.195075657721305	0.0273841308961457	0.104340567612688	0.0117128935532234	0.497700022622728	0.0976317331027365	0.0192757150085536	0.118414892738138	0.0809903968529446	0.0960189083388729	0.0196391309684546	0.488866075138716	0.0162138373520487	0.416995657323332	0.234242936488771	0.0891367449089205	0.0984015744251908	0.00471731490435644	0.00485154279060741	0.0217606808675258	0.0186894054432893	0.0328208235502032	0.0129560530679934	0.011519941017902	0.0567563732677482	0.28339798833887	0.0248159483828274	0.0331663958077676	0.00222965440356745	0.0504159314343333	0.0894599869876383	0.0025077740997091	0.00653893938403191	0.00225881502563755	0.0274238986811598
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	0.00236043904166175	0.00752369965390982	0.0244104867451057	0	0.0996884735202492	0.0211999152003392	0.00241341860745746	0.0506756756756757	0.0202757502027575	0.0024633575563493	0.164262461547651	0.0112958611964576	0.0606316233458111	0.0867164145044613	0.111296605453534	0.426349325337331	0.00502727295578513	0.00278947808864961	0.0024094643760692	0.00275383471484042	0.0462802267731112	0	0.00490978274211366	0	0.00463252495772821	0	0	0.00228555756176719	0.00240003840061441	0.00235865745217822	0.00970308558121483	0.00967141371890036	0.00233617568041117	0.00252467873463102	0.0181384742951907	0.0023039882035804	0.00236484888615617	0.044135752282283	0.126837069512229	0.0298497562269908	0	0.0252079657171666	0.0731945348080677	0.0025077740997091	0.00435929292268794	0.0225881502563755	0
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales	0.0495692198748967	0.0551737974620053	0.0439388761411903	0.0230179028132992	0.0672897196261682	0.0317998728005088	0.0434415349342343	0.0965250965250965	0.0177412814274128	0.0172435028944451	0.0268793118896156	0.0722935116573288	0.0369062055148416	0.0798703817804249	0.0997032090521239	0.250655922038981	0.0251363647789257	0.0195263466205473	0.0409608943931764	0.0165230082890425	0.0161980793705889	0.022158209616663	0.0908309807291027	0.0513309378895652	0.0393764621406898	0.120904066324516	0.0120743781695243	0.185130162503143	0.122401958431335	0.0117932872608911	0.0194061711624297	0.0435213617350516	0.00934470272164467	0.0580676108965134	0.0207296849087894	0.0760316107181531	0.16080972425862	0.404190573532486	0.339151294565307	0.126032304069517	0.0624303232998885	0.235274346693555	0.329375406636304	0.077740997090982	0.0479522221495673	0.0926114160511396	0.211911944354417
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	4.01982768794996	11.1275517881326	12.4176146072353	8.94117647058824	7.10529595015576	11.1326054695781	9.6054060576807	6.18967181467182	9.08353609083536	7.19793077965267	13.6457306692949	6.93339960238569	17.8415142088891	6.05873896077223	6.07493971433871	4.51414917541229	6.77927758087625	16.4830260258306	7.26694455822471	19.188720293008	6.805507346986	12.7680527857794	13.5583650423469	10.6279484735157	8.00037060199662	19.0164824318989	12.8205747404009	8.34685621557379	14.957039312629	5.08762412434842	5.79759363477586	3.01506322686719	4.24015885994627	8.34406321795552	7.20874792703151	8.81966684330576	7.49420612022892	5.55878185323701	3.52937932555767	12.1057344698352	3.15496098104794	5.44772147998768	9.81620039037085	5.58481292005216	2.25593408749101	5.37597976101737	7.49171050335319
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	0.22896258704119	0.0677132968851883	0.187960747937314	0.721227621483376	0.102180685358255	0.0291498834004664	0.272716302642693	0.041023166023166	0.0253446877534469	0.118241162704767	0.0836245258788042	0.0429242725465389	0.0843570411767807	0.00228201090801214	0.0370988684845112	0.00702773613193403	0.0653545484252067	0.106000167368685	0.0819217887863528	0.0605843637264891	0.0740483628369779	0.103404978211094	0.0908309807291027	0.0611082593923395	0.0208463623097769	0.552704303197789	0.0724462690171456	0.0845656297853861	0.093601497623962	0.0825530108262377	0.0363865709295556	0.120892671486254	0.0186894054432893	0.0833143982428236	0.0414593698175788	0.472317581733982	0.312160052972615	0.290366791330809	0.281247415005377	0.583728566216709	0.0423634336677815	0.092429207629611	0.524560832791152	0.308456214264219	0.0675690403016631	0.140046531589528	0.241828924733864
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned	0	0	0.00488209734902114	0	0.00498442367601246	0.026499894000424	0.0530952093640642	0.0555019305019305	0	0	0	0.00225917223929152	0.0052723150735488	0.00684603272403642	0.113615284733816	0.00234257871064468	0	0	0	0.00275383471484042	0	0	0	0.0122216518784679	0	0.00493485984998026	0.147307413668196	0.00228555756176719	0.00480007680122882	0.00235865745217822	0	0.0241785342972509	0.00233617568041117	0.14895604534323	0	0.251134714190263	0.156080026486308	0.220678761411415	0.763779744671464	0.198998374846605	0.272017837235229	0.484553118785536	0.418835393623943	0.100310963988364	0.0675690403016631	0.126493641435703	0.206925780957842
Bacteria|Deferribacteres|Deferribacteres|Deferribacterales	0.571226248082143	0.112855494808647	0.0268515354196163	0.051150895140665	0.478504672897196	0.0821496714013144	0.0530952093640642	1.57818532818533	0.164740470397405	0.0615839389087326	0.071678165038975	0.00677751671787457	0.17398639742711	0.0456402181602428	0.0046373585605639	0.0163980509745127	0.0452454566020662	0.0223158247091969	0.0168662506324844	0.0192768430038829	0.550734698600023	0.0344683260703646	0.0245489137105683	0.0366649556354037	0.898709841799273	0.0863600473746546	0.0313933832407631	0.0411400361118095	0.0504008064129026	0.943462980871288	0.754414903939453	0.236949636113059	0.616750379628548	0.0151480724077861	0.269485903814262	0.0184319056286432	0.0094593955446247	0.00696880299193942	0.0165439655885516	0.149248781134954	0.0557413600891862	0.00560177015937036	0	0	0.0305150504588156	0.275575433127781	0.221884271147566
