"","KO","Means","SD"
"num.edges(L)","2410","2410","0"
"num.pos.edges","1291","0","0"
"num.neg.edges","1119","0","0"
"num.vertices(n)","484","484","0"
"Connectance(edge_density)","0.0206183803021748","0.0206183803021748","0"
"average.degree(Average K)","9.95867768595041","9.95867768595041","0"
"average.path.length","1","2.93023144407897","0.00351980242489636"
"diameter","1","5.02","0.14070529413629"
"edge.connectivity","0","2.05","0.770346898114313"
"mean.clustering.coefficient(Average.CC)","1","0.0206673787410284","0.00186537302372939"
"no.clusters","60","1.02","0.14070529413629"
"centralization.degree","0.0228598805673904","0.0218246838800198","0.00338733546312645"
"centralization.betweenness","0","0.0112830984302878","0.00235947659171219"
"centralization.closeness","0","NaN",NA
"RM(relative.modularity)","3.0073152416437","-0.00433252745017072","0.0460225304418314"
"the.number.of.keystone.nodes","Not.calculated","0","0"
