"","KO","Means","SD"
"num.edges(L)","2538","2538","0"
"num.pos.edges","1328","0","0"
"num.neg.edges","1210","0","0"
"num.vertices(n)","494","494","0"
"Connectance(edge_density)","0.0208424009000501","0.0208424009000501","0"
"average.degree(Average K)","10.2753036437247","10.2753036437247","0"
"average.path.length","1","2.90514360889189","0.00301885583918852"
"diameter","1","5","0"
"edge.connectivity","0","2.21","0.795124029458438"
"mean.clustering.coefficient(Average.CC)","1","0.021024099112109","0.0016905522886355"
"no.clusters","59","1.03","0.171446607997765"
"centralization.degree","0.0237823455502542","0.0219770717165828","0.00320905655710897"
"centralization.betweenness","0","0.0109080860016709","0.0019932643594959"
"centralization.closeness","0","NaN",NA
"RM(relative.modularity)","2.93758179933302","0.0034059842501847","0.0463436472388852"
"the.number.of.keystone.nodes","Not.calculated","0","0"
