"","KO","Means","SD"
"num.edges(L)","2544","2544","0"
"num.pos.edges","1351","0","0"
"num.neg.edges","1193","0","0"
"num.vertices(n)","490","490","0"
"Connectance(edge_density)","0.0212345060723676","0.0212345060723676","0"
"average.degree(Average K)","10.3836734693878","10.3836734693878","0"
"average.path.length","1","2.89016902466508","0.00345508207003667"
"diameter","1","5.01","0.1"
"edge.connectivity","0","2.26","0.705247288100945"
"mean.clustering.coefficient(Average.CC)","1","0.0212658246010655","0.00166953528129187"
"no.clusters","60","1","0"
"centralization.degree","0.0503401360544218","0.0219556779767121","0.00334299428795041"
"centralization.betweenness","0","0.010594480914808","0.002047862675551"
"centralization.closeness","0","0.0849040556259167","0.00867659944630046"
"RM(relative.modularity)","2.73231687289576","0.00529136423952204","0.0478088340794993"
"the.number.of.keystone.nodes","Not.calculated","0","0"
